Song,Film,YearMusic Director,Lyricist,Singers
"साजना दिन बहुरे हमारे -2
प्यासे आ पहुँचे नदिया किनारे
साजना दिन बहुरे हमारे

कामनाओं में बेचैनी आई -2
मन की कोमल कली मुसकाई
हम कहाँ तुम कहाँ -2
और ये प्यारा समाँ हँसे
ख़ाबों के चमके सितारे
साजना दिन बहुरे हमारे

( खेल चाहत का खेल
ये है मन की कुलेल
बड़े इतना तो मेल ) -2
मन्झे चढ़ जाये बेल -2
तुम हमारे बनों हम तुम्हारे
साजना दिन बहुरे हमारे

फिर कहाँ ऐसी रातें सुहानी -2
फिर कहाँ ये मचलती जवानी
मन की मौजों में ज़ोर -2
प्रेम-नदिया का शोर
आज मिल जायें दो बहते धारे
साजना दिन बहुरे हमारे -2
साजना

 ",Khel,1950,Sajjad Hussain,Aarzoo Lakhnavi,Geeta
"साजणा वे

मे सोणेया वे

रांझणा वे सोणेया वे माहिया वे

नि मैं समझ गई नि मैं समझ गई

इस गल दी रमज मैं समझ गई

ना समझी थी तो उलझ गई अब उलझन तेरी सुलझ गई

नि तू समझ गई 

नि मैं समझ गया नि मैं समझ गया
इस गल दि रमज मैं समझ गया
रांझणा वे सोणेया वे माहिया वे
माहिया वे सोणेया वे रांझणा वे


नासमझ मुझे बतलाये ना ये कुछ भी मुझे समझाये ना

रंग इतना चढ़ा कि दमक गया होँठों से आँख में ठहर गया

बन के फिर वो घनघोर घटा ज़ुल्फ़ों में फिर वो उलझ गया

ऐनूं प्यार दा चस्का ए साईं ते इश्क़ ही ऐदी रियासत ए

ऐते मत्थे ताज मुहब्बत दा अक्खाँ विच नशा इबादत दा ए

दर्बार ऐदे विच कई रांझे ते मिरजे बोलियाँ पौंदे ने

ऐ हुस्न दे चरने हुस्न दे चरने हुस्न दे चरने पी जांदा

ओ तेरे हुस्न दे चरने पी जांदा

ओ तेरे हुस्न दे चरने पी जांदा जी-जी जांदा जी-जी जांदा

ओ साईं ऐदा साईं मेरेया साईं ऐदा की जांदा

हथ लजाये शर्मा जांदा ते तोड़ेया ऐ मुरझा जांदा

तो साई ऐदा की जांदा 
ओ साईं मेरेया साईं मेरेया साईं मेरेया की जांदा

नी तु समझ गई 
नी तु समझ गया 

 ",Taal,1999,A R Rahman,Anand Bakshi,"Richa Sharma, Sukhvindar Singh"
"किशोर:
( साला मैं तो साहब बन गया
  अरे, साला मैं तो तो साहब बन गया, हैं
  रे, साहब बनके कैसा तन गया
  ये बूट मेरा देखो, ये सूट मेरा देखो
  जैसा गोरा कोई लनढन का, हा! )  -2

पंकज:
वाह फ़कीरे! वाह फ़कीरे!
वाह फ़कीरे, सूट पहनकर कैसा कूदे फाँदे
कव्व जैसे पँख मयूर के अपनी दुम में बाँधे

किशोर:
अपनी दुम में बाँधे !?
क्या जानो हुम इस भेजा में क्या-क्या नक्शा खींचा -2
लीडर लोग की ऊँची बातें, क्या समझे तुम नीचा
हाँ, क्या समझे तुम नीचा?
मेरा वो जाहिलपन गया!

ATTENTION!
साला मैं तो ...

पंकज:
सूरत है बन्दर की फिर भी लगती है अलबेली -2
कैसा राजा भोज बना है मेरा गँगू तेली

किशोर:
तेरा गँगू तेली !?
तुम लंगोटी-वाला न बदला मैं न बदलेगा
तुम सब साला लोग का किस्मत, हम साला बदलेगा
हम साला बदलेगा
हाँ, हम साला बदलेगा

हा ... (खांस्ता है)
सीना देखो कैसा तन गया !! हा हा हा ...
(हँसते हुए) साला मैं तो ...

 ",Sagina,1974,S D Burman,Majrooh,"Kishore, Pankaj Mitra"
"( सामने गली में मेरा घर है
सामने गली में मेरा घर है
पता मेरा भूल न जाना
हो पता मेरा भूल न जाना
सामने गली में मेरा घर है ) -2

( ओ खिलेगी जो चाँदनी
मिलूँगी मैं बाम (?) पे ) -2
( ठण्डी-ठण्डी साँस सजन
भरूँ तेरे नाम पे ) -2
ज़ख़्मी जिगर है ज़माने का डर है -2

सामने गली में मेरा घर है
सामने गली में मेरा घर है
पता मेरा भूल न जाना
हो पता मेरा भूल न जाना
सामने गली में मेरा घर है -2

 ",Mirza Sahiban,1947,"Pt Amarnath, Husnalal-Bhagatram",Aziz Kashmiri,Zohra Bai
"सामने ये कौन आया दिल में हुई हलचल
देख के बस एक ही झलक हो गये हम पागल
बातें मुलाक़ातें तो होंगी हम से भी
वो हम पे खुलेंगी कभी आज नहीं तो कल

आँखों ही आँखों में 
बातों ही बातों में
कभी जान पहचान होगी
सुन लो ये कहानी
हसीना इक अनजानी
किसी दिन महरबान होगी
ज़ू ज़ु ज़ू, ज़ू ज़ु ज़ू
ज़ू ज़ु ज़ू, ज़ू ज़ु ज़ु ज़ु
सामने ये कौन आया   ...

रहना है यहाँ तो
दोनों हैं जवाँ तो
भला दूर कैसे रहेंगे
माना वो हसीं है
तो हम भी कम नहीं हैं
वो मगरूर कैसे रहेंगे
ल ला र, ल ला र
ल ला र, ल ला ल ल
सामने ये कौन आया   ...

 ",Jawani Diwani,1972,R D Burman,Anand Bakshi,Kishore
"शांती शांती ओम शांती बोलें

शांती शांती ओम शांती गायें

साम्बा साम्बा ओ लाम्बा ओ रे

गा सा री री गा गा पा गा रे
साम्बा साम्बा ओ लाम्बा ओ रे
गा सा री री गा गा पा गा रे

ओम शांती ओम शांती मैं गाऊँगा

बाँहों में तुझे मैं झुलाऊँगा

अमनी अमनी आ मेरे संग तू भी आ जा आ जा

ओम शांती ओम शांती मैं गाऊँगा
बाँहों में तुझे मैं झुलाऊँगा
अमनी अमनी आ मेरे संग तू भी आ जा आ जा
साम्बा साम्बा 
गा सा री री
साम्बा साम्बा ओ लाम्बा ओ रे
गा सा री री गा गा पा गा रे

हरपल मेरा दिल ये पुकारे तुम हो हमारे हम हैं तुम्हारे

मन को लुभाये खिलते नज़ारे धरती गगन ये चाँद-सितारे

मचले-मचले से दिल मेरा मचले

( साम्बा साम्बा ओ लाम्बा ओ रे 
गा सा री री गा गा पा गा रे ) -2
शांती ओम शांती शांती ओम शांती
ऐ ई दिग दिग तारा ऐ ई दिग दिग शांती ओम -3
शांती ओम शांती शांती ओम शांती

काली कोयलिया हरदम गाये प्यार की मीठी धुन ये सुनाये

मेरे मन की कलियाँ खिलाये तुम सा कोई साथी मिल जाये

सुन ले तू सुन ले अब तो मेरे दिलबर सुन ले

( साम्बा साम्बा ओ लाम्बा ओ रे 
गा सा री री गा गा पा गा रे ) -2
ओम शांती ओम शांती मैं गाऊँगा 
बाँहों में तुझे मैं झुलाऊँगा
अमनी अमनी आ मेरे संग तू भी आ जा आ जा

 ",Love Birds,1996,A R Rahman,P K Mishra,Aslam Mustafa
"standing there shadows in the heart
opened out it might be you
but it wasn't anyone at all
I can still remember the way things were
if I can truly bring you back
then you won't even say a word
I can love you more than anybody else
I mean it. wow, wow
I can love you more than anybody else
I mean it.

यानि के
सानू तेरे नाल प्यार हो गया
साड्डा दिल बेकरार हो गया
मस्ती तेरी आँखों में जादू तेरी बातों में
सोचूँ मैं तेरे बारे में जागूँ अब तो रातों में
अरे रे रे रे रे मस्ती तेरी ...
जागूँ अब तो रातों में रातों में

you don't seem to know I love you baby
बड़ा मुश्किल इंतज़ार हो गया
सानू तेरे नाल ...

बेचैनी क्या होती है सोणिये तू तो जाने ना
दिल तेरा दीवाना है मेरी गल्लां माने ना
हो हो हो
मेरी गल्लां माने ना माने ना

तेरे बिन जीना दुश्वार हो गया
सानू तेरे नाल ...

 ",Kuchh Dil Ne Kahaa,2000,Lalit Sen,Bipin Chandra Chaugule,"Udit Narayan, Anuradha Paudwal..."
"सानूं नहर वाले पुल ते बुला के
ते ख़ौरे माही कित्थे रह गया
साडी अक्खां विcचों नीन्दरां उड़ा के
ते ख़ौरे माही कित्थे रह गया

उड़दा दुपट्टा मेरा मलमल दा
दिल उत्ते ज़ोर चन्नां नैइं चलदा
आवें ते मनावांगी मैं हथ जोड़ के
माही वे तूं ग़ुस्सा किता कह्ड़ी गल दा
साडे पेरां विच बेड़ियां पा के
ते ख़ौरे माही कित्थे रह गया

थक गैइ पानियां नूं पुन-पुन के
गल्लां ऐस दिल दियां सुन-सुन के
डाह्डा सानूं किता ऐ तूं तन्ग सजनां
बदले लवांगी तैथों चुन-चुन के
सानूं प्यार वाली पौड़ी ते चढ़ा के
ते ख़ौरे माही कित्थे रह गया

रुत तेरे प्यार वाली रन्ग-रन्ग दी
दिल तैनूं चुम दा ते अख सन्ग दी
मुल कह्ड़ा पया वे तूं साडे प्यार दा
हर वैले तेरियां मैं ख़ैरां मन्गदी
सानूं प्यार दे पुलेखे विच पा के
ते ख़ौरे माही कित्थे रह गया

 ",Dukh Sajnaan De (Pakistan),1968,Salim Iqbal,Rauf Sheikh,Noorjehan
"साक़ी पे इल्ज़ाम न आये
चाहे मुझ तक जाम न आये

क़तरा क़तरा पिला न ऐ साक़ी
ओस से प्यास भी बुझी है कभी
साक़िया तश्नगी की ताब नहीं
ज़हर दे दे अगर शराब नहीं

तेरे सिवा जो की हो मुहब्बत
मेरी जवानी काम न आये

जिनके लिये तो मर भी गये हम
वो चल के दो गाम न आये

इश्क़ का सौदा इतना गराँ है
पूरे हमसे दाम न आये

मयख़ाने में सब ही तो आये
लेकिन 'जिगर्' का नाम न आये

 ",Live In Concert 2 (Non-Film),2,nan,Jigar Muradabadi,Ghulam Ali
"साक़ी साक़ी
दिल बुझ ही गया है सीने में
कुछ लुत्फ़ नहीं अब जीने में
साक़ी साक़ी

( साक़ी तेरे जाम वो जाम नहीं
क्या रखा है अब पीने में ) -2
साक़ी साक़ी

साक़ी पहली सी बात नहीं
पहले दिन पहली रात नहीं
जब तेरा ही वो हाथ नहीं -2
क्या रखा है फिर सीने में
साक़ी साक़ी

अब सावन के दिन बीत गये
हम हार गये तुम जीत गये
साक़ी जब छोड़ के मीत गये -2
कुछ लुत्फ़ नहीं फिर जीने में
साक़ी साक़ी

दिल बुझ ही गया है सीने में
कुछ लुत्फ़ नहीं अब जीने में
साक़ी साक़ी

 ",Geet,1944,Naushad,D N Madhok,Zohra Bai
"आ : साक़िया -2
 साक़िया आज मुझे नींद नहीं आयेगी
 नींद नहीं आयेगी

 साक़िया आज मुझे नींद नहीं आयेगी
 सुना है तेरी महफ़िल में रतजगा है
 आँखों-आँखों में यूँ ही रात गुज़र जायेगी
 सुना है तेरी महफ़िल में रतजगा है

को : साक़िया आज मुझे नींद नहीं आयेगी
 सुना है तेरी महफ़िल में रतजगा है
 आँखों-आँखों में यूँ ही रात गुज़र जायेगी
 सुना है तेरी महफ़िल में रतजगा है -2

आ : आ
 साक़ी है और शाम भी
 उल्फ़त का जाम भी
 हो
 तक़दीर है उसी की
 जो ले इनसे काम भी

 रंग-ए-महफ़िल है रात भर के लिये
को : रंग-ए-महफ़िल है रात भर के लिये
आ : सोचना क्या अभी सहर के लिये
को : सोचना क्या अभी सहर के लिये

आ :  रंग-ए-महफ़िल है रात भर के लिये
 सोचना क्या अभी सहर के लिये
 तेरा जलवा हो तेरी सूरत हो
 और क्या चाहिये नज़र के लिये -2
 आज सूरत तेरी बेपरदा नज़र आयेगी
को : सुना है तेरी महफ़िल में रतजगा है
 साक़िया आज मुझे नींद नहीं आयेगी
 सुना है तेरी महफ़िल में रतजगा है -2

आ : आ
 मोहब्बत में जो मिट जाता है
 वो कुछ कह नहीं सकता
 हाँ
 ये वो कूचा है जिसमें
 दिल सलामत रह नहीं सकता
 किसकी दुनिया यहाँ तबाह नहीं
को : किसकी दुनिया यहाँ तबाह नहीं
आ : कौन है जिसके लब पे आह नहीं
को : कौन है जिसके लब पे आह नहीं

आ : किसकी दुनिया यहाँ तबाह नहीं
 कौन है जिसके लब पे आह नहीं
 हुस्न पर दिल ज़रूर आयेगा
 इससे बचने की कोई राह नहीं -2
 ज़िन्दगी आज नज़र मिलते ही लुट जायेगी
को : सुना है तेरी महफ़िल में रतजगा है
आ : ओ ओ ओ
को : साक़िया आज मुझे नींद नहीं आयेगी
आ : आ आ आ
को : आँखों-आँखों में यूँ ही रात गुज़र जायेगी
 सुना है तेरी महफ़िल में रतजगा है -2

 ",Sahib Bibi Aur Ghulam,1962,Hemant Kumar,Shakeel,Asha
"सारंगा तेरी याद में नैन हुए बेचैन 
मधुर तुम्हारे मिलन बिना 
दिन कटते नहीं रैन, होऽ
सारंगा तेरी याद में ...

वो अम्बुवा का झूलना, वो पीपल की छाँव
घूँघट में जब चाँद था, मेहंदी लगी थी पांव
हो, (आज उजड़के रह गया - 2)
वो सपनों का गाँव, हो ...
सारंगा तेरी याद में ...

संग तुम्हारे दो घड़ी, बीत गये जो पल 
जल भरके मेरे नैन में, आज हुए ओझल 
हो, (सुख लेके दुःख दे गयीं -2)
दो अखियाँ चंचल, हो ...
सारंगा तेरी याद में ...

सारंगा तेरी याद में नैन हुए बेचैन
मधुर तुम्हारे मिलन बिना दिन कटते नहीं रैन

मधुबन के मधुकुंज में चलत बिरहा समीर
बाट तकूँ तेरी मैं प्रिये जल जमुना के तीर


 ",Saarangaa,1960,Sardar Malik,Bharat Vyas,Mukesh / Rafi
"सारा चमन था अपना
वो भी था इक ज़माना
अब सामने नज़र के
जलता है आशियाना
जलता है
जलता है

अब इस मर मर के जीने से मिटा देते तो अच्छा था
मुहब्बत की न इतनी तुम सज़ा देते तो अच्छा था
अब इस मर मर के जीने से

घड़ी भर मुस्कुराके उम्र भर का अब तो रोना है
नज़र मिलते ही गर मुझको रुला देते तो अच्छा था
अब इस मर मर के जीने से

मुहब्बत के चराग़ों को बुझाना था, बुझा देते
मगर दिल की लगी को भी बुझा देते तो अच्छा था
अब इस मर मर के जीने से


 ",Aakaash,1953,Anil Biswas,Manmohan Sabir,Lata
"आ : सारा मोरा कजरा छुड़ाया तूने
 गरवा से कैसे लगाया तूने
 ओ रसिया मन-बसिया
र : तीखा-तीखा कजरा लगाया तूने
 काहे को जादू जगाया तूने
 ओ सजनी सुख-रजनी
आ : ओ रसिया मन-बसिया

 तूने प्यास बुझा के नई आस जगा के
 मोरा अंग-अंग तड़पाया
र : कहे सारा ज़माना मोहे तेरा दीवाना
 तेरा रूप सहा नहीं जाए
आ : सारा मोरा कजरा ...

 हुई प्रीत पुरानी हुई तेरी दीवानी
र : हुए नयन रसीले हुए होंठ गुलाबी
 अदा भी शराबी

 ",Do Dil,1965,Hemant Kumar,Kaifi Azmi,"Rafi, Arti Mukherji"
" 
सारा प्यार तुम्हारा, मैने बाँध लिया है आँचल में - 2
तेरे नए रूप कि नई अदा, हम देखा करेंगे पल पल में - 2
सारा प्यार तुम्हारा, मैने बाँध लिया है आँचल में 

(देख के तेरी सूरत, मिट जाती है, एक ही पल में, 
जीवन की हर थकन
मेरे सपनों की तुम मूरत, तुमको पाकर, सफल हुआ है, 
मेरा ये जीवन ) - 2
सपनों की तुम मूरत
हो, चमकी मेरी किस्मत की रेखा, इन नयनों के काजल में ...
सारा प्यार तुम्हारा, मैने बाँध लिया है आँचल में 

(हम और पास आएँगे, हमे और पास कोई लाएगा
दुनिया को नज़र आएँगे हम, जब जब वो मुस्काएगा ) - 2
आई ऐसी बेला, इक पल को भी, मुझे अकेला, 
छोड़ ना देना तुम
आई ऐसी बेला
पास ही रहना, खो मत जाना, दुनिया की हलचल में
सारा प्यार तुम्हारा, मैने बाँध लिया है आँचल में 
तेरे नए रूप कि नई अदा, हम देखा करेंगे पल पल में 
सारा प्यार तुम्हारा, मैने बाँध लिया है आँचल में ...

 ",Aanand Aashram,1977,Shyamal Mitra,Indeevar,"Kishore, Asha"
"अरे ( सारे बदन में ज़हर चढ़ गया
मुझे बिच्छू लड़ गया रे ) -2 बिच्छू लड़ गया
कम न हुआ दर्द और बढ़ गया
बिच्छू लड़ गया ...

तूने ओ ज़ुल्मी करके इशारा
चुटकी भरी या डंक मारा
ये देख नीला निशान पड़ गया

( कल जो किया था वो फिर तू आज कर
कोई दवा मेरा इलाज कर ) -2
मर जाऊंगा मैं तेरा पाँव पड़ गया
बिच्छू लड़ गया ...

( कलियों ने खिलकर अंगड़ाइयाँ लीं
भंवरों ने सिर पर रुसवाइयाँ लीं ) -2
आई बहार गया पतझड़ गया
बिच्छू लड़ गया ...

 ",Inquilaab,1984,Laxmikant-Pyarelal,Anand Bakshi,"Kishore, Asha"
"सारे जग की तू माता
अम्बे जगदम्बे माता, सारे जग की तू माता
जो भी तेरे दर पे आता, मांगी मुरादें पाता

माता तेरे दर्शन को नंगे पाँव नित आऊँ
नारियल पान सुपारी मेवा, तुझे भोग लगाऊँ

मेहरों वाली माँ, सारे जग पे मेहर करो
शरण में जो आये तिहारी उसके पाप हरो

बाबा ने अपनी बेटी को है ठुकराया
एक माँ है तू मैया सीने से जिसे लगाया

ऊँचे पहादों वालिये ऊँची है तेरी शान
जग को वर देती है तेरी शक्ति महान

मैं हूँ प्राणी इन्सां मैया, मैं हूँ भूलनहार
हो गई है भूल मुझसे, बक्श दो बक्शनहार

ज्योतों वाली माँ, मेरे मन की ज्योत जगा
वर्षों से मैं प्यासा मेरी प्यास बुझा

 ",Teri Pooja Kare Sansaar,1984,S Madan,Thakur Tapasvi,"Mahendra Kapoor, Savita Sathi,..."
"सारे जहाँ के सामने इकरार कर लिया
अरे अब जो हो सो हो हमने प्यार कर लिया
आज तुम्हें जीवन साथी स्वीकार कर लिया
अरे जब जो हो सो हो हमने प्यार कर लिया

हूर जन्नत की तुझको देखे तो हुस्न पर तेरे वो भी जल जाए
मैं तो इन्सां हूँ देवताओं पर रूप का तेरे जादू चल जाए
तेरी प्रीत में रब का भी दीदार कर लिया
सारे जहाँ के सामने ...

पास तू है जब कोई मंज़िल क्या पास तू है जब कोई साहिल क्या
तेरा घर आंगन जब मिला मुझको दुनिया वालों की कोई महफ़िल क्या
दोनों जहां की खुशियों पर अधिकार कर लिया
सारे जहाँ के सामने ...

एक पल भी सही न जाये आज हमसे तेरी दूरी
दुनिया वालों से ले ली तेरी चाहत की मंजूरी
हो हो हर परदा उठ जाएगा दीवार है जो टूटेगी
रे मैने मना लिया किस्मत को तू मुझसे क्या रूठेगी
सबके दिल में हमने घर तैयार कर लिया
सारे जहाँ के सामने ...

 ",Main Teraa Dushman,1989,Laxmikant-Pyarelal,Indeevar,"Anuradha Paudwal, Mohammed Aziz"
