Song,Film,YearMusic Director,Lyricist,Singers
"ज़्ब: साजन, आ जा; राजन, आ जा
     साजन, खेलें दिल के खेल
     राजन, खेलें दिल के खेल
घ: सजनी, मन में समा जा, आ जा

ज़्ब: तुम जीत गये हो प्रीत की बाज़ी
     दिल अपना मैं हारी
     जमुना के तट जैसे
     जीते राधे से बनवारी
घ: सजनी, मन में समा जा, आ जा
     जीवन-दर्पण में अब होगा
     दिल से दिल का मेल
बो: खेलें दिल के खेल   ...

ज़्ब: हम तुम बिछड़े भी सोये थे
घ: जैसे नींद और नैना
ज़्ब: साँझ सवेरे फिर मिल जाएँ
घ: जैसे दिन और रैना
घ: सजनी, मन में समा जा, आ जा
बो: प्रेम के रण में जो कुछ बीते
     मन से जाएँ झेल
बो: खेलें दिल के खेल   ...

 ",Bhai,1944,Ghulam Haider,Khan Shatir Ghaznavi,"Zeenat Begum, Ghulam Haider"
"साजन बिन नींद न आवे
विरह सतावे उन बिन मोहे कचुन भावे
(कैसे कहूँ मैं)-3
साजन बिन...

म प
स नि द प म प म
म ग प म आ आअ
(करके थ्होड़े दिन की प्रीत
मन से रूटे मन के मीत)-2
दुख के सपन दुख के गीत
(कैसे कहूँ मैं)-3
साजन बिन...

(तन को फूके मन की याद
मन को फूके विरह राग)-2
अपने अपने सब्(?) के डाग
(कैसे कहूँ मैं)-3
साजन बिन...

साजन बिन नींद न आवे
विरह सतावे उन बिन मोहे कचुन भावे
(कैसे कहूँ मैं)-3
साजन बिन...

 ",Munimji,1955,S D Burman,Sahir,Lata
"तन पूजन क ताल है, मन पूजन क फूल
सजन मिलन को जा रही, सजनी सब दुख भूल

(साजन के पास चली सजनी
मिलन की रजनी आ गई
मिलन की रजनी आ गई)-2

(धन इंद्रधंउश तन सोहे
दर्पण में रूप मन मोहे)-2
नक शिक सिंगार संवारा, सभी नैनों को भा गई
मिलन की रजनी आ गई
(साजन के पास चली सजनी)-2

कहीं बजती मिलन बांसुरिया
(बिना पिया कहे जिया पिया पिया)-2
मेरे मन में रस की बदरिया आ बरसी, फिर चा गई
मिलन की रजनी आ गई
(साजन के पास चली सजनी)-2

(बन चितवं चंद्र चकोरी)-2
(तुम डालो किरं की डोरी)-2
मैं लपटों के पट पहने, अगं के रस में आ रही
मिलन की रजनी आ गई
साजन के पास चली सजनी
(मिलन की रजनी आ गई)-2
(साजन के पास चली सजनी)-4

 ",Sajni,1956,Sudhir Phadke,Narendra Sharma,Lata
"साजन की गलियाँ छोड़ चले
दिल रोया आँसू बेह ना सके
ये जीना भी कोई जीना है
हम उनको अपना केह ना सके
साजन की गलियाँ

जब उनसे बिछड़ कर आने लगे -2
रुक रुक के चले चल चल के रुके
लब काँपे आँखें भर आयी
कुछ केहना चाहा केह ना सके
साजन की गलियाँ छोड़ चले
दिल रोया आँसू बेह ना सके
साजन की गलियाँ

उनके लिये उनको छोड़ दिया
खुद अपने दिल को तोड़ दिया
हम उनके दिल में रेहते थे
उनके क़दमों में रेह ना सके
साजन की गलियाँ छोड चले
दिल रोया आँसू बेह ना सके
साजन की गलियाँ

साजन हैं वहाँ और हम हैं यहाँ
ऐसे दिल को ले जायें कहाँ
जो पास भी उनके रेह ना सके
और दर्द-ए-जुदाई सेह ना सके
साजन की गलियाँ छोड़ चले
दिल रोया आँसू बेह ना सके
साजन की गलियाँ

 ",Bazaar,1949,Shyam Sundar,Qamar Jalalabadi,Lata
"गी:  साजन की हो गई गोरी
    साजन की हो गई
म:   हाय हाय रे
गी:  अब घर का आँगन विदेस लागे रे, साजन
म, गी:  हाय हाय साजन की हो गई गोरी साजन की हो गई

गी:  सूनी सी लागें मायके की गलियाँ
म:   सूनी सी लागें
गी:  भायें न, न न, भायें न अब जी को बचपन की सखियाँ
म:   भायें न
गी:  नैनों में झूमे बैरी की नड़ियाँ मन को लुभायें सजिया कि
कलियाँ
      हर स्वास पी का, हर स्वास पी का संदेस लागे रे
      अब घर का आँगन विदेस लागे रे, साजन
म, गी:  हाय हाय साजन की हो गई गोरी साजन की हो गई

गी:  कुछ जागी जागी, कुछ सोई सोई
म:   कुछ जागी जागी
गी:  बैठी है राधे
म:   ओ देखो, ओ देखो, बैठी है राधे सपनों में खोई, देखो
बैठी है राधे
गी:  छेड़ा तो समझो रोई के रोई
      ऐसे में इसको टोके न कोई
      नाजुकता पन, नाजुकता पन पे न ठेस लागे रे
      अब घर का आँगन विदेस लागे रे, साजन
म, गी:  हाय हाय साजन की हो गई गोरी साजन की हो गई

गी:  बढ़ती है पल पल अग्नी लगन की
म:   बढ़ती है पल पल
गी:  चटके है नस नस कोमल बदन की
म:   चटके है नस नस
गी:  हम जानते हैं सब इसके मन की
      अब हो चुकी ये अपने सजन की
      नैहर का जीवन
      नैहर का जीवन कलेस लागे रे
म:   अब घर का आँगन विदेस लागे रे साजन
म, गी:  हाय हाय साजन की हो गई गोरी साजन की हो गई
अग्नीक्रीरा

 ",Devdaas,1955,S D Burman,Sahir,"Geeta, Manna Dey"
"साजन साजन पुकारूँ गलियों में
कभी फूलों में ढूँढूँ कभी कलियों में
साजन साजन ...

ऐसे रूठा है बेदर्दी कहा ना माने
मेरे जी की मेरी जाँ की क़दर ना जाने
मैं उसी ज़ुल्मी के नैना मस्ताने
कभी फूलों में ...

बुलबुल समझे है फूलों का दिल मस्ताना
भँवरे समझे हैं कलियों से मेरा याराना
मैं तो अपना रूठा साजन दीवाना
कभी फूलों में ...

मुझसे कहती है पर्वत पे काली घटा छा-छा के
हो रामा हँसती है पूरब से हवा आ-आ के
वो छुपा है दिल में और मैं जा-जा के
कभी फूलों में ...

 ",Saajan,1969,Laxmikant-Pyarelal,Anand Bakshi,Rafi/ Lata
"चाँदनी रात तारों की बारात है
दिल की महफ़िल सजाने में क्या देर है क्या देर है
धड़कनें दिल की शहनाईयां बन गईं
अब तो साजन के आने में क्या देर है क्या देर है

मेरी ज़िंदगी मेरा प्यार याद आ रहा है
आने वाला है जो वो याद आ रहा है
साजन साजन तेरी दुल्हन तुझको पुकारे आजा
आकर मेरे हाथों में मेंहदी तू ही रचा जा
आजा आजा
ओ मेरी ज़िंदगी मेरा ...

पायल काजल कंगन दामन सारे तुझे बुलाएं
आजा साजन आजा तेरे अपने तुझे बुलाएं
आजा आजा साजन आजा
मेरे महबूब ओ मेरे हमसफ़र
तुझको क्या पता है तुझे क्या खबर
एहसान तेरे इतने हैं मुझ पर
रब पे यकीं है जितना उतना है तुझ पर
आजा आजा आजा
मेरा महबूब मेरा सनम आ रहा है
हम तो मर ही चुके थे फिर जनम आ रहा है
साजन साजन ...

चुनरी मेरी रंगी हुई है तेरे रंग से साजन
आकर रंग दे मेरा अंग अंग अपने रंग से साजन
आजा आजा साजन आजा
तुमसे वफ़ाएं बहुत मैं करूंगी
कसम तेरी अब ये दिल किसी को न दूंगी
आ तुझे बता दूं मेरे दिल में क्या है
दिल लेने वाले तुझे जान अपनी दूंगी
आजा आजा आजा
धड़कनें बढ़ रही हैं वो करीब आ रहा है
खुशनसीबी बनके मेरा वो नसीब आ रहा है
साजन साजन ...

 ",Aarzoo,1999,Annu Malik,Anand Bakshi,"Alka Yagnik, Chorus"
"( साजन से पहली बार
हम कैसे बोलें हाय
हमें आपसे प्यार ) -2

लाज की मारी आँख हमारी घूँघट में छुप जाये -2
बात न मन की मुँह पर आये मन कितना समझाये
पर खुले न मुँह का द्वार
हमें आपसे प्यार
साजन से पहली बार
हम कैसे बोलें हाय
हमें आपसे प्यार

जिस आशा के हम भूखे हैं जिस भाषा के प्यासे
(?) मन की आस में बोलें किसने लाख दिलासे
पर हमें लाज की मार
हमें आपसे प्यार
साजन से पहली बार
हम कैसे बोलें हाय
हमें आपसे प्यार

 ",Rishtaa,1954,K Datta,Pt Phaani,Lata
"साजन तुमसे प्यार करूँ मैं
कैसे तुम्हें बतलाऊँ -2
तन-मन तुम पर वार करूँ
कैसे तुम्हें बतलाऊँ -2

( नैनों से ला के तुमको
दिल में बसाया हमने
धड़कन की लय पे अपना
हाल सुनाया हमने ) -2
बजने लगे हैं दिल के तार तार तार जी -2
कैसे तुम्हें बतलाऊँ -2
साजन तुमसे प्यार करूँ मैं
कैसे तुम्हें बतलाऊँ -2

 ",Badnaam,1952,Basant Prakash,Hasrat,Lata
"ल : साजन ये मत जानियो
 पिया कैसे मिलूँ तुमसे मेरे पाँव पड़ी ज़ंजीर
 हृदय में अग्नि सुलगे नैनन से बरसे नीर
 मेरे पाँव पड़ी ज़ंजीर
र  : दुनिया से है क्या शिकवा मेरी रूठ गई तक़दीर
 लाख जतन कर हार गया सूझे न कोई तदबीर
 मेरी रूठ गई तक़दीर
ल : पिया कैसे मिलूँ ...
र  : दुनिया से है क्या ...

ल : कैसे दूर करूँ ये दूरी समझ नहीं मैं पाती जी -2
 जो मैं होती बन की चिड़िया पंख लगा उड़ आती
 उड़ने लगी थी उड़ न सकी क़िस्मत ने मारा तीर
 पिया कैसे मिलूँ ...
र  : दुनिया से है क्या ...

र  : फूल मिले कम काँटे ज़्यादा बीज ये कैसा बोया जी ओ
ल  : मालिक तेरे जग में जिसने प्यार किया वो रोया
 आँसू के रंगों में रंग डाली प्यार की ये तस्वीर
ल : पिया कैसे मिलूँ ...
र  : दुनिया से है क्या ...

 ",Saarangaa,1960,Sardar Malik,Bharat Vyas,"Lata, Rafi"
