,Song,Film,Year,Music Director,Lyricist,Singers
8853,http://giitaayan.com/viewisbsong.asp?id=13233,Naagin,1954,Hemant Kumar,Rajinder Krishan,Lata
8854,http://giitaayan.com/viewisbsong.asp?id=12033,Josh,2000,Annu Malik,Sameer,"Udit Narayan, Alka Yagnik"
8855,http://giitaayan.com/viewisbsong.asp?id=rmim0876,Chand Aur Suraj,1965,Salil Chowdhury,Shailendra,Lata
8856,http://giitaayan.com/viewisbsong.asp?id=11123,Do Hazaar Ek/ 2001,2001,Anand Raj Anand,"Dev Kohli, Manoj Darpan",
8857,http://giitaayan.com/viewisbsong.asp?id=13431,Piya Basanti (Non-Film),2001,Sandesh Shandilya,Rakesh Nirala,"Sultan Khan, Chitra"
8858,http://giitaayan.com/viewisbsong.asp?id=13313,Nili,1950,S Mohinder,Surjeet Sethi,"Suraiya, G M Durrani, Ojha, Ch..."
8859,http://giitaayan.com/viewisbsong.asp?id=1718,Jab Pyar Kisi Se Hota Hai,1961,Shankar-Jaikishan,Hasrat,Rafi
8860,http://giitaayan.com/viewisbsong.asp?id=14228,Subah-O-Shaam,1972,Laxmikant-Pyarelal,Anand Bakshi,"Kishore, Asha"
8861,http://giitaayan.com/viewisbsong.asp?id=13432,Phir Dhuum (Non-Film),2000,Palash Sen,"Jaideep Sahni, Palash",Palash Sen
8862,http://giitaayan.com/viewisbsong.asp?id=11560,Guddu,1995,Naushad,Majrooh,"Kumar Sanu, Devki"
8863,http://giitaayan.com/viewisbsong.asp?id=11630,Guest House,1959,Chitragupt,Prem Dhawan,Lata
8864,http://giitaayan.com/viewisbsong.asp?id=rmim0384,Bhaai Bhaai,1956,Madan Mohan,Rajinder Krishan,"Lata, Chorus"
8865,http://giitaayan.com/viewisbsong.asp?id=1719,Tere Mere Sapne,1971,S D Burman,Hasrat,Asha
8866,http://giitaayan.com/viewisbsong.asp?id=1720,Paakeezaah,1971,Ghulam Mohammad,Majrooh,Lata
8867,http://giitaayan.com/viewisbsong.asp?id=13222,Naakaa Bandi,1990,Bappi Lahiri,Anjaan,Asha
8868,http://giitaayan.com/viewisbsong.asp?id=21271,Raju Ban Gaya Gentleman,1992,Jatin-Lalit,,"Alka Yagnik, Kumar Sanu"
8869,http://giitaayan.com/viewisbsong.asp?id=1721,Veer Durgaadaas,1960,S N Tripathi,Bharat Vyas,"Lata, Mukesh"
8870,http://giitaayan.com/viewisbsong.asp?id=10586,Batwaaraa,1989,Laxmikant-Pyarelal,Hasan Kamaal,"Kavita Subramaniam, Anuradha P..."
8871,http://giitaayan.com/viewisbsong.asp?id=11922,Indian,2001,Anand Raj Anand,Anand Bakshi,"Anand Raj Anand, Alka Yagnik"
8872,http://giitaayan.com/viewisbsong.asp?id=15550,Parchhaiyan (Non-Film),1992,Ghulam Ali,Mohsin Naqvi,Ghulam Ali
8873,http://giitaayan.com/viewisbsong.asp?id=2464,Boot Polish,1953,Shankar-Jaikishan,Shailendra,"Manna Dey, Asha, Madhubala Jha..."
8874,http://giitaayan.com/viewisbsong.asp?id=1723,Mohabbat Isko Kahete Hain,1965,Khayyam,Majrooh,"Rafi, Suman Kalyanpur"
8875,http://giitaayan.com/viewisbsong.asp?id=10490,Badhaai Ho Badhaai,2002,Annu Malik,Javed Akhtar,"Sonu Nigam, Alka Yagnik"
8876,http://giitaayan.com/viewisbsong.asp?id=rmim0143,Saveraa,1958,Sailesh,Prem Dhawan,Geeta
8877,http://giitaayan.com/viewisbsong.asp?id=1724,Mr. & Mrs. '55,55,O P Nayyar,Majrooh,Geeta
8878,http://giitaayan.com/viewisbsong.asp?id=1725,Jhumroo,1961,Kishore,Majrooh,Kishore
8879,http://giitaayan.com/viewisbsong.asp?id=1726,Naujavan,1951,S D Burman,Sahir,Lata
8880,http://giitaayan.com/viewisbsong.asp?id=10751,Bhai Bahen,1950,Shyam Sundar,I C Kapoor,Shamshad
8881,http://giitaayan.com/viewisbsong.asp?id=21111,Bahu,1955,Hemant Kumar,S H Bihari,"Geeta Dutt, Talat Mahmood"
8882,http://giitaayan.com/viewisbsong.asp?id=14750,Footpath,1953,Khayyam,"Sardar Jafri, Majrooh","Talat, Premlata, Ashima Banerjee"
8883,http://giitaayan.com/viewisbsong.asp?id=2961,Johnny Walker,1957,O P Nayyar,Hasrat,"Geeta, Asha"
8884,http://giitaayan.com/viewisbsong.asp?id=2463,Jaagte Raho,1956,Salil Chowdhury,Shailendra,Asha
8885,http://giitaayan.com/viewisbsong.asp?id=rmim0569,Nai Umar Ki Nai Fasal,1965,Roshan,Manmohan Tiwari,Manna Dey
8886,http://giitaayan.com/viewisbsong.asp?id=15551,Haseen Lamhen 5 (Non-Film),5,,Momin,Ghulam Ali
8887,http://giitaayan.com/viewisbsong.asp?id=14405,Tum Bin,2001,T S Jarnail Taaj,T S Jarnail Taaj,T S Jarnail Taaj
8888,http://giitaayan.com/viewisbsong.asp?id=13483,Panaah,1992,Nadeem-Shravan,Visheshwar Sharma,"Kumar Sanu, Sadhana Sargam"
8889,http://giitaayan.com/viewisbsong.asp?id=2226,Patangaa,1971,Shankar-Jaikishan,Indeevar,Rafi
8890,http://giitaayan.com/viewisbsong.asp?id=12933,Musaafirkhaanaa,1955,O P Nayyar,Majrooh,"Rafi, Shamshad"
8891,http://giitaayan.com/viewisbsong.asp?id=12816,Maine Dil Tujhko Diya,2002,Daboo Malik,"Faiz Anwar, Praveen Bhardwaj","Udit Narayan, Alka Yagnik/ Son..."
