Song,Film,YearMusic Director,Lyricist,Singers
"A B C D E F G H
A B C D E F G H I J K L M N O P
पि पि पि पि पिया जि जि जि जि जिया
पिया तूने मेरा जिया ले लिया
मैने जो किया वही तूने भी किया
लिया दिया लिया दिया जिया 
प्यार तुमने किया
पिया तूने मेरा जिया ...

तेरे मेरे प्यार के हैं
किस्से मशहूर
बड़ी दूर दूर
प्यार ने हमें बड़ा नाम दिया
पिया तूने मेरा जिया ...

होती नहीं तेरी मेरी जब मुलाक़ात
नींद नहीं आती मुझे सारी सारी रात
जलता है दिल जलता है दिल मेरा बन के दीया
पि पि पि पि पिया जि जि जि जि जि जिया ...

 ",Prem Deewaane,1992,Laxmikant-Pyarelal,Anand Bakshi,"Alka Yagnik, Udit Narayan"
"हे हे
A B C D E F G H I J K L M N O P Q R S T U V W X Y Z
I love you.

छुट्टियों के ये दिन हैं सुहाने
साथी तेरा यूं साथ रहे
बच्चों के संग बच्चे फिर बन जाएं
मौज में झूमें ज़रा मस्ती करें
बनके बादल हाय
बनके पंछी हाय हाय
उड़ते रहे
क्या बात है जीजाजी
A B C D ...

अपने गांव की गलियों में चलें हम
बचपन की यादों में खोया है मन
बाहें थामे तीन भाईयों की
ठुमकेगी फिर से उनकी बहन
सावन के झूलों से हाय
बाबुल के आंगन में हाय हाय
होगा मिलन
दीदी how emotional
A B C D E F G H I J K L M N O P Q R S T U V W X
ऊ हू हू We love you.

ठंडी ठंडी ये हवाएं हमको
चुपके चुपके क्या कहतीं सुनो
मंज़िल है करीब अब हमारे
बोलें घटाएं खुशियां चुनो
नज़रें चुरा के दिल में छुपा के सपने बुनो
विनोद how romantic
A B C D ...

 ",Hum Saath Saath Hain/ We Stand United,1999,Ram Laxman,Mitali Shashank,"Hariharan, Hema Sardesai, Shan..."
"All Line Clear
आगे बढ़ो आगे चलो
छोटी सी ये अलटन पलटन  all  है मेरे घर की
साथ हमारे तोप का गोला बात नहीं है डर की
All Line Clear
 Line Clear  है भाई

कभी खाली गया न निशाना
हमसे टकरायेगा क्या ज़माना
हाय्! रे दुनिया और दुनियादारी
आखिर पड़ा सर झुकाना
    -पप्पा
धत्‌्‌ तेरे की
All Line Clear   ...

गीत गाते हुए हम चले हैं
फिर न पूछो बड़े दिल जले हैं
दिल में बिठा लो, ऐ दुनियावालों
हम भी बड़े मनचले हैं
    -पप्पा
अरे चुप्!
All Line Clear   ...


 ",Chori Chori,1956,Shankar-Jaikishan,Hasrat,Rafi
"( April fool बनाया तो उनको गुस्सा आया
तो मेरा क्या क़सूर ज़माने का क़सूर
जिसने दस्तूर बनाया ) -2
April fool बनाया ...

दिलबर ओ जान-ए-जानाँ गुस्से के रूप में लगती हो और हसीन -2
तेरी क़ातिल अदा ने मार ही डाला कर लो तुम इसका यक़ीन -2
April fool बनाया ...

दिल से दिल की पहचान हुई जागी मुहब्बत गाने लगी ज़िन्दगी -2
हमने दुनिया में आ कर वो रूप धरा ज़िन्दा हुई आशिक़ी -2
April fool बनाया ...

 ",April Fool,1964,Shankar-Jaikishan,Hasrat,Rafi
"area kaa hero हूँ ऐ
area kaa hero हूँ क्या पानी कम समझेली है
चल हट जा बाजू छोकरी ये खोपड़ी हठेली है
थोबड़ा है चिकना body मस्त बनाई
कपड़े डाले top ke english apun kii high
understand
जैसी तेरी सूरत वैसी तेरी बातें
गलियों में दिन गुज़ारे सड़कों पे रातें
ऐ ऐसा क्यूं बोलती है दिल क्यूं तोड़ती है
दिल की किताब तू क्यूं नहीं खोलती है
अरे जा रे जा दीवाने तू ढूंढे क्यूं बहाने तू
किसको सुनाता है झूठे ये फ़साने तू
फिर तेरा मेरा है कैसा रिश्ता ये तो मुझे बता दे
area kaa hero ...

life में तो तेरी बहुत से हैं फ़ांदे
तभी तो झाले माज़े रोटी चे वांदे
जैसा तू करेगा वैसा ही भरेगा
तू भी ऐसा बोलेगी तो अपुन क्या करेगा
अरे रे रे ऐसा क्यूं सोचता है दिल क्यूं तोड़ता है
मैं जो तेरे साथ हूँ आस क्यूं छोड़ता है
ये जो तेरा रूप है छांव है के धूप है
मैं तो इतना जानता हूँ यारी तेरी खूब है
फिर टकरा जा दुनिया से और सबको तू हरा दे
area kaa hero ...

 ",Hello Brother,1999,Sajid-Wajid,Jaliis Shekhani,"Sonu Nigam, Hema Sardesai"
"Ave Maria, gracia plena
Maria gracia plena -2
Ave, ave dominus
Dominus tecum
Benedicta tu in mulieribus
Et benedictus
Et benedictus fructus ventris
Ventris tui, Jesus
Ave Maria

 ",Sur,2002,M M Kreem,Nida Fazli,Marijke Desouza
"baby baby baby baby baby baby
शा ना ना
सुन बाबा सुन बाबा दिल का क्या कहना
शा ना ना ...

reason है कुछ गुल खिला ना
season भी है आशिक़ाना
हाय ऐसे में दिल दीवाना बस में कहाँ
take it easy, baby
आवारा चंचल हवाओं पे छाई हैं मदहोशियाँ
ऐसे में कोई जो खो जाए हो जाएं दिल की चोरियां
शा ना ना ...

मिलती हैं नज़रों से जब नज़रें
होता है दिल पे असर
हां मिल जाए दिल से अगर दिल
तो मिलते हैं दो हमसफ़र
शा ना ना ...

 ",Krodh/ Blast of Anger,2000,Anand-Milind,Deepak Choudhary,"Vinod Rathod, Sapana Mukherji,..."
"( boot polish करवा ले बाबू
boot polish करवा ले 
boot polish करवा ले ) -2

ओ जाने वाले देख चमाचम दरपन तुझे पुकारे -2
boot polish करवा ले
boot polish करवा ले बाबू
boot polish करवा ले -2

ज्यूँ-ज्यूँ चमके bootतुम्हारे
क़िसमत मेरी जागे
क़िसमत मेरी जागे
ज्यूँ-ज्यूँ चमके bootतुम्हारे
क़िसमत मेरी जागे
तेरे बूटों के संग में हो
मेरा जीवन भागे
दौलतवाले होते हैं मजबूरों के रखवाले -2
boot polish करवा ले
boot polish करवा ले बाबू
boot polish करवा ले -2

आशा के दो आँसू आँखों में ही पीने दे -2
लाख दुआयें देंगे तुझको मजबूरों को जीने दे -2
हम भी तेरे देश के हैं ओ दाता रहने वाले -2
boot polish करवा ले
boot polish करवा ले बाबू
boot polish करवा ले -2

 ",Ghar Ki Izzat,1948,Pt Gobindram,I C Kapoor,Meena Kapoor
"boss कौन था मालूम है क्या
boss कौन है मालूम है क्या
boss कौन था मालूम है क्या
हैं मालूम है
boss कौन है मालूम है क्या

ट्वेन्टी सेवेन जून नाइंटी थर्टी नाइन


एस डी और मिसेज़ एस डी को लड़का हुआ


टबलू yeah as we know him पंचम
that's right पंचम

बड़ा हुआ कैलकटा में पढ़ाई की
पढ़ाई ख़तम होते ही असली पढ़ाई शुरू की
music. music. music.
under S D saaheb's छत्रछाया

अच्छा पैदा नाइंटी थर्टी नाइन में हुए और
ऐ ऐ ऐ एहां
ज़िन्दा है -2
हमारे दिल में
हे boss कौन था ( मालूम है क्या ) -2
boss कौन है मालूम है क्या

एक राज़ की बात बताऊँ पहली picture राज़ निकली नहीं
फिर एस डी साहब के छोटे नवाब यानी you know who
did a film called chhoTe navaab and the rest is history
history history
हे ( boss कौन था मालूम है क्या
boss कौन है मालूम है क्या ) -2

अरे bore मत कर यार सब मालूम है
मालूम है फिर बोल तेरा favourite R D song क्या है
ऐ
रूप तेरा मस्ताना
ऐ बे गधे वो boss नहीं वो तो एस डी साहब का गाना है
यानि super boss
super boss
समझा
boss कौन था मालूम है क्या
boss कौन है मालूम है क्या

तबला सरोद mouth organ, guitar
और ना जाने कितने हज़ार instruments बजाते थे
और एक बार शायद ज़माने को दिखाना था
या एक unique sound बनाना था
के अपने musician ke back pe rhythm बजा लिया
कितने आए कितने गए कितने आएँगे कितने जाएँगे
कल क्या होगा किसको पता
पर boss to boss ही कहलाएँगे ना यार
सही बात है भाई
boss कौन था मालूम है क्या
boss कौन है मालूम है क्या

 ",Jhankaar Beats,2003,Vishal-Shekhar,Vishal Dadlani,"Amit Kumar, Vishal Dadlani, Sh..."
"bye bye
bye bye
bye bye miss good night
कल फिर मिलेंगे
रंगीला दिन बीत रंगीली रात आई
bye bye miss good night
कल फिर मिलेंगे

तू किस क़दर ख़ूबसूरत है गीता
तुझसे मगर ख़ूबसूरत है सीता
( रीता तू भी कुछ कम नहीं
नीता तुझ में दम नहीं ) -2
आँखों पे कैसी ये मस्ती सी छाई छाई छाई
हाय
( bye bye miss good night
कल फिर मिलेंगे ) -2

बचपन से दिल है मेरा आशिक़ाना
ये इश्क़ है ज़िंद्गैइ का बहाना
( जी ना लगा मेरा झूलों में
मैं ना सोया कभी फूलों में ) -2
ज़ुल्फ़ों के साये मेरी नींद आई आई आई
( bye bye miss good night
कल फिर मिलेंगे ) -2

हर एक हसीं का क़दरदान हूँ मैं
हर दिल में इक रात महमान हूँ मैं
( ना तो मैं हरजाई हूँ
ना ही मैं सौदाई हूँ ) -2
झूठी क़सम ना कभी मैंए खाई खाई खाई
bye bye miss good night
कल फिर मिलेंगे

रंगीला दिन बीत रंगीली रात आई
( bye bye miss good night
कल फिर मिलेंगे ) -2
bye bye
bye bye
bye bye

 ",Prem Nagar,1974,S D Burman,Anand Bakshi,"Kishore, Chorus"
