,Song,Film,Year,Music Director,Lyricist,Singers
1901,http://giitaayan.com/viewisbsong.asp?id=389,Chhaya,1961,Salil Chowdhury,Rajinder Krishan,Lata
1902,http://giitaayan.com/viewisbsong.asp?id=14912,Dopatta (Pakistan),1952,Firoz Nizami,Arsh Lucknowi,Noorjehan
1903,http://giitaayan.com/viewisbsong.asp?id=12585,Kaajal,1965,Ravi,Sahir,Asha
1904,http://giitaayan.com/viewisbsong.asp?id=13566,Phaagun,1958,O P Nayyar,Qamar Jalalabadi,Asha
1905,http://giitaayan.com/viewisbsong.asp?id=12055,Jaanwar,1999,Anand-Milind,Sameer,"Sapana Awasthi, Chorus"
1906,http://giitaayan.com/viewisbsong.asp?id=20856,Munna Bhai MBBS,2003,Anu Malik,Rahat Indori,"Shreya Goshal, Vinod Rathod"
1907,http://giitaayan.com/viewisbsong.asp?id=21175,Hum Log,1951,Roshan,Udhav Kumar,Lata
1908,http://giitaayan.com/viewisbsong.asp?id=21368,Do Jhoot,1975,Shankar-Jaikishan,M G Hashmat,"Kishore, Lata"
1909,http://giitaayan.com/viewisbsong.asp?id=3305,Holiday In Bombay/ Bambai Ki Sair,1941,Khemchand Prakash,,"Shobhna Samarth, Kantilal"
1910,http://giitaayan.com/viewisbsong.asp?id=10110,Aashiq,2001,Sanjeev-Darshan,Sameer,"Udit Narayan, Chorus"
1911,http://giitaayan.com/viewisbsong.asp?id=390,Jhaanjhar,1953,C Ramchandra,Rajinder Krishan,Lata
1912,http://giitaayan.com/viewisbsong.asp?id=12989,Mastana,1970,Laxmikant-Pyarelal,Anand Bakshi,"Rafi, Lata"
1913,http://giitaayan.com/viewisbsong.asp?id=13274,Naqli Nawab,1962,Babul,Raja Mehdi Ali Khan,Rafi
1914,http://giitaayan.com/viewisbsong.asp?id=391,Asli Naqli,1962,Shankar-Jaikishan,Hasrat,Rafi
1915,http://giitaayan.com/viewisbsong.asp?id=11601,Ganga Ki Lahren,1964,Chitragupt,Majrooh,"Kishore, Lata"
1916,http://giitaayan.com/viewisbsong.asp?id=13052,Moti Mahal,1952,Hansraj Behl,Prem Dhawan,"Suraiya, Shamshad"
1917,http://giitaayan.com/viewisbsong.asp?id=10885,Chandni Raat,1949,Naushad,Shakeel,"Rafi, Shamshad"
1918,http://giitaayan.com/viewisbsong.asp?id=2803,Shagoofaa,1953,C Ramchandra,Rajinder Krishan,Lata
1919,http://giitaayan.com/viewisbsong.asp?id=rmim0203,Man Ki Jeet,1944,S K Pal,Bharat Vyas,"Shanta Thakkar, Bharat Vyas"
1920,http://giitaayan.com/viewisbsong.asp?id=392,Maachis,1996,Vishal,Gulzar,"Hariharan, Suresh Wadkar, Vino..."
1921,http://giitaayan.com/viewisbsong.asp?id=13116,Maaya Machhindra/ Illusion/ Triya Rajya,1932,Govindrao Tembe,Kumar,Govindrao Tembe
1922,http://giitaayan.com/viewisbsong.asp?id=14975,Babul,1950,Naushad,Shakeel,"Talat, Shamshad, Rafi, Male Vo..."
1923,http://giitaayan.com/viewisbsong.asp?id=15202,Rani Rupmati,1959,S N Tripathi,Bharat Vyas,Lata
1924,http://giitaayan.com/viewisbsong.asp?id=12786,Muthu Maharaja,2001,A R Rahman,P K Mishra,Hariharan
1925,http://giitaayan.com/viewisbsong.asp?id=2804,Ayodhaapati,1956,Ravi,Saraswati Kumar Deepak,Hemant
1926,http://giitaayan.com/viewisbsong.asp?id=393,Saraswatichandra,1968,Kalyanji-Anandji,Indeevar,Lata
1927,http://giitaayan.com/viewisbsong.asp?id=394,Paying Guest,1957,S D Burman,Majrooh,"Asha, Kishore"
1928,http://giitaayan.com/viewisbsong.asp?id=395,Barsaat,1949,Shankar-Jaikishan,Hasrat,"Lata, Mukesh"
1929,http://giitaayan.com/viewisbsong.asp?id=2806,Woh Kaun Thi,1964,Madan Mohan,Raja Mehdi Ali Khan,"Mahendra Kapoor, Lata"
1930,http://giitaayan.com/viewisbsong.asp?id=11530,Gang,1999,R D Burman,Javed Akhtar,"Asha, Chorus"
1931,http://giitaayan.com/viewisbsong.asp?id=12903,Marte Dam Tak,1987,Ravindra Jain,Ravindra Jain,"Anuradha Paudwal, Mohammed Aziz"
1932,http://giitaayan.com/viewisbsong.asp?id=11199,Detective,1958,Mukul Roy,Shailendra,Rafi
1933,http://giitaayan.com/viewisbsong.asp?id=14076,Shabnam,1994,Annu Malik,Rani Malik,"Anuradha Paudwal, Vipin Sachdeva"
1934,http://giitaayan.com/viewisbsong.asp?id=10299,Ajeeb Ladki,1952,Ghulam Mohammad,Shakeel,"Lata, Talat"
1935,http://giitaayan.com/viewisbsong.asp?id=396,Hum Hindustani,1960,Usha Khanna,Prem Dhawan,Mukesh
1936,http://giitaayan.com/viewisbsong.asp?id=397,Kudrat,1981,R D Burman,Majrooh,"Kishore, Anette"
1937,http://giitaayan.com/viewisbsong.asp?id=13695,Qilaa,1998,Anand Raj Anand,Dev Kohli,"Suresh Wadkar, Alka Yagnik"
1938,http://giitaayan.com/viewisbsong.asp?id=12862,Maasoom,1996,Anand Raj Anand,Anand Raj Anand,Aditya Narayan
1939,http://giitaayan.com/viewisbsong.asp?id=2550,Raagini,1958,O P Nayyar,Qamar Jalalabadi,Asha
1940,http://giitaayan.com/viewisbsong.asp?id=398,Rishtaa Kaagaz Kaa,1983,Rajesh Roshan,Majrooh,Lata
1941,http://giitaayan.com/viewisbsong.asp?id=2805,Shagoofaa,1953,C Ramchandra,Rajinder Krishan,Lata
1942,http://giitaayan.com/viewisbsong.asp?id=11224,Darr,1993,Shiv-Hari,Anand Bakshi,"Lata, Abhijit"
