,Song,Film,Year,Music Director,Lyricist,Singers
0,http://giitaayan.com/viewisbsong.asp?id=13512,Prem Deewaane,1992,Laxmikant-Pyarelal,Anand Bakshi,"Alka Yagnik, Udit Narayan"
1,http://giitaayan.com/viewisbsong.asp?id=11793,Hum Saath Saath Hain/ We Stand United,1999,Ram Laxman,Mitali Shashank,"Hariharan, Hema Sardesai, Shan..."
2,http://giitaayan.com/viewisbsong.asp?id=2001,Chori Chori,1956,Shankar-Jaikishan,Hasrat,Rafi
3,http://giitaayan.com/viewisbsong.asp?id=10356,April Fool,1964,Shankar-Jaikishan,Hasrat,Rafi
4,http://giitaayan.com/viewisbsong.asp?id=11776,Hello Brother,1999,Sajid-Wajid,Jaliis Shekhani,"Sonu Nigam, Hema Sardesai"
5,http://giitaayan.com/viewisbsong.asp?id=13900,Sur,2002,M M Kreem,Nida Fazli,Marijke Desouza
6,http://giitaayan.com/viewisbsong.asp?id=12422,Krodh/ Blast of Anger,2000,Anand-Milind,Deepak Choudhary,"Vinod Rathod, Sapana Mukherji,..."
7,http://giitaayan.com/viewisbsong.asp?id=11673,Ghar Ki Izzat,1948,Pt Gobindram,I C Kapoor,Meena Kapoor
8,http://giitaayan.com/viewisbsong.asp?id=12265,Jhankaar Beats,2003,Vishal-Shekhar,Vishal Dadlani,"Amit Kumar, Vishal Dadlani, Sh..."
9,http://giitaayan.com/viewisbsong.asp?id=rmim0850,Prem Nagar,1974,S D Burman,Anand Bakshi,"Kishore, Chorus"
10,http://giitaayan.com/viewisbsong.asp?id=14430,Trinetra,1991,Anand-Milind,Sameer,Kumar Sanu
11,http://giitaayan.com/viewisbsong.asp?id=11383,Dilli Kaa Thug,1958,Ravi,Majrooh,"Kishore, Asha"
12,http://giitaayan.com/viewisbsong.asp?id=10798,Censor,2001,Jatin-Lalit,Vinu Mahendra,"Vinod Rathod, Jaspindar Narula"
13,http://giitaayan.com/viewisbsong.asp?id=2251,Hum Aapke Hain Kaun,1994,Ram Laxman,Dev Kohli,Lata
14,http://giitaayan.com/viewisbsong.asp?id=3001,Saath Saath,1982,Kuldeep Singh,Javed Akhtar,
15,http://giitaayan.com/viewisbsong.asp?id=12008,Jeans,1998,A R Rahman,Javed Akhtar,Sonu Nigam
16,http://giitaayan.com/viewisbsong.asp?id=12649,Love Birds,1996,A R Rahman,P K Mishra,"Udit Narayan, Chorus"
17,http://giitaayan.com/viewisbsong.asp?id=3002,Sagaai,1951,C Ramchandra,Rajinder Krishan,"Lata, chorus"
18,http://giitaayan.com/viewisbsong.asp?id=2501,Hero,1983,Laxmikant-Pyarelal,Anand Bakshi,"Anuradha Paudwal, Manhar, chorus"
19,http://giitaayan.com/viewisbsong.asp?id=rmim0739,Hathkadi,1981,Bappi Lahiri,Majrooh,"Asha, Chorus"
20,http://giitaayan.com/viewisbsong.asp?id=1,Dream Girl,1977,Laxmikant-Pyarelal,Anand Bakshi,Kishore
21,http://giitaayan.com/viewisbsong.asp?id=2252,Jaan Tere Naam,1992,Nadeem-Shravan,,
22,http://giitaayan.com/viewisbsong.asp?id=11558,Gambler,1995,Annu Malik,Vinay Dave,"Vinod Rathod, Sadhana Sargam, ..."
23,http://giitaayan.com/viewisbsong.asp?id=10939,Charas,1976,Laxmikant-Pyarelal,Anand Bakshi,"Kishore, Lata"
24,http://giitaayan.com/viewisbsong.asp?id=2,Farz,1967,Laxmikant-Pyarelal,Anand Bakshi,Rafi
25,http://giitaayan.com/viewisbsong.asp?id=12376,Kya Yehi Pyaar Hai,2002,Sajid-Wajid,Jaliis Rashid,"Alka Yagnik, Kumar Sanu, Sonu ..."
26,http://giitaayan.com/viewisbsong.asp?id=rmim0020,Ham Aapke Dil Mein Rehte Hain,1999,Annu Malik,Sameer,"Sonu Nigam, Hema Sardesai, Rah..."
27,http://giitaayan.com/viewisbsong.asp?id=12170,Jungle Love,1990,Anand-Milind,Sameer,Anuradha Paudwal
28,http://giitaayan.com/viewisbsong.asp?id=13656,Paisa Vasool,2003,,,"Swastika, Vivek Mushran, Pandi..."
29,http://giitaayan.com/viewisbsong.asp?id=11003,Duniya Dilwalon Ki,1996,A R Rahman,"P K Mishra, Mehboob","Kaykay, Noell, Anupama"
30,http://giitaayan.com/viewisbsong.asp?id=10292,Actress,1948,Shyam Sundar,Raja Mehdi Ali Khan,"Shamshad, Lata, Chorus"
31,http://giitaayan.com/viewisbsong.asp?id=10126,Aakrosh/ A Cyclone of Anger,1998,Anand Raj Anand,Faiz Anwar,"Udit Narayan, Sadhana Sargam"
32,http://giitaayan.com/viewisbsong.asp?id=13321,Namak Halaal,1982,Bappi Lahiri,,"Asha, Shashi Kapoor"
33,http://giitaayan.com/viewisbsong.asp?id=14660,Yugpurush,1998,Rajesh Roshan,Majrooh,
34,http://giitaayan.com/viewisbsong.asp?id=14433,Tyaagi,1992,Bappi Lahiri,Indeevar,"Kumar Sanu, Sapana Mukherji"
35,http://giitaayan.com/viewisbsong.asp?id=10155,Aakhree Raasta,1986,Laxmikant-Pyarelal,Anand Bakshi,"S Janaki, Mohammed Aziz"
36,http://giitaayan.com/viewisbsong.asp?id=10407,Aashiq Hoon Bahaaron Ka,1977,Laxmikant-Pyarelal,Anand Bakshi,"Kishore, Lata"
37,http://giitaayan.com/viewisbsong.asp?id=11012,Dhadkan/ Never Break A Heart,2000,Nadeem-Shravan,Sameer,"Udit Narayan, Alka Yagnik"
38,http://giitaayan.com/viewisbsong.asp?id=13356,One Two ka Four,2001,A R Rahman,Majrooh,"Udit Narayan, Srinivas, Poonam..."
39,http://giitaayan.com/viewisbsong.asp?id=20793,Barood,1976,S D Burman,Anand Bakshi,Asha
40,http://giitaayan.com/viewisbsong.asp?id=11564,Gundaaraaj,1995,Annu Malik,Shyam Anuragi,"Kumar Sanu, Alisha Chinai"
41,http://giitaayan.com/viewisbsong.asp?id=10124,Auzaar,1997,Annu Malik,Rahat Indori,Sudesh Bhonsale
42,http://giitaayan.com/viewisbsong.asp?id=14502,Tehzeeb,2003,A R Rahman,Blaaze,"Anupama, Mathangi"
43,http://giitaayan.com/viewisbsong.asp?id=rmim0245,Deewaar,1975,R D Burman,R D Burman,Ursula
44,http://giitaayan.com/viewisbsong.asp?id=12110,Jaan Tere Naam,1992,Nadeem-Shravan,Surendra Sathi,"Alka Yagnik, Kumar Sanu"
45,http://giitaayan.com/viewisbsong.asp?id=12347,Kehtaa Hai Dil Baar Baar,2002,Jatin-Lalit,Sameer,"Adnan Sami, Chorus/ Lalit Pandit"
46,http://giitaayan.com/viewisbsong.asp?id=rmim0467,Dil Padosi Hai (Non-Film),1987,R D Burman,Gulzar,"Asha, Chorus"
47,http://giitaayan.com/viewisbsong.asp?id=10481,Biwi No. 1,1,Annu Malik,Sameer,"Kumar Sanu, Hema Sardesai"
48,http://giitaayan.com/viewisbsong.asp?id=12735,Love In Simla,1960,Iqbal Qureshi,Rajinder Krishan,"Rafi, Asha"
49,http://giitaayan.com/viewisbsong.asp?id=12378,Kabhi To Nazar Milao (Non-Film),2000,Adnan Sami,Riyaaz-ur-rahmaan Saagar,Adnan Sami
50,http://giitaayan.com/viewisbsong.asp?id=20962,Rang De Basanti,2006,A R Rahman,Prasoon Joshi,"Mohd Aslam, Naresh Iyer"
51,http://giitaayan.com/viewisbsong.asp?id=11735,Hindustaan Ki Qasam,1999,Sukhwinder Singh,Anand Bakshi,"Abhijit, Purnima"
52,http://giitaayan.com/viewisbsong.asp?id=10773,Chori Chori Chupke Chupke,2000,Annu Malik,Sameer,"Alka Yagnik, Annu Malik"
53,http://giitaayan.com/viewisbsong.asp?id=11992,Ishq Vishk,2003,Annu Malik,Sameer,"Sonu Nigam, Priya, Prachi"
54,http://giitaayan.com/viewisbsong.asp?id=12022,Jaanam Samjhaa Karo,1999,Annu Malik,Majrooh,"Kumar Sanu, Alka Yagnik"
55,http://giitaayan.com/viewisbsong.asp?id=12671,Love Ke Liye Kuch Bhi Karega,2001,Vishal,Abbas Tyrewala,"Udit Narayan, Sunidhi Chauhan/..."
56,http://giitaayan.com/viewisbsong.asp?id=12846,Mother '98,98,Dilip Sen-Sameer Sen,Sameer,"Anuradha Paudwal, Kavita Subra..."
57,http://giitaayan.com/viewisbsong.asp?id=11941,Ishq,1997,Annu Malik,Dev Kohli,"Alka Yagnik, Annu Malik"
58,http://giitaayan.com/viewisbsong.asp?id=10743,Baarish,1957,C Ramchandra,Rajinder Krishan,"Asha, Chorus"
59,http://giitaayan.com/viewisbsong.asp?id=3,Julie,1975,Rajesh Roshan,Harindranath Chattopadhyay,Preeti Sagar
60,http://giitaayan.com/viewisbsong.asp?id=10316,Amar Akbar Anthony,1977,Laxmikant-Pyarelal,Anand Bakshi,"Kishore, Amitabh"
61,http://giitaayan.com/viewisbsong.asp?id=13298,Night In London,1967,Laxmikant-Pyarelal,Anand Bakshi,"Rafi, Lata"
62,http://giitaayan.com/viewisbsong.asp?id=12648,Love Birds,1996,A R Rahman,P K Mishra,"Apache Indian, A R Rahman"
63,http://giitaayan.com/viewisbsong.asp?id=11114,Deewaana Mastaana,1997,Laxmikant-Pyarelal,Anand Bakshi,Udit Narayan
64,http://giitaayan.com/viewisbsong.asp?id=12790,Mujhse Dosti Karoge,2002,Rahul Sharma,Anand Bakshi,"Sonu Nigam, Alisha Chinoy, Cho..."
65,http://giitaayan.com/viewisbsong.asp?id=11458,Ek Aur Ek Gyarah,2003,Shankar-Ehsaan-Loy,Sameer,"Sonu Nigam, Shankar Mahadevan/..."
66,http://giitaayan.com/viewisbsong.asp?id=21297,Kal Ho Na Ho,2003,Shankar-Ehsaan-Loy,Javed Akhtar,"Shankar Mahadevan, Chorus"
67,http://giitaayan.com/viewisbsong.asp?id=14530,Vande Mataram (Non-Film),1996,A R Rahman,Bankim Chandra Chatterjee,"A R Rahman, Chorus"
68,http://giitaayan.com/viewisbsong.asp?id=13735,Road,2002,Sandesh Shandilya,Tabish Romani,"Garry Lawyer, Tanisha"
69,http://giitaayan.com/viewisbsong.asp?id=11278,Dil Deke Dekho,1959,Usha Khanna,Majrooh,"Rafi, Asha"
70,http://giitaayan.com/viewisbsong.asp?id=13778,Roop Ki Raani Choron Kaa Raajaa,1993,Laxmikant-Pyarelal,Javed Akhtar,Amit Kumar
71,http://giitaayan.com/viewisbsong.asp?id=12776,Mr Romeo,1996,A R Rahman,P K Mishra,"Hariharan, Chorus"
72,http://giitaayan.com/viewisbsong.asp?id=10873,Chaahat,1971,Laxmikant-Pyarelal,Anand Bakshi,"Mukesh, Lata"
73,http://giitaayan.com/viewisbsong.asp?id=12296,Kabhi Khushi Kabhi Gham,2002,Aadesh Srivastava,Sameer,"Alka Yagnik, Sunidhi Chauhan, ..."
74,http://giitaayan.com/viewisbsong.asp?id=10127,Aakrosh/ A Cyclone of Anger,1998,Anand Raj Anand,Faiz Anwar,"Kavita Subramaniam, Chorus"
75,http://giitaayan.com/viewisbsong.asp?id=2253,Soldier,1998,Annu Malik,Sameer,"Kumar Sanu, Alka Yagnik"
76,http://giitaayan.com/viewisbsong.asp?id=3456,Duniya Na Maane/ The Unexpected,1937,Keshavrao Bhole,H W Longfellow,Shanta Apte
77,http://giitaayan.com/viewisbsong.asp?id=12070,Jungle,2000,Sandeep Chowtha,Sameer,"Sonu Nigam, Sadhana Sargam"
78,http://giitaayan.com/viewisbsong.asp?id=10838,Chhotaa Saa Ghar,1996,Rajesh Roshan,Indeevar,"Kumar Sanu, Sadhana Sargam"
79,http://giitaayan.com/viewisbsong.asp?id=2254,Sapne,1997,A R Rahman,Javed Akhtar,"K Kay, Kavita Paudwal"
80,http://giitaayan.com/viewisbsong.asp?id=11571,Ghazab Tamaashaa,1992,Anand-Milind,Sameer,"Kumar Sanu, Alka Yagnik"
81,http://giitaayan.com/viewisbsong.asp?id=13738,Rajaji,1999,Anand-Milind,Sameer,"Kumar Sanu, Sapana Mukherji"
82,http://giitaayan.com/viewisbsong.asp?id=11675,Hindustani,1996,A R Rahman,P K Mishra,"Hariharan, Kavita Krishnamurthy"
83,http://giitaayan.com/viewisbsong.asp?id=11997,Ishq Vishk,2003,Annu Malik,Sameer,"Sonu Nigam, Alisha Chinai"
84,http://giitaayan.com/viewisbsong.asp?id=12263,Jhankaar Beats,2003,Vishal-Shekhar,Vishal Dadlani,Sudesh Bhosle
85,http://giitaayan.com/viewisbsong.asp?id=14390,Taajmahal,2001,Santosh Nair,Rahul B Seth,Sunidhi Chauhan
86,http://giitaayan.com/viewisbsong.asp?id=20834,Purab aur Paschim,1970,Kalyanji-Anandji,Prem Dhawan,"Mahendra Kapoor, Asha"
87,http://giitaayan.com/viewisbsong.asp?id=4,Humse Hai Muqaabalaa/ Sachchaa Premi,1995,A R Rahman,P K Mishra,"A R Rahman, Noel James, Shanka..."
88,http://giitaayan.com/viewisbsong.asp?id=15221,Sone Ki Chidiyaa,1958,O P Nayyar,Kaifi Azmi,Kaifi Azmi
89,http://giitaayan.com/viewisbsong.asp?id=12632,Khamoshi,1969,Hemant Kumar,Gulzar,Aarti Mukherjii
