Song,Film,YearMusic Director,Lyricist,Singers
"अम्बुवा पे कोयल बोले
सजना, झुला जा हिंडोले
कलियों पे भँवरे डोले
सजना, झुला जा हिंडोले

झुला जा हिंडोले
हौले हौले
सजना, झुला जा हिंडोले

मैं पूजा करने आई
क्यों तुम ने प्रीत सिखाई
क्यों मन के घूंघट खोले
  झुला जा हिंडोले ...

मैं मालन बन के आऊँ
तोहे फूलों संग खिलाऊँ
मन मेरा खाये झोले
  झुला जा हिंडोले ...

 ",Moorti,1945,Bulo C Rani,Pt Indra,Khursheed
"श : अमीर से होती है गरीब से होती है
 दूर से होती है क़रीब से होती है
 मगर जहाँ भी होती है ऐ मेरे दोस्तो
 शादियाँ तो नसीब से होती है

र : आज मेरे यार कि शादी है -2
 लगता है जैसे सारे संसार की शादी है
 आज मेरे यार कि ...

 वक़्त है ख़ूबसूरत बड़ा शुभ लगन मुहूरत
 देखो क्या ख़ूब जमीं है दूल्हें की भोली सूरत
 दूल्हें की भोली सूरत
 ख़ुशी से झूमें है मन मिला सजनी को साजन
 कैसे संजोग मिले हैं चोली से बँध गया दामन
 चोली से बँध गया दामन

दे : ओ सुन मेरे दिलजानी
 शुरू अब होने लगी है नई तेरी ज़िन्दगानी
 ख़ुशी से क्यों इतराए
 अहा
 आज तू हमें नचाए
 वक़्त वो आने वाला
 ओ हो
 दुल्हनिया तुझे नचाए
 दुल्हनिया तुझे नचाए
र : किसी के सपनों के सोलह सिंगार की शादी है
 आज मेरे यार कि ...

 तारे तोड़-तोड़ लाऊँ तेरे सहरे को सजाऊँ
 फूल राहों में बिछाऊँ मैं प्यार के
 आज लूँगा मैं बलाएँ दूँगा दिल से दुआएँ
 डाल गले में बाँहें अब यार के
 एक चमन से देखो आज बहार की शादी है
 आज मेरे यार कि शादी है मेरे दिलदार की शादी है
 लगता है जैसे सारे संसार की शादी है
 आज मेरे यार कि ...

 ",Aadmi Sadak Ka,1977,Ravi,Verma Malik,"Rafi/ Rafi, Ravi, Deven Verma"
"र : अमिय हलाहल मदभरे श्वेत श्याम रतनार
 जियत मरत झुकि झुकि परत जेहि चितवत एक बार

 झननन झन झननन झन झननन बाजे पायलिया -2
 पिया से मिलन चली आज कमिनिया
 झननन झन झननन झन झननन बाजे पायलिया
 झननन झन

ल : ओ
 रात अन्धेरी डर लागे रसिया -2
 पास कैसे आऊँ तोरे मनबसिया
 पपिहा बोले
 पपिहा बोले अम्रित घोले जियरा डोले हौले हौले हौले
 झननन झन झननन झन झननन बाजे पायलिया
 झननन झन झननन झन झननन बाजे

र : सज सिंगार कोई नार नवेली
 निडर डगर में चली है अकेली
 रितु बसन्त आई अलबेली
 डार डार बोले कारी कोयलिया
 झननन झन झननन झन झननन बाजे पायलिया
 झननन झन झननन झन झननन

ल : ओ
 प्यार जगा है देखो कण कण में -2
 रास रसा है मन मधुबन में
 बजे मंजीरी 
 बजे मंजीरी जमुना तीरे मैं तो चली रे धीरे धीरे धीरे
 झननन झन झननन झन झननन बाजे पायलिया

दो : झननन झन झननन झन झननन बाजे
र : झनन झन झन बाजे पायलिया

ल : बाजे -3
र : बाजे
दो : झनन झन झन बाजे पायलिया

 ",Rani Rupmati,1959,S N Tripathi,Bharat Vyas,"Lata, Rafi"
"अम्मा देख हाँ देख तेरा मुंडा बिगड़ा जाए
बेबे देख हाँ देख तेरा मुंडा बिगड़ा जाए
अम्मा देख अम्मा देख देख देख देख तेरा मुंडा बिगड़ा जाए
अम्मा देख ...

इसके छोटे बाल कटा दे इसको हिन्दी बोल सिखा दे
T.V. Video band karaa de college का रस्ता दिखला दे
इसको गाना रुकवा दे होटल में खाना रुकवा दे
चंगी कुड़ी कोई दिलवा दे जल्दी से शादी करवा दे
अम्मा देख हाँ देख ...

ओ पीटर ज़रा सुन थोड़ी whisky aur gin
उसमें lime tho.Dii ice know the time 
अम्मा देख ...

बिच तो बाबा बिच तो हाँ बिच तो हाँ हाँ बल्ले बल्ले
बिच तो हाँ हाँ बल्ले बल्ले भंगड़ा बिच तो बाबा हाँ
जटियां आइयां कठियां होके बाबे सूट गुलाबी पाके
पीके दारू न छेड़ शराबी सानू बाबे न जेल करा दूं
जेल करा दूं न हाँ बाबे
बल्ले बल्ले तू छड़ कुड़ियां नू छेड़ना
तेरी रपट लिखवा दूं लिखवा दूं
हथकड़ी लगवा दूं लगवा दूं
तेनू थाने भिजवा दूं
छड़ कुड़ियां नू छेड़ना
बल्ले बल्ले हो बल्ले बल्ले
अम्मा देख ...

देखो गाअना ऊपर नीचे आगे गाना आगे पीछे
बीcई फ़िकर ले आएगी इस पे पहरे बिठाएगी
बच्चे बच्चे हो जाएंगे
इसपे डाल दे जिम्मेदारी मुश्किल हो जाएंगी हल सारी
अम्मा देख ...

 ",Stuntman,1994,Nadeem-Shravan,Sameer,Bali Brahmbhat
"अम्मा मेरे बाबुल को भेजो री
के सावन आया सावन आया
अम्मा मेरे ...

बेटी तेरा बाबुल तो बिछड़ा री
के सावन आया सावन आया
अम्मा मेरे ...

अम्मा मेरे भैया को भेजो री
के सावन आया सावन आया
अम्मा मेरे ...

बेटी तेरा भैया तो बाला री
के सावन आया सावन आया
अम्मा मेरे ...

अम्मा मेरे बचपन को भेजो री
के सावन आया सावन आया
अम्मा मेरे ...

बेटी तेरा बचपन तो छूटा री
के सावन आया सावन आया
अम्मा मेरे ...

 ",Chori Chori,2002,Sajid-Wajid,Ameer Khusro,"Afroz Bano, Farida Khan"
"अम्मा रोटी दे, बाबा रोटी दे -4

भूल गया भगवान हमें अब तुम भी भूल न जाना
गलियों के महमान बनें हम, दाता हाथ बढ़ाना
अम्मा रोटी दे, बाबा रोटी दे

हम भी किसीके राजदुलारे हैं नैनों के तारे
क़िस्मत के मारे दुखियारे आये द्वार तुम्हारे
अम्मा रोती दे, बाबा रोटी दे

ना माँगें हम दूध मलाइ
ना माँगें हम माल मिठाई
अम्मा रोटी दे
ना माँगे हम दूध मलाइ
ना मँगे हम माल मिठाई
रूखा सूखा टुकड़ा दे दो, ले लो पुण्य कमाई
दुखियों की तुम्हें दुहाई
अम्मा रोटी दे, बाबा रोटी दे -2

 ",Sansaar,1951,M D Parthsarthi,Pt Indra,"Lata, Chorus"
" Pअर्त ई

( अम्मा, अम्मा, तू कहाँ गई अम्मा
बचपन मेरा रोता है ) -2

मेरे लाल कहाँ है तू -2
क्यूँ बिछड़ गया मुझसे
मेरी गोद तड़पती है -2
मन मेरा रोता है
भगवान भी सोता है

अम्मा, अम्मा, तू कहाँ गई अम्मा
बचपन मेरा रोता है

भगवान ने दुनिया के
दुख दर्द हमें बाँटे
नैनों में भरे आँसू
और पाँवों में काँटे
मेरी उजड़ी हुई बगिया
मेरी दर्द भरी दुनिया
हमने न कभी देखा
सुख कैसा होता है

अम्मा, अम्मा, तू कहाँ गई अम्मा
बचपन मेरा रोता है
अम्मा, अम्मा

 Pअर्त ईई

( अम्मा, अम्मा, मैं किसको कहूँ अम्मा
मुझे कौन कहे बिटिया ) -2

मैं भरने लगी गगरी -2
मेरे नयना भर आये
मैं रूठूँ तो किससे -3
है कौन जो मुझे मनाये
रोती है तेरी मुनिया

अम्मा, अम्मा, मैं किसको कहूँ अम्मा
मुझे कौन कहे बिटिया

( ना मरे किसी की माँ
बचपन के ज़माने में ) -2
क्यूँ जनम दिया जननी -2
जो छोड़ के जाना था
इतना तो बताना था
क्यूँ रो दे ?? मेरी दुनिया

अम्मा, अम्मा

 ",Bahut Din Huye,1954,B S Kalla,Pt Indra,"Lata, Female?/ Lata"
"अनहोनी को होनी कर दें होनी को अनहोनी -2
एक जगह जब जमा हों तीनों अमर अकबर एन्थोनी
अनहोनी को होनी ...

एक एक से भले दो दो से भले तीइन
दूल्हा दुल्हन साथ नहीं बाजा है बारात नहीं
अरे कुछ डरने की बात नहीं
ये मिलन की रैना है कोई ग़म की रात नहीं
यारों हँसो बना रखी है क्यूँ ये सूरत रोनी -2
एक जगह जब जमा ...

एक एक से भले दो दो से भले तीइन
शम्मा के परवानों को इस घर के मेहमानों को -2
पहचानो अन्जानों को
कैसे बात मतलब की समझाऊँ दीवानों को
सपन सलोने ले के आई है ये रात सलोनी -2
एक जगह जब जमा ...

 ",Amar Akbar Anthony,1977,Laxmikant-Pyarelal,Anand Bakshi,"Kishore, Mahendra Kapoor, Shai..."
"( अन्दाज़ तेरे प्यार का हाय कितना निराला है
सच कहती हूँ मैं ज़ालिम तूने मार ही डाला है ) 2

( तू चोर नहीं है चाहे तूने ही चुराया है दिल
मेरी जान भी ले ली है तूने उसपे भी नहीं तू क़ातिल ) 2
हो अन्दाज़ तेरे प्यार का हाय कितना निराला है
सच कहती हूँ मैं ज़ालिम तूने मार ही डाला है

( दुनिया भी यही करती है दुनिया से रहें क्यों डरके
दिन प्यार के आये हैं तो आ हम प्यार करें जी भरके ) 2
अन्दाज़ तेरे प्यार का हाय कितना निराला है
सच कहती हूँ मैं ज़ालिम तूने मार ही डाला है

( मिलते हैं जहाँ भी दो दिल वहाँ ख़ुद ही बहार आ जाये
इक बार लगा ले सीने से मुझे कुछ तो क़रार आ जाये ) 2
हो अन्दाज़ तेरे प्यार का हाय कितना निराला है
सच कहती हूँ मैं ज़ालिम तूने मार ही डाला है

ए तूने मार ही डाला है
हाँ तूने मार ही डाला है
हाँ तूने मार ही डाला है
हाँ तूने मार ही डाला है


 ",Ganga Meri Maa,1982,R D Burman,Gulshan Bawra,Asha
"हे हे हे हे हे ऐ हे हे हे आ हा हा हा
आ हाअ ला ला ला ला ला ल ला
अन्देखी अन्जानी सी पगली सी दीवानी सी
जाने वो कैसी होगी रे
चोरी से चुपके चुपके बैठी है दिल में छुपके
जाने वो कैसी होगी रे

अन्देखा अन्जाना सा पगला सा दीवाना सा
जाने वो कैसा होगा रे
चोरी से चुपके चुपके बैठा है दिल में छुपके
जाने वो कैसा होगा रे
हे अन्देखी अन्जानी सी ...

मेरे खयालों में ना जाने कितनी तस्वीरें बनने लगीं
हे हे हे बस आसमानों पर दो दिलों की तकदीरें बनने लगीं
हो बिन देखे है ऐसी बेचैनी तौबा
ओय रब्बा देखा तो जाने क्या होगा
सपनों में आने वाली नींदें चुराने वाली
जाने वो कैसी होगी रे
हो पलकों के ऊपर नीचे दिल की धड़कन के पीछे
जाने वो कैसा होगा रे
अन्देखी अन्जानी सी ...

ना जाने क्या होगा क्या ना होगा पहली मुलाकात में
हे हे हे कैसे छुपाऊँगी चाँद को मैं उस चाँदनी रात में
बस अब तो मैं उस का घूँघट खोलूँगा
चुपके से देखूँगा कुछ ना बोलूँगा
होय होय होय ये बेचैनी ओय ओय ओय ये बेताबी
जाने वो कैसा होगा रे
हो जिस को देखा ना बरसों देखूँगा मैं कल परसों
जाने वो कैसी होगी रे
अन्देखा अन्जान सा ...

 ",Mujhse Dosti Karoge,2002,Rahul Sharma,Anand Bakshi,"Lata, Udit Narayan"
