Song,Film,YearMusic Director,Lyricist,Singers
"अन्धेरी रातों में सुनसान राहों पर -2
हर ज़ुल्म मिटाने को एक मसीहा निकलता है
जिसे लोग शहनशाह कहते हैं
अन्धेरी रातों में ...

जैसे निकलता है तीर कमान से -2
देखो ये चला वो निकला वो शान से
उसके ही किस्से सबकी ज़ुबान पे
वो बात है उसकी बातों में
अन्धेरी रातों में ...

ऐसे बहादुर देखे हैं थोड़े -2
ज़ुल्म-ओ-सितम की ज़ंजीर तोड़े
पीछे पड़े तो पीछा न छोड़े
बड़ा है ज़ोर उसके हाथों में
अन्धेरी रातों में ...

शहर की गलियों में वो फिरता है -2
दोस्तों से दोस्त बनकर मिलता है
दुश्मनों के सर पर ऐसे गिरता है
जैसे बिजली गिरे बरसातों में
अन्धेरी रातों में ...

 ",Shehanshaah,1988,Amar-Utpal,Anand Bakshi,Kishore
"अन्ग्ड़ाई भी वो लेने न पाए उठा के हाथ
देखा मुझे तो छोड़ दिये मुस्करा के हाथ
अन्ग्ड़ाई भी वो लेने ...

बातों में ऐसे हो गये मधहोश देखिये
अफ़साना ग़ैर का वो समझ कर सुना किये
आया जो मेरा नाम तो बस उठ के चल दिये
झुंझला के, तैश खा के, बिगड़ के, छुड़ा के हाथ
अन्ग्ड़ाई भी वो लेनए ...

परदा था पर नक़ाब से कुछ हुस्न छिन पड़ा
बेकल हुए तो रह गया सब बाँकपन पड़ा
शिकवों का जब जवाब न कुछ उनसे बन पड़ा
गरदन में मेरी डाल दिये मुस्करा के हाथ
अन्ग्ड़ाई भी वो लेनए ...

साक़ी को समझे, ये नहीं हर आदमी का काम
नक़्शब को किस अदा से इनायत किया था जाम
देना किसी का साग़र-ए-मय याद है निज़ाम
मुँह फेर कर उधर को, इधर को बढ़ा के हाथ
अन्ग्ड़ाई भी वो लेनए ...


 ",Zindagi Yaa Toofaan,1958,Nashad,Nakshab,"Shamshad, Asha"
"( अन्टम फ़न्टम छोड़ दे बाबू हो गई तेरी हार
इकड़म तिकड़म कुछ न चलेगा जीत गया मेरा प्यार ) -2
अन्टम फ़न्टम छोड़ ...

छोड़ दो सदाएँ सुनाना इंकार की
जान गई मैं तो अदाएँ हैं ये प्यार की
छोड़ दो सदाएँ ...
बनके हज़ार कर तकरार सब कुछ है बेकार बनके हज़ार
अन्टम फ़न्टम छोड़ ...

छूट गया जादू खड़े-खड़े सोचिए
लीजिए ये दामन पसीना ज़रा पोछिए
छूट गया जादू ...
हो गई हार हार मान भी लो सरकार हो गई हार
अन्टम फ़न्टम छोड़ ...

 ",Hum Sab Chor Hain,1956,O P Nayyar,Majrooh,Asha
"अनुराधा
ओ अनुराधा 
क्यूँ री पगली
अरी इस तरह रोने से क्या होगा
ओ
तुम आँसू पोँछ रही हो
मगर मुझे हिचकियों की अवाज़ तो सुनाई दे रही है
अच्छा सुनो तुम्हें एक कहानी सुनाऊँ
बहोत दिन हुये एक बार

गोकुल से गये गिरधारी -2
हुई सूनी नगरी सारी
गोकुल से गये गिरधारी

जित देखो उत छाई उदासी रोवत है नर-नारी -2
गोकुल से गये गिरधारी

गिरधारी तो गोकुल से चले गये
जो वृन्दावन वाले थे उनका क्या हाल हुआ

नैनन नीर न चैन जिया में -2
शोक हुआ अती भारी -2

और गोपियों की हालत तो और भी ख़राब थी
बिचारी कहती थी

कैसे जाऊँ जमुना जल भरने
कैसे जाऊँ जमुना
जमुना जल भरने
कैसे जाऊँ जमुना जल भरने
तट पे न आज मुरारी -2

मगर सबसे ज़्यादा दुख जानती हो किसे हुआ था
अनुराधा जैसी एक राधा थी
बिचारी
बिचारी रो-रो कर कहती थी

कान्ह-कान्ह हर आन रटत मन -2
भूलत नाहीं बिहारी -2
कहे बिद्यापती मधुसूदन ने
राधे
राधे मन से बिसारी -2

 ",Vidyapati,1937,R C Boral,Kedar Sharma,K C Dey
"अपलम चपलम
चप लायी रे दुनिया को छोड़
तेरी गली आयी रे आयी रे आयी रे
अपलम चपलम   ...

बड़ा मजबूर किया, हाय्! तेरे प्यार ने
मार दिया मार दिया, हाय्! तेरे प्यार ने
अब पछताये दिल, हाय्! कित जाये दिल
काहे को ये आग लगायी रे लगायी रे लगायी रे
अपलम चपलम   ...

टेढ़ा मेढ़ा खेल है ये प्यार जो मैं जानती
भूल के भी बात कभी दिल की न मानती
दिल बेइमान हुआ, देखो जी पराया हुआ
रोये रोये जाण गँवायी रे गँवायी रे गँवायी रे
अपलम चपलम   ...

दग़ा देने वाला देखो कैसा दग़ा दे गया
छोड़ गया याद और दिल मेरा ले गया
मैं ने ही क़ुसूर किया, ऐसे को जो दिल दिया
सुध बुध सब बिसराई रे
अपलम चपलम   ...


 ",Aazaad,1955,C Ramchandra,Rajinder Krishan,"Lata, Usha"
"दर-ए-हबीब से हम ...

सु: अपना बना के फिर क्यूँ भुलाया
दिल मेरा नाशाद है, हाय
आ मेरे सनम
त: ओऽऽ आना भी चाहूँ कैसे आऊँ
पेहरे पे सय्याद है, हाय
तेरा हूँ, तेरी क़सम

सु: आ मेरे सनम
त: ओऽऽ तेरा हूँ, तेरी क़सम
सु: ओऽऽ अपना बना के ...
त: हाय, आना भी चाहूँ ...

सु: दिल में हमारे दर्द जवाँ है, जवाँ है
इतना बता दे अब तू कहाँ है, कहाँ है
त: मेरी ज़ुबाँ पर तेरा बयाँ है
दिल भी वहीं है अब तू जहाँ है, जहाँ है
सु: कहाँ है? आ, मेरे सनम
त: आऽऽ तेरा हूँ, तेरी क़सम
सु: ओऽऽ अपना बना के ...
त: हाय, आना भी चाहूँ ...

सु: मदहोश वादें चाहत की रस्में, रस्में
तूने वफ़ा की खाई थी क़समें, क़समें
त: देखो कहीं बेवफ़ा ना समझना
क़िसमत के मारे को अपना समझना, समझना
सु: चला आ मेरे सनम
त: आऽऽ तेरा हूँ, तेरी क़सम
सु: ओऽऽ अपना बना के ...

 ",Mumtaaz Mahal,1957,Vinod,Hasrat,"Talat, Sudha Malhotra"
"अपना देश विदेश के आगे हाथ न फैलाए
आज जहाँ है रेत कल वहाँ खेत मुस्कराए 
ऐसा कि गाँव-गाँव में गंगा लहराए
अपना देश विदेश ...

मेहनत का ही नाम है वो जिसको क़िस्मत कहते हैं
दो हाथों का खेल है वो जिसको दौलत कहते हैं
हम जहाँ पसीना बहाएँगे मोती वहाँ उगाएँगे
नदियाँ बाँध नहर निकालें ख़ुशहाली छाए
अपना देश विदेश ...

देश की हर चीज़ है अपनी क्यों अपने हाथों से तोड़ें
इसको बचाना फ़र्ज़ है अपना क्यों सरकार पर छोड़ें
अपना भारत सारा हमें प्रांत-प्रांत है प्यारा
आपस के ही इन दंगों में देश न जल जाए
अपना देश विदेश ...

 ",Anokhaa,1975,Kalyanji-Anandji,Indeevar,Mukesh
"अपना दिल पेश करूँ, अपनी वफ़ा पेश करूँ
कुछ समझ में नहीं आता तुझे क्या पेश करूँ

मेरे ख़्वाबों में भी तू, मेरे ख़यालों में भी तू
कौन सी चीज़ तुझे तुझसे जुदा पेश करूँ
जो तेरे दिल को लुभा ले, वो अदा मुझमें नहीं
क्यों न तुझको कोई तेरी ही अदा पेश करूँ

तेरे मिलने की ख़ुशी में कोई नग़मा छेड़ूँ
या तेरे दर्द-ए-जुदाई का ग़िला पेश करूँ

 ",Kaafir,1960,Khayyam,Sahir,Asha
"अपना ग़म भूल गये, तेरी जफ़ा भूल गये
हम तो हर बात मुहब्बत के सिवा भूल गये

हम अकेले ही नहीं प्यार के दीवाने, सनम
आप भी नज़्रें झुकाने की 'अदा भूल गये

अब तो सोचा है कि दामन ही तेर थामेंगे
हाथ जब हम ने उठाये हैं दुआ भूल गये

शुक्र सम्झो या इसे अपनी शिकायत सम्झो
तुम ने वो दद.र दिया है कि दवा भूल गये


 ",(Non-Film),1966,C K Chauhan,Farouq Qaiser,Jagjit Singh
"अपना है फिर भी अपना बढ़कर गले लगा ले
अच्छा है या बुरा है अपना उसे बना ले

मत सोच तेरे दिल में ये कैसी कश-म-कश है
जो खींचती है तुझको वो ख़ून की क़शिश है
पर्दा पड़ा हुआ है जो दरमियाँ उठा ले
अपना है फिर भी ...

चुप है ज़ुबान फिर भी अपना लहू पुकारे
तुम एक आसमाँ के टूटे हुए हो तारे
नज़रें तो मिल गई हैं अब दिल से दिल मिला ले
अपना है फिर भी ...

 ",Bhaai Bhaai,1956,Madan Mohan,Rajinder Krishan,Rafi
