,Song,Film,Year,Music Director,Lyricist,Singers
2000,http://giitaayan.com/viewisbsong.asp?id=13361,Om Jai Jagadish,2002,Annu Malik,Sameer,"Sonu Nigam, Alka Yagnik"
2001,http://giitaayan.com/viewisbsong.asp?id=3306,Badaa Bhaai,1957,Nashad,Prem Saxena,"Asha, Talat"
2002,http://giitaayan.com/viewisbsong.asp?id=21204,Dhoom 2,2,Pritam,Sameer,Sunidhi Chauhan
2003,http://giitaayan.com/viewisbsong.asp?id=10046,Aamdani Atthani Kharcha Rupaiya,2001,Himesh Reshammiya,Sudhakar Sharma,"Udit Narayan, Alka Yagnik"
2004,http://giitaayan.com/viewisbsong.asp?id=2807,Jaal,1952,S D Burman,Sahir,"Lata, chorus"
2005,http://giitaayan.com/viewisbsong.asp?id=10805,Chal Mere Bhaai,2000,Anand-Milind,Sameer,"Abhijit, Alka Yagnik"
2006,http://giitaayan.com/viewisbsong.asp?id=11030,Dil Ne Phir Yaad Kiya,2001,Aadesh Srivastava,Sameer,"Sonu Nigam, Alka Yagnik"
2007,http://giitaayan.com/viewisbsong.asp?id=20753,Manoranjan,1974,R D Burman,Anand Bakshi,Asha
2008,http://giitaayan.com/viewisbsong.asp?id=13416,Pyaasa,2002,Sanjeev-Darshan,Faiz Anwar,Sonu Nigam
2009,http://giitaayan.com/viewisbsong.asp?id=10088,Ansh,2002,Nadeem-Shravan,Sameer,Kavita Subramaniam
2010,http://giitaayan.com/viewisbsong.asp?id=20851,Paap Ki Duniya,1989,Bappi Lahiri,Anjaan,Kishore
2011,http://giitaayan.com/viewisbsong.asp?id=2296,Aap Ki Kasam,1974,R D Burman,Anand Bakshi,Lata
2012,http://giitaayan.com/viewisbsong.asp?id=10168,Akelaa,1991,Laxmikant-Pyarelal,Anand Bakshi,Alka Yagnik
2013,http://giitaayan.com/viewisbsong.asp?id=rmim0644,Noori,1979,Khayyam,Jaan Nisar Akhtar,Lata
2014,http://giitaayan.com/viewisbsong.asp?id=13310,Nili,1950,S Mohinder,Surjeet Sethi,Suraiya
