Song,Film,YearMusic Director,Lyricist,Singers
"उफ़्! क्या हुस्न था, क्या जवानी थी, क्या अदायेँ थीं
हाय्! मैं तो मर गया
हाय्! मैं तो मर गया

चोरी-चोरी यूँ जब हों आँखें चार क्या होता है
हे दीवाना दिल जब धड़के पहली बार क्या होता है
बेगाने बन जाते हैं यार यार यार यार
अनजाने हो जाता है प्यार प्यार प्यार प्यार
ये क्या होता है कैसे होता है जाने ये कोई ना
हू हू
चोरी-चोरी यूँ जब ...

सारा ये शहर देखा घूमके, देखे लाखों हसीं, हाँ
हमको है यक़ीं, कोई भी कहीं तेरे जैसी नहीं
दिल जो पागल कर जाये वो दीदार क्या होता है
जाना अब हमने जाना पहला प्यार क्या होता है
बेगाने बन जाते हैं ...
चोरी-चोरी यूँ जब ...

ज़िंदगी है वो जो कटे तेरी नर्म ज़ुल्फ़ों तले, हाय-हाय
माँगे दिल दुआ मिलना हो अगर प्यार तेरा मिले
कोई मिलके जब छेड़े दिलके तार क्या होता है
साँसों से जब उठती है ये झनकार क्या होता है
बेगाने बन जाते हैं ...
चोरी-चोरी यूँ जब ...

 ",Paap Ki Duniya,1989,Bappi Lahiri,Anjaan,Kishore
"चोरी चोरी चुपके चुपके
पलकों के पीछे से छुपके
कह गई सारी बतियाँ
अखियाँ, दो अखियाँ
ये अखियाँ, दो अखियाँ

होंठों पर था लाज का पहरा
धड़क गया ये दिल न ठहरा
बन गई प्रेम की पतियाँ
अखियाँ, दो अखियाँ
ये अखियाँ, दो अखियाँ

आने को तो नींद भी आई
कुछ न पूछो राम दुहाई
जागी सारी रतियाँ
अखियाँ, दो अखियाँ
ये अखियाँ, दो अखियाँ

लाख छुपाये मीरा रानी
मनमोहन की प्रेम दीवानी
जान गई जान गई जान गई
जान गई सब सखियाँ
अखियाँ, दो अखियाँ
ये अखियाँ, दो अखियाँ


 ",Aap Ki Kasam,1974,R D Burman,Anand Bakshi,Lata
"चोरी से छुप छुपा के आया था मैं लगा के
फिर पान भी चबाया फिर इतर भी लगाया
थोड़ा सम्भल सम्भल के आया मैं सीधा चल के
पर लड़खड़ा गया मैं

मेरी चोरी पकड़ी गई ना
मुझे आज कुछ न कहना मेरा दिल ठिकाने हई ना

मुर्गे से बोली मुर्गी तोते से बोली मईना
उनका मज़ाक ठहरा मेरी जान गईना
मुझे आज कुछ न कहईना मेरा दिल ठिकाने हईना

मस्तियां और बढ़ें और नशा छाये
झूम उठे मेरा दिल पास जो तू आए
अब तुझको देखता हूँ मैं दिल में सोचता हूँ
कितनी हसीन है तू लड़की है या है जादू
है गोरा गोरा मुखड़ा ये काले काले नैना
मुझे आज कुछ न कहईना ...

अब तक हूँ मैं कुंवारा मुश्किल है अब गुज़ारा
मंडप सजा हुआ है बाजा भी बज रहा है
चाहे तो साथ मेरे ले ले तू सात फेरे
ना ना अच्छा हूँ मैं अकेला शादी तो है झमेला
दिन रात की सलामी बीवी की है गुलामी
रोते अच्छे अच्छे मुझको तो तोता बन के 
पिंजरे में नईयो रहना
मुझे आज कुछ न कहईना ...

प्यार पर क़ैद है न दिल पे कोई पहरे
दूल्हा दुल्हन के हैं फूलों की तरह चेहरे
ये रानी और वो राजा गूंजा खुशी का बाजा
जारी है जश्न-ए-शादी बाकी है रात आधी
नाचूंगा गाऊंगा रे मैं आज सारी रईना
मुझे आज कुछ न कहईना ...

 ",Akelaa,1991,Laxmikant-Pyarelal,Anand Bakshi,Alka Yagnik
"चोरी चोरी कोई आए
चुपके चुपके, सब से छुपके
ख़्वाब कई दे जाए

आँखें डाले आँखों में जाने मुझसे क्या वो पूछे
मैं जो बोलूँ बोलूँ क्या हँस दूँ मुझ को कुछ न सूझे
ऐसे ताके दिल में झाँके साँस मेरी रुक जाए

मीठे मीठे बोलों से दिल पे ऐसा जादू डाले
खोयी खोयी जाऊँ मैं जो भी चाहे मनवा ले
मुझ को चूमे दिल तो झूमे आँख मगर झुक जाए

बैठी बैठी सोचूँ मैं वो तो चल दे मुझ को डसके
मुझ को मार डाले ना अपने बाज़ुओं में कसके
दिल जो धड़के ऐसे धड़के एक नशा छा जाए

 ",Noori,1979,Khayyam,Jaan Nisar Akhtar,Lata
"( चोरी-चोरी आना हो राजा मोरे दिल के
बिछड़ना न मिल के ) -2

नैनों में खुमार है -2
मौसम बहार है -2
मेरी जवानी की हाय ये पुकार है
हाय ये पुकार है
तेरा इंतज़ार है राजा मोरे दिल के
बिछड़ना न मिल के

चोरी-चोरी आना हो राजा मोरे दिल के
बिछड़ना न मिल के

होंठों पे गीत है -2
जिया में प्रीत है -2
तेरी हार हार मेरी जीत तेरी जीत है
जीत तेरी जीत है
प्यार की ये रीत है राजा मोरे दिल के
बिछड़ना न मिल के

चोरी-चोरी आना हो राजा मोरे दिल के
बिछड़ना न मिल के

बस में रहा न जिया -2
निंदिया ना आई पिया -2
एक ही इशारे से दिल मेरा लूट लिया
दिल मेरा लूट लिया
हाय तूने क्या किया राजा मोरे दिल के
बिछड़ना न मिल के

चोरी-चोरी आना हो राजा मोरे दिल के
बिछड़ना न मिल के

 ",Nili,1950,S Mohinder,Surjeet Sethi,Suraiya
"चोरी-चोरी जो तुमसे मिली तो लोग क्या कहेंगे
अजी इसे प्यार कहेंगे
गली गली ये बात चली तो लोग क्या कहेंगे
अजी इसे प्यार कहेंगे

तेरा ख्याल मेरे दिल में जब से आया है
क़दम संभलते नहीं और नशा सा छाया है
क़रार खो के ही दिल ने क़रार पाया है
धीरे धीरे ये बात बढ़ी तो लोग क्या कहेंगे
अजी इसे प्यार कहेंगे ...

कितनी ज़ालिम ये मुलाक़ात हुई
जिससे डरते थे वही बात हुई
बढ़ गई प्यास तमन्नाओं की
इस तरह प्यार की बरसात हुई
क़सम तुम्हारी मेरे दिल की बात कह डाली
छोड़ो छोड़ो ये दिल्लगी कि लोग क्या कहेंगे
अजी इसे प्यार कहेंगे ...

 ",Parasmani,1963,Laxmikant-Pyarelal,Farooq Kaisar,"Mukesh, Lata"
"कु : हे हे हे हे हे
अ : ल ल ल ल ल ल आ आ आ आ
 चोट दिल पे लगी प्यार होने लगा -2
 वो अजनबी मेरे दिल को भला-भला सा लगा -2
कु : हम दीवानों की तो अब यही है दुआ -2
 सारी उमर चाहतों का चलता रहे सिलसिला -2

अ : जब हुआ सामना हम दिल दे बैठें
 इश्क़ की बेख़ुदी हम तो ले बैठें
 हाँ जब हुआ सामना ... हम तो ले बैठें
कु : पलकों के पीछे से तूने क्या कह डाला
 दीवाना मैं बना
अ : वो मेरा मस्ताना आशिक़ कुछ मनचला सा लगा
कु : सारी उमर चाहतों का चलता रहे सिलसिला
अ :  चोट दिल पे लगी प्यार होने लगा
 वो अजनबी मेरे दिल को भला-भला सा लगा
कु : सारी उमर चाहतों का चलता रहे सिलसिला

अ : नींद में ख़्वाब में चुपके से आता है
 हर घड़ी वो मेरा चैन चुराता है
 हूँ नींद में ख़्वाब में ... चैन चुराता है
कु : बाँहों के घेरे में अब मुझको रहने दे
 छुने दे लब ज़रा
अ : ये बेक़ररी का मौसम धुआँ-धुआँ सा लगा
कु : हाँ सारी उमर चाहतों का चलता रहे सिलसिला
अ :  चोट दिल पे लगी प्यार होने लगा -2
 वो अजनबी मेरे दिल को भला-भला सा लगा
कु : हाँ सारी उमर चाहतों का चलता रहे सिलसिला

 ",Ishq Vishk,2003,Annu Malik,Sameer,"Kumar Sanu, Alisha Chinai"
"चोट लगी कहां
यहां यहां वहां
बता न सकूं मैं कहां
सीने में दिल है जहां

हाल मेरा पूछ के जी आप क्या करेंगे
ज़ख्म हो तो दिखला दो मरहम रख देंगे
ज़ख्म आए बदन पे कहां
यहां वहां
बता न सकूं मैं कहां 
जाँ को देखे नज़र वो कहां
चोट लगी कहां ...

चोट लगी तुझे दर्द मुझे हो रहा है
प्यार के बीज तू मेरे मन में बो रहा है
लगा चाहत का तीर कहां
यहां वहां
बता न सकूं मैं कहां 
दर्द का किसने देखा निशां
चोट लगी कहां ...

बार बार क्यूं टकराती हो तुम मुझ से
कोई तो रिश्ता है तेरा मेरी ज़िन्दगी से
ये टक्कर ले जाएगी कहां
यहां वहां
बता न सकूं मैं कहां 
तिरंगा क़िस्मत में होगा जहां
चोट लगी कहां ...

 ",Ghar Sansaar,1986,Rajesh Roshan,Indeevar,"Kishore, Asha"
"गाम्बे ये ई ये
वोउ वोउ व ये ई ये
हू हु 
चुम्मा दे चुम्मा दे अरे इश्क़ का पहला चुम्मा दे

ओ मेरी लैला चुम्मा दे मुझे पहला-पहला चुम्मा दे

चुम्मा दे चुम्मा दे अरे इश्क़ का पहला चुम्मा दे

कड़वे नखरे तू छोड़ दे चल मीठा-मीठा चुम्मा दे

चुम्मा दे चुम्मा दे अरे इश्क़ का पहला चुम्मा दे
ओ मेरी लैला चुम्मा दे मुझे पहला-पहला चुम्मा दे

चुम्मा-चुम्मा निगाहें तो मिलाने दो

यम्मा-यम्मा जाना है मुझे जाने दो

चुम्मा-चुम्मा बाँहों में मुझे आने दो

यहाँ नहीं वहाँ नहीं अभी नहीं कभीं नहीं

चुम्मा दे चुम्मा दे हर पल कहता है चुम्मा दे

रटता है ये चुम्मा दे बस यही कहता है चुम्मा दे

चुम्मा दे चुम्मा दे हर पल कहता है चुम्मा दे
रटता है ये चुम्मा दे बस यही कहता है चुम्मा दे

ऊ आह ऊ आह ऊ आह ऊ आह
ऊ ऊ ऊ हाऊ ऊ ऊ ये ऊ ऊ ऊ हू ऊ ऊ ऊ ऊ ओऊ

shining terii aa.Nkhe.n hai.n charming तेरी बाते हैं

darling baa.Nho.n me.n aake ek lovely चुम्मा दे

मज़ा है जो waiting me.n kahaa.N hai vo meeting में

talking walking कर भी ले ना कहना चुम्मा दे

न न न तोड़ो न यूँ मेरे दिल को तोड़ो ना

सपनों में चुपके से चाहे तो चुम्मा ले

चुम्मा दे चुम्मा दे अरे इश्क़ का पहला चुम्मा दे
ओ मेरी लैला चुम्मा दे मुझे पहला-पहला चुम्मा दे

चुम्मा दे चुम्मा दे हर पल कहता है चुम्मा दे
रटता है ये चुम्मा दे बस यही कहता है चुम्मा दे

चुम्मा-चुम्मा निगाहें तो मिलाने दो
यम्मा-यम्मा जाना है मुझे जाने दो
चुम्मा-चुम्मा बाँहों में मुझे आने दो
यहाँ नहीं वहाँ नहीं अभी नहीं कभीं नहीं

हो हो हो हो हो हो हो
romance road pe aake marriage चौक पे जा के

शादी-वादी कर लेंगे और फिर तू चुम्मा ले

ये junction hai pyaar kaa ye signal है यार का

मौक़ा है इकरार का आजा चुम्मा दे

marriage से पहले मुझे ना बोल हर घड़ी चुम्मा दे

तो मैं किसी और को कह दूँगा चुम्मा दे

चुम्मा ले चुम्मा ले अरे इश्क़ का पहला चुम्मा ले

ओ मेरे छैला चुम्मा ले चल पहला-पहला चुम्मा ले

चुम्मा ले चुम्मा ले अरे इश्क़ का पहला चुम्मा ले
ओ मेरे छैला चुम्मा ले चल पहला-पहला चुम्मा ले

चुम्मा-चुम्मा ये पोरी फँस गई रे

यम्मा-यम्मा मैं तेरी हो गई रे

चुम्मा-चुम्मा ये बात बन गई रे

अभी ले-ले यहीं ले-ले चुम्मा दे-दे चुम्मा ले-ले

चुप 

 ",Khel Khiladi Ka,1996,A R Rahman,Mehboob,"S P Balasubrahmanyam, S Janaki"
"चुन चुन करती आई चिड़िया
दाल का दाना लाई चिड़िया
मोर भी आया कौवा भी आया
चूहा भी आया बन्दर भी आया
(खौं, खौं, खौं खौं खौं)
चुन चुन करती आई चिड़िया

भूख लगे तो चिड़िया रानी
मूँग की दाल पकाएगी, (दाल पकाएगी - 2)
कौवा रोटी लाएगा लाके उसे खिलाएगा
मोर भी आया कौवा भी आया
चूहा भी आया बन्दर भी आया
(खौं, खौं, खौं खौं खौं)
चुन चुन करती आई चिड़िया

चलते चलते मिलेगा भालू
हम बोलेंगे नाचो कालू, (नाचो कालू - 2)
मुन्ना ढोल बजाएगा, भालू नाच दिखाएगा
मोर भी आया कौवा भी आया
चूहा भी आया बन्दर भी आया
(खौं, खौं, खौं खौं खौं)
चुन चुन करती आई चिड़िया

साथ हमारे चले बराती
मैं तो हूँ मुन्ने का हाथी, मुन्ने का हाथी
सीधे दिल्ली जाऊँगा
तेरी दुल्हनिया लाऊँगा
मोर भी आया कौवा भी आया
चूहा भी आया बन्दर भी आया
(खौं, खौं, खौं खौं खौं)
चुन चुन करती आई चिड़िया

 ",Ab Dilli Door Nahin,1957,Dattaram,Hasrat,Rafi
"चुनरी चुनरी चुनरी चुनरी 
लाल गंज के लाल बाग से लाल चुनरिया लाई
लाल रंग में डाल डाल के लाल लाल रंगवाई
आजा ना छू ले मेरी चुनरी सनम
कुछ ना मैं बोलूँ तुझे मेरी कसम
आई जवानी सर पे मेरे
तेरे बिन क्या करूँ जवानी बेरहम हाय
आजा ना छू ले ...

मेरी चुनरी लाल रंग की शरमाए घबराए
तू जो डाले इस पे नज़र ये और लाल हो जाए
तेरी चुनरी लिपट लिपट के पागल मुझे बनाए
पहले से ही तड़प रहा था और मुझे तड़पाए
जान-ए-तमन्ना कर ना ऐसे सितम
कुछ ना मैं बोलूँ ...

चिकने चिकने बदन से तेरे सर सर चुनरी सरके
ऐसा लगे के बिन बादल अम्बर पे बिजली कड़के
जी करता है ये बिजली मैं तुझ पे आज गिराऊँ
तुझ को भर लूँ बाहोँ में ये चुनरी तुझे उड़ाऊँ
बढ़ता ही जाए दर्द हो ना खतम
कुछ ना मैं बोलूँ ...

 ",Biwi No. 1,1,Annu Malik,Sameer,"Abhijit, Anuradha Shriram, Cho..."
"क : चुनरी प्यार की उड़े आसमान में
 तेरे जैसा मेरे जैसा
 कोई आशिक़ नहीं इस जहान में

कु : मैं गंगा घाट का छोरा तू लड़की हैदराबादी
 कभी नहीं हो सकती रानी तेरी मेरी शादी
क : तू मेरे दिल का राजा मैं हूँ तेरी शहज़ादी
 क़ैद में कर लूँगी एक दिन तेरी सारी आज़ादी
कु : फँसूँ न मैं तेरी झूठी मुस्कान में
क : तेरे जैसा मेरे जैसा ...

 मौसम है क्या मस्ताना ऐसे में यार अकड़ ना
 सनम मुझे बाहों में भर ले छोड़ दे मुझसे लड़ना
कु : देखेगा कोई रस्ते में न कोई मेरी रुसवाई
 कभी ख़त्म न होगी रानी तेरी मेरी लड़ाई
 ग़ुल नहीं तुम सा कोई गुलिस्तान में
 तेरे जैसा मेरे जैसा ...

 ",Ghazab Tamaashaa,1992,Anand-Milind,Sameer,"Kumar Sanu, Kavita Subramaniam"
"म: चुनरी सम्भाल गोरी, उड़ी चली जाए रे
    मार न दे डंक कहीं, नज़र कोई हाय
    देख देख पग न फिसल जाए रे
    सारा रारा रारा राह ह आह (???)

ल: फिसलें नहीं चल के, कभी दुख की डगर पे
    ठोकर लगे हँस दें, हम बसने वाले, दिल के नगर के
म: अरे, हर कदम बहक के सम्भल जाए रे! (STOP!)
    सारा रारा रारा राह ह आह

म: किरणें नहीं अपनी, तो है बाहों का सहारा
    दीपक नहीं जिन में, उन गलियों में है हमसे उजाले
    अरे, भूल ही से चाँदनी खिल जाए रे! (STOP!)
    सारा रारा रारा राह ह आह

ल: पल छिन पिया पल छिन, अँखियों का अंधेरा
    रैना नहीं अपनी, पर अपना होगा कल का सवेरा
म: अरे, रैन कौन सी जो न ढल जाए रे! (STOP!)
    सारा रारा रारा राह ह आह 

 ",Baharon Ke Sapne,1967,R D Burman,Majrooh,"Manna Dey, Lata"
"चुनरी
उड़ी रे उड़ी
चुनरी उड़े तो अख फड़के दीवाने की जां तड़पे
जब कोई लड़की देखे तो दिल करे धक धक धक
धक धक धक
चुनरी उड़े तो ...

मेरे रूप रंग में जादू है मेरा अंग अंग मस्ताना
मेरी जिंदड़ी ओ मेरी जान-ए-मन सीने से आके लग जाना
शरबती आँखों में तेरे इन गालों में
मैं उलझ जाता हूं रेशमी बालों में
ऐसे न जा पागल करके दीवाने की जां तड़पे
चुनरी उड़े तो ...

मेरी सोणिये ज़रा करने दे कुछ प्यार व्यार की बातें
तेरे बिना नहीं कटती हैं तन्हाइयों में अब रातें
जागती रहती हूं नींद नहीं आती है
इश्क़ की बेचैनी मुझको तड़पाती है
शोला कोई तन में भड़के दीवाने की जां तड़पे
चुनरी उड़े तो ...

 ",Shikaari,2000,Aadesh Srivastava,Sameer,"Abhijit, Jaspindar Narula, Cho..."
