Song,Film,YearMusic Director,Lyricist,Singers
"चोरी चोरी देखा तुम्हें
चोरी चोरी चाहा तुम्हें
चोरी चोरी मांगा तुम्हें
चोरी चोरी पूजा तुम्हें
आपको तो खबर नहीं इसकी
आपको मैने कितना प्यार किया हाँ
आपको किस तरह मैं बताऊँ
कब कहाँ और कैसे दिल दिया हाँ
आपको तो खबर ...

मैने कहा क्या तुमने सुना
दिलबर तुम्हें ही मैने चुना
कहना तुम्हारा अच्छा लगा
सपना मुझे अब सच्चा लगा हाँ
आपको हाल-ए-दिल क्या सुनाऊँ
आपने चैन मेरा ले लिया हाँ
आपको तो खबर ...

देखो न मुझको अब दूर से
ये माँग भर दो सिंदूर से
कहता है मेरा दीवानापन
होके रहेगा अपना मिलन हाँ
आपसे जान-ए-मन क्या छुपाऊँ
आपको मैने माना है पिया हाँ
आपको तो खबर ...

 ",Om Jai Jagadish,2002,Annu Malik,Sameer,"Sonu Nigam, Alka Yagnik"
"अश:चोरी चोरी दिल का
(चोरी चोरी दिल का लगान बुरी बात है)-2
तलत:दिल को लगाके पच्तान बुरी बात है
बोथ:चोरी चोरी दिल का लगान बुरी बात है

अश:दिल से दिल जब टकराता है
प्यार नज़र में शरमाता है, शरमाता है
प्यार मेन देखो शरमाना बुरी बात है
अश:(चोरी चोरी दिल का लगान बुरी बात है)-2
तलत:दिल को लगाके पच्तान बुरी बात है
बोथ:चोरी चोरी दिल का लगाना बुरी बात है

तलत:छुपता है जब कोई नज़र से
उठती है एक आह जिगर से, आह जिगर से
अश:आहों से दिल को जलान बुरी बात है
बोथ:(चोरी चोरी दिल का लगान बुरी बात है)-2
दिल को लगाके पच्तान बुरी बात है
चोरी चोरी दिल का लगान बुरी बात है

 ",Badaa Bhaai,1957,Nashad,Prem Saxena,"Asha, Talat"
"चोरी चोरी किया रे
दिल यह दिल लिया रे
चोरी चोरी किया रे
दिल यह दिल लिया रे
जादू सा जादू किया किया रे

जागी सोई रहूँ
खोई खोई रहूँ
उसकी यादों में उसके ख़्वाबों में
झूमे जिया रे

crazy kiyaa re crazy किया रे
crazy kiyaa re O crazy
crazy किया रे

ना उसको पता
ना उसकी ख़ता
मैं उसपे मर गयी
ज़रा उसको बता

धीरे धीरे इक़रार में
कभी कभी इंतज़ार में
उसके ही प्यार में
झूमे जिया रे

crazy kiyaa re crazy किया रे
crazy kiyaa re O crazy
crazy किया रे

मैं यहाँ भी गयी
मैं वहाँ भी गयी
सोचा पल पल उसे
मैं जहाँ भी गयी

दिन हो या रात हो
वो मेरे साथ हो
जब उसकी बात हो
झूमे जिया रे

crazy kiyaa re crazy किया रे
crazy kiyaa re O crazy
crazy किया रे

 ",Dhoom 2,2,Pritam,Sameer,Sunidhi Chauhan
"चोरी चोरी ले गई दिल चोरी चोरी
ले गई दिल चोरी रे चोरी रे चोरी रे चोरी चोरी
तेरा चलना item है
तेरा रुकना item है
तेरा मुखड़ा item है
तेरा हँसना item है
तेरा नखरा item है
तेरा जलना item है
हाँ तेरा आना तेरा जाना तेरा दिल चुराना item है
चोरी चोरी ले गई ...

चोरी चोरी ले गया दिल चोरी चोरी
ले गया दिल चोरी चोरी

ताल ताल ताल ताल तौबा तेरी ताल
जाल जाल जाल जाल तेरा बेमिसाल हो
तू है एक चीज़ यारा बड़ी ही कमाल
तेरी पलकें item है
तेरी आँखें item है
तेरा झुमका item है
तेरा ठुमका item है
तेरा लटका item है
तेरा झटका item है
ओ तेरा आना तेरा जाना तेरा दिल चुराना item है
चोरी चोरी ले गई ...

जान जान जान जान तू है मेरी जान
नाम नाम नाम नाम दिल ये तेरे नाम ओ
तेरे इश्क़ में हो गई बड़ी बदनाम
तेरी बातें item है
तेरी यादें item है
तेरा बाहें item है
तेरा साँसें item है
तेरी हस्ती item है
तेरी मस्ती item है
ओ तेरा आना तेरा जाना तेरा दिल चुराना item है
चोरी चोरी ले गया ...

 ",Aamdani Atthani Kharcha Rupaiya,2001,Himesh Reshammiya,Sudhakar Sharma,"Udit Narayan, Alka Yagnik"
" 
चोरी चोरी मेरी गली आना है बुरा
- अइग
आ के बिना बात किये जाना है बुरा
- अइग्!

अच्छे नहीं ये इशारे
पेड़ों तले छुप-छुपाके
आओ न दो बातें कर लें
नज़रों से नज़रे मिला के
दिन हैं प्यार के, मौज बहार के
देखो भोले भाले दिल को तड़पाना है बुरा
चोरी चोरी मेरी गली आना है बुरा ...

दिल आ गया है तो प्यारे
बदनाम होने का डर क्या?
इश्क़-ओ-वफ़ा की गली में
दुनिया के ग़म का गुज़र क्या?
दिन हैं प्यार के, मौज बहार के
देखो भोले भाले दिल को तड़पाना है बुरा
चोरी चोरी मेरी गली आना है बुरा ...


 ",Jaal,1952,S D Burman,Sahir,"Lata, chorus"
"चोरी चोरी सपनों में आता है कोई
सारी सारी रात जगाता है कोई
दिल मेरा दिल बेकरार हो गया
ऐसा लगता है मुझे प्यार हो गया
चोरी चोरी सपनों में ...

बहके बहके कदम हैं पहला पहला नशा है
जाने क्या हो गया कब कुछ मुझे ना पता है
अपनी दीवानगी का हाल कैसे सुनाऊं
हो रहा दिल में क्या क्या कैसे उसको बताऊं
धीरे धीरे दर्द बढ़ाता है कोई
हौले हौले मुझे तड़पाता है कोई
दिल मेरा दिल बेकरार ...

ऐसा पहले कभी तो मुझको होता नहीं था
होश उड़ता नहीं था चैन खोता नहीं था
हां अब तो करवट बदलते रात भर जागती हूँ
रहती हूँ खोई खोई जाने क्या सोचती हूँ
आते जाते होश उड़ाता है कोई
कैसे कैसे मुझको सताता है कोई
दिल मेरा दिल बेकरार ...
 ",Chal Mere Bhaai,2000,Anand-Milind,Sameer,"Abhijit, Alka Yagnik"
"दिल ने फिर याद किया
चोरी चोरी सताने लगा रातों को भी जगाने लगा
लम्हा हसीन प्यार का दिल ने फिर याद किया

चारों तरफ़ ख़ुमार है मौसम भी बेकरार है
बहके हुए ख्यालों पे अब ना इख़्तियार है
लम्हा हसीन प्यार का ...

छाया अजब सुरूर है सारे गमों से दूर है
मस्ती में है ये ज़िंदगी कुछ तो हुआ ज़रूर है
धीरे धीरे जलाने लगा नींदों को भी चुराने लगा
लम्हा हसीन प्यार का ...

 ",Dil Ne Phir Yaad Kiya,2001,Aadesh Srivastava,Sameer,"Sonu Nigam, Alka Yagnik"
"चोरी चोरी सोलह सिंगार करूँगी
आज सारी रात इंतज़ार करूँगी
सोये हैं मेरे पीयरवा
सोये हैं मेरे पीयरवा

हो चोरी चोरी सोलह सिंगार करूँगी
आज सारी रात इंतज़ार करूँगी
सोये हैं मेरे पीयरवा
सोये हैं मेरे पीयरवा

हाँ हाँ चोरी चोरी सोलह सिंगार करूँगी

लिपटे बदन से शोले अगन के 
तेरी लगन के खेलो ना मन से मेरे
कह दूँगी मैं ये सजन से
हो हो हाँ हाँ 
तेरी लगन के खेलो ना मन से मेरे
कह दूँगी मैं ये सजन से
ना जी ना हाँ हाँ जी हाँ
एक ये गिला सौ बार करूँगी
आज सारी रात इंतज़ार करूँगी
सोये हैं मेरे पीयरवा
सोये हैं मेरे पीयरवा

हो चोरी चोरी सोलह सिंगार करूँगी

नैनों के रस्ते चुपके से आके
सपनों में जाके पायल बजाके छन से
रख दूँगी उनको जगाके
हो हो हाँ हाँ
सपनों में जाके पायल बजाके छन से
रख दूँगी उनको जगाके
ना जी ना हाँ हाँ जी हाँ
प्यार किया है मैंने प्यार करूँगी
आज सारी रात इंतज़ार करूँगी
सोये हैं मेरे पीयरवा
सोये हैं मेरे पीयरवा

हाँ हाँ चोरी चोरी सोलह सिंगार करूँगी
आज सारी रात इंतज़ार करूँगी
सोये हैं मेरे पीयरवा
सोये हैं मेरे पीयरवा

 ",Manoranjan,1974,R D Burman,Anand Bakshi,Asha
"चोरी चोरी तू दिल को चुरा ले गई
बंद आँखों से नींदे उड़ा ले गई
जादूगरनी है तू या है कोई बला
हाय ज़ोर ना दिल पे चला
न जाने मेरा क्या होगा
दीवाना मैं तो हो गया

हँस के तू मिलती है हर मुलाकात पर
बात ये जाएगी प्यार की बात पर
अब तेरे ख्वाबों में रोज़ आऊंगा मैं
इन हसीँ आँखों में डूब जाऊँगा मैं
आजा मिट जाने दे अब तो ये फ़ासला
हाय ज़ोर ना दिल पे ...

हर अदा बोलती हूं गुनगुनाती हुई
हर नज़र उठती है मुस्कुराती हुई
हाल-ए-दिल अपनों से यूँ छुपाते नहीं
दिल में जो रहते हैं दिल जलाते नहीं
जाने क्या रंग लाए अपना ये सिलसिला
हाय ज़ोर ना दिल पे ...

 ",Pyaasa,2002,Sanjeev-Darshan,Faiz Anwar,Sonu Nigam
"चोरी चोरी वो मेरे पास आया
खिड़की के नीचे से मुझको बुलाया
कहने लगा चल मेरे साथ रानी
मैने कोई उसकी बात न मानी
फिर उसने पूछा हफ़्ते का क्या program
हैं मिलके बितायेंगे कब एक शाम
तो मैने कहा

हूँ करती हूँ मैं तो प्यार सिर्फ़ sunday को
तुम करना मेरा इंतज़ार सिर्फ़ sunday को

monday को मुझे बड़ा काम है
इक पल भी ना आराम है
मंगल बुध को मैं क्या कहूँ
मुश्किल बड़ी गुलफ़ाम है
जुम्मेरात जुम्मा फिर बाज़ार जाऊँ
शनिवार को घर मैं देर से आऊँ
देर से आऊँ बाबा देर से आऊँ क्यूँकि
करती हूँ मैं इकरार सिर्फ़ sunday को
तुम करना मेरा ...

ऐसे यहाँ रोज़ मिलने में तो मुझको मज़ा नहीं आए
हो जाए ना बदनामी कहीं मेरा तो जी घबराये
माना के तू बेख्याल है
तेरा दीवानों सा हाल है
तेरे मेरे दर्मियां
रहने दें कुछ दिन की दूरियां
ये बेबसी मेरी जान ले क्यूँकि
करती हूँ मैं दीदार सिर्फ़ sunday को
तुम करना मेरा ...

लोगों की आँखों से सोलह बरस मैने संभाली जवानी
कर दूंगी उसके हवाले जो होगा मेरा दिलजानी
लाएगा डोला बारात वो
ले जाएगा मुझको साथ वो
मानूंगी ना तेरी बात मैं
हाथों में दूंगी ना हाथ मैं
जा रे जा कहा मेरा मान ले क्यूँकि
करती हूँ आँखें चार हाँ सिर्फ़ sunday को
तुम करना मेरा ...

 ",Ansh,2002,Nadeem-Shravan,Sameer,Kavita Subramaniam
