Song,Film,YearMusic Director,Lyricist,Singers
"तुम बिन नैया मोरी कौन तरावे -2
राम-राम-राम
तुम बिन नहीं चले

तुम बिन नैया मोरी कौन तरावे
आवो-आवो दीनबन्धु डूबत बचावो -2
नैया मोरी भव-सागर से पार लगावो

तुम बिन नैया मोरी कौन तरावे
राम-राम-राम

 ",Swarag Ki Sidhi/ Sati Vimla,1935,Ghulam Haider,Wali Saheb,Umrazia Begum
"ल : तुम बिन सजन बरसे नयन जब-जब बादल बरसे
र : मजबूर हम मजबूर तुम दिल मिलने को तरसे

ल : नागिन सी ये रात अँधेरी बैठी है दिल को घेर के
 रूठे जो तुम सब चल दिए मुख फेर के
 तुम बिन सजन ...

र : ये दिल तेरे प्यार की ख़ातिर जग से बेगाना हो गया
 एक ख़्वाब था सब लुट गया सब खो गया
ल : तुम बिन सजन ...

ल : प्यासे-प्यासे नैन हमारे रो-रो के हारे सजना
 आठों पहर बरसे गगन इस अँगना
 तुम बिन सजन ...

 ",Gaban,1966,Shankar-Jaikishan,Shailendra,"Rafi, Lata"
"तुम चाँद के साथ चले आओ,
ये रात सुहानी हो जाये
कुछ तुम कह दो कुछ हम कह दें,
और एक कहानी हो जाये
तुम चाँद के साथ ...

ख़ामोश किनारे सोये हैं,
चुप-चाप हैं नदिया की लेह्रें
इठलाते हुए तुम आ जाओ,
लहरों में रवानी हो जाये
तुम चाँद के साथ ...

बीती हुई घड़ियों की यादें,
ऐसे में अगर हम दोहराएं
मासूम मोहब्बत मुसकाये,
बेदार जवानी हो जाये
तुम चाँद के साथ ...


 ",Aashiyaanaa,1952,Madan Mohan,Rajinder Krishan,Lata
"तुम चाँद से हसीन हो तारों से पूछ लो
फूलों से खूबरू हो बहारों से पूछ लो

क्यों देखती है मेरी नज़र तुमको बार बार
अपनी नज़र के शोख इशारों से पूछ लो

क़िसमत मे हो जुदाई तो कैसे मिलाप हो
बहती नदी के दोनों किनारों से पूछ लो

कुछ आँसुओं से पूछ लो उल्फ़त की तल्खियाँ
कुछ बदनसीब प्यार के मारों से पूछ लो


 ",Aurat Teri Yahi Kahani,1954,Bulo C Rani,Butaram Sharma,Talat
"तुम चली जाओगी पर्छाइयाँ रह जाएंगी
कुछ न कुछ हुस्न की रानाइयाँ रह जाएंगी

सुन के इस झील के साहिल पे मिली हो मुझसे
जब भी देखूँगा यहीं मुझको नज़र आओगी
याद मिटती है न मंज़र कोई मिट सकता है
दूर जाकर भी तुम अपने को यहीं पाओगी
तुम चली जाओगी ...

घुल के रह जाएगी झोंकों में बदन की खुशबू
ज़ुल्फ़ का अक्स घटाओं में रहेगा सदियों
फूल चुपके से चुरा लेंगे लबों की सुर्खी
ये जवान हुस्न फ़िज़ाओं में रहेगा सदियों
तुम चली जाओगी ...

इस धड़कती हुई शदाब-ओ-हसीन वादी में
यह न समझो कि ज़रा देर का किस्सा हो तुम
अब हमेशा के लिये मेरे मुक़द्दर की तरह
इन नज़ारों के मुक़द्दर का भी हिस्सा हो तुम
तुम चली जाओगी ...

 ",Shagoon,1964,Khayyam,Sahir,Rafi
"हो भोले पिया
तुम चलो हमारे साथ बलमा 
डरियो ना 
आग लगे बंगले में हो बलमा
आग लगे बंगले में 
तुम चलो हमारे साथ बलमा 
चलो हमारे साथ बलमा 
डरियो ना 
आग लगे बंगले में हो बलमा
आग लगे बंगले में 

ये नैना और ये होंठ फूल हैं छुरी नहीं, छुरी नहीं, छुरी नहीं
दुनिया को हार के दिल की जीत कुछ बुरी नहीं, बुरी नहीं, बुरी नहीं
हो भोले पिया
तुम्हें मेरी क़सम
कोई करियो न ग़म

तुम चलो हमारे साथ बलमा 
चलो हमारे साथ बलमा 
डरियो ना ना
आग लगे बंगले में हो बलमा -2
आग लगे बंगले में 

कर लो जी आँखें चार प्यार से डरो नहीं, डरो नहीं, डरो नहीं
जीने के दिन हैं सरकार आज तुम मरो नहीं, मरो नहीं, मरो नहीं
हो भोले पिया
तुम्हें मेरी क़सम
कोई करियो न ग़म

तुम चलो हमारे साथ बलमा 
चलो हमारे साथ बलमा 
डरियो ना ना
आग लगे बंगले में हो बलमा -2
आग लगे बंगले में 

ये हैं मस्ताने दिन-रात लौट के आयेंगे ना, आयेंगे ना, आयेंगे ना
और लौट के आ भी गये तो हमको पायेंगे ना,  पायेंगे ना, पायेंगे ना
हो भोले पिया
तुम्हें मेरी क़सम
कोई करियो न ग़म

तुम चलो हमारे साथ बलमा 
चलो हमारे साथ बलमा 
डरियो ना ना ना ना
आग लगे बंगले में हो बलमा -2
आग लगे बंगले में 

 ",House No. 44,44,S D Burman,Sahir,Asha
"चुरा लो दिल चुरा लो दिल
तुम चुरा लो दिल मेरा सनम सुनो बुरा क्या है
दिल तुम्हारा हो चुका सनम सुनो बुरा क्या है
दिल देना था दिल दे चुके तुमपे मरना था हम मर चुके
और क्या करें बोलो ना
तुम चुरा लो ...

पल पल तेरा अब इंतज़ार दिल भी रहे कुछ बेकरार
जीना मुश्किल हुआ है अजब प्यार का ये खुमार
याद तेरी आती रहे जान मेरी जाती रहे
ये मुझे क्या हो गया बिन तेरे कुछ ना अच्छा लगे
दिल देना था ...

दिल की धड़कन बस तू ही तू मेरी चाहत बस तू ही तू
लो कसम की खाई कसम मेरी दुनिया बस तू ही तू
मुझको ना करो इतना प्यार कल का क्या पता मेरे यार
इस प्यार की जीत में हो न जाए कहीं अपनी हार
दिल देना था ...

 ",Hum To Mohabbat Karegaa,2000,Annu Malik,Majrooh,"Annu Malik, Shraddha Pandit"
"तुम दिल की धड़कन में रहते हो तुम रहते हो
तुम दिल की धड़कन में रहते हो रहते हो
मेरी इन साँसों से कहते हो कहते हो
बाहों में आ जाओ सपनों में खो जाओ
तुम दिल की ...

दीवानों सा हाल हुआ हमको उनसे प्यार हुआ
दीवानों सा हाल हुआ हमको तो उनसे प्यार हुआ
धीरे से वो पास आए चुपके से इज़हार हुआ
अब न किसी से डरना है संग जीना मरना है
बाहों में आ जाओ ...

दुनिया ने ठुकराया है बस तुमने अपनाया है
दिल को कितना चैन मिला सबने इतना सताया है
अपना है इक सपना इक तू ही हो अपना
आ हा हा आ हा हा सपनों में खो जाओ ...
रहते हो रहते हो
हे क्या मैं ही कहता रहूँगा और तुम कुछ भी नहीं कहोगी
आ आ हा हा आ हा हा हा
रू रू रू रू ला ला ल ला अच्छा लगा हाँ 
आ हा हा आ हा हाअ रहते हो रहते हो सच
आ हा हा आ हा हाअ कहते हो कहते हो
बाहों में आ जाओ सपनों में खो जाओ
तुम दिल की धड़कन में रहते हो बस तुम रहते हो
तुम दिल की धड़कन में रहते हो तुम रहते हो
मेरी इन साँसों से कहते हो कहते हो
बाहों में आ जाओ सपनों में खो जाओ
तुम दिल की ...

देर न कर दुनिया से न डर सुन ले दुआ ओ बेखबर
रूठ के मुझसे जान-ए-जिगर कटता नहीं तेरे बिन ये सफ़र
नज़रें ढूँढें तुझको आ मिल जा तू मुझको
बाहों में आ जाओ ...

कुछ ना कहो चुप ही रहो देखो धड़कन कहती है
लौट आया है मीत मेरा अँखियों से नदिया बहती है
कैसे गुज़रे ये दिन पूछो न तेरे बिन
बाहों में आ जाओ ...

 ",Dhadkan/ Never Break A Heart,2000,Nadeem-Shravan,Sameer,"Abhijit, Alka Yagnik/ Sumar Sanu"
"(तुम दूर जाओगे कैसे, दामन बचाओगे कैसे
हमें तुम भुला न सकोगे ) -2
तुम दूर जाओगे कैसे ...

जितना भुलाओगे तुम उतना ही याद आएँगे
नींदें चुरा लेंगे हम, ख़्वाबों में घुल जाएँगे
ख़्वाबों में घुल जाएँगे, तड़पेंगे तड़पाएँगे
तुम दूर जाओगे कैसे ...

दिल की लगी बनके हम दिल में सुलग जाएँगे
पलकों में आकर कभी अश्कों में लहराएँगे
अश्कों में लहराएँगे, दामन में खो जाएँगे
तुम दूर जाओगे कैसे ...

 ",Gustakhi Maaf/ Kshama Yaachana,1969,Sapan-Jagmohan,Naqsh Lyallpuri,Asha
"तुम एक बार मुहब्बत का इम्तहान तो लो
मेरे जुनूँ मेरी वहशत का इम्तहान तो लो
तुम एक बार   ...

सलाम-ए-शौक़ पे रंजिश भरा पयाम न दो
मेरे ख़ोलूस को फ़िरास-ओ-हवस का नाम न दो
मेरी वफ़ा की हक़ीकत का इम्तहान तो लो
तुम एक बार   ...

न तख़्त-ओ-ताज न लाल-ओ-गुहर की हसरत है
तुम्हारे प्यार तुम्हारी नज़र की हसरत है
तुम अपने हुस्न की अज़मत का इम्तिहान तो लो
तुम एक बार   ...

मैं अपनी जान भी दे दूँ तो ऐतबार नहीं
के तुम से बढ़के मुझे ज़िंदगी से प्यार नहीं
यूँ ही सही मेरी चाहत का इम्तिहान तो लो
तुम एक बार   ...

 ",Baabar,1960,Roshan,Sahir,Rafi
