,Song,Film,Year,Music Director,Lyricist,Singers
3000,http://giitaayan.com/viewisbsong.asp?id=21439,Duniya,1984,R D Burman,Javed Akhtar,"Lata, Kishore"
3001,http://giitaayan.com/viewisbsong.asp?id=12450,Qeemat,1998,Rajesh Roshan,Indeevar,
3002,http://giitaayan.com/viewisbsong.asp?id=12451,Qeemat,1998,Rajesh Roshan,Indeevar,
3003,http://giitaayan.com/viewisbsong.asp?id=610,Aankhen,1968,Ravi,Sahir,Lata
3004,http://giitaayan.com/viewisbsong.asp?id=15336,Ghulam Ali (Non-Film),1987,Ghulam Ali,K M Arif,Ghulam Ali
3005,http://giitaayan.com/viewisbsong.asp?id=14801,Bahut Din Huye,1954,B S Kalla,Pt Indra,Lata
3006,http://giitaayan.com/viewisbsong.asp?id=14930,(Non-Film),1960,,,Chorus
3007,http://giitaayan.com/viewisbsong.asp?id=rmim0265,Chaand,1959,Hemant Kumar,Akhtar Lakhnavi,"Ranganath Jadhav, Chorus"
3008,http://giitaayan.com/viewisbsong.asp?id=11694,Hum Tumhare Hain Sanam,2002,Bappi Lahiri,Maya Govind,"Kumar Sanu, Bela Sulakhe, Chorus"
3009,http://giitaayan.com/viewisbsong.asp?id=20637,Badal Aur Bijlee,1973,Sohail Rana,Fayyaz Hashmi,Noorjehan
3010,http://giitaayan.com/viewisbsong.asp?id=611,Dil Hai Ki Maantaa Naheen,1991,Nadeem-Shravan,Sameer,"Anuradha Paudwal, Kumar Sanu"
3011,http://giitaayan.com/viewisbsong.asp?id=613,Shahjehan,1946,Naushad,Majrooh,Saigal
3012,http://giitaayan.com/viewisbsong.asp?id=11711,Hamaaraa Dil Aapke Paas Hai,2000,Sanjeev-Darshan,Javed Akhtar,Udit Narayan
3013,http://giitaayan.com/viewisbsong.asp?id=12391,Kaartoos,1999,Nusrat Fateh Ali Khan,Majrooh,"Alka Yagnik, Chorus"
3014,http://giitaayan.com/viewisbsong.asp?id=10431,Armaan,2003,Shankar-Ehsaan-Loy,Javed Akhtar,Amitabh Bachchan
3015,http://giitaayan.com/viewisbsong.asp?id=614,Manchali,1973,Laxmikant-Pyarelal,Anand Bakshi,"Kishore, Leena Chandavarkar"
3016,http://giitaayan.com/viewisbsong.asp?id=616,Sushila,1966,C Arjun,Jaan Nisar Akhtar,"Talat, Rafi"
3017,http://giitaayan.com/viewisbsong.asp?id=10312,Amaanush,1975,Shyamal Mitra,Indeevar,Asha
3018,http://giitaayan.com/viewisbsong.asp?id=2573,Shaahzaadaa,1955,S Mohinder,Tanvir Naqvi,Talat
3019,http://giitaayan.com/viewisbsong.asp?id=14700,Zor,1998,Agosh,Anand Bakshi,Agosh
3020,http://giitaayan.com/viewisbsong.asp?id=617,Mere Huzoor,1968,Shankar-Jaikishan,Hasrat,Rafi
3021,http://giitaayan.com/viewisbsong.asp?id=15338,Lamha Lamha (Non-Film),1993,Rafique Husain / Ghulam Ali,Saifuddin Saif,Ghulam Ali
3022,http://giitaayan.com/viewisbsong.asp?id=11417,Eighteen Fifty Seven/ 1857,1857,Sajjad Hussain,Mohan Singh,Suraiya
3023,http://giitaayan.com/viewisbsong.asp?id=rmim0038,Vallah Kya Baat Hai,1962,Roshan,Anand Bakshi,Rafi
3024,http://giitaayan.com/viewisbsong.asp?id=13644,Parwana,2003,Sanjeev-Darshan,Sameer,"Vinod Rathod, Farid Sabri"
3025,http://giitaayan.com/viewisbsong.asp?id=15232,Humse Badhkar Kaun,1981,Ram Laxman,Ravindra Rawal,"Rafi, Asha, Bhupinder, Shailen..."
3026,http://giitaayan.com/viewisbsong.asp?id=15234,Agnipath,1990,Laxmikant-Pyarelal,Anand Bakshi,"Sudesh Bhosle, Kavita Krishnam..."
3027,http://giitaayan.com/viewisbsong.asp?id=21235,Gul Bahar,1954,Khayyam,Shevan Rizvi,Talat Mahmood
3028,http://giitaayan.com/viewisbsong.asp?id=14683,Yakeen,1969,Shankar-Jaikishan,Hasrat,Rafi
3029,http://giitaayan.com/viewisbsong.asp?id=13649,Paap,2003,Ali Azmat,"Sabir Zafar, Ali Azmat",Ali Azmat
3030,http://giitaayan.com/viewisbsong.asp?id=14762,Koel (Pakistan),1959,Khurshid Anwar,,Ustad Fateh Ali Khan
3031,http://giitaayan.com/viewisbsong.asp?id=618,Malhaar,1951,Roshan,Traditional,Lata
3032,http://giitaayan.com/viewisbsong.asp?id=619,Barsaat Ki Raat,1960,Roshan,Sahir,"Suman, Kamal Barot"
3033,http://giitaayan.com/viewisbsong.asp?id=620,Reshmi Roomal,1961,Babul,Raja Mehdi Ali Khan,Mukesh
3034,http://giitaayan.com/viewisbsong.asp?id=2068,Chhoo Mantar,1956,O P Nayyar,Jaan Nisar Akhtar,Rafi
3035,http://giitaayan.com/viewisbsong.asp?id=21372,Ladli,1949,Anil Biswas,Hudda,"Lata, Chorus"
3036,http://giitaayan.com/viewisbsong.asp?id=13277,Nayaa Aadmi,1956,Madan Mohan,Rajinder Krishan,Rafi
3037,http://giitaayan.com/viewisbsong.asp?id=3328,Ek Din Ka Sultan,1945,Rafiq Gazhnavi,Wali Sahab,Amirbai
3038,http://giitaayan.com/viewisbsong.asp?id=14508,Udan Khatolaa,1955,Naushad,Shakeel,Lata
3039,http://giitaayan.com/viewisbsong.asp?id=3329,Roti,1942,Anil Biswas,Dr Safdar 'Aah',Ashraf Khan
3040,http://giitaayan.com/viewisbsong.asp?id=rmim0001,Mela,1948,Naushad,Shakeel,Shamshad
3041,http://giitaayan.com/viewisbsong.asp?id=608,Subah Kaa Taaraa,1954,C Ramchandra,Noor Lucknowi,"Talat, Lata"
3042,http://giitaayan.com/viewisbsong.asp?id=11472,Fizaa,2000,Annu Malik,Sameer,"Sonu Nigam, Chorus"
3043,http://giitaayan.com/viewisbsong.asp?id=15340,Meraj-E-Ghazal (Non-Film),1983,Ghulam Ali,Nasir Kazmi,"Ghulam Ali, Asha / Ghulam Ali"
3044,http://giitaayan.com/viewisbsong.asp?id=622,Qayamat Se Qayamat Tak,1988,Anand-Milind,Majrooh,"Alka Yagnik, Udit Narayan"
3045,http://giitaayan.com/viewisbsong.asp?id=15033,Waaris,1954,Anil Biswas,Qamar Jalalabadi,Rajkumari
3046,http://giitaayan.com/viewisbsong.asp?id=623,Jhumroo,1961,Kishore,Majrooh,Kishore
3047,http://giitaayan.com/viewisbsong.asp?id=2837,Jogan,1950,Bulo C Rani,Pt. Indra,Geeta
3048,http://giitaayan.com/viewisbsong.asp?id=2574,Madhumati,1958,Salil Chowdhury,Shailendra,Lata
3049,http://giitaayan.com/viewisbsong.asp?id=2838,Anokha Pyar,1948,Anil Biswas,G S Nepali,Lata
3050,http://giitaayan.com/viewisbsong.asp?id=11537,Ghaat,2000,Salim-Sulaiman,Sameer,"Om Puri, Karsan Sagaria, Suleman"
3051,http://giitaayan.com/viewisbsong.asp?id=624,Munimji,1955,S D Burman,Shailendra,Lata
3052,http://giitaayan.com/viewisbsong.asp?id=3330,Mahal,1949,Khemchand Prakash,Nakshab,Rajkumari
3053,http://giitaayan.com/viewisbsong.asp?id=12644,Lagaan,2001,A R Rahman,Javed Akhtar,"Udit Narayan, Alka Yagnik, Suk..."
3054,http://giitaayan.com/viewisbsong.asp?id=625,Chhote Nawab,1961,R D Burman,Shailendra,Lata
3055,http://giitaayan.com/viewisbsong.asp?id=rmim0018,Garam Coat/ The Clerk And The Coat,1955,Amarnath,Majrooh,Lata
3056,http://giitaayan.com/viewisbsong.asp?id=11153,Dilwaale Dulhaniyaa Le Jaayenge,1995,Jatin-Lalit,Anand Bakshi,"Pramila Chopda, Manprit Kaur"
3057,http://giitaayan.com/viewisbsong.asp?id=3077,Udan Khatolaa,1955,Naushad,Shakeel,Lata
3058,http://giitaayan.com/viewisbsong.asp?id=rmim0454,Khushboo,1975,R D Burman,Gulzar,Asha
3059,http://giitaayan.com/viewisbsong.asp?id=2325,Tamannaa,1996,Annu Malik,Nida Fazli,Sonu Nigam
3060,http://giitaayan.com/viewisbsong.asp?id=626,Papa Kehte Hain,1996,Rajesh Roshan,Javed Akhtar,Udit Narayan
3061,http://giitaayan.com/viewisbsong.asp?id=10829,Chorani (Non-Film),2000,Anand Raj Anand,Shaam Balkar,"Hans Raj Hans, Chorus"
3062,http://giitaayan.com/viewisbsong.asp?id=11578,Ghar Sansaar,1986,Rajesh Roshan,Indeevar,Asha
3063,http://giitaayan.com/viewisbsong.asp?id=rmim0172,Gajre,1948,Anil Biswas,G S Nepali,Lata
3064,http://giitaayan.com/viewisbsong.asp?id=rmim0602,(Non-Film),1988,,Kabir,Veena Sahasrabuddhe
3065,http://giitaayan.com/viewisbsong.asp?id=628,Tansen,1943,Khemchand Prakash,D N Madhok,Khursheed
3066,http://giitaayan.com/viewisbsong.asp?id=10063,Arjun Pandit,1999,Dilip Sen-Sameer Sen,Javed Akhtar,"Jaspindar Narula, Chorus"
3067,http://giitaayan.com/viewisbsong.asp?id=3078,Sardari Begum,1996,Vanraj Bhatia,Javed Akhtar,Arti Ankalikar
3068,http://giitaayan.com/viewisbsong.asp?id=2326,Daak Baabu,1954,Pt Dhaniram,Prem Dhawan,"Talat, Suman Kalyanpur"
3069,http://giitaayan.com/viewisbsong.asp?id=2839,Shagoofaa,1953,C Ramchandra,Rajinder Krishan,Lata
3070,http://giitaayan.com/viewisbsong.asp?id=2069,Bawre Nain,1950,Roshan,Kedar Sharma,Rajkumari
3071,http://giitaayan.com/viewisbsong.asp?id=20776,Dak Babu,1954,Dhaniram,Prem Dhawan,"Mubarak Begum, Talat Mahmood"
3072,http://giitaayan.com/viewisbsong.asp?id=3331,Beti,1941,Gyan Dutt,,Khursheed
3073,http://giitaayan.com/viewisbsong.asp?id=13598,Pyar Ka Bandhan,1963,Ravi,Sahir,Rafi
3074,http://giitaayan.com/viewisbsong.asp?id=11635,Gulaam Begum Baadshaah,1973,Kalyanji-Anandji,Rajinder Krishan,Rafi
3075,http://giitaayan.com/viewisbsong.asp?id=2575,Chor Machaaye Shor,1974,Ravindra Jain,Ravindra Jain,Kishore
3076,http://giitaayan.com/viewisbsong.asp?id=rmim0702,Sapan Suhane,1961,Salil Chowdhury,Shailendra,"Lata, Chorus"
3077,http://giitaayan.com/viewisbsong.asp?id=2840,Rangeen Raaten,1956,Roshan,Kedar Sharma,"Sudha Malhotra, Mubarak Begum"
3078,http://giitaayan.com/viewisbsong.asp?id=15179,Aanchal,1960,C Ramchandra,Pradeep,Asha
3079,http://giitaayan.com/viewisbsong.asp?id=12274,Jogan,1950,Bulo C Rani,Meerabai,Geeta Roy
3080,http://giitaayan.com/viewisbsong.asp?id=629,Hum Hain Raahi Pyaar Ke,1993,Nadeem-Shravan,Sameer,"Alka Yagnik, Kumar Sanu"
3081,http://giitaayan.com/viewisbsong.asp?id=14561,Vijetaa,1996,Anand-Milind,Sameer,"Bela, Chorus"
3082,http://giitaayan.com/viewisbsong.asp?id=12928,Mother India,1957,Naushad,Shakeel,Lata
3083,http://giitaayan.com/viewisbsong.asp?id=rmim0599,Bhartruhari,1944,Khemchand Prakash,Pt Indra,Jahanara Kajjan
3084,http://giitaayan.com/viewisbsong.asp?id=15341,Saugaat (Non-Film),1996,Jay-Vijay,Daur Dehlvi,Ghulam Ali
3085,http://giitaayan.com/viewisbsong.asp?id=2576,Satya,1998,Vishal,Gulzar,Lata
3086,http://giitaayan.com/viewisbsong.asp?id=630,Geet Gaataa Chal,1975,Ravindra Jain,Ravindra Jain,Jaspal Singh
