Song,Film,YearMusic Director,Lyricist,Singers
"जहाँ वो जायेगी, वहीं हम जायेंगे (2) 

खुद को क्या समझती है कितना अकड़ती है
कौलेज में नयी नयी आयी एक लड़की है

हो यारों ये हमें लगती है सिरफ़िरी
आओ चखा दें मज़ा

तौबा तौबा ये अदा
दीवानी है क्या पता
पूछो ये किस बात पे इतना इतराती है
जाने किस की भूल है
ये गोभी का फूल है
बिल्ली जैसे लगती है मेकप जब करती है
गालों पे जो लाली है
होठों पे गाली है
ये जो नखरे वाली है
लड़की है या है बला

खुद को क्या समझता है कितना अकड़ता है 
कौलेज का नया नया मजनू ये लगता है 
हमसे हो गया अब इसका सामना 
आओ चखा दें मज़ा 

खुद ...

हमको देता है गुलाब नीयत इसकी है खराब 
सावन के अँधे को तो हरियाली दिखती है 
क्या इसको ये होश है ये धरती पर बोझ है 
मर्द है ये सिर्फ़ नाम का आखिर किस काम का 
चेहरा अब क्यों लाल है 
बदली क्यों चाल है 
अरे इतना अब क्यों बेहाल है 
हम भी तो देखें ज़रा 
खुद को क्या 

हमसे आँखें चार करो छोड़ो गुस्सा प्यार करो 
यारों के हम यार हैं लड़ना बेकार है 

उलझन में ये पड़ गये शायद हम से डर गये 
देंगे भर के प्यार के देखो ये हार के 
प्यार कि ये रीत है हार भी जीत है 

सबसे बढ़ कर प्रीत है 

लगजा गले दिलरुबा 

 ",Khilaadi,1992,Jatin-Lalit,Shyamraj,"Abhijit, Udit Narayan, Kavita ..."
"खुद से बातें करते रहना, बातें करते रहना
ओ, आँखें मीचे दिन में मीठी रातें करते रहना
खुद से बातें   ...

खुद से कहना जाती हूँ मैं
खुद से कहना आई मैं
ऐसा भी होता है न
हल्की सी तन्हाई में
तन्हाई में तसवीरों के चेहरे भरते रहना
खुद से बातें   ...

भीगे भीगे मौसम में क्यों
बरखा प्यासी लगती है
जी तो खुश होता है लेकिन
एक उदासी लगती है
ऐं वैं ही बस रूठी खुद से
ऐं वैं मनते रहना
खुद से बातें   ...


 ",Maayaa Memsaab,1992,Hridaynath Mangeshkar,Gulzar,Lata
"खुदा भी आसमाँ से जब ज़मीं पर देखता होगा
मेरे महबूब को किसने बनाया सोचता होगा
खुदा भी ...

मुसव्विर खुद परेशां है के ये तस्वीर किसकी है
बनोगी जिसकी तुम ऐसी हसीं तक़दीर किसकी है
कभी वो जल रहा होगा, कभी खुश हो रहा होगा
खुदा भी ...

ज़माने भर की मस्ती को निगाहों में समेटा है
कली से जिस्म को कितने बहारों ने लपेटा है
नहीं तुम सा कोई पहले न कोई दूसरा होगा
ख़ुदा भी ...

फ़रिश्ते भी यहाँ रातों को आकर घूमते होंगे
जहाँ रखती हो तुम पाँव, जगह वो चूमते होंगे
किसीके दिल पे क्या गुज़री, ये वो ही जानता होगा
खुदा भी ...

 ",Dharti,1970,Shankar-Jaikishan,Rajinder Krishan,Rafi
"खुदा ही जुदा करे तो करे,
कोई ताकत जुदा हमको नहीं कर पाएगी
कमसिन हो हसीना हो, वो हुस्न का चाहे नगीना हो
हो कोई सूरत जुदा हमको नहीं कर पाएगी, खुदा ही ...

हम खूबियों के भी आशिक़, हम गोरियाँ के भी शैदा 
एक दूसरे के लिये ही, हमें रब ने किया जैसे पैदा
वो चाहे रखे अमीरी में, वो चाहे रखे फ़कीरी में
हो कोई हालत जुदा हमको नहीं कर पाएगी, खुदा ही ...

भूले से कोई परी जो, हम दोनों को भाने लगेगी
वो बीच में दो दिलों के, कभी दीवार बन ना सकेगी
हम तेरे लिये तो जहाँ छोड़ दें, परियाँ तो क्या हम जाँ छोड़ दें
हो पूरी जन्नत जुदा हमको नहीं कर पाएगी, खुदा ही ...

हमप्याला और हमनिवाला, हमराही हमराज़ हमदम
हम जो गिरें थामना तुम, तुम जो गिरो थामेंगे हम
तूफ़ान हो चाहे किनारा हो, एक दूसरे का सहारा हो
हो कोई आगत जुदा हमको नहीं कर पाएगी, खुदा ही ...

 ",Aap To Aise Na The,1980,Usha Khanna,Indeevar,"Kishore, Rafi"
"खुदा-ए-बर्तर तेरी ज़मीं पर, ज़मीं की खातिर ये जंग क्यों है
हर एक फ़तह-ओ-ज़फ़र के दामन पे खून-ए-ईन्सां का रंग क्यों है
खुदा-ए-बर्तर ...

ज़मीं भी तेरी, हैं हम भी तेरे, ये मिल्कियत का सवाल क्या है
ये कत्ल-ओ-ख़ूँ का रिवाज़ क्यों है, ये रस्म-ए-जंग-ओ-जदाल क्या है
जिन्हे तलब है जहान भर की, उन्ही का दिल इतना तंग क्यों है
खुदा-ए-बर्तर ...

ग़रीब माँओ शरीफ़ बेहनों को अम्न-ओ-इज़्ज़त की ज़िंदगी दे
जिन्हे अता की है तू ने ताक़त, उन्हे हिदायत की रोशनी दे
सरों में किब्र-ओ-ग़ुरूर क्यों हैं, दिलों के शीशे पे ज़ंग क्यों है
खुदा-ए-बर्तर ...

ख़ज़ा के रस्ते पे जानेवालों को बच के आने की राह देना
दिलों के गुलशन उजड़ न जाए, मुहब्बतों को पनाह देना
जहाँ में जश्न-ए-वफ़ा के बदले, ये जश्न-ए-तीर-ओ-तफ़ंग क्यों है
खुदा-ए-बर्तर ...

खुदा-ए-बर्तर तेरी ज़मीं पर, ज़मीं की खातिर ये जंग क्यों है
हर एक फ़तह-ओ-ज़फ़र के दामन पे खून-ए-इन्सां का रंग क्यों है
खुदा-ए-बर्तर ...

 ",Taj Mahal,1963,Roshan,Sahir,Lata
"खुल गया नसीब देखो साला बन गया अंग्रेज गांव वाला
देख मेरे भाई रंग बिरंगी टाई
धोती कुर्ता छोड़ा मैने suit boot डाला
खुल गया नसीब ...

आया मैं बन ठन के ऐसे आया जैसे कोई जापान से
निकला मैं इन रास्तों से देखो ज़रा क्या शान से
हाथों में महंगी घड़ी है लाखों की इसकी छड़ी है
देख मेरे भाई ...

बदला है ये रूप मेरा बदला मेरा ये style है
मारे खुशी के हूँ पागल होंठों पे देखो ना क्या smile है
मस्ती में ये तो है डूबा लगता है कोई अजूबा
देख मेरे भाई ...

 ",Bhaai,1997,Anand-Milind,Sameer,Udit Narayan
"खुला है मेरा पिंजरा
हां खुला है मेरा पिंजरा आ मेरी मैना
चुरा ना ऐसे अखियां लड़ने दे नैना
तू है शिकारी मुझे है पता
जुल्मी तू अपना इरादा बता
हां खुला है मेरा पिंजरा ...

मैने देखा तूने देखा मैं मर गई
अरे जादू कोई दिल पे मेरे तू कर गई
तुझे पलकों में मैं बंद करके रखूं
मैं तुझे अपनी बाहों में भरके रखूं
न यूं झूठे मूठे बहाने बना
मुझे यार है तेरी मर्ज़ी पता
खुला है मेरा पिंजरा ...

तूने मेरे दिल को छीना तू मान ले
अरे मैं हूं तेरे दिल का राजा तू जान ले
तेरे पहलू में जीने में आए मज़ा
तेरी आँखों से पीने में आए मज़ा
मुझे पीने वाला महकता रहे
मुहब्बत में है मेरी ऐसा नशा
खुला है मेरा पिंजरा ...

 ",Joru Kaa Ghulaam,2000,Aadesh Srivastava,Sameer,"Kumar Sanu, Alka Yagnik"
"खुली हवा में डोले रे आज मेरा मन बोले रे

दिल की दवा ले के आएगा साँवरिया
बदरिया जो छाई संदेसवा ऐसा लाई
कि सुन-सुन मैं तो शरमाई घबराई
किसी ने चोरी-चोरी मेरे घूँघट के पट खोले रे
दिल की दवा ले के ...

लाज की मारी मैं तो हुई रे बावरिया
मैं अँखियाँ झुकाऊँ या मुखड़ा छुपाऊँ
समझ में न आए हाय कित जाऊँ
आज किसी ने मुझे पुकारा प्यार से हौले-हौले रे
दिल की दवा ले के ...

 ",Champaakali,1957,Hemant Kumar,Rajinder Krishan,Lata
"खुली जो आँख तो वो था न वो ज़माना था
दहकती आग थी तन्हाई थी फ़साना था

ग़मों ने बाँट लिया है मुझे यूँ आपस में
कि जैसे मैं कोई लूटा हुआ ख़ज़ाना था

जुदा है शाख़ से गुल-रुत से आशियाने से
कली का जुर्म घड़ी भर का मुस्कुराना था

ये क्या कि चन्द ही क़दमों में थक के बैठ गये
तुम्हें तो साथ मेरा दूर तक निभाना था

मुझे जो मेरे लहू में डबो के गुज़रा है
वो कोई ग़ैर नहीं यार एक पुराना था

ख़ुद अपने हाथ से 'शहज़ाद्' उसको काट दिया
कि जिस दरख़्त की टहनी पे आशियाना था

 ",Kehna Usey (Non-Film),1984,Mehdi Hasan,Farhat Shahzad,Mehdi Hasan
"ज़रा थहरो ज़रा थहरो
सदा मेरे दिल की ज़रा सुनती जाओ

खुली पलक में झूथा गुस्सा बन्द पलक में प्यार
जीना भी मुश्किल हाय मरना भी मुश्किल
आंखों में इकरार की झल्की होथों पर इन्कार
जीना भी मुश्किल हाय मरना भी मुश्किल

जिस दिन से देखा तुमको तुम लगे मुझे अपने से
और आके रहे आंखों में हाय
और आके रहे आंखों में इक मनचाहे सपने से
समझ ना आये क्या जीता मैं और गया क्या हार
जीना भी मुश्किल हाय मरना भी मुश्किल
...

तुम प्यार छुपाके हारे मैं प्यार जताके हारा
अब तो सारी दुनिया पे हाय
अब तो सारी दुनिया पे ज़ाहिर है हाल हमारा
पहुंच के इस मन्ज़िल पे लौतना अब तो है दुश्वार
जीना भी मुश्किल हाय मरना भी मुश्किल
...

इसे मेरी बात न समझो क्या बनता है बात बना के
कुछ कहना था मेरे दिल का हाय
कुछ कहना था मेरे दिल का जाता हूँ वही दोहरा के
न हो यक़ीं तो पढ़कर देखो आँखों में इक बार
जीना भी मुश्किल हाय मरना भी मुश्किल
...

 ",Professor,1962,Shankar-Jaikishan,Shailendra,Rafi
"मु : खुली-खुली ज़ुल्फ़ों को बाँध भी लो
 हो जाए न दुनिया में शाम कहीं
ऊ : ( यूँ न देखो ) -2 तुम मुझको
 हो जाएं न हम बदनाम कहीं

 आँखें क्यों झुकने लगी हैं आँचल क्यों ढल जाता है
 कुछ तो बताओ ऐ जादूगर ये जादू क्यों चल जाता है
मु : ( भोली ) -3 बातें छोड़ भी दो
 हो जाए न बातें ये आम कहीं
ऊ : यूँ न देखो ...

मु : जाम चुराकर इन आँखों के आज नशे में चूर हूँ मैं
 चोर नहीं मैं जान-ए-तमन्ना आदत से मजबूर हूँ मैं
ऊ : ( चोरी ) -3 की ये बात करो न आ जाए न कोई इल्ज़ाम कहीं
मु : खुली-खुली ज़ुल्फ़ों ...

ऊ : जान तुम्हारे बस में कर दी दिल नज़राना दे डाला
 तुम भी सनम क्या याद करोगे हमने क्या-क्या दे डाला
मु : ऐ जी हमपे ना एहसान करो हो जाएं न हम नीलाम कहीं
ऊ : यूँ न देखो ...

 ",Banarsi Thug,1962,Iqbal Qureshi,Aziz Qaisi,"Mukesh, Usha"
"खुल्लम खुल्ला प्यार करें करें कभी चोरी से
ले के तुझ को साथ चलें जहाँ के पार कहीं पे
कभी तो मोहब्बत कभी तो है लफ़ड़ा
कोई यहाँ हल्का कोई यहाँ तगड़ा

ऐ Time Time की बात है प्यारे मैं रगड़ा या तू रगड़ा
चला करेगा साथ में ये सब साथ रहेंगे दो दिल जब तक
संग तेरे कभी संग मेरे कैसी कैसी आँख मिचौली
निकल ले भइये सम्भल ले भइये निकल ले भइये रेऽ

नहले पे दहला पड़ जाए पड़े सोच में नहला
कोई ना जाने कौन आखरी कौन यहाँ पर पहला
लगे यहाँ जो दाँव कभी दुनिया मुट्ठी में हो जाए
अरे पिटे जो मोहरा क़िस्मत का तो सब मिट्टी में मिल जाएऽ
खेल बड़ा है अजब निराला थोड़ा गड़बड़ थोड़ा झाला
समझ सके तो समझ ले यारा जीवन जैसे एक ठिठोली

जान जान कर हमने जाना बस इतना ही जाना
चार दिनों का चक्कर सारा क्या अपना क्या बेगाना
खट्टी मीठी तक़रारें सब ये तो चलती रहती हैं
प्यार की बातें लेकिन फिर भी दिल में पलती रहती हैं
प्यार से है ये दुनिया प्यारी और तो झूठी दुनियादारी
सोलह आना बात है सच्ची दिल पे रख कर हम ने तौली


 ",Road,2002,Sandesh Shandilya,Akhilesh Sharma,"Sonu Nigam, Sunidhi Chauhan"
"आ : अरे देख रहे हैं
कि : देखने दो
आ : जल भी रहे हैं
कि : तो जलने दो
आ : खुली सड़क है बाबा
कि : तो क्या हुआ भई
आ : हाँ
कि : तो हो जाए

 खुल्लम-खुल्ला प्यार करेंगे हम दोनों
 इस दुनिया से नहीं डरेंगे हम दोनों
 प्यार हम करते हैं चोरी नहीं
आ : मिल गए दिल ज़ोरा-ज़ोरी नहीं
 हम वो करेंगे दिल जो करे
 हमको ज़माने से क्या
दो : खुल्लम-खुल्ला प्यार ...

कि : हे देख वो इश्क़ छुप-छुप के फ़रमा रहे हैं
आ : है क्या मज़ा दिल ही दिल में तो घबरा रहे हैं
कि : लगता है दोनों पड़ोसी हैं वो
आ : रिश्ता ही ऐसा है जाने भी दो
 हम वो करेंगे ...
दो : खुल्लम-खुल्ला प्यार ...

आ : ऐ सुन ज़रा इनकी जोड़ी है कैसी निराली
 है बात क्या पीछे लाला चले आगे लाली
कि : दोनों में इनमें बनती न हो
आ : अपनी तरह शायद छनती न हो
 हम वो करेंगे ...
दो : खुल्लम-खुल्ला प्यार ...

आ : हे
कि : बोलो न
आ : प्यार का है ये दुश्मन ज़माना
कि : अरे सुन
आ : हाँ बता
कि : सबको मिलता नहीं ये ख़ज़ाना
आ : जिसको अजी ये ख़ज़ाना मिले
 देख-देख उनको ये दुनिया जले
 हम वो करेंगे ...
कि : हमको ज़माने से क्या
दो : खुल्लम-खुल्ला प्यार ...

 ",Khel Khel Mein,1975,R D Burman,Gulshan Bawra,"Kishore, Asha"
"ख़ुमार-ए-ग़म है महकती फ़िज़ा में जीते हैं
तेरे ख़याल की आब-ओ-हवा में जीते हैं

बड़े तपाक से मिलते हैं मिलने वाले मुझे
वो मेरे दोस्त हैं तेरी वफ़ा में जीते हैन

फ़िराक़-ए-यार में साँसों को रोके रखते हैं
हरेक लम्हा गुज़रती कज़ा में जीते हैं

न बात पूरी हुई थी कि रात टूट गई
अधूरे ख़्वाब की आधी सज़ा में जीते हैं

तुम्हारी बातों में कोई मसीहा बसता है
हसीं लबों से बरसती शफ़ा में जीते हैं

 ",Leela,2002,Jagjit Singh,Gulzar,Jagjit Singh
"खुश रहने को ज़रूरी क्या है बोलो यार
खुशी तो मिलती है जब मिले किसी का प्यार ओ हूं
इस दुनिया में बोलो कब मिलता है प्यार
कोई किसी को पहले जब देता है प्यार
खुश रहने को ज़रूरी ...

जिस ने अपनी खुशी को मिटाया
दूसरों पर सभी कुछ लुटाया
प्यार करना उस को ही आया
सच्ची चाहत में तो होती नहीं सौदेबाज़ी
क़ुर्बानी देने को रहते दो दिल राज़ी
क़ुर्बानी कहते हैं किसको बोलो सरकार
यार पे जो कर दे ये ज़िंदगी निसार
खुश रहने को ज़रूरी ...

खुशी होती नहीं बाहर
वो तो होती है दिल के ही अन्दर
दिल तो है प्यार का समुन्दर
इक दूजे से कभी हम अब तो खफ़ा न होंगे
खफ़ा भले हो जाएं लेकिन जुदा न होंगे
होते हैं लोग जुदा क्यों बोलो मेरे दिलदार
लोग जुदा होते हैं जब कम होता है प्यार
खुश रहने को ज़रूरी ...

 ",King Uncle,1992,Rajesh Roshan,Javed Akhtar,Abhijit
"तेरी शादी पे दूँ तुझको तोहफ़ा मैं क्या
पेश करता हूँ दिल एक टूटा हुआ

खुश रहे तू सदा, ये दुआ है मेरी
बेवफ़ा ही सही, दिलरुबा है मेरी
खुश रहे ...

जा मैं तनहा रहूँ, तुझको महफ़िल मिले
डूबने दे मुझे, तुझको साहिल मिले
आज मरज़ी यही, नाख़ुदा है मेरी

उम्र भर ये मेरे दिल को तड़पाएगा
दर्द-ए-दिल अब मेरे साथ ही जाएग
मौत ही आख़िरी बस दवा है मेरी

 ",Khilauna,1970,Laxmikant-Pyarelal,Anand Bakshi,Rafi
"दर-ओ-दीवार पे हसरत-ए-नज़र करते हैं
खुश रहो अहल-ए-वतन हम तो सफ़र करते हैं

हम भी आराम उठा सकते थे घर पर रहकर
हमको भी पाला था माँ-बाप ने दुख सह-सहकर
वक़्त-ए-रुख़्सत उन्हें इतना भी न आये कहकर
गोद में आँसू जो टपके कभी रुख़ से बहकर
सिफ़.र उनको ही समझना दिल के बहलाने को

अपनी क़िस्मत में अज़ल से यही ग़म रखा था
दद.र रखा था  ???
किसको परवाह थी और किसमें ये दम रखा था
हमने जब वादी-ए-क़ुब.रत में क़दम रखा था
दूर तक याद-ए-वतन आयी थी समझाने को

दिल फ़िदा करते हैं क़ुबा.र्न जिगर करते हैं
पास जो कुछ है वो माता की नज़र करते हैं
??
खुश रहो अहल-ए-वतन हम तो सफ़र करते हैं
जाके आबाद करेंगे किसी वीराने को

नौजवानों यही मौका है उठो खुल खेलो
खिदमत-ए-क़ौम में जो आये बला सब झेलो
देश आज़ाद हो क्या ग़म है जवानी दे दो
फिर मिलेगी न ये माता की दुआयें ले लो
देखें कौन आता है ये फ़र्ज़ बजानाने(?) को 


 ",Aandolan,1975,Jaidev,Ramprasad 'Bismil',Bhupinder
