Song,Film,YearMusic Director,Lyricist,Singers
"खोल आंखें अपने ख़्वाब-ए-नाज़ से
जाग मेरे प्यार की आवाज़ से
ज़िन्दगि बेताब है तेरे लिये
आ गले लग जा उसि अन्दाज़ से

मुहब्बत ज़िन्दा रहती है मुहब्बत मर नहीं सकती
अजी इन्सान क्या ये तो ख़ुद से डर नहीं सकती
मुहब्बत ज़िन्दा रहती है मुहब्बत मर नहीं सकती

ये कहदो मौत से जाकर के इक दीवाना कहता है
ये कहदो
के इक दीवाना कहता है
कोइ दीवाना कहता है
मेरि रुह-ए-मुहब्बत मुझ्से पहले मर नहीं सकती
मुहब्बत ज़िन्दा रहती है मुहब्बत मर नहीं सकती

चली आ ओ मेरि जान-ए-तमन्ना दिल की महफ़िल मेन
चली आ चली आ चली आ
चली आ दिल की महफ़िल मेन
मेरि जां दिल की महफ़िल मेन
तु मुझ्से दूर हो उल्फ़त गंवारा कर नहीं सकती
मुहब्बत ज़िन्दा रहती है मुहब्बत मर नहीं सकती
अजी इन्सान क्या ये तो ख़ुद से डर नहीं सकती
मुहब्बत ज़िन्दा रहती है मुहब्बत मर नहीं सकती

 ",Changez Khaan,1957,Hansraj Behl,Qamar Jalalabadi,Rafi
"खोली है ज़ुबाँ फिर भी तो ख़ामोश रहे हैं
हमने तेरी दुनिया के बहुत ज़ुल्म सहे हैं
ख़ामोश रहे हैं
खोली है ज़ुबाँ फिर भी तो ख़ामोश रहे हैं

सच कहने पे सैय्याद ने
तोड़ी हैं बलाएं (2)
फूलों की ये क़िसमत है के काँटों में रहे हैं
ख़ामोश रहे हैं
खोली है ज़ुबाँ फिर भी तो ख़ामोश रहे हैं

देखा न गया हाय (2)
मेरे घर का अँधेरा (2)
हालत पे मेरी शम्मा के (2)
आँसू भी बहे हैं
ख़ामोश रहें हैं

खोली है ज़ुबाँ फिर भी तो ख़ामोश रहे हैं
हमने तेरी दुनिया के बहुत ज़ुल्म सहे हैं
ख़ामोश रहे हैं

 ",Ghanghor Ghata (Pakistan),1960,nan,nan,Talat Mahmood
"खोलो खोलो दरवाज़े
पर्दे करो किनारे
खूँटे से बँधी है हवा
मिलके छुड़ाओ सारे

आ जाओ पतंग लेके
अपने ही रंग लेके
आसमाँ का शामियाना
आज हमें है सजाना

क्यूँ इस क़दर हैरान तू
मौसम का है मेहमान तू
हो दुनिया सजी तेरे लिए
ख़ुद को ज़रा पहचान तू

तू धूप है छम से बिखर
तू है नदी ओ बेख़बर
बह चल कहीं
उड़ चल कहीं
दिल ख़ुश जहाँ
तेरी तो मंज़िल है वहीं

हो क्यूँ इस क़दर हैरान तू
मौसम का है मेहमान तू

==
बासी ज़िंदगी उदासी
ताज़ी हँसने को राज़ी
गरमा गरम सारी
अभी अभी है उतारी

ज़िंदगी तो है बताशा
मीठी मीठी सी है आशा
चख ले रख ले 
हथेली से ढक ले इसे

तुझमें अगर प्यास है
बारिश का घर भी पास है
रोके तुझे कोई क्यूँ भला
संग संग तेरे आकाश है

तू धूप है छम से बिखर ...

==
खुल गया
आसमाँ का रस्ता देखो खुल गया
मिल गया
खो गया जो सितारा मिल गया
मिल गया

रौशन हुई सारी ज़मीं
जगमग हुआ सारा जहाँ
हो उड़ने को तू आज़ाद है
बंधन कोई अब है कहाँ

तू धूप है छम से बिखर ...

 ",Taare Zameen Par,2007,Shankar-Ehsaan-Loy,Prasoon Joshi,Raman Mahadevan
"खोते न हों जो होश उन्हें घर बुला के पी
या फिर बुतों को सामने, अपने बिठा के पी
बेहद ना पी, ना बोल बहुत, जोश में न आ
रुक रुक के पी, सुकून से पी, सर झुका के पी

दौलत है फ़क़त चार दिनों की पी ले
इज़्ज़त है फ़क़त चार दिनों की पी ले
है वक़्त शब-ओ-रोज़ तबाही की तरफ़
मोहलत है फ़क़त चार दिनों की पी ले

चलो पी लें के यार आये न आये
ये मौसम बार बार, आये न आये

गुलाबों की तरह तुम ताज़ा रहना
ज़माने में बहार आये न आये

ये सोचा है कि उसको भूल जायें
अब इस दिल को क़रार आये न आये

""ज़मीर्"" इस ज़िन्दगी से क्यूं ख़फ़ा हो
इसे फिर तुमपे प्यार आये न आये

 ",Rubayee (Non-Film),1990,Pankaj Udhaas,"Zameer Kazmi, Omar Khaiyyam",Pankaj Udhaas
"खोया है पाके जिसने प्यार मैं हूँ ना
बेचैन मैं हूँ बेक़रार मैं हूँ ना
कोई तो हो ऐसा जिसको अपना कह सकूँ
कोई तो हो ऐसा जिसके दिल मेँ रह सकूँ होऽ
कोई तो कहता एक बार मैं हूँ ना
खोया है पाके ...

जो बंधन टूटे, जो अपने रूठे
पास आ जाएँ फिर से दूरियाँ
ये क्यूँ होता है, कि दिल रोता है
बेबस हो जाती है ये ज़बाँ
अपने तो सारे इस किनारे रह गए 
अपने तो सारे इस किनारे रह गए होऽ
तनहा चला जो उस पार मैं हूँ ना
खोया है पाके ...

जहाँ भी मैं जाऊँ, जहाँ भी मैं देखूँ
सारे चेहरे बेगाने-से हैं
कभी कोई था, जो मेरा ही था
ये किस्से अब अफ़साने-से हैं
कल ज़िंदगी ने खेल खेले थे नए
कुछ लोग जीते जीतके सब ले गए होऽ
हिस्से में आई जिसके हार मैं हूँ ना
खोया है पाके ...


 ",Main Hoon Na,2004,Anu Malik,Javed Akhtar,"Abhijeet , Chorus"
"खोया है तूने जो ऐ दिल वही तो रूह था जान था -3

( ठुकरा दिया मैने जिसे क़िसमत थी मेरी
क़ुदरत ने जो बख़्शी थी वो दौलत थी मेरी ) -2
खोया है तूने जो ऐ दिल वही तो रूह था जान था

( क़ातिल हूँ मैं मुजरिम हूँ मैं दुश्मन ख़ुद अपना
जलता हूँ मैं मुझमें मेरी जलती है दुनिया ) -2
खोया है तूने जो ऐ दिल वही तो रूह था जान था -2

 ",Sur,2002,M M Kreem,Nida Fazli,Lucky Ali
"(खोया-खोया चाँद रहता है आसमाँ के पास
खोए-खोए हम भी रहते हैं इस जहाँ के पास)  (2)

खोया-खोया चाँद रहता है आसमाँ के पास
खोए-खोए हम भी रहते हैं इस जहाँ के पास
खोया-खोया क्यों रहता है आजकल ये दिल
तुम तो मेरी जाँ समझती हो क्या मेरी मुश्किल
सारी-सारी रात जागूँ मैं चाँदनी के साथ
बस में नहीं हैं आजकल ये मेरे जज़्बात
कह दो ना, कह दो ना, कह दो ना प्यार है  (2)

(देखता हूँ सिर्फ़ तुमको, तुम निगाहों में बसी हो
चाहता हूँ सिर्फ़ तुमको, तुम तो मेरी आशिक़ी हो)  (2)
सारी-सारी रात जागूँ मैं चाँदनी के साथ
बस में नहीं हैं आजकल ये मेरे जज़बात
कह दो ना, कह दो ना, कह दो ना प्यार है  (2)

(मर गया पहली ही नज़र में, मैं तुम्हारी इस सादगी पे
देखो ऐसे शक करो ना, तुम मेरी दीवानगी पे)  (2)
सारी-सारी रात जागूँ मैं चाँदनी के साथ
बस में नहीं हैं आजकल ये मेरे जज़्बात
कह दो ना, कह दो ना, कह दो ना प्यार है (2)

खोया-खोया चाँद रहता है ...

 ",Khoya Khoya Chand (Non-film),2001,Sajid-Wajid,Sameer,Babul Supriyo
"खोया-खोया चांद, खुला आसमां
आँखों में सारी रात जाएगी
तुमको भी कैसे नींद आएगी, हो
खोया-खोया ...

मस्ती भरी, हवा जो चली
खिल-खिल गई, ये दिल की कली
मन की गली में है खलबली
कि उनको तो बुलाओ, ओ हो ...
खोया-खोया चांद ...

तारे चले, नज़ारे चले
संग-संग मेरे वो सारे चले
चारों तरफ़ इशारे चले
किसी के तो हो जाओ, ओ हो ...
खोया-खोया चांद ...

ऐसी ही रात, भीगी सी रात
हाथों में हाथ, होते वो साथ
कह लेते उनसे दिल की ये बात
अब तो ना सताओ, ओ हो ...
खोया-खोया चांद ...

हम मिट चले, जिनके लिये
बिन कुछ कहे, वो चुप-चुप रहे
कोई ज़रा ये उनसे कहे
न ऐसे आजमाओ, ओ हो ...
खोया-खोया चांद ...

 ",Kala Bazar,1960,S D Burman,Shailendra,Rafi
"खोया-खोया चन्दा खोए-खोए तारे
सो गए तू भी सो जा चाँद हमारे -2
खोया-खोया चन्दा ...

ओ ओ लेके जादू की छड़ी आई सपनों की परी
रूप-नगरी में तुझे छोड़ आएगी अभी
है वो सपनों का जहाँ इक मेला है वहाँ
देस-परदेस के बच्चे चले वहाँ
नीले आकाश की गंगा के किनारे
खोया-खोया चन्दा ...

झूला चाँदी का पड़ा हीरे-पन्नों से जड़ा
रेशमी डोर बँधी झूलेगा लाल मेरा
जब भी तू पींग भरे जा के बादल को छुए
छूले बिजली को तो वो खिलखिला पड़े
और छुप जाए कहीं लाज के मारे
खोया-खोया चन्दा ...

कहीं कोई गीत गाए कोई बंशी बजाए
और कोई ढोल लिए धिन-धिन तक सुनाए
सब पे इक रंग पड़े कोई भी बच न सके
प्यार और मिलाप का गुलाल यूँ उड़े
हिल-मिल के कोई जीते कोई हारे
खोया-खोया चन्दा ...

 ",Door Gagan Ki Chhaon Mein,1964,Kishore,Shailendra,Asha
"खोयी खोयी अखियाँ नींद बिना
देख रहीं हैं एक सपना
खोयी खोयी अखियाँ नींद बिना
देख रहीं हैं एक सपना
खोयी खोयी अखियाँ नींद बिना ...

झूम झूम के बहार मेरी सेज बिछाये
घड़ी घड़ी करे अजब इशारे
झूम झूम के बहार मेरी सेज बिछाये
घड़ी घड़ी करे अजब इशारे
सज-धज के मैं जाऊँ बैठी बैठी घबराऊँ
गड़ी जाऊँ देखो लाज के मारे
आते ही होंगे मेरे सजना
खोयी खोयी ...

आके मेरे मन भाये मेरा घूँघटा उठाये
मोसे पलक उठाये उठे न
आके मेरे मन भाये मेरा घूँघटा उठाये
मोसे पलक उठाये उठे न
मेरी माँग को वो चूम करे मीठी मीठी बात
झूमे दीप झूमे चाँद झूमे रैना
आज सफ़ल जीवन अपना
खोयी खोयी ...

एक रात की ये बात, पहली पहली मुलाक़ात
पिया मेरा तन मन अब तेरा
एक रात की ये बात, पहली पहली मुलाक़ात
पिया मेरा तन मन अब तेरा
पड़ी चरणों में तेरे, मैं ये मन में मनाऊँ
ऐसी रात का कभी न हो सवेरा
चाँद मेरे अब मत छुपना
खोयी खोयी ...


 ",Chaand,1959,Hemant Kumar,Shailendra,Lata
