,Song,Film,Year,Music Director,Lyricist,Singers
5000,http://giitaayan.com/viewisbsong.asp?id=3431,Changez Khaan,1957,Hansraj Behl,Qamar Jalalabadi,Rafi
5001,http://giitaayan.com/viewisbsong.asp?id=21225,Ghanghor Ghata (Pakistan),1960,,,Talat Mahmood
5002,http://giitaayan.com/viewisbsong.asp?id=21324,Taare Zameen Par,2007,Shankar-Ehsaan-Loy,Prasoon Joshi,Raman Mahadevan
5003,http://giitaayan.com/viewisbsong.asp?id=rmim0027,Rubayee (Non-Film),1990,Pankaj Udhaas,"Zameer Kazmi, Omar Khaiyyam",Pankaj Udhaas
5004,http://giitaayan.com/viewisbsong.asp?id=20727,Main Hoon Na,2004,Anu Malik,Javed Akhtar,"Abhijeet , Chorus"
5005,http://giitaayan.com/viewisbsong.asp?id=13903,Sur,2002,M M Kreem,Nida Fazli,Lucky Ali
5006,http://giitaayan.com/viewisbsong.asp?id=20779,Khoya Khoya Chand (Non-film),2001,Sajid-Wajid,Sameer,Babul Supriyo
5007,http://giitaayan.com/viewisbsong.asp?id=987,Kala Bazar,1960,S D Burman,Shailendra,Rafi
5008,http://giitaayan.com/viewisbsong.asp?id=11335,Door Gagan Ki Chhaon Mein,1964,Kishore,Shailendra,Asha
5009,http://giitaayan.com/viewisbsong.asp?id=2620,Chaand,1959,Hemant Kumar,Shailendra,Lata
5010,http://giitaayan.com/viewisbsong.asp?id=988,Khilaadi,1992,Jatin-Lalit,Shyamraj,"Abhijit, Udit Narayan, Kavita ..."
5011,http://giitaayan.com/viewisbsong.asp?id=2126,Maayaa Memsaab,1992,Hridaynath Mangeshkar,Gulzar,Lata
5012,http://giitaayan.com/viewisbsong.asp?id=989,Dharti,1970,Shankar-Jaikishan,Rajinder Krishan,Rafi
5013,http://giitaayan.com/viewisbsong.asp?id=991,Aap To Aise Na The,1980,Usha Khanna,Indeevar,"Kishore, Rafi"
5014,http://giitaayan.com/viewisbsong.asp?id=992,Taj Mahal,1963,Roshan,Sahir,Lata
5015,http://giitaayan.com/viewisbsong.asp?id=10535,Bhaai,1997,Anand-Milind,Sameer,Udit Narayan
5016,http://giitaayan.com/viewisbsong.asp?id=12063,Joru Kaa Ghulaam,2000,Aadesh Srivastava,Sameer,"Kumar Sanu, Alka Yagnik"
5017,http://giitaayan.com/viewisbsong.asp?id=10879,Champaakali,1957,Hemant Kumar,Rajinder Krishan,Lata
5018,http://giitaayan.com/viewisbsong.asp?id=15422,Kehna Usey (Non-Film),1984,Mehdi Hasan,Farhat Shahzad,Mehdi Hasan
5019,http://giitaayan.com/viewisbsong.asp?id=rmim0448,Professor,1962,Shankar-Jaikishan,Shailendra,Rafi
5020,http://giitaayan.com/viewisbsong.asp?id=10642,Banarsi Thug,1962,Iqbal Qureshi,Aziz Qaisi,"Mukesh, Usha"
5021,http://giitaayan.com/viewisbsong.asp?id=13732,Road,2002,Sandesh Shandilya,Akhilesh Sharma,"Sonu Nigam, Sunidhi Chauhan"
5022,http://giitaayan.com/viewisbsong.asp?id=12571,Khel Khel Mein,1975,R D Burman,Gulshan Bawra,"Kishore, Asha"
5023,http://giitaayan.com/viewisbsong.asp?id=rmim0555,Leela,2002,Jagjit Singh,Gulzar,Jagjit Singh
5024,http://giitaayan.com/viewisbsong.asp?id=12481,King Uncle,1992,Rajesh Roshan,Javed Akhtar,Abhijit
5025,http://giitaayan.com/viewisbsong.asp?id=994,Khilauna,1970,Laxmikant-Pyarelal,Anand Bakshi,Rafi
5026,http://giitaayan.com/viewisbsong.asp?id=2127,Aandolan,1975,Jaidev,Ramprasad 'Bismil',Bhupinder
5027,http://giitaayan.com/viewisbsong.asp?id=10091,Aaghaaz,2000,Annu Malik,Sameer,"Kumar Sanu, Alka Yagnik"
5028,http://giitaayan.com/viewisbsong.asp?id=rmim0614,Subah Kaa Taaraa,1954,C Ramchandra,Noor Lucknowi,Lata
5029,http://giitaayan.com/viewisbsong.asp?id=2621,Shikwa,1950,Sajjad Hussain,,Talat
5030,http://giitaayan.com/viewisbsong.asp?id=995,Door Ka Raahi,1971,Kishore,A Irshad,Kishore
5031,http://giitaayan.com/viewisbsong.asp?id=rmim0616,Sawan Aya Re,1949,Khemchand Prakash,Arzoo Lakhnavi,Khan Mastana
5032,http://giitaayan.com/viewisbsong.asp?id=996,Mann/ Listen To Your Heart,1999,Sanjeev-Darshan,Sameer,"Udit Narayan, Anuradha Paudwal"
5033,http://giitaayan.com/viewisbsong.asp?id=2128,Dulhan Wahi Jo Piya Man Bhaaye,1977,Ravindra Jain,Ravindra Jain,"Yesudas, Hemlata, Banashri Sen..."
5034,http://giitaayan.com/viewisbsong.asp?id=997,Des Pardes,1978,Rajesh Roshan,Amit Khanna,Kishore
5035,http://giitaayan.com/viewisbsong.asp?id=11724,Heraa Pheri,2000,Annu Malik,Sameer,"Hariharan, Vinod Rathod, Abhij..."
5036,http://giitaayan.com/viewisbsong.asp?id=14586,Waah Tera Kya Kehna,2002,Jatin-Lalit,Sameer,"Anuradha Sriram, Sudesh Bhonsale"
5037,http://giitaayan.com/viewisbsong.asp?id=13371,Officer,2001,Deepak Choudhary,Deepak Choudhary,"Babul Supriyo, Japindar Narula"
5038,http://giitaayan.com/viewisbsong.asp?id=10137,Aunty No.1,1,Anand-Milind,Sameer,Sadhana Sargam
5039,http://giitaayan.com/viewisbsong.asp?id=14591,Wajood,1998,Annu Malik,Javed Akhtar,"Kavita Subramaniam, Sapana Awa..."
5040,http://giitaayan.com/viewisbsong.asp?id=999,Kurukshetra,1945,Pt Ganpat Rao,Jameel Mazhari,Saigal
5041,http://giitaayan.com/viewisbsong.asp?id=14719,Zindagi Aur Khwab,1961,Duttaram,Pradeep,Mukesh
5042,http://giitaayan.com/viewisbsong.asp?id=rmim0656,Saranga,1960,Sardar Malik,Bharat Vyas,Asha
5043,http://giitaayan.com/viewisbsong.asp?id=14582,Vidya,1948,S D Burman,Y N Joshi,Suraiya
5044,http://giitaayan.com/viewisbsong.asp?id=14780,Shirin Farhad (Pakistan),1975,Khurshid Anwar,Qateel Shifai,"Mehdi Hasan, Irene Parveen, Ch..."
