SNo,Songpage_URL,Movie
71,https://www.lyricsia.com/lyricid/5106/watan-ke-naujawaan-(fast),Shaheed
72,https://www.lyricsia.com/lyricid/5112/saanjh-ki-bela-jiya-akela,Chandralekha
73,https://www.lyricsia.com/lyricid/5144/dil-kahu-ko-devna,Nadiya Ke Par
74,https://www.lyricsia.com/lyricid/5129/main-bhanwra,Mela
75,https://www.lyricsia.com/lyricid/5122/taqdeer-bani,Mela
76,https://www.lyricsia.com/lyricid/5130/dharti-ko-(female),Mela
77,https://www.lyricsia.com/lyricid/5118/o-saajna-kya-kiya,Chandralekha
78,https://www.lyricsia.com/lyricid/5124/phir-aah-dil-se-nikali,Mela
79,https://www.lyricsia.com/lyricid/5128/aayi-saawan-ritu-aayi,Mela
80,https://www.lyricsia.com/lyricid/5109/bachpan-ki-yaad,Shaheed
81,https://www.lyricsia.com/lyricid/5142/kathwa-ke-naiyya,Nadiya Ke Par
82,https://www.lyricsia.com/lyricid/5138/chanda-re-ja-re-ja-re,Ziddi
83,https://www.lyricsia.com/lyricid/5143/ankhiyaan-mila-ke,Nadiya Ke Par
84,https://www.lyricsia.com/lyricid/5151/jaao-jaao-naa-satao,Suhaag Raat
85,https://www.lyricsia.com/lyricid/5134/yeh-kaun-aaya-re,Ziddi
86,https://www.lyricsia.com/lyricid/5113/naache-ghoda-naache,Chandralekha
87,https://www.lyricsia.com/lyricid/5111/aana-hai-to-aajao,Shaheed
88,https://www.lyricsia.com/lyricid/5153/o-mere-dhadkano-mein,Suhaag Raat
89,https://www.lyricsia.com/lyricid/5148/rum-jhum-matwaare-baadal,Suhaag Raat
90,https://www.lyricsia.com/lyricid/5136/rooth-gaye-more-shyam,Ziddi
91,https://www.lyricsia.com/lyricid/5127/pardes-balam-tum-jaaoge,Mela
92,https://www.lyricsia.com/lyricid/5141/zindagi-mein-pyar,Nadiya Ke Par
93,https://www.lyricsia.com/lyricid/5114/maai-ri-main-to,Chandralekha
94,https://www.lyricsia.com/lyricid/5107/dard-bhare-aansuon,Shaheed
95,https://www.lyricsia.com/lyricid/5108/watan-ke-naujawaan-(slow),Shaheed
96,https://www.lyricsia.com/lyricid/5145/najariya-me-aayi-ho,Nadiya Ke Par
97,https://www.lyricsia.com/lyricid/5137/chali-pi-ko-milne,Ziddi
98,https://www.lyricsia.com/lyricid/5132/jab-tera-sahara-chhut-gaya,Ziddi
99,https://www.lyricsia.com/lyricid/5154/tere-bin-meri-zindegani,Suhaag Raat
100,https://www.lyricsia.com/lyricid/5115/manbhaawan-saawan,Chandralekha
101,https://www.lyricsia.com/lyricid/5150/chhod-chale-,Suhaag Raat
102,https://www.lyricsia.com/lyricid/5146/dil-leke-bhaga,Nadiya Ke Par
103,https://www.lyricsia.com/lyricid/5133/jaadu-kar-gaye,Ziddi
104,https://www.lyricsia.com/lyricid/5116/mera-husn-lootne-aaya,Chandralekha
105,https://www.lyricsia.com/lyricid/5110/aaja-bedardi-balma,Shaheed
106,https://www.lyricsia.com/lyricid/5117/o-chaand-mere,Chandralekha
107,https://www.lyricsia.com/lyricid/5183/mushkil-hai-bahut-mushkil,Mahal
108,https://www.lyricsia.com/lyricid/5218/mere-piya-gaye-rangoon,Patanga
109,https://www.lyricsia.com/lyricid/5219/o-dilwaalo-dil-ka-lagana,Patanga
110,https://www.lyricsia.com/lyricid/5209/bigdi-bananewale,Bari Behen
111,https://www.lyricsia.com/lyricid/5237/chandani-aayi-banke-pyar,Dulari
112,https://www.lyricsia.com/lyricid/5186/tu-mera-chaand,Dillagi
113,https://www.lyricsia.com/lyricid/5226/kabhi-khamosh-ho-jaana,Patanga
114,https://www.lyricsia.com/lyricid/5205/ye-duniya-roop-ki-chor,Shabnam
115,https://www.lyricsia.com/lyricid/5233/naa-bol-pee-pee,Dulari
116,https://www.lyricsia.com/lyricid/5190/tu-mera-chand,Dillagi
117,https://www.lyricsia.com/lyricid/5228/suhani-raat-dhal-chuki,Dulari
118,https://www.lyricsia.com/lyricid/5168/tu-kahe-agar,Andaz
119,https://www.lyricsia.com/lyricid/5167/jhoom-jhoom-ke-nacho,Andaz
120,https://www.lyricsia.com/lyricid/5202/pyar-me-tumne-dhokha,Shabnam
121,https://www.lyricsia.com/lyricid/5173/tod-diya-dil-mera,Andaz
122,https://www.lyricsia.com/lyricid/5157/mora-laal-dupatta,Barsaat
123,https://www.lyricsia.com/lyricid/5200/kismat-mein-bichhadna,Shabnam
124,https://www.lyricsia.com/lyricid/5156/chhod-gaye-baalam,Barsaat
125,https://www.lyricsia.com/lyricid/5187/chaar-din-ki-chandani-thi,Dillagi
126,https://www.lyricsia.com/lyricid/5193/duniya-kya-jaane,Dillagi
127,https://www.lyricsia.com/lyricid/5220/gore-gore-mukhde-pe,Patanga
128,https://www.lyricsia.com/lyricid/5217/dil-se-bhula-do,Patanga
129,https://www.lyricsia.com/lyricid/5195/tere-kuche-mein,Dillagi
130,https://www.lyricsia.com/lyricid/5198/tumhare-liye,Shabnam
131,https://www.lyricsia.com/lyricid/5180/ye-raat-phir-naa-aayegi,Mahal
132,https://www.lyricsia.com/lyricid/5238/aankhon-mein-aaja,Dulari
133,https://www.lyricsia.com/lyricid/5232/o-takdeer-jaga-kar,Dulari
134,https://www.lyricsia.com/lyricid/5192/de-dheel-de-dheel,Dillagi
135,https://www.lyricsia.com/lyricid/5234/raat-rangeeli-,Dulari
136,https://www.lyricsia.com/lyricid/5179/ghabra-ke-jo-ham,Mahal
137,https://www.lyricsia.com/lyricid/5223/dil-ka-lagana-achha,Patanga
138,https://www.lyricsia.com/lyricid/5239/kaun-sune-fariyaad,Dulari
139,https://www.lyricsia.com/lyricid/5189/murliwaale-murli-baja,Dillagi
140,https://www.lyricsia.com/lyricid/5227/mohabbat-ki-khushi,Patanga
141,https://www.lyricsia.com/lyricid/5224/dil-loge-to,Patanga
142,https://www.lyricsia.com/lyricid/5235/aye-dil-tujhe-kasam-hai,Dulari
143,https://www.lyricsia.com/lyricid/5188/is-duniya-mein,Dillagi
144,https://www.lyricsia.com/lyricid/5197/le-ke-dil-chupke-se,Dillagi
145,https://www.lyricsia.com/lyricid/5230/na-wo-humse-judaa-honge,Dulari
146,https://www.lyricsia.com/lyricid/5236/mohabbat-hamari,Dulari
147,https://www.lyricsia.com/lyricid/5221/pyar-ke-jahaan-ke,Patanga
148,https://www.lyricsia.com/lyricid/5231/do-din-ki-bahaar-pyare,Dulari
149,https://www.lyricsia.com/lyricid/5191/tera-khayal-dil-se,Dillagi
150,https://www.lyricsia.com/lyricid/5229/mil-milke-gaayenge,Dulari
151,https://www.lyricsia.com/lyricid/5222/thukra-ke-mujhe,Patanga
152,https://www.lyricsia.com/lyricid/5196/zaalim-zamaana,Dillagi
153,https://www.lyricsia.com/lyricid/5204/mera-dil-tadpa-kar,Shabnam
154,https://www.lyricsia.com/lyricid/5175/hum-aaj-kahin-dil,Andaz
155,https://www.lyricsia.com/lyricid/5212/chale-jaana-nahi,Bari Behen
156,https://www.lyricsia.com/lyricid/5215/likhne-waale-ne,Bari Behen
157,https://www.lyricsia.com/lyricid/5208/dekho-aayi,Shabnam
158,https://www.lyricsia.com/lyricid/5164/meri-aankhon-mein,Barsaat
159,https://www.lyricsia.com/lyricid/5158/bichhde-hue-pardesi,Barsaat
160,https://www.lyricsia.com/lyricid/5163/rota-hi-rehta-hun,Barsaat
161,https://www.lyricsia.com/lyricid/5171/uthaye-jaa-unke-sitam,Andaz
162,https://www.lyricsia.com/lyricid/5176/meri-laadli-ri-bani-hai,Andaz
163,https://www.lyricsia.com/lyricid/5213/chup-chup-khade-ho,Bari Behen
164,https://www.lyricsia.com/lyricid/5201/kadar-meri-naa-jaani,Shabnam
165,https://www.lyricsia.com/lyricid/5216/tum-mujhko-bhul-jaao,Bari Behen
166,https://www.lyricsia.com/lyricid/5181/dil-ne-phir-yaad-kiya,Mahal
167,https://www.lyricsia.com/lyricid/5194/nirala-mohabbat-ka,Dillagi
168,https://www.lyricsia.com/lyricid/5165/o-mujhe-kisi-se-pyar,Barsaat
169,https://www.lyricsia.com/lyricid/5159/jiya-beqaraar-hai,Barsaat
170,https://www.lyricsia.com/lyricid/5160/barsaat-me-humse-mile,Barsaat
171,https://www.lyricsia.com/lyricid/5172/sunaaun-kya-main,Andaz
172,https://www.lyricsia.com/lyricid/5177/yun-toh-aapas-mein,Andaz
173,https://www.lyricsia.com/lyricid/5210/jo-dil-me-khushi,Bari Behen
174,https://www.lyricsia.com/lyricid/5169/dar-naa-mohabbat-karle,Andaz
175,https://www.lyricsia.com/lyricid/5185/ek-teer-chala,Mahal
176,https://www.lyricsia.com/lyricid/5206/ek-baar-tu-ban-jaa-mera,Shabnam
177,https://www.lyricsia.com/lyricid/5225/pehle-to-ho-gayi-namaste,Patanga
178,https://www.lyricsia.com/lyricid/5166/prem-nagar-mein,Barsaat
179,https://www.lyricsia.com/lyricid/5178/aayega-aanewaala,Mahal
180,https://www.lyricsia.com/lyricid/5161/ab-mera-kaun-sahara,Barsaat
181,https://www.lyricsia.com/lyricid/5174/koi-mere-dil-mein,Andaz
182,https://www.lyricsia.com/lyricid/5211/woh-pass-rahe-yaa-door,Bari Behen
183,https://www.lyricsia.com/lyricid/5203/tu-mahal-mein-rahne-wali,Shabnam
184,https://www.lyricsia.com/lyricid/5214/mohabbat-ke-dhokhe-me,Bari Behen
185,https://www.lyricsia.com/lyricid/5184/main-woh-hasee-hun,Mahal
186,https://www.lyricsia.com/lyricid/5207/hum-kisko-sunaaye-haal,Shabnam
187,https://www.lyricsia.com/lyricid/5162/patli-kamar-hai,Barsaat
188,https://www.lyricsia.com/lyricid/5170/toote-naa-dil-toote-naa,Andaz
189,https://www.lyricsia.com/lyricid/4242/ghunghat-ke-pat-khol-re,Jogan
190,https://www.lyricsia.com/lyricid/4252/jara-tham-ja-tu-ai-sawan,Jogan
191,https://www.lyricsia.com/lyricid/203/gore-gore-o-baanke-chore,Samadhi
192,https://www.lyricsia.com/lyricid/4247/mai-toh-girdhar-ke-ghar-jau,Jogan
193,https://www.lyricsia.com/lyricid/4262/uthe-toh-chale-avadhut,Jogan
194,https://www.lyricsia.com/lyricid/4264/rang-daaro-re-rasiyaa,Jogan
195,https://www.lyricsia.com/lyricid/4238/ae-shamma-tu-bata,Dastan
196,https://www.lyricsia.com/lyricid/4233/ta-ra-ri-aa-ra-ri,Dastan
197,https://www.lyricsia.com/lyricid/4258/kahe-naino-me-naina-dale-re,Jogan
198,https://www.lyricsia.com/lyricid/204/kadam-kadam-badhaye-jaa,Samadhi
199,https://www.lyricsia.com/lyricid/4254/sundarta-ke-sabhi-shikari,Jogan
200,https://www.lyricsia.com/lyricid/4235/ye-mausam-aur-ye-tanhai,Dastan
201,https://www.lyricsia.com/lyricid/4255/chanda-khele-aankh-michaulee,Jogan
202,https://www.lyricsia.com/lyricid/205/wo-paas-aa-rahe-hai,Samadhi
203,https://www.lyricsia.com/lyricid/4243/jin-aankho-ki-nind-haraam-hui,Jogan
204,https://www.lyricsia.com/lyricid/307/milte-hi-aankhen,Babul
205,https://www.lyricsia.com/lyricid/4244/sakhi-ri-chitchor-nahi-aae,Jogan
206,https://www.lyricsia.com/lyricid/4213/wo-unka-muskurana,Sangram
207,https://www.lyricsia.com/lyricid/4216/din-aaye-pyare-pyare-barsaat-ke,Sangram
208,https://www.lyricsia.com/lyricid/4268/pyaare-darashan-dijo-aaj,Jogan
209,https://www.lyricsia.com/lyricid/207/abhi-shaam-aayegi,Samadhi
210,https://www.lyricsia.com/lyricid/310/khushi-ke-sath-duniya-me,Babul
211,https://www.lyricsia.com/lyricid/4210/ulfat-ke-jaadu-ka,Sangram
212,https://www.lyricsia.com/lyricid/311/duniya-badal-gayi,Babul
213,https://www.lyricsia.com/lyricid/206/idhar-mohabbat-udhar-zamana,Samadhi
214,https://www.lyricsia.com/lyricid/4266/dagamag-dagamag-dole-nayyaa,Jogan
215,https://www.lyricsia.com/lyricid/4256/gend-khelu-kanha-ke-sang,Jogan
216,https://www.lyricsia.com/lyricid/4240/naino-me-preet-hai,Dastan
217,https://www.lyricsia.com/lyricid/4239/dil-ko-haye-dil-ko,Dastan
218,https://www.lyricsia.com/lyricid/4241/naam-tera-hai-zaban-par,Dastan
219,https://www.lyricsia.com/lyricid/4236/mohabbat-badhakar-juda-ho,Dastan
220,https://www.lyricsia.com/lyricid/4248/mat-ja-mat-ja-jogi,Jogan
221,https://www.lyricsia.com/lyricid/4249/e-ri-main-to-prem-diwani,Jogan
222,https://www.lyricsia.com/lyricid/208/netaji-ka-jeewan-hai,Samadhi
223,https://www.lyricsia.com/lyricid/4211/dil-diya-hai-aapne-to,Sangram
224,https://www.lyricsia.com/lyricid/4217/kas-ke-kamar-ho-ja-taiyaar,Sangram
225,https://www.lyricsia.com/lyricid/313/dhadke-mera-dil-mujhko,Babul
226,https://www.lyricsia.com/lyricid/312/panchi-ban-me-piya-piya,Babul
227,https://www.lyricsia.com/lyricid/318/chod-babul-ka-ghar--i,Babul
228,https://www.lyricsia.com/lyricid/314/nadi-kinare-sath-hamare,Babul
229,https://www.lyricsia.com/lyricid/308/husnwalo-ko-na-dil-do,Babul
230,https://www.lyricsia.com/lyricid/309/hue-majbur-ham,Babul
231,https://www.lyricsia.com/lyricid/319/jaadu-bhare-nainon-me,Babul
232,https://www.lyricsia.com/lyricid/4234/dil-dhadak-dhadak,Dastan
233,https://www.lyricsia.com/lyricid/315/naa-socha-tha-yeh,Babul
234,https://www.lyricsia.com/lyricid/320/lagan-more-man-ki,Babul
235,https://www.lyricsia.com/lyricid/4237/aaya-mere-dil-me-tu,Dastan
236,https://www.lyricsia.com/lyricid/316/chod-babul-ka-ghar,Babul
237,https://www.lyricsia.com/lyricid/317/chod-baabul-ka-ghar-(sad-version),Babul
238,https://www.lyricsia.com/lyricid/210/ghar-aaya-mera-pardesi,Awara
239,https://www.lyricsia.com/lyricid/4305/hue-hum-jinke-liye-barbaad,Deedar
240,https://www.lyricsia.com/lyricid/4343/insan-badalte-rehte-hain,Jadoo
241,https://www.lyricsia.com/lyricid/4307/dekh-liya-maine-kismat-ka,Deedar
242,https://www.lyricsia.com/lyricid/4284/dhire-sa-aaja-ankhiyan-mei,Albela
243,https://www.lyricsia.com/lyricid/4325/lo-pyar-ke-ho-gayi-jeet,Jadoo
244,https://www.lyricsia.com/lyricid/4288/kaun-yeh-diwana-aa-gaya,Albela
245,"https://www.lyricsia.com/lyricid/209/awara-hun,-awara-hun",Awara
246,https://www.lyricsia.com/lyricid/4272/aaj-ki-rat-piya,Baazi
247,https://www.lyricsia.com/lyricid/4353/o-pardesiya-pyar-ki-bahar-leke,Bahar
248,https://www.lyricsia.com/lyricid/4345/saiya-dil-me-aana-re,Bahar
249,https://www.lyricsia.com/lyricid/4320/meri-kahani-bhulne-wale,Deedar
250,https://www.lyricsia.com/lyricid/4286/bholi-surat-dil-ke-khote,Albela
251,https://www.lyricsia.com/lyricid/4319/bachpan-ke-din-bhula-na-dena,Deedar
252,https://www.lyricsia.com/lyricid/4351/qusur-aapka-huzur-aapka,Bahar
253,https://www.lyricsia.com/lyricid/4295/balma-bada-nadaan-re,Albela
254,https://www.lyricsia.com/lyricid/4289/o-beta-ji-kismat-ki-hawa,Albela
255,https://www.lyricsia.com/lyricid/4333/lelo-lelo-phuldani-lelo,Jadoo
256,https://www.lyricsia.com/lyricid/4347/bhagwan-do-ghadi-jara,Bahar
257,https://www.lyricsia.com/lyricid/4308/o-bachpan-ke-din-bhula-na-dena,Deedar
258,https://www.lyricsia.com/lyricid/4349/duniya-ka-maja-le-lo,Bahar
259,https://www.lyricsia.com/lyricid/4322/tu-kaun-hai-mera-keh-de-balam,Deedar
260,https://www.lyricsia.com/lyricid/4355/kusoor-aapka-huzoor-aapka,Bahar
261,https://www.lyricsia.com/lyricid/4310/najar-phero-na-humse,Deedar
262,https://www.lyricsia.com/lyricid/4341/thandi-sadak-hai-thandi-sadak,Jadoo
263,https://www.lyricsia.com/lyricid/219/pativrata-sita-mayi-ko,Awara
264,https://www.lyricsia.com/lyricid/4313/le-ja-meri-duwaye-le-ja,Deedar
265,https://www.lyricsia.com/lyricid/4315/duniya-ne-teri-duniya-wale,Deedar
266,https://www.lyricsia.com/lyricid/4317/nasib-dar-pe-tere,Deedar
267,https://www.lyricsia.com/lyricid/216/jabse-balam-ghar-aaye,Awara
268,https://www.lyricsia.com/lyricid/217/aa-jao-tadapte-hain,Awara
269,https://www.lyricsia.com/lyricid/4293/shola-jo-bhadke-dil-mera-dhadke,Albela
270,https://www.lyricsia.com/lyricid/211/dam-bhar-jo,Awara
271,https://www.lyricsia.com/lyricid/213/ham-tujhse-mohabbat-karke,Awara
272,https://www.lyricsia.com/lyricid/218/tere-bina-aag,Awara
273,https://www.lyricsia.com/lyricid/4318/chaman-me-reh-ke-virana,Deedar
274,https://www.lyricsia.com/lyricid/212/ek-do-teen-aaja,Awara
275,https://www.lyricsia.com/lyricid/4336/ulajh-gaya-jiya-mera,Jadoo
276,https://www.lyricsia.com/lyricid/4362/sataye-hue-ko-satati-hai-duniya,Bahar
277,https://www.lyricsia.com/lyricid/4356/aye-zindagi-ke-rahi,Bahar
278,https://www.lyricsia.com/lyricid/4303/hasino-se-mohabbat-ka,Albela
279,https://www.lyricsia.com/lyricid/4273/tadbir-se-bigdi-hui-takdir-banale,Baazi
280,https://www.lyricsia.com/lyricid/215/naiyya-teri-majhdhar,Awara
281,https://www.lyricsia.com/lyricid/4280/sharmaye-kahe-ghabraye-kahe,Baazi
282,https://www.lyricsia.com/lyricid/4337/jab-nain-mile-nainon-se,Jadoo
283,https://www.lyricsia.com/lyricid/4357/chodo-ji-kanhaiya-kalaiya-hamaar,Bahar
284,https://www.lyricsia.com/lyricid/4297/tum-siti-bajana-chhod-do,Albela
285,https://www.lyricsia.com/lyricid/4274/yeh-kaun-aaya,Baazi
286,https://www.lyricsia.com/lyricid/4282/ui-dekh-ke-akeli-mohe,Baazi
287,https://www.lyricsia.com/lyricid/4334/ek-jhuth-hai-jiska-duniya-ne,Jadoo
288,https://www.lyricsia.com/lyricid/4359/pyar-ki-bahar-le-ke,Bahar
289,https://www.lyricsia.com/lyricid/4301/mere-dil-ki-ghadi-kare-tik-tik,Albela
290,https://www.lyricsia.com/lyricid/4298/dil-dhadke-nazar-sharmaye,Albela
291,https://www.lyricsia.com/lyricid/4338/rup-ki-dushman-paapi-duniya,Jadoo
292,https://www.lyricsia.com/lyricid/4276/suno-gajar-kya-gaye,Baazi
293,https://www.lyricsia.com/lyricid/4335/gin-gin-taare,Jadoo
294,https://www.lyricsia.com/lyricid/4302/dhire-se-aaja-ri-ankhiya-me,Albela
295,https://www.lyricsia.com/lyricid/4300/dewana-yeh-parwana,Albela
296,https://www.lyricsia.com/lyricid/4277/dil-yeh-kya-chiz-hai,Baazi
297,https://www.lyricsia.com/lyricid/214/ek-bewafa-se-pyar-kiya,Awara
298,https://www.lyricsia.com/lyricid/4278/laakh-zamane-wale,Baazi
299,https://www.lyricsia.com/lyricid/4391/pighla-hai-sona-dur-gagan-par,Jaal
300,https://www.lyricsia.com/lyricid/222/o-duniya-ke-rakhwale,Baiju Bawra
301,https://www.lyricsia.com/lyricid/4432/zamana-sach-kehta-hai,Amber
302,https://www.lyricsia.com/lyricid/221/bachpan-ki-mohabbat-ko,Baiju Bawra
303,https://www.lyricsia.com/lyricid/4368/maan-mera-ahsaan-are-nadaan,Aan
304,https://www.lyricsia.com/lyricid/228/aaj-gaawat-mann-mero,Baiju Bawra
305,https://www.lyricsia.com/lyricid/223/tu-ganga-ki-mauj,Baiju Bawra
306,https://www.lyricsia.com/lyricid/4389/ye-raat-ye-chandni-phir-kahan,Jaal
307,https://www.lyricsia.com/lyricid/4393/chandni-raaten-pyar-ki-baaten,Jaal
308,https://www.lyricsia.com/lyricid/220/man-tadpat,Baiju Bawra
309,https://www.lyricsia.com/lyricid/4401/koi-nahi-mera-is-duniya-mein,Daag
310,https://www.lyricsia.com/lyricid/4408/iss-dil-ke-halat-kya-kahiye,Anhonee
311,https://www.lyricsia.com/lyricid/4416/aa-jaa-basa-le-naya-sansar,Sangdil
312,https://www.lyricsia.com/lyricid/225/dur-koi-gaaye-dhun,Baiju Bawra
313,https://www.lyricsia.com/lyricid/4441/vande-maataram,Anand Math
314,https://www.lyricsia.com/lyricid/4426/ho-sake-to-dil-ke-badle,Alladin Aur Jadui Chirag
315,https://www.lyricsia.com/lyricid/4421/dard-bhari-kisi-ki-yaad,Sangdil
316,https://www.lyricsia.com/lyricid/4400/aye-mere-dil-kahin-aur-chal,Daag
317,https://www.lyricsia.com/lyricid/4424/badnasibi-ka-gilaa,Bewafa
318,https://www.lyricsia.com/lyricid/197/dil-matwala,Bewafa
319,https://www.lyricsia.com/lyricid/4415/ye-hawa-ye-raat-ye-chandni,Sangdil
320,https://www.lyricsia.com/lyricid/4423/kaam-hatho-ka-hai,Bewafa
321,https://www.lyricsia.com/lyricid/4445/naino-me-sawan-man-mere-phagun,Anand Math
322,https://www.lyricsia.com/lyricid/4422/le-chal-waha-piya,Sangdil
323,https://www.lyricsia.com/lyricid/4419/wo-to-chale-gaye-ai-dil,Sangdil
324,https://www.lyricsia.com/lyricid/224/mohe-bhul-gaye-saanwariya,Baiju Bawra
325,https://www.lyricsia.com/lyricid/230/tori-jai-jai-kartar,Baiju Bawra
326,https://www.lyricsia.com/lyricid/4417/kahan-ho-kahan-mere-jewan-sahare,Sangdil
