Song,Film,YearMusic Director,Lyricist,Singers
"कि: गहरे हल्के हल्के गहरे छाए शाम के साये
ल: धीरे धीरे हौले हौले दिल की धड़कन गाए
कि: तुम हो मैं हूँ और तन्हाइयाँ
ल: तन में जागी हैं अँगड़ाइयाँ

कि: मौसम की ये क्या नई रीत है
ठंडी हवाओं में संगीत है
ल: पुरवा सन सन गूँजे बन बन
कोयल शोर मचाए
कि: तुम हो मैं हूँ और तन्हाइयाँ
ल: धीमी धीमी हैं शेहनाइयाँ

ल: पलकों पे जैसे घटा छा गई
बाँहों के घेरे में मैं आ गई
कि: बरखा थर थर बरसे झर झर
मन में आग लगाए
ल: तुम हो मैं हूँ और तन्हाइयाँ
कि: भीगी भीगी हैं परछाइयाँ

कि: रंगीन दिल के फ़साने हुए
हम तुम तो जैसे दीवाने हुए
ल: महकी महकी बहकी बहकी रुत ने होश उड़ाए
कि: तुम हो मैं हूँ  और तन्हाइयाँ
ल: गुलशन गुलशन हैं रुसवाइयाँ

 ",Duniya,1984,R D Burman,Javed Akhtar,"Lata, Kishore"
"हँस के सह लेंगे अगर तुझमें बुराई होगी
गैर से आँख लड़ाई तो लड़ाई होगी

ग़म ना होगा जो कभी थोड़ी जुदाई होगी
गैर से आँख लड़ाई ...

माफ़ कर देंगे तुम्हें जाने या अंजाने में
बात जो तुमने कोई हमसे छुपाई होगी
गैर से आँख लड़ाई ...

हम सनम साथ निभाएंगे सात जन्मों तक
यूं किसी ने भी मुहब्बत ना निभाई होगी
गैर से आँख लड़ाई ...

 ",Qeemat,1998,Rajesh Roshan,Indeevar,nan
"मेरे हमसफ़र बोलो सोचकर मुझमें तुझको अच्छा क्या लगा
तेरा मुस्कुराना तेरा शरमाना नज़रें झुकाना
मेरे हमसफ़र ...

तेरा याराना बातें बनाना सपने दिखाना

रूप का रस यूं ही पीते भर तो ना जाएगा दिल कहीं मुझसे
जब तक फूल खिलेंगे फूलों पे होगी शबनम
जब तक आग मिलन की हो ना पाएगी कम
मेरे हमसफ़र ...

तेरी प्यारी आँखें तेरी मीठी बातें दिल का तो क्या कहना

सारे जहां की नज़रों से छुपकर हर घड़ी हर पल प्यार करेंगे
ढूंढ ना सकेगी हमको कभी जुदाई
सब कुछ मैने पाया जो तेरी मोहब्बत पाई
मेरे हमसफ़र ...

तेरा तड़पाना तेरा बहलाना तेरा पास आना

मेरे हमसफ़र ...

 ",Qeemat,1998,Rajesh Roshan,Indeevar,nan
"ग़ैरों पे करम अपनों पे सितम, ऐ जान-ए-वफ़ा ये ज़ुल्म न कर
रहने दे अभी थोड़ा सा धरम, ऐ जान-ए-वफ़ा ये ज़ुल्म न कर
ये ज़ुल्म न कर
ग़ैरों पे करम ...

ग़ैरों के थिरकते शानों पर, ये हाथ गँवारा कैसे करें
हर बात गंवारा है लेकिन, ये बात गंवारा कैसे करें
ये बात गंवारा कैसे करें
मर जाएंगे हम, मिट जाएंगे हम
ऐ जान-ए-वफ़ा ये ज़ुल्म न कर, ये ज़ुल्म न कर
ग़ैरों पे करम ...
 
हम भी थे तेरे मंज़ूर-ए-नज़र, दिल चाहा तो अब इक़रार न कर
सौ तीर चला सीने पे मगर, बेगानों से मिलकर वार न कर
बेगानों से मिलकर वार न कर
बेमौत कहीं मर जाएं न हम
ऐ जान-ए-वफ़ा ये ज़ुल्म न कर, ये ज़ुल्म न कर
ग़ैरों पे करम ...
 
हम चाहनेवाले हैं तेरे, यूँ हमको जलाना ठीक नहीं
मह्‌्‌फ़िल में तमाशा बन जाएं, इस दर्जा सताना ठीक नहीं
इस दर्जा सताना ठीक नहीं
ऐ जान-ए-वफ़ा ये ज़ुल्म न कर, ये ज़ुल्म न कर
ग़ैरों पे करम ...

 ",Aankhen,1968,Ravi,Sahir,Lata
"ग़ैरों से अब सुना करो नग़्में बहार के
हम तो चले मता-ए-दिल-ओ-जान हार के

बाद-ए-सहर ने जब तेरे आने की दी नवीद
मुर्झाये फूल खिल उठे मेरे मज़ार के

अक्सर उसी पे जा के गिरी बर्क-ए-बे-अमाँ
तुरग़े बुलंद हो गये जिस शाख़सार के

जलने को दिल तो दे दिया दिल को ज़बाँ न दी
देखे हैं हमने हौसले परवरदिगार के

सूरज की धूप भी इन्हें शायद ही धो सके
जो हाशिये उफ़क़ पे हैं दर्द-ओ-ग़ुबार के

 ",Ghulam Ali (Non-Film),1987,Ghulam Ali,K M Arif,Ghulam Ali
"गजाननं भूतगणादिसेवितम्‌्‌
कपित्थजम्बूफलचारुभक्शणम्‌्‌
उमासुतं शोकविनाषकारकम्‌्‌
नमामि विघ्नेश्वरपादपंकजम्‌्‌

( हे गणेश गणनायक गणप्ति दया करो
दया करो मेरी बिपद हरो ) -2

हे विध्नेश्वर मन्गल कर्ता
हे लम्बोदर सब दुख हर्ता
तुम ही आस विश्वास
मेरी झोली भरो
दुख दूर करो
दया करो मेरी बिपद हरो
हे गणेश गणनायक गणप्ति दया करो
दया करो मेरी बिपद हरो -3
दया करो

 ",Bahut Din Huye,1954,B S Kalla,Pt Indra,Lata
"गजाननं भूतगणादिसेवितम्‌्‌
कपित्थजम्बूफलचारुभक्शणम्‌्‌
उमासुतं शोकविनाषकारकम्‌्‌
नमामि विघ्नेश्वरपादपंकजम्‌्‌

को : 
जय
जय गणेश जय गणेश जय गणेश देवा -2
माता सोहे पारवती पिता महादेवा -2
जय गणेश जय गणेश जय गणेश देवा

मोदक मन मोद भरे, गिरजा की गोद भरे
को : मोदक मन मोद भरे, गिरजा की गोद भरे
कारज सब सफल करे
को : कारज सब सफल करे रिध-सिध के देवा
 जय गणेश जय गणेश जय गणेश देवा -2
 जय

दुख-ढलन विघ्न-हरन मंगल आनन्द करन
को : दुख-ढलन विघ्न-हरन मंगल आनन्द करन
 आये हम तेरी शरन
 आये हम तेरी शरन देवन के देवा
 जय गणेश जय गणेश जय गणेश देवा -2
 जय

 ",(Non-Film),1960,nan,nan,Chorus
" मुखडा इस सुन्ग फ़िर्स्त ब्य मले, थेन ब्य फ़ेमले चोरुस थेन ब्य मले+फ़ेमले
चोरुस 

ग़लत है लूट लिया तुमको हुस्न वालों ने
तुम्हें तो लूटा तुम्हारे बुरे ख़यालों ने

ख़ता तुम्हारी है इल्ज़ाम हुस्न वालों पर /-2
ख़ुदा की मार तुम्हारे बुरे ख़यालों पर  /-2
 female1 : नज़र तुम्हारी हमेशा है ख़ुशजमालों पर
 female2 : किसी के बालों पे आशिक़ किसी के गालों पर
ज़माना थूकेगा वल्लाह ऐसी चालों पर /-2
तरस न खायेगा कोई तुम्हारे हालों पर /-2
आ आ आ
जवाब साफ़ मिलेगा तुम्हें सवालों पर
ज़ुबान खोली अगर तुमने हुस्न वालों पर

(ग़लत है लूट लिया तुमको हुस्न वालों ने
तुम्हें तो लूटा तुम्हारे बुरे ख़यालों ने) /-2

जहाँ कहीं तुम्हें कोई हसीं नज़र आया /-2
तुम्हारे दिल ने तुम्हारी नज़र को बहकाया /-2
 female1 : के तुमने दिल से शराफ़त को यूँ मिटा डाला
 female2 : बुरे ख़याल ने अंधा तुम्हें बना डाला
तुम अपनी आबरू ख़ुद अपने हाथों खोते हो /-2
बुरे हो दिल में बुराई के बीज बोते हो /-2
आ आ आ
हमेशा हुस्न का रोना जहाँ में रोते हो
ज़रा बताओ हसीनों के कौन होते हो

के (ग़लत है लूट लिया तुमको हुस्न वालों ने
तुम्हें तो लूटा तुम्हारे बुरे ख़यालों ने)        /-2

गुनाहगार तुम्हारी निगाहें होती हैं /-2
तुम्हारे दिल की तो दुनिया सियाह होती है /-2
 female1 : न इश्क़ होता है तुमको न चाह होती है
 female2 : यही वो बात है बढ़कर गुनाह होती है
 female1 : कहा तो ज़ुल्म सहेंगे ये पुरजफ़ाओं के
 female2 : जनाज़ें रोज़ निकलते हैं बेहयाओं के
इन्हें न छेड़ो ख़ुदारा के ख़ादिमाएं हैं /-2
तुम्हारी बहनें हैं बेती हैं और माँएं हैं /-2
आ आ आ
न काली ज़ुल्फ़ों से मतलब न गोरे गालों से
ख़ुदा बचाए हर इक को बुरे ख़यालों से

के (ग़लत है लूट लिया तुमको हुस्न वालों ने
तुम्हें तो लूटा तुम्हारे बुरे ख़यालों ने)        /-2

 ",Chaand,1959,Hemant Kumar,Akhtar Lakhnavi,"Ranganath Jadhav, Chorus"
"सैंया रे सैंया ओ मोरे सैंया
आ के गले लग जा
जा जा जा
गले में लाल टाई घर में इक चारपाई
तकिया एक और हम दो इक ही है रजाई
सर्दी कैसे जाएगी कहो कैसे हमें नींद आएगी

गले में लाल टाई घर में इक चारपाई
तकिये की फ़िक्र ना कर बनूंगा मैं खुद रजाई
गले से लगा लूँगा होँठों से Coffee पिला दूँगा
गले से लगा ...

सारी दुनिया चैन से सोए
हम दोनों बातों में खोए
तुम से मैं डरती हूँ कोई हरकत न करो
एक है शर्त मेरी तुम शरारत न करो
हाय ये पसीना क्यूँ आ गया है हमदम
न तो कुछ सोचो तुम न तो कुछ सोचें हम
लगे चारपाई में कहीं इक खटमल है
तंग मुझे करता है तन में खलबल है
दुश्मन खटमल को तुम से मुहोब्बत है
जहाँ चाहे घूमेगा हाय क्या किस्मत है
अभी उसे ढूँढ कर मैं तगड़ी सज़ा दूँगा
गले में लाल टाई ...

खिड़की के मैं परदे गिरा दूँ
तुम कह दो तो बत्ती बुझा दूँ
अरे बाबा ना रे ना बत्ती ना बुझा देना
वक़्त का पता नहीं कुछ ना हो जाए कहीं
खाता हूँ सर की कसम ज़रा ना छेड़ूँगा
इस शराफ़त के लिए इक चुम्मा लूँगा
हाय किस्मत फूटी किस को प्यार किया है
ऐसे बेसब्रे से मैने क्यूँ प्यार किया
अब तो मजबूरी है ये घड़ी आई है
साथ सोना ही पड़े इक चारपाई है
तेरे भरोसे को कभी ना दगा दूँगा
समझी
गले में लाल टाई ...

 ",Hum Tumhare Hain Sanam,2002,Bappi Lahiri,Maya Govind,"Kumar Sanu, Bela Sulakhe, Chorus"
"गलियाँ-गलियाँ ढूँढ चुकी मैं-2
कहाँ हो बता दो साजना-3
गलियाँ-गलियाँ ढूँढ चुकी मैं-2

ये सोचा था सपने हमारे 
इक दिन पूरे हो जाएँगे
साथ जियेंगे साथ मरेंगे 
इक दूजे में खो जाएँगे
बिखरे सपने सारे रो-रो नैना हारे
पूरे हुए ना अर्मान
काहाँ हो बता दो साजना
गलियाँ-गलियाँ ढूँढ चुकी मैं-2

ना तड़पाओ आ भी जाओ 
दर्द-ए-जुदाई सह ना सकूँगी
गीत हैं जो मेरे दिल के 
और किसी से कह ना सकूँगी
टूटे आस के तारे मेरा प्यार पुकारे
तुम बिन सूना है जहाँ
काहाँ हो बता दो साजना
गलियाँ-गलियाँ ढूँढ चुकी मैं-2
काहाँ हो बता दो साजना-2
गलियाँ-गलियाँ ढूँढ चुकी मैं-3

 ",Badal Aur Bijlee,1973,Sohail Rana,Fayyaz Hashmi,Noorjehan
