Song,Film,YearMusic Director,Lyricist,Singers
" गल्यान सांखली सोन्या ची,        
 ही पोरी कोना ची,
 गल्यान सांखली सोन्या ची,        
 ही पोरी कोना ची, (2)

 इसकी अदा मेरा दिल ले गई,
 ही पोरी कोना ची,
 गल्यान सांखली सोन्या ची,        
 ही पोरी कोना ची,

 हो जाये अपनी अगर दोस्ती,
 तू जो मिले तो मिले ज़िंदगी,
 गल्यान सांखली सोन्या ची,        
 ही पोरी कोना ची
 
 तू मेरा दिल है, जाने जिगर है
 दिल दे दिया, तुझे दिल दे दिया
 
 तू भी अच्छी लगी, दिल कि सच्ची लगी,
 दिल है फिदा, मेरा दिल है फ़िदा
 
 मेरा सपना है तू, मेरा सजना है तू
 हो ना जुदा, कभी हो ना जुदा
 
 दम से है तेरे ये रोशनी
 ही पोरी कोना ची
 इसकी अदा मेरा दिल ले गई
 ही पोरी कोना ची
 
 (गल्यान सांखली सोन्या ची
 ही पोरी कोना ची ) - 2
 
 साजन तुझे मिल जायेगा,
 प्यार भरा दिन आयेगा,
 जो प्यार ढूँढे है तेरी नज़र,
 वो भी तुझे मिल जायेगा
 मिल जायेगा, तुझे मिल जायेगा,
 तेरा सजन तुझे मिल जायेगा
 ये है रब से दुआ, हम सबकी दुआ,
 साथी तेरा कोई बन जायेगा
 
 आने लगी है लब पे हँसीं
 ही पोरी कोना ची
 इसकी अदा मेरा दिल ले गयी
 ही पोरी कोना ची
 
 (गल्यान सांखली सोन्या ची,       
 ही पोरी कोना ची ) - 2
 
 दिल मे सजन है, इसकी लगन है,
 होगा यहीं, कहीं होगा यहीं  - 2
 
 आँख वीरान है, दिल परेशान है
 क्या हो गया, इसे क्या हो गया
 
 ढूँढती है जिसे, कहीं जाने जिसे,
 खामोश है, बड़ी खामोश है
 उलझन मे इसकी है, ये ज़िंदगी
 ही पोरी कोना ची
 
 (गल्यान सांखली सोन्या ची,       
 ही पोरी कोना ची ) - 2

 ",Dil Hai Ki Maantaa Naheen,1991,Nadeem-Shravan,Sameer,"Anuradha Paudwal, Kumar Sanu"
"ग़म दिये मुस्तक़िल, इतना नाज़ुक है दिल, ये न जाना
हाय हाय ये ज़ालिम ज़माना

दे उठे दाग लो उनसे ऐ महलों कह सुनना
हाय हाय ये ज़ालिम ज़माना

दिल के हाथों से दामन छुड़ाकर
ग़म की नज़रों से नज़रें बचाकर
उठके वो चल दिये, कहते ही रह गये हम फ़साना
हाय हाय ये ज़ालिम ज़माना

कोई मेरी ये रूदाद देखे, ये मोहब्बत की बेदाद देखे
फूक रहा है जिगर, पड़ रहा है मगर मुस्कुराना
हाय हाय ये ज़ालिम ज़माना

ग़म दिये मुस्तक़िल, इतना नाज़ुक है दिल, ये न जाना
हाय हाय ये ज़ालिम ज़माना

 ",Shahjehan,1946,Naushad,Majrooh,Saigal
"गम है क्यूं हर खुशी कम है क्यूं ये बता
हर घड़ी आँख भी नम है क्यूं ये बता
तूने किस जुर्म की पाई ये सज़ा हो
दर्द से दिल का संगम है क्यूं ये बता
तूने किस जुर्म की ...

तुझपे जो सितम हुआ दूसरों का पाप था
इसमें दोष है तेरा क्या
जिसपे ज़ुल्म हो गया उसको ही मिले सज़ा
किस किताब में है लिखा
तू क्यूं ओढ़े सर पर इल्ज़ामों की चादर
जबके है तू ही निर्दोष यहां ये बता
ओ ओ ओ ओ गम है क्यूं ...

नारी जो भी हो सहे सर झुकाए चुप रहे
ये रिवाज़ है दुनिया का
तू ये रीत छोड़ दे तू ये रस्म तोड़ दे
ये इलाज़ है दुनिया का
क्यूं आँसू पीती है क्यूं दुःख में जीती है
क्यूं आँखों में गम का है धुआँ ये बता
ओ यो ओ ओ गम है क्यूं ...

 ",Hamaaraa Dil Aapke Paas Hai,2000,Sanjeev-Darshan,Javed Akhtar,Udit Narayan
"ग़म है या खुशी है तू मेरी ज़िंदगी है तू

मेरी रात का चिराग मेरी नींद भी है तू
मेरी ज़िंदगी है ...

मैं खिज़ां की शाम हूँ रूत बहार की है तू
मेरी ज़िंदगी है ...

मेरी सारी उम्र में एक ही कमी है तू
मेरी ज़िंदगी है ...

 ",Kaartoos,1999,Nusrat Fateh Ali Khan,Majrooh,"Alka Yagnik, Chorus"
"ग़म जो पाया है तो सीने से लगा ले इसको
दिल में ये आग छुपा के तुझे जीना होगा
देख अमृत जो पिलाना है तुझे औरों को
तेरे हिस्से में है जो ज़हर वो पीना होगा

 ",Armaan,2003,Shankar-Ehsaan-Loy,Javed Akhtar,Amitabh Bachchan
"ग़म का फ़साना बन गया अच्छा
एक बहाना बन गया अच्छा
सरकार ने आके मेरा हाल तो पूछा
ग़म का...

तुम्हारे ख़यालों में खो जायें
ये जी चाहता है की सो जायें
देखो बातों-बातों में चाँदनी रातों में
ख़्वाब सुहाना बन गया अच्छा...

बतायें तुम्हें क्या कहाँ दर्द है
यहाँ हाथ रखना यहाँ दर्द है
देखो बातों बातों में दो ही मुलाकातों में
दिल ये निशाना बन गया अच्छा...

मुहब्बत की रंगीन महफ़िल में
जगह मिल गई आपके दिल में
देखो बातों-बातों में प्यार की बरातों में
अपना ठिकाना बन गया अच्छा...

 ",Manchali,1973,Laxmikant-Pyarelal,Anand Bakshi,"Kishore, Leena Chandavarkar"
"रफ़ी: ग़म की अंधेरी रात में 
दिल को ना बेक़रार कर 
सुबह ज़रूर आयेगी 
सुबह का इन्तज़ार कर 
ग़म की अंधेरी रात में 

तलत: दर्द है सारी ज़िन्दगी 
जिसका कोई सिला नहीं 
दिल को फ़रेब दीजिये 
और ये हौसला नहीं - 2

रफ़ी: खुद से तो बदग़ुमाँ ना हो 
खुद पे तो ऐतबार कर 
सुबह ज़रूर आयेगी 
सुबह का इन्तज़ार कर 
ग़म की अन्धेरी रात में 

तलत: खुद ही तड़प के रह गये 
दिल कि सदा से क्या मिला 
आग से खेलते रहे
हम को वफ़ा से क्या मिला - 2

रफ़ी: दिल की लगी बुझा ना दे 
दिल की लगी से प्यार कर 
सुबह ज़रूर आयेगी 
सुबह का इन्तज़ार कर 

ग़म की अंधेरी रात में ...

 ",Sushila,1966,C Arjun,Jaan Nisar Akhtar,"Talat, Rafi"
"ग़म की दवा तो प्यार है ग़म की दवा शराब नहीं
ठुकराओ ना हमारा प्यार इतने तो हम ख़राब नहीं
ग़म की दवा तो ...

जाता है जो जाने दो आता है वो आने दो
बीती बातें बीत गईं नई बहारें आने दो
बगिया में फूल हज़ारों हैं एक ही तो गुलाब नहीं
ग़म की दवा तो ...

घाव जिया के भर देंगे टूटा दिल हम जोड़ेंगे
बन के रहेंगे साथी हम साथ कभी ना छोड़ेंगे
अब कोई तुमको सता सके इतनी किसी में ताब नहीं
ग़म की दवा तो ...

 ",Amaanush,1975,Shyamal Mitra,Indeevar,Asha
"ग़म न कर खुशी का दौर आयेगा
ग़म न कर ज़माना और आयेगा

खत्म हो गयी सितम की दास्ताँ
झुक रहा है अब ज़मीं पे आसमाँ
अब न ये हँसी तेरी रुलायेगा
ग़म न कर ...

आ गये हैं देखो दिन बहार के
दिन गुज़र गये हैं इंतज़ार के
दुःख का ये समा बदल ही जायेगा
ग़म न कर ...

चार दिन गुZआर दे हँसी खुशी
आ गया वो वक़्त जब की आदमी
ठोकरें नसीब के न खायेगा
ग़म न कर ...

देखना ये रात कट ही जायेगी
इसके बाद सुबह मुस्कुरायेगी
इक नया जहाण जगमगायेगा
ग़म न कर ...


 ",Shaahzaadaa,1955,S Mohinder,Tanvir Naqvi,Talat
"ग़म ना करो ये ग़म के दिन बीत जाएंगे
बदलेगा फिर ये मौसम हम गीत गाएंगे
हम आज हारे हैं तो कल जीत जाएंगे
बदलेगा फिर ये मौसम ...

इस तरह क्यों बैठे हो तुम ज़िंदगी से रूठे रूठे
ये तुम्हें क्या जाने हो गया 
सामने है अपनी मंज़िल थक गए क्यूं चलते चलते
हौसला क्यों ऐसे खो गया
हम आज हारे हैं ...

तुमने देखा मुझको ऐसे यूं लगा पतझड़ में जैसे
फूल मेरे दिल में खिल गए
तुमने पकड़ा हाथ मेरा मिट गया दिल का अंधेरा
चाँद सूरज मुझको मिल गए
ओ ग़म ना करो ये ग़म ...

 ",Zor,1998,Agosh,Anand Bakshi,Agosh
"ग़म उठाने के लिये मैं तो जिये जाऊँगा
साँस की लय पे तेरा नाम लिये जाऊँगा

हाय  तूने मुझे उल्फ़त के सिवा कुछ न दिया
और मैने तुझे नफ़रत के सिवा कुछ न दिया
तुझसे शरमिंदा हूँ, ऐ मेरी वफ़ा की देवी
तेरा मुजरिम हूँ मुसीबत के सिवा कुछ न दिया
ग़म उठाने के लिये मैं तो जिये जाऊँगा ...

तू ख़यालों में मेरी अब भी चली आती है
अपनी पलकों पे उन अश्कों का जनाज़ा लेकर
तूने नींदें करीं क़ुरबान मेरी राहों में
मैं नशे में रहा औरों का सहारा लेकर
ग़म उठाने के लिये मैं तो जिये जाऊँगा ...


 ",Mere Huzoor,1968,Shankar-Jaikishan,Hasrat,Rafi
"ग़म-ए-दिल किसी से छुपाना पड़ेगा
घड़ी दो घड़ी मुस्कुराना पड़ेगा

बहुत बच के निकले मगर क्या ख़बर थी
इधर भी तेरा आस्ताना पड़ेगा

चलो मयकदे में बसेरा ही कर लो
न आना पड़ेगा न जाना पड़ेगा

नहीं भुलता 'सैफ़्' अहद-ए-तमना
मगर रफ़्ता रफ़्ता भुलाना पड़ेगा

 ",Lamha Lamha (Non-Film),1993,Rafique Husain / Ghulam Ali,Saifuddin Saif,Ghulam Ali
"ग़म-ए-आशियाना सताएगा कब तक
मुझे मेरा दिल यूँ रुलाएगा कब तक

बना कर बिगाड़े हैं घर तूने लाखों
फ़लक ये तमाशे दिखाएगा कब तक

सितम आज करते हैं इन्साँ पे इन्साँ
तू इन्साँ को इन्साँ बनाएगा कब तक

तेरी आज दुनिया जहन्नुम बनी है
तू शान-ए-ख़ुदाई छिपाएगा कब तक

 ",Eighteen Fifty Seven/ 1857,1857,Sajjad Hussain,Mohan Singh,Suraiya
"ग़म-ए-हस्ती से बस बेगाना होता
ख़ुदाया काश मैं दीवाना होता
ग़म-ए-हस्ती से बस बेगाना

(चली आती क़यामत अंजुमन में)-2
गुलों को आग लग जाती चमन में
अलग बैठा
अलग बैठा कोई मस्ताना होता
ख़ुदाया काश मैं दीवाना होता
ग़म-ए-हस्ती से बस बेगाना

जो देखा है सुना है ज़िंदगी में
वो बनके दर्द रह जाता ना जी में
फ़क़त एक ख़्वाब
फ़क़त एक ख़्वाब एक अफ़साना होता
ख़ुदाया काश मैं दीवाना होता
ग़म-ए-हस्ती से बस बेगाना

(उसी दीवानगी में बेख़ुदी में)-2
न खुलती आँख सारी ज़िंदगी में
सदा ग़र्दिश में
सदा ग़र्दिश में इक पैमाना होता
ख़ुदाया काश मैं दीवाना होता
ग़म-ए-हस्ती से बस बेगाना होता
ख़ुदाया काश मैं दीवाना होता

 ",Vallah Kya Baat Hai,1962,Roshan,Anand Bakshi,Rafi
"को : होय होय होय होय
 गणपति बाप्पा
 देवा हो देवा हो देवा हो -2

वि : कहता है ये सारा जहाँ
 तुमसे बढ़कर कौन यहाँ
फ़ : कहता है ये सारा जहाँ
 तुमसे बढ़कर कौन यहाँ
वि : तुम ही सब कुछ हो
को : गणपति देवा
वि : देवा हो देवा हो देवा हो -2
 देवा
को : देवा हो देवा हो देवा हो -2
वि : देवा हो

को : देवा
फ़ : धूम धूम तनाना -8
 धूम तना -20
 धूम धूम तनानाना

वि : ना आसमाँ था ना थी ज़मीं तुमसे पहले देवा हो देवा
फ़ : तुमसे पहले देवा
वि : हे सारे जहाँ में देखूँ जिधर हर तरफ़ तुम हो
 देवा हो देवा हो देवा हो -2
को : देवा हो देवा हो देवा हो -2

 देवा -2

वि : हाँ तुम हो जग के रखवाले देते हो सबको उजाले
फ़ : ओ स्वामी देते हो सबको उजाले
वि : ज़ुल्म को तुम ही मिटाते हो सबको बचाते हो
 देवा हो देवा हो देवा हो -2
दो : देवा हो देवा हो देवा हो -2
वि : देवा
को : देवा हो देवा हो देवा हो -2
वि : हो देवा
को : देवा हो देवा हो देवा हो -2

को : देवा हो देवा हो देवा हो -4

 ",Parwana,2003,Sanjeev-Darshan,Sameer,"Vinod Rathod, Farid Sabri"
"गणपति बप्पा मोरया, मंगल मूर्ति मोरया

देवा हो देवा गणपति देवा तुमसे बढ़कर कौन
स्वामि तुमसे बढ़कर कौन
और तुम्हारे भक्तजनों में हमसे बढ़कर कौन
हमसे बढ़कर कौन

अद्भुत रूप ये काया भारी महिमा बड़ी है दर्शन की
प्रभु महिमा बड़ी है दर्शन की
बिन माँगे पूरी हो जाये जो भी इच्छा हो मन की
प्रभु जो भी इच्छा हो मन की

भक्तों की इस भीड़ में ऐसे बगुला भगत भी मिलते हैं
हाँ बगुला भगत भी मिलते हैं
भेस बदल कर के भक्तों का जो भगवान को छलते हैं
अरे जो भगवान को छलते हैं

छोटी सी आशा लाया हूँ छोटे से मन में दाता
इस छोटे से मन में दाता
माँगने सब आते हैं पहले सच्चा भक्त ही है पाता
सच्चा भक्त ही है पाता

एक डाल के फूलों का भी अलग अलग है भाग्य रहा
प्रभु अलग अलग है भाग्य रहा
दिल में रखना डर उसका मत भूल विधाता जाग रहा
मत भूल विधाता जाग रहा

 ",Humse Badhkar Kaun,1981,Ram Laxman,Ravindra Rawal,"Rafi, Asha, Bhupinder, Shailen..."
"गणपति बप्पा मोरया, पुड्च्या वर्षी लौकरया
मोरया रे, बप्पा मोरया रे -4

गणपति अपने गाँव चले, कैसे हमको चैन पड़े
जिसने जो माँगा उसने वो पाया,
रस्ते पे हैं सब लोग खड़े

गणपति बप्पा दुख हरता, दुख हरता भाई दुख हरता

दस दिन घर में आन रहे, भक्तों के मेहमान रहे
सारे शहर में धूम मची, जोश से जनता झूम उठी
उनको प्यारे सब इंसान राजा रंक हैं एक समान
दुख हरता भाई दुख हरता

किसी को कुछ वरदान दिया, किसी को कोई ज्ञान दिया
हैं चले सभी को ख़ुश करके, खाली खाली झोलियों को भरके
आयेंगे साल के बाद इधर, लोग करेंगे याद मगर

थोड़े ही दिन रहे, थोड़े दिनों में करके चले ये काम बड़े
सारे घर उनको घर हैं, उनको एक बराबर हैं
ऊँचे महल अमीरों के हों या हम गरीबन के झोपड़े

मस्त पवन ये फिर ले आई, मौजों की नैया लाई
गणपति उस पार चले, लेकर सबका प्यार चले
सफल हुई सबकी पूजा, ऐसा न कोई बिन दूजा
घटा गगन पर लहराई, घड़ी विसर्जन की आई
भूल चूक हो माफ़ हमारी, हम सब हैं बड़े नादान बड़े

 ",Agnipath,1990,Laxmikant-Pyarelal,Anand Bakshi,"Sudesh Bhosle, Kavita Krishnam..."
"गर तेरी नवाज़िश हो जाए
गर तेरा इशारा हो जाए
हर मौज सहारा दे जाए
तूफ़ान किनारा हो जाए

तुम हमसे जफ़ाएं करते हो
और हम ये दुआएं देते हैं
जो हाल हमारा है इस दम
वो हाल तुम्हारा हो जाए

हम इश्क़ के मारे दुनिया में
इतनी सी तमन्ना रखते हैं
दामन जो तुम्हारा हाथ आए
जीने का सहारा हो जाए

परदा जो हटा दो चेहरे से
वीराने गुलिस्ताँ बन जाएं
जल्वा जो दिखा दो तो रौशन
क़िस्मत का सितारा हो जाए

 ",Gul Bahar,1954,Khayyam,Shevan Rizvi,Talat Mahmood
"( गर तुम भुला न दोगे
सपने ये सच ही होंगे
हम-तुम जुदा न होंगे
हम-तुम जुदा न होंगे ) -2

मालिक ने अपने हाथों
जिस दम हमें बनाया
डाली दिलों में धड़कन
और दिल से दिल मिलाया
फिर प्यार का फ़रिश्ता
दुनिया में ले के आया

गर तुम भुला न दोगे
सपने ये सच ही होंगे
हम-तुम जुदा न होंगे
हम-तुम जुदा न होंगे

जीवन के हर सफ़र में
हम साथ ही रहेंगे
दुनिया की हर डगर पर
हम साथ ही चलेंगे
हम साथ ही जियेंगे
हम साथ ही मरेंगे

( गर तुम भुला न दोगे
सपने ये सच ही होंगे
हम-तुम जुदा न होंगे
हम-तुम जुदा न होंगे ) -2

 ",Yakeen,1969,Shankar-Jaikishan,Hasrat,Rafi
