Song,Film,YearMusic Director,Lyricist,Singers
"(ओ घटा साँवरी
थोड़ी थोड़ी बावरी
हो गई है बरसात क्या
हर साँस है बहकी हुई
अब के बरस  है ये बात क्या
हर बात है बहकी हुई
अब के बरस  है ये बात क्या) (2)

पाके अकेली मुझे
मेरा आँचल मेरे साथ उलझे
छू ले अचानक कोई
लट में ऐसे मेरा हाथ उलझे
क्यूँ रे बादल तुने ... ए ए ए ... हा ... उई
तूने छुआ मेरा हाथ क्या

ओ घटा साँवरी
थोड़ी थोड़ी बावरी
हो गई है बरसात क्या
हर साँस है बहकी हुई
अब के बरस  है ये बात क्या
हर बात है बहकी हुयी
अब के बरस  है ये बात क्या

आवाज़ थी कल यही
फिर भी ऐसे लहकती न देखी
पग में थी पायल मगर
फिर भी ऐसे छनकती न देखी
चंचल हो गए घुँघरू ... रू ... मे - रे ... 
घुँघरू मेरे रातों रात क्या

ओ घटा साँवरी
थोड़ी थोड़ी बावरी
हो गई है बरसात क्या
हर साँस है बहकी हुई
अब के बरस  है ये बात क्या
हर बात है बहकी हुई
अब के बरस  है ये बात क्या

मस्ती से बोझल पवन
जैसे साया कोई मन पे डोले
बरखा की हर बूँद पर 
थरथरी सी मेरे तन पे डोले
पागल मौसम जा रे
जा जाजा जा ह्म्म ... ह्म्म ...
जा तू लगा मेरे साथ क्या

ओ घटा साँवरी
थोड़ी थोड़ी बावरी
हो गई है बरसात क्या
हर साँस है बहकी हुई
अब के बरस  है ये बात क्या
हर बात है बहकी हुई
अब के बरस  है ये बात क्या


एन्द्सोन्ग


 ",Abhinetri,1970,Laxmikant Pyarelal,Majrooh Sultanpuri,Lata Mangeshkar
"ओ गोरे गोरे चाँद से मुख पर काली काली आँखें हैं
देखके जिनको नींद उड़ जाए वो मतवाली आँखें हैं

male voice: उषा ! अक्षम्य !!

मतवाले नैनों वाले के मैं वारी वारी जाऊँ
मतवाले नैनों वाले, मतवाले नैनों वाले के मैं
वारी वारी जाऊँ, हो मैं वारी वारी जाऊँ
हो मैं वारी वारी जाऊँ
मतवाले नैनों वाले ...
 
(इस दर्जा नाज़ उठाए के दिलबर बना दिया
तेवर को तीर नाज़ को नश्तर बना दिया) -2
सह-सहके चोटें मोम को पत्थर बना दिया -2
सच है तुम्हें मैं ही ने सितमगर बना दिया
मतवाले नैनों वाले ...
 
(जादू भरा वो मीठी निगाहों का प्यार है
जो तीर है तबर है छुरी है कटार है) -2
चरकों पे चरके खाऊँ यही दिल की है ख़ुशी -2
मरने में ज़िंदगी है ख़िज़ाँ में बहार है
मतवाले नैनों वाले ...

 ",Beqasoor,1950,Anil Biswas,Arzoo Lucknowi,Lata
"(ओ हंसिनी मेरी हंसिनी, कहाँ उड़ चली
मेरे अरमानों के पंख लगा के, कहाँ उड़ चली)- 2

(आजा मेरी साँसों में महक रहा रे तेरा गजरा
आजा मेरी रातों में लहक रहा रे तेरा कजरा)- 2 

ओ हंसिनी ... 

(देर से लहरों में कमल सम्भाले हुए मन का
जीवन ताल में भटक रहा रे तेरा हंसा)- 2 

ओ हंसिनी ...
कहाँ उड़ चली 
कहाँ उड़ चली

 ",Zehreelaa Insaan,1974,R D Burman,Majrooh,Kishore
"ओ हाय कोई देख लेगा
मेरे संग पिया घबराये मोरा जिया रे
हाय कोई देख लेगा
ओ कोई क्या देख लेगा
प्रीत की ये डोरी दुनियाँ से नहीं चोरी रे
कोई क्या देख लेगा
मैं तो ये प्रेम गली पहले-पहल आज चलि
मेरे संग पिया घबराये मोरा जिया रे
हाय कोई देख लेगा

ओ परदेसी साजना
चोर तेरे जादू भरे दो नैना
ओ अरमाँ भरे दिल को
छेड़ गये रस के भरे तेरे बैना
जब से उलझी ये नज़र उलझी मेरे दिल की डगर
मेरे संग पिया घबराये मोरा जिया रे
हाय कोई देख लेगा

ओ दिल ये कहता है कि आ
रंग भरे सपनों की दुनियाँ बसा लें
लाज लागे ओ रसिया
तू मुझे बाहों में अपनी छुपा ले
प्यार करते हैं ज़माने का हमें डर कैसा
मेरे संग पिया घबराये मोरा जिया रे
हाय कोई देख लेगा


 ",Ek Gaaon Ki Kahaani,1957,Salil Chowdhury,Shailendra,"Talat, Lata"
"ओ हमदम
ओ हमदम सुनियो रे

ओ जनिया सुनियो रे

ओ जनिया
शाम को खिड़की पे चोरी-चोरी नंगे पाँव चाँद आयेगा

ओ हमदम रे ओ जनिया रे -2

ओ हमदम सुनियो रे
ओ जनिया सुनियो रे
ओ जनिया
शाम को खिड़की पे चोरी-चोरी नंगे पाँव चाँद आयेगा
ओ हमदम रे ओ जनिया रे -2

धीम-धीम ता ना ना धीम ता ना ना ना ओ गलियों से आयेगा

धीम-धीम ता ना ना धीम ता ना ना ना ओ सीटी बजायेगा

धीम-धीम ता ना ना धीम ता ना ना ना ओ नीम के पेड़ से

धीम-धीम ता ना ना धीम ता ना ना ना ओ पास बुलायेगा

hey, here we go
I'm ripped up on the match
Just singing rhythm hit the hop
once again, in effect, feel the kids come slamming off the baseline, never mess around with
a phone call because I'm sticking, kicking, always finger licking
I don't need halloween just to be trick or treating, because I'm always on top
Ibikado-von-chikidavon

ओ हमदम सुनियो रे
ओ जनिया सुनियो रे
ओ जनिया
शाम को खिड़कीपे

ओ हमदम रे ओ जनिया रे -2

धीम-धीम ता ना ना धीम ता ना ना ना ओ गलियों से आयेगा
धीम-धीम ता ना ना धीम ता ना ना ना ओ सीटी बजायेगा
धीम-धीम ता ना ना धीम ता ना ना ना ओ नीम के पेड़ से
धीम-धीम ता ना ना धीम ता ना ना ना ओ पास बुलायेगा
ए ए ए


माङ्गल्यं तन्तुनानेन मम जीवन-हेतुना
कण्ठे बध्नामि शुबह्गे त्वं जीव शरदः शतं


ओ हमदम सुनियो रे
ओ जनिया सुनियो रे
ओ जनिया
शाम को खिड़की पे चोरी-चोरी नंगे पाँव चाँद आयेगा
ओ हमदम रे ओ जनिया रे -2

( माङ्गल्यं तन्तुनानेन मम जीवन-हेतुना
कण्ठे बध्नामि शुबह्गे त्वं जीव शरदः शतं ) -2

 ",Saathiyaa,2002,A R Rahman,Gulzar,"Kaykay, Kunal, Pravin mani/ Ka..."
"ओ हमसफ़र, दिल के नगर, सपने चलो हम सजाएँ  (2)
तुम हो साथ और हम कहीं खो जाएँ
ओ हमसफ़र, दिल के नगर ...

(चाँदनी रात या सुनहरा हो दिन
बेरंग है ज़िंदगी का हर दिन तेरे बिन)  (2)
देखो हम जुदा ना कभी हो जाएँ
ओ हमसफ़र, दिल के नगर ...

(ले चलो तुम मुझे ज़माने से दूर
मिलके जहाँ दो जवाँ दिल मस्ती में हों चूर)  (2)
ख़्वाबों के जहाँ में चलो खो जाएँ
ओ हमसफ़र, दिल के नगर ...

 ",Fareb,1996,Jatin-Lalit,Neeraj,Alka Yagnik
"ओ हरजाई बालम, बिरहन के घर आजा
बीत चली बरसात रे, ओ हरजाई बालमा
तुझ बीन है मोरी सूनी सेजरिया
कैसे कटेगी मोरी रात रे, ओ हरजाई बालमा

जब से तुम ने सुध बिसराई रे
देती फिरूँ मैं राम दुहाई रे
कोई ना सुने मोरी बात रे, ओ हरजाई बालमा

सूखी अटरिया पे जिया घबराए
जिया घबराए मोरा, चैन न पाए
मन की बाज़ी है मात रे, ओ हरजाई बालमा

 ",Kahan Gaye,1946,Lachchhi Ram,nan,Zeenat Begum
"रफ़ी: ओ हसीना ज़ुल्फ़ों वाली जानेजहाँ
ढूँढती हैं काफ़िर आँखें किसका निशां
ओ हसीना ज़ुल्फ़ों वाली जानेजहाँ 
ढूँढती हैं काफ़िर आँखें किसका निशां
महफ़िल महफ़िल ऐ शमा फिरती हो कहाँ - 2

आशा: वो अन्जाना ढूँढती हूँ
वो दीवाना ढूँढती हूँ
जलाकर जो छिप गया है
वो परवाना ढूँढती हूँ

आशा: गर्म है, सेज़ है, ये निगाहें मेरी
रफ़ी: काम आ, जायेगी सर्द, आहें मेरी
आशा: तुम किसी, राह में, तो मिलोगे कहीं
रफ़ी: अरे! इश्क़ हूँ, मैं कहीं ठहरता ही नहीं
आशा: मैं भी हूँ गलियों की परछाई
कभी यहाँ कभी वहाँ
शाम ही से कुछ हो जाता है
मेरा भी जादू जवां

रफ़ी: ओ हसीना ज़ुल्फ़ों वाली जानेजहाँ 
ढूँढती हैं काफ़िर आँखें किसका निशां
महफ़िल महफ़िल ऐ शमा फिरती हो कहाँ - 2

आशा: वो अन्जाना ढूँढती हूँ
वो दीवाना ढूँढती हूँ
जलाकर जो छिप गया है
वो परवाना ढूँढती हूँ

आशा: छिप रहे, है ये, क्या ढंग है आपका?
रफ़ी: आज तो, कुछ नया, रंग है आपका
आशा: है!  आज की, रात मैं, क्या से क्या हो गयी
रफ़ी: अह! आपकी सादगी, तो भला हो गयी
आशा: मैं ही हूँ गलियों की परछाई
कभी यहाँ कभी वहाँ
शाम ही से कुछ हो जाता है
मेरा भी जादू जवां

रफ़ी: ओ हसीना ज़ुल्फ़ों वाली जानेजहाँ 
ढूँढती हैं काफ़िर आँखें किसका निशां
महफ़िल महफ़िल ऐ शमा फिरती हो कहाँ - 2

आशा: वो अन्जाना ढूँढती हूँ
वो दीवाना ढूँढती हूँ
जलाकर जो छिप गया है
वो परवाना ढूँढती हूँ

आशा: ठहरिये, तो सही, कहिये क्या नाम है
रफ़ी: मेरी बदनामियों का वफ़ा नाम है
आशा: ओहो!  क़त्ल कर के चले ये वफ़ा, खूब है
रफ़ी: है! नादां तेरी, ये अदा, खूब है
आशा: मैं भी हूँ गलियों की परछाई
कभी यहाँ कभी वहाँ
शाम ही से कुछ हो जाता है
मेरा भी जादू जवां

रफ़ी: ओ हसीना ज़ुल्फ़ों वाली जानेजहाँ 
ढूँढती हैं काफ़िर आँखें किसका निशां
महफ़िल महफ़िल ऐ शमा फिरती हो कहाँ - 2

आशा: वो अन्जाना ढूँढती हूँ
वो दीवाना ढूँढती हूँ
जलाकर जो छिप गया है
वो परवाना ढूँढती हूँ!!!

 ",Teesri Manzil,1966,R D Burman,Majrooh,"Rafi, Asha"
"ओ हो हो मैं बाबू छैला छैला बाबू बाबू छैला
ये नाम था मेरा पहला
आज से मैं बन गया रे मजनूं देख के तुझको लैला
मैं बाबू छैला ...

सुन ले दिल का ये अफ़साना तेरा-मेरा प्यार पुराना -2
माना इक बहरुपिया हूँ मैं लेकिन हूँ तेरा दीवाना
आदत मेरी बुरी सही पर दिल का मैं नहीं मैला
आज से मैं बन ...

ये जो अपने पीछे दौड़े बीमारी पीछा न छोड़े
ऐसे प्रेमी ऐसे पागल दुनिया में मिलते हैं थोड़े
जाने है ये पान का छक्का या चिड़िया का नहला
आज से मैं बन ...

female voice : हु हु हु ओ हो ला ला ला

हम जैसे दीवाने अक्सर जान भी दे देते हैं हँस कर -2
ग़म न कर बस शौक़ से दिलबर तीर चलाए जा सीने पर
टूट गया दिल मेरा तो क्या तेरा दिल तो बहला
आज से मैं बन ...

 ",Chhailaa Baaboo,1977,Laxmikant-Pyarelal,Anand Bakshi,Kishore
"ओ हो ओ ओ ओ धरती कहे पुकार के
ओ मुझको चाहने वाले किसलिए बैठा हार के
मेरा सब कुछ उसी का है जो छू ले मुझको प्यार से
धरती कहे ...

( है अजब सी बात जिस पर ) -2 मुझको हँसना आए
जो मुझी से है वो मेरी माटी से शरमाए
आ पास मेरे मतवाले भरम ये क्यों बेकार के
मेरा सब कुछ उसी ...

हल चले एक हाथ से इक हाथ कलम को थामे
फिर शीश झुकेंगे सारे ही संसार के
मेरा सब कुछ उसी ...

 ",Dharti Kahe Pukar Ke,1969,Laxmikant-Pyarelal,Majrooh,Rafi
"ओ जान-ए-जां तेरी नज़र पे
तेरी अदा पे मैं हूँ फ़िदा
शरमाओ ना घबराओ ना अब गाओ ना
ना ना ना ना ना ना ना से क्या होता है
बोलो बोलो बोलो ना से हाँ
ना गाऊंगी मैं साथ तुम्हारे
तू किसी और से इश्क़ लड़ा
मुझे छेड़ो ना बहकाओ ना अजी जाओ ना
ओ जान-ए-जां ...

गा गा गा गा गा गा गा
ना ना ना ना ना ना
देख लेना सबसे छुपाके
तुझको उड़ाके ले जाएंगे हम
हो आजमा ले मेरी मोहब्बत
मेरी चाहत होगी नहीं कम
धीरे धीरे एक दिन तुमको
हम सिखाएंगे
क्या चीज़ है ये मुहब्बत सनम
ओ जान-ए-जां ...
शरमाओ ना घबराओ ना अब आओ ना

गा गा गा गा गा गा गा
ना ना ना ना ना ना
मीठी मीठी बातें न करना
बातों में तेरी ना आऊंगी मैं
होश उड़ा दूंगी मैं तुम्हारे
ऐसी अदाएं दिखलाऊंगी मैं
चुपके चुपके तू मुझे दिल में यूं बसाएगी
तुझको खबर भी ना होगी सनम
न आऊंगी मैं पास तुम्हारे
तू किसी और से इश्क़ लड़ा
मुझे छेड़ो ना बहकाओ ना अजी जाओ ना
ओ जान-ए-जां ...

 ",Hote Hote Pyaar Ho Gayaa,1999,"Anand Raj Anand, Pradeep-Ejaz",Zameer Kazmi,"Udit Narayan, Sadhana Sargam, ..."
"ओ जान-ए-जिगर ओ जान-ए-जिगर
ले गई मन ये करारी करारी नज़र
मान जा दिलबर
जलवा जलवा जलवा जलवा
ओ जान-ए-जिगर ...

क्या खबर थी जानां मुझे प्यार हो जाएगा
दिल तुम्हारे लिए बेकरार हो जाएगा
ये तीर-ए-नज़र
ले गई मन ये मेरा तेरी बाली उमर
मान जा दिलबर
ओ जान-ए-जिगर ...

जाओ मेरे पिया तुम्हें माफ़ हमने किया
जलवा ऐसा किया धड़के ये मेरा जिया
ऐसा है असर
तेरी ही यादों में जागेंगे हम रात भर
आ भी जा दिलबर
ओ जान-ए-जिगर ...

 ",Yeh Hai Jalwa,2002,Himesh Reshammiya,Sudhakar Sharma,"Kumar Sanu, Alka Yagnik"
"ओ जाना ना जाना ये दिल तेरा दीवाना
जहां भी तू जाए तेरे पीछे आए ये तेरा आशिक़ पुराना
ओ जाना ना जाना ...

ज़ोर चलता नहीं क्या करूं दिल संभलता नहीं क्या करूं हाय
ऐसा काँटा चुभा प्यार का अब निकलता नहीं
तेरी निगाहों का मैं बन गया हूँ निशाना
ओ जाना ना जाना ...

सारी दुनिया से हम रूठ के आ मोहब्बत करें टूट के
उड़ ना जाए कभी क्या पता कोई भंवरा मुझे लूट के
भंवरा नहीं है मेरा नाम है परवाना

ओ जाना ये जाना तू है मेरा दीवाना
तू करे जो इशारा मैं चली आऊं यारा छोड़ के ये ज़माना
ओ जाना ये जाना तू है मेरा दीवाना
तू करे जो इशारा मैं चली आऊं यारा छोड़ के ये ज़माना
ओ जाना ये माना ...

तेरी मेरी नज़र मिल गई दिल से दिल की डगर मिल गई
बिन कहे बिन सुने देख ले दिल को दिल की खबर मिल गई
ये दिल चुरा के तू आँखें ना मुझसे चुराना
ओ जाना ये माना ...

दिल दूं या जान दूं नाम ले बाहों में तू मुझे थाम ले
हो ना जाए नशा प्यार का ओ सनम होश से काम ले
मैं क्या करूं बिना पिए हो गया मैं मस्ताना
ओ जाना ये माना ...

 ",Jab Pyaar Kisi Se Hotaa Hai,1998,Jatin-Lalit,Anand Bakshi,"Kumar Sanu, Anuradha Paudwal/ ..."
"ओ जानां रे आना रे
दिल है दीवाना रे जानां रे
ओ जानां रे आना रे ...

चढ़ती जवानी कुछ और नहीं जाने
जाने तो जाने कि तू यार है मेरा
आना रे जानां रे ओ आना रे
ओ जानां रे आना रे ...

हो तेरा दीवाना कोई बात नहीं माने
माने तो माने कि तू प्यार है मेरा
रे आना रे जानां रे ...

चढ़ती हैं प्यार की दुनिया तेरी ये मतवाली आँखें
रात भी हैं ये दिन भी हैं गोरी काली आँखें
उसपे पलकों से हैं बातें प्यार की
हो जब से देखा है तेरा रूप मस्ताना
तब से जिया बेक़रार है मेरा
ओ जानां रे आना रे ...

हो मौज में हम नाचें तो वीराना भी है महफ़िल
चल पड़ें तो रस्ता है रुक जाएं तो मन्ज़िल
बात क्या करना मेरे दिल मौज में चल पड़े
ओ जानां रे आना रे ...

ओ पाके इशारा मेरा खिलती हैं कलियाँ
जब से सजन दिलदार है मेरा
ओ जानां रे आना रे ...

 ",Gurudev,1993,R D Burman,Majrooh,Anuradha Paudwal
"ओ जाने जाना (3)
है साँस जब तक
तुम्हें मोहब्बत करेंगे जाना
ओ जाने जाना

करीब आओ तुम्हारी तन्हाइयाँ चुरा लूँ
धड़कते दिल से तुम्हारी बेताबियाँ चुरा लूँ
तुम्हारी आँखों में सात रंग के ख़्वाब रख दूँ
तुम्हारे होँठों पे चाहत के गुलाब रख दूँ
ओ जाने जाना ...

बना लो अपना कि दूर तुमसे न रह सकेंगे
अब एक पल भी ग़म-ए-जुदाई न सह सकेंगे
निगाहें प्यासी हैं मुद्दतों के ख़ुमार दे दो
गले लगा के हमें वो पहला सा प्यार दे दो
ओ जाने जाना ...

 ",Madhoshi,2004,Roop Kumar Rathod,Shakeel Azmi,"Udit Narayan, Sunidhi Chauhan"
"श : ओ जाने वाले
 ओ जाने वाले हमको भूल न जाना -2
मु : हमको भूल न जाना

श : चाँद हमारे चले संग तेरे संग ही लेकर आना
 ओ जाने वाले हमको ...
मु : हमको भूल न जाना

श : चैन हमारा लूट चला क्यूँ
मु : मन का छाला फूट पड़ा क्यूँ
श : तेरा आना-जाना साजन साँस का आना-जाना
श : वफ़ा आजमाने को ...
 ओ जाने वाले हमको ...
मु : हमको भूल न जाना


 जीवन है ये तेरे दम से
 कैसे कटेगी तुझ बिन हमसे
श : जैसे रूठी क़िस्मत हमसे तू भी रूठ न जाना
 ओ जाने वाले हमको ...
मु : हमको भूल न जाना

 ",O Janewale,1948,Ali Husain Muradabadi,nan,"Mukesh, Shamshad"
"ओ जाने वाले जाओ न घर अपना छोड़ के
माता बुला रही है तुम्हें हाथ जोड़ के

हम सबको छोड़कर अब जाते हो तुम कहाँ
उजड़ी है लाख फिर भी है धरती तुम्हारी माँ
दुनिया में सुख न पाओगे दिल माँ का तोड़ के
ओ जाने वालों ...

ठहरो पुकारती है तुम्हारी ज़मीं तुम्हें
लौट आओ माँ की हाय लगे ना कहीं तुम्हें
रुक जाओ माँ की हाय लगे ना कहीं तुम्हें

 ",Mother India,1957,Naushad,Shakeel,Lata
