Song,Film,YearMusic Director,Lyricist,Singers
"ओ दिलरुबा कहाँ तक ज़ुल्म-ओ-सितम सहेंगे -2
ओ दिलरुबा कहाँ तक

whisper
किताब-ए-इश्क़ में लिखी हैं और ही बातें -4

ओ इश्क़ के दीवाने ओ हुस्न के परवाने -2
हम भी तो सुनें आख़िर क्या हैं तेरे अफ़साने -2
जब दास्तान-ए-उल्फ़त आशिक़ बयाँ करेंगे -2
फिर आँसुओं के दरिया हर आँख से बहेंगे -2

ओ दिलरुबा कहाँ तक ज़ुल्म-ओ-सितम सहेंगे
ओ दिलरुबा कहाँ तक

ओ दिलरुबा कहाँ तक ज़ुल्म-ओ-सितम सहेंगे
ओ दिलरुबा कहाँ तक

मुझे यक़ीं है मेरी मोहब्बत में झूठी क़समें उठा रही हो -2
इधर मैं आँसू बहा रहा हूँ उधर तुम आँसू बहा रही हो -2

ओ दिलरुबा कहाँ तक ज़ुल्म-ओ-सितम सहेंगे
ओ दिलरुबा कहाँ तक

 ",Millionaire/ Karorpati,1936,R C Boral / Pankaj Mullick?,Kedar Sharma,"Saigal, Pahadi Sanyal"
"SB: 
जिसने इस दुनियाँ में आकर
दिल ना दिया और दिल ना लिया
जिने को सौ साल जिया
पर हम तो कहेंगे खाख जिया

SB: ओ दिलवालोँ दिल का लगाना अच्चा है 
च्ड़: पर कभी कभी
SB: दिल में किसी का प्यार बसाना अच्चा है
च्ड़: पर कभी कभी

SB: दुनियाँ में जो प्यार ना होता तुम ही कहो क्या होता
च्ड़: कोई ना ठण्ड़ि आहें भर्ता कोई ना दर्द के मारे रोता
SB: हसनेवालोँ आँख बहाना अच्चा है
च्ड़: पर कभी कभी

SB:
ओ दिलवालोँ ...

SB: शमा ना हो तो परवाने को कौन गले से लगाए
च्ड़: शमा ना हो तो परवाना क्यों अपना आप जलाये 
SB: किसी की खातिर जान जलाना अच्चा है 
च्ड़: पर कभी कभी

SB &अम्प्; च्ड़: ओ दिलवालोँ ...


 ",Patanga,1949,C Ramchandra,Rajinder Krishan,"Shamshad, Chitalkar"
"ओ दुखिया जियार तोसे नैना 
दे रे मै का भाली ???? 
बेक़दरों से प्रीत लगाके 
बाली उमरिया गवाली 
दुखिया जियारा ...

भाती थी तुमको मोरे सैय्यां 
सावन की घटा ये काली 
मैंने बरखा की रुत राजा 
नैनों बीच छुपाली 
दुखिया जियार ...

तुम तो भूल गये थे हमको 
हम भी भूल गये थे 
आँख से इक आँसू मेरे गिर के 
तेरी याद सम्भाली 
दुखिया जियार ... 

 ",Tansen,1943,Khemchand Prakash,D N Madhok,Khursheed
"( ओ दुनिया बनाने वाले
क्या यही है दुनिया तेरी ) -2

इस दुनिया की भरी सभा में -2
लुट गई दुनिया मेरी -2
क्यूँ लुट गई दुनिया मेरी

ओ दुनिया बनाने वाले -2
क्या यही है दुनिया तेरी
ओ दुनिया बनाने वाले
क्या यही है दुनिया तेरी

दिल में दुख होँटों पर आहें
सर पर हैं घनघोर घटायें -2
ओ चाँद बनाने वाले
ए चाँद बनाने वाले
क्यूँ मेरी रात अन्धेरी

ओ दुनिया बनाने वाले -2
क्या यही है दुनिया तेरी
ओ दुनिया बनाने वाले
क्या यही है दुनिया तेरी

दुखियों के घर आता है तू -2
दुख की आग़ बुझाता है तू -2
ओ आग़ बुझाने वाले
क्यूँ जल गई नगरी मेरी
जल गई नगरी मेरी
क्यूँ जल गई नगरी मेरी

ओ दुनिया बनाने वाले -2
क्या यही है दुनिया तेरी
ओ दुनिया बनाने वाले
क्या यही है दुनिया तेरी

 ",Sindoor,1947,Khemchand Prakash,Qamar Jalalabadi,Amirbai
"( ओ दुनिया के रहने वालो बोलो
कहाँ गया चितचोर
कहाँ गया चितचोर ) -2

जाऊँ कहाँ और ढूँढूँ कहाँ -2
खोया हुआ मन पाऊँ कहाँ
मन पाऊँ कहाँ
( छीन के मनवा मेरा प्यारा
कहाँ गया चितचोर ) -2

( ओ दुनिया के रहने वालो बोलो
कहाँ गया चितचोर
कहाँ गया चितचोर ) -2

नैन थके हैं बैन थके हैं -2
थक गया मन का चैन -2
( थकी नहीं मिलने की आशा
तड़पत हूं दिन-रैन ) -2
प्राण-पपीहा यही पुकारे -2
कहाँ गया चितचोर -3

( ओ दुनिया के रहने वालो बोलो
कहाँ गया चितचोर
कहाँ गया चितचोर ) -2

( कोई जाओ रे
कोई जाओ रे
ज़रा मुझपे तरस कोई खाओ रे ) -2
( जी भर के चितचोर निहारूँ
उसे पकड़ ले आओ रे ) -2
दिल की प्यास बुझाने वाला -2
कहाँ गया चितचोर -3

( ओ दुनिया के रहने वालो बोलो
कहाँ गया चितचोर
कहाँ गया चितचोर ) -2

 ",Dil Ki Rani,1947,S D Burman,Yashodanandan Joshi,Raj Kapoor 'Madhav'
"भगवान, भगवान ... भगवान
ओ दुनिया के रखवाले, सुन दर्द भरे मेरे नाले
सुन दर्द भरे मेरे नाले
आश निराश के दो रंगों से,  दुनिया तूने सजाई
नय्या संग तूफ़ान बनाया,  मिलन के साथ जुदाई
जा देख लिया हरजाई
ओ ... लुट गई मेरे प्यार की नगरी,  अब तो नीर बहा ले
अब तो नीर बहा ले 
ओ ... अब तो नीर बहा ले, ओ दुनिया के रखवाले ...

आग बनी सावन की बरसा, फूल बने अंगारे
नागन बन गई रात सुहानी, पत्थर बन गए तारे
सब टूट चुके हैं सहारे, ओ ... जीवन अपना वापस ले ले
जीवन देने वाले, ओ दुनिया के रखवाले ...

चांद को ढूँढे पागल सूरज, शाम को ढूँढे सवेरा
मैं भी ढूँढूँ उस प्रीतम को, हो ना सका जो मेरा
भगवान भला हो तेरा, ओ ... क़िस्मत फूटी आस न टूटी
पांव में पड़ गए छाले, ओ दुनिया के रखवाले ...

महल उदास और गलियां सूनी, चुप-चुप हैं दीवारें
दिल क्या उजड़ा दुनिया उजड़ी, रूठ गई हैं बहारें
हम जीवन कैसे गुज़ारें, ओ ... मंदिर गिरता फिर बन जाता
दिल को कौन सम्भाले, ओ दुनिया के रखवाले ...

ओ दुनिया के रखवाले
रखवाले
रखवाले
रखवाले ... 
 ",Baiju Bawra,1952,Naushad,Shakeel,Rafi
"( ओ दुपट्टा रंग दे मेरा रंगरेज़
हो गई सरसों पीली-पीली ) -2
आज हरी कल लाल चदरिया परसों ओढ़ूँ नीली -2
ओ दुपट्टा रंग दे मेरा रंगरेज़
हो गई सरसों पीली-पीली

सुबोह को पहनूँ तो सजनवा आस-पास मण्डलाये -2
( शाम को पहनूँ तो बलम घर छोड़ कहीं न जाये
बलम घर छोड़ कहीं न जाये ) -2
रात अन्धेरी हो तो हो जाऊँ
जुगनूँ सी चमकीली -2

ओ दुपट्टा रंग दे मेरा रंगरेज़
हो गई सरसों पीली-पीली

मन में नई उमंग अंग में चुनरी ढीली-ढीली -2
अपने पिया से कुछ न सीखूँ -2
जब न मुझे तन ढीली पड़ गई
जब न मुझे तन ढीली
होंठ रंगूँ मैं लाल-गुलाबी
आँखों से शर्मीली -2

ओ दुपट्टा रंग दे मेरा रंगरेज़
हो गई सरसों पीली-पीली

 ",Gajre,1948,Anil Biswas,G S Nepali,Suraiya
"ओ दूर जाने वाले - 2 
वादा न भूल जाना - 2
रातें हुई अन्धेरी - 2
तुम चाँद बन के आना - 2
ओ दूर जाने ...

अपने हुए पराए, दुश्मन हुआ ज़माना
तुम भी अगर न आए - 2
मेरा कहाँ ठिकाना
ओ दूर जाने ...

आजा किसी की आँखें, रो रो के कह रही हैं
ऐसा न हो कि हम को - 2
कर दे जुदा ज़माना
ओ दूर जाने ...

 ",Pyar Ki Jeet,1948,Husnlal-Bhagatram,Qamar Jalalabadi,Suraiya
"चले आज तुम जहाँ से, हुई ज़िंदगी परायी
तुम्हें मिल गया ठिकाना, हमें मौत भी न आयी

ओ दूर के मुसाफ़िर हम को भी साथ ले ले रे
हम को भी साथ ले ले
हम रह गये अकेले

तूने वो दे दिया ग़म, बेमौत मर गये हम
दिल उठ गया जहाँ से, ले चल हमें यहाँ से
ले चल हमें यहाँ से
किस काम की ये दुनिया जो ज़िंदगी से खेले रे
हम को भी साथ ले ले, हम रह गये अकेले

सूनी हैं दिल की राहें, खामोश हैं निगाहें
नाकाम हसरतों का उठने को है जनाज़ा
उठने को है जनाज़ा
चारों तरफ़ लगे हैं बरबादियों के मेले रे
हम को भी साथ ले ले, हम रह गये अकेले

ओ दूर के मुसाफ़िर हम को भी साथ ले ले रे
हम को भी साथ ले ले
हम रह गये अकेले


 ",Udan Khatolaa,1955,Naushad,Shakeel,Rafi
"ओ गंगा मैया - 2
पार लगा दे मेरे सपनों की नैया - 2
ओ गंगा मैया ...

गुज़रे इधर से भी काली घटायें - 2
माँ तेरी ममता को देगी दुआयें - 2
दुखिया के आँगन की तू थी कलैया
ओ गंगा मैया ...

जिसलिये नैना तरस रहे हैं
सावन भादो से बरस रहे हैं - 2
सन्देस लैके वो आये पुरवैया
ओ गंगा मैया ...

सूना पड़ा है चन्दन का पलना - 2
पलने में झूले एक चन्दा सा ललना - 2
जैसे यशोदा का कृष्ण कन्हैया
ओ गंगा मैया ...


 ",Chandan Ka Palna,1967,R D Burman,Majrooh,Lata
