Song,SongTitleEnglish,SongTitleHindi,Year,MovieEnglish,MovieHindi,Music Director,Lyricist,SingersEnglish,SingersHindi
"इट्स मैजिक, इट्स मैजिक
कच्चा नहीं कुछ भी, पक्का नहीं कुछ भी
होता है जो कुछ भी, सब खेल है
परदे के गिरते ही, परदे के उठते ही
बदला नहीं जो बदल सकता है
कच्चा नहीं कुछ भी...

दूर की चीज़ ही क्यों लगी है हसीं
पास की चीज़ का क्यों नहीं है यकीं
दिल ने कहा सबसे मगर
इन्सान तो दिल की सुनता नहीं
सुनता नहीं, सुनता नहीं
कच्चा नहीं कुछ भी...

आइये देखिये, देख के सोचिये
सोच के फिर मेरी बात को तोलिये
छोटा है जो छोटा नहीं
उसमें भी कोई बड़ी बात है
बड़ी बात है, बड़ी बात है
कच्चा नहीं कुछ भी...",It's Magic,इट्स मैजिक,2003, Koi Mil Gaya,कोई मिल गया,राजेश रोशन,इब्राहिम अश्क़,T.S. Jarnail,टी.एस. जरनैल
"जादू, जादू, जादू

आज धरती से गगन का
फूलों से चमन का
घटाओं से पवन का
हो रहा मिलन
जादू, जादू...

ये कैसा है तमाशा
नयी प्यार की है भाषा
अब कोई नहीं है निराशा
चुप हैं हम भी, चुप हो तुम भी
होती हैं सब बातें फिर भी
अरे कैसा रे हुआ ये अजूबा
जादू, जादू...

तुम्हे आँखों में बसाया
तुम्हे दिल में बिठाया
कोई तुमसे ना लेंगे किराया
तुम जो हमसे मिलने आये
हमने सपने नए सजाये
अब करलो निभाने का वादा
जादू, जादू...",Jaadoo,जादू,2003, Koi Mil Gaya,कोई मिल गया,राजेश रोशन,इब्राहिम अश्क़,"Alka Yagnik,  Udit Narayan","अल्का याग्निक, उदित नारायण"
"ख्वाबों, ख्यालों, ख्वाहिशों को चेहरा मिला
मेरे होने का मतलब मिला
कोई मिल गया, कोई मिल गया
हाँ कौन मिल गया, कोई मिल गया

यूँ तो हम तुम मिलने को मिलते रहे
पर क्यों आज ऐसा लगा
कोई मिल गया, कोई मिल गया
हाँ कौन मिल गया, कोई मिल गया

मुझसे मिल कर क्या होता है
ये बतलाओ ना, ये बतलाओ ना
बात ये हम कानों में कहेंगे
पास में आओ ना, पास में आओ ना
जो बात तुम कहोगे, वो बात मैं भी जानूँ
ये पास में आने की, मैं बात नहीं मानूँ
सुनो ना, सुनो ना, सुनो ना
यूँ तो बातें करने को करते रहे
पर क्यों आज ऐसा लगा
कोई मिल गया...

आ कर मेरे पास में तुम हो
जा कर भी हो पास, जा कर भी हो पास
इस एहसास के जैसा कोई
और नहीं एहसास, और नहीं एहसास
ये जो भी हो रहा है, क्यों जानता नहीं मैं
अपने ही दिल की बातें, पहचानता नहीं मैं
पहचानो, पहचानो, पहचानो
दिल तो अपना पहले भी धड़का किया
पर क्यों आज ऐसा लगा
कोई मिल गया...",Koi Mil Gaya,कोई मिल गया,2003, Title,कोई मिल गया,राजेश रोशन,इब्राहिम अश्क़,"Chitra K.S.,  Udit Narayan","चित्रा के.एस., उदित नारायण"
"इन पंछियों को देख कर
जागे हैं ये अरमाँधरती पे हम चलते हैं पर
छू लेंगे आसमाँ
इन पंछियों को...

ये बताओ ज़रा, हम पंखों बिना
जायेंगे कैसे दूर वहाँ
कुछ भी हो सकता है
कुछ भी हो जायेगा
हम इतने नहीं नादां
इन पंछियों को...

देखते जाओ तुम, ऐसा भी एक दिन
एक दिन तो ज़रूर आएगा
हम से इस दुनिया में, एक दिन हर कोई
जब हाथ मिलाएगा

गले से लगा लेंगी तुमको ख़ुशी
बदल जाएगी एक दिन ज़िन्दगी
ये क़दमों में झुक जायेगा आसमाँ
तुम जैसा कोई भी ना होगा यहाँ
इन पंछियों को...",In Panchhiyon Ko Dekhkar,इन पंछियों को देखकर,2003, Koi Mil Gaya,कोई मिल गया,राजेश रोशन,इब्राहिम अश्क़,"Shaan,  Baby Sneha,  Kavita Krishnamurthy","शान, बेबी स्नेहा, कविता कृष्णमूर्ति"
"आँख मिला के पूछे
हाई हाऊ आर यू
(हाई हाऊ आर यू
हाई हाऊ आर यू)
हाथ मिला के पूछे
हाऊ डू यू डू
(हाऊ डू यू डू
हाऊ डू यू डू)

आँख मिला के पूछे
हाई हाऊ आर यू
हाथ मिला के पूछे
हाऊ डू यू डू
स्टाइल पे उसकी स्माइल पे उसकी
हाय तबीयत भड़की
शहर की लड़की

शहर की, शहर की
शहर की, शहर की
शहर की, शहर की
शहर की, लड़की

मस्ती में घूमे घूमे
घूमे घूमे आ हा हा
बाहों में झूमे झूमे
झूमे झूमे बात बरा
हाय हाय ज़ालिम फिगर
तेरी मचलती नज़र
मेरा बदन चूमे चूमे
चूमे, चूमे
आँख मिला के पूछे...

ओह माय गॉड लड़की ज़हर
कौन सा सिटी तेरी, कौन सा शहर
बेबी है डेंजर, लगती है स्ट्रेंजर
कैफीनेशन ऑफ कहर
येस
लड़की हॉट नि बहोत ही हॉट है
आग पकड़ती है लड़कों की मौत है
शॉट लगती है धक्के तू खाती है
थकती नहीं है स्टैमिना बहोत है

हाय गली गली घुमे
मेरे आगे पीछे झूमे
हाय नज़र ना लग जाये मुझको
ब्यूटी मेरी है, कैफ़ीन की गोली जैसे
नशा ना चढ़ जाए तुझको
फिगर पे तेरी सब मरते हैं
स्कैन पूरा तुझे करते हैं
लम्बी लम्बी साँसें भरते हैं
बट टच करने से डरते हैं

रोज़ तू आके पूछे
हाई हाऊ आर यू
बाल गिरा के पूछे
हाऊ डू यू डू
मुंबई की बरसात में जैसे
झूम के बिजली कड़की
शहर की लड़की

शहर की, शहर की...",Shehar Ki Ladki,शहर की लड़की,2019, Khandaani Shafakhana,खानदानी शफाखाना,तनिष्क बागची,"तनिष्क बागची, दीपक चौधरी","Badshah,  Anand-Milind,  Tulsi,  Abhijeet,  Chandra","बादशाह, आनंद-मिलिंद, तुलसी कुमार, अभिजीत, चंद्रा दीक्षित"
"सच्चियाँ मोहब्बताँ निभावाँगा
रांझेया मैं तेरा कहलावाँगा
इक वारी दिल लग जाने दे
दिल दा करार बन जावाँगा

सच्चियाँ मोहब्बताँ निभावाँगी
हीरिये मैं तेरी कहलावाँगी
इक वारी दिल लग जाणे दे
दिल दा करार बण जावाँगी

इल्तेजा दिल दी है
इक पहल इश्क की, होने दे
दिल जाणिये मैनू जी लैण दे
दो लफ्ज़-ए-मोहब्बत कह लैण दे
दिल जाणिये मैनु जी लैण दे
दो लफ्ज़-ए-मोहब्बत कह लैण दे

दिन रात तुझे मैं देखा करूँ
आँखों की यही बस चाहत है
मैं कैद हूँ तेरी लकीरों में
तेरे साथ ही मेरी किस्मत है
जीत की हार की
इक पहल प्यार की, होने दे
दिल जाणिये मैनु जी लैण दे...

मेरा रब तुझमें ही वसदा ए
दिल करता तेरी इबादत है
नज़दीक है लेकिन कह ना सके
मुझको तेरी ही आदत है
बेवजह जीने की
हौले हौले से दिल, खोने दे
दिल जाणिये मैनु जी लैण दे...",Dil Jaaniye,दिल जानिये,2019, Khandaani Shafakhana,खानदानी शफाखाना,पायल देव,शब्बीर अहमद,"Jubin Nautiyal,  Tulsi Kumar","ज़ुबिन नौटियाल, तुलसी कुमार"
"देखा है, ख़्वाबों को बिखरते हुए
ग़मों से घर भरते हुए
मैंने देखा है, मंज़िलों से पहले कहीं
ख़्वाहिशों को डरते हुए
लगता है मुझसे ही हो के
गुज़रे हैं सारे गम
कैसे ना भीगे मन
भीगे नैना, कारे दिन
कारी रैना, भीगे मन
भीगे नैना, कारे दिन
कारी रैना
इस कदर हारी हूँ मैं
टूटे दिल छूटे चैना
भीगे मन, भीगे मन, भीगे मन

किसको कहूँ मैं हाल मेरा जब
रूठा है सारा ही जहां
रूठा है सारा ही जहां
तारों से था जिसको सजाया
सूना हुआ वो आसमां
देखा है, ज़िन्दगी में जो रंग थे
सभी को फीका पड़ते हुए
मैंने देखा है, साहिलों से पहले कहीं
लहरों को बिछड़ते हुए
लगता है किस्मतों में
अब तो लिखा है खालीपन
कैसे ना भीगे मन
भीगे नैना, कारे दिन...",Bheege Mann,भीगे मन,2019, Khandaani Shafakhana,खानदानी शफाखाना,रोचक कोहली,"गौतम जी शर्मा, गुरप्रीत सैनी",Altamash Faridi,अल्तमश फरीदी
"अगला गाणा तुस्सी सुनोगे
पंजाब दे तड़कीले ते भड़कीले नौजवान
गबरू घातक दी आवाज़’च
इस गाणे दी फरमाइश कित्ती है
लुधिआणे तों सुखविंदर सिंह
होशिआरपुर तों बीबी बेदी
ते अजरोर तों मिंटू जी ने
पेश है बम्ब गाणा
(क्यूँकि, क्यूँकि, क्यूँकि
क्यूँ, क्यूँकि, क्यूँकि
ऑलराइट)

चंडीगढ़ पिच्छे सारा
लाके तू रखियाँ रखियाँ
सोलह तों छब्बी एक दा
बर्बरा ब्रैकेट सारा
ब्रिंग दैट बैक

चंडीगढ़ पिच्छे सारा
लाके तू राखियाँ नी
सोलह तों छब्बी एक दा
ब्रैकेट सारा पट्टेया नी
निकले जब तू सड़कों पे
आते जाते लड़कों के
ऐंवे बीपी से खेले, ले ले ले

रुक जा बेबी सांस तो ले ले
सांस तो ले ले
(ब्रेकेट मरिया)

ओ बेबी प्लान बनाती है
पर कभी ना टैम पे आती है
बट जब नैन मिलाती है
तो ट्रैफिक जैम कराती है
बेबी क्रेज़ी है
नाचे क्लब में ज़ोर लगा के
बेबी में बड़ी तेजी है
बिना पंख के मोर बणा दे

ये माल थोड़ा मवाली ए
हर सेन्टेंस में गाली ए
ना बम्ब है ना पटाखा है
ये लड़की पूरी दीवाली ए, बूम
ब्रिंग दैट बैक

अम्बरसर रखदी करा के
कुड़िये बैंग बैंग तू
चक्करां विच पाके रखदी
तू मुंडेया दी गैंग नू
अम्बरसर रखदी कराके...
गबरू वी तेरे पीछे
है सेंटीमेंटल नी
एन्ना वी रुड ना बण तू
बण थोड़ा जेंटल नी
दुनिया तेरा पाणी भरती
अक्खां नाल गल्लां करदी
छड दी ना कुछ वी पल्ले, ले ले ले
रुक जा बेबी सांस तो ले ले
सांस तो ले ले
इट्स योर बॉय गबरू",Saans To Le Le,साँस तो ले ले,2019, Khandaani Shafakhana,खानदानी शफाखाना,बादशाह,बादशाह,"Badshah,  Rico","बादशाह, रीको"
"कोका कोका
कोका कोका
कोका कोका
और सुनना है तो सब्सक्राइब करो टी-सीरीज़

हो दिल वाली गल कर ले
हो आजा मेरा हथ फड़ ले
हो आजा मेरे नाल नच ले
किसने तुझको रोका
हो कन्नी डायमंड झुमके
हो सोना जैसे तेरे ठुमके
हो गल्ला मेरी जायी सुणके
तुझे रब ने बनाया अनोखा
ना तड़फ़ा बेबी कर दे तू हाँ
मेरा कर दे है जीणा सोखा

कोका कोका
कोका, तेरा कुछ कुछ कहेंदा नि
कोका, तेरा कुछ कुछ कहेंदा नि
लहंगा, तेरा लूट पूट लहंगा नि
कोका
कोका, मेरा कुछ कुछ कहेंदा नि
कोका, मेरा कुछ कुछ कहेंदा नि
कोका, मेरा कुछ कुछ कहेंदा नि
कोका
हाय नि तेरा कोका कोका कोका कोका
कोका

फ्लोर पे चक्कर काटे जैसे लट्टू
बेबी तू है टोटा तेरे आजू बाजू टट्टू
हिलती है जैसे बनी हो रबड़ की
आज ना रुकने वाली है ये लड़की
क्यूँकि
कान में आ इक बात बताऊँ
दिखता भी बढ़िया हूँ, अच्छा कमाऊँ
तू बोले तो मम्मी से कह के
तेरे मेरे रिश्ते की बात चलाऊँ
हाय शरमा गयी

हँसदी हँसादी मेरी सखियाँ
बाकी बातें करे तेरी अखियाँ
लगता है तू है कोई चीटर
करता है गल्ला सारी झुठियाँ
दिल क्या है बेबी मैं तो जान वार दूँ
नौ लखा तेरे उत्ते हार वार दूँ
लॉयल रहूँगा तेरे नखरे सहूँगा
इक वारी सानू दे दे मौका
कोका कोका...",Koka,कोका,2019, Khandaani Shafakhana,खानदानी शफाखाना,तनिष्क बागची,"तनिष्क बागची, मेल्लो डी","Jasbir,  Badshah,  Dhvani","जसबीर जस्सी, बादशाह, ध्वनि भानुशाली"
"अपनी तकदीर जो
अपने हाथों लिखे
अपनी हस्ती बना सके
राजा या रंक हो
जग उसके संग हो
ज़्यादा जो अंक पा सके
नियम हो, नियम हो, नियम हो
जहां का नया ये नियम हो

बेड़ी अज्ञान की
पिघला के ज्ञान से
बंदी सपने छुड़ा सके
बंदी सपने छुड़ा सके
कुदरत ने एक सा
हक सबको है दिया
सब हक अपना कमा सकें
नियम हो, नियम हो...

कोई हुनर जिसमें हो
समय उसका ही बदलता है
ओ माटी नज़र आता हो
पिघलकर सोना उगलता है
क्या लेना ज़ात से
क्या लेना नाम से
पहचानें सबको उनके काम से
बोये दस्तूर ने, जितने मतभेद हैं
उनको जड़ से मिटा सकें
राजा या रंक हो...",Niyam Ho,नियम हो,2019,Super 30,सुपर 30,अजय-अतुल,अमिताभ भट्टाचार्य,,विविध कलाकार
"काहब तो लगी जाई धक से (धक से)
काहब तो लगी जाई...

बड़े बड़े लोगन के महला दो महला
(बड़े बड़े, बड़े बड़े हाँ)
और भैया झूमर अलग से (अलग से)
बड़े बड़े लोगन के हलुवा पराठा
(बड़े बड़े, बड़े बड़े हाँ)
और मिनरल वाटर अलग से (अलग से)
और मिनरल

हमरे गरीबन के चटनी अउ रोटी
पानी पीएँ बालू वाला नल से (नल से)
बड़े बड़े लोगन के इस्कूल कालेज
(बड़े बड़े, बड़े बड़े हाँ)
और भैया टुइशन अलग से (अलग से)
काहब तो लगी जाई...",Kahab Toh,काहब तो,2019, Article 15,आर्टिकल 15,अनुराग सैकिया,शकील आज़मी,Sayani Gupta,सयानी गुप्ता
"इधर चला मैं उधर चला
इधर चला मैं उधर चला
जाने कहाँ मैं किधर चला
अरे फिसल गया, ये तूने क्या किया

इधर चली मैं उधर चली
जाने कहाँ मैं किधर चली
अरे फिसल गयी, ले तेरे संग हो चली

नज़र ये किसकी हमें लगी
के चलते-चलते फिसल गये
हँसी-हँसी में ये क्या हुआ
हम बदल गये
क्यों बदल गये, हम बदल गये
इधर चला मैं उधर....

तुम इतने भोले हो किस लिए
तुम इतनी अच्छी हो इस लिए
क्यों अच्छी हूँ ये बताओ तुम
क्यूँ बताऊँ मैं
कुछ बताओ ना, क्यूँ बताऊँ मैं
इधर चली मैं उधर...",Idhar Chala Main,इधर चला मैं,2003, Koi Mil Gaya,कोई मिल गया,राजेश रोशन,इब्राहीम अश्क़,"Alka Yagnik,  Udit Narayan","अल्का याग्निक, उदित नारायण"
"सारे बदन का ख़ून, पसीने में जल गया
इतना चले के जिस्म हमारा पिघल गया
सारे बदन का ख़ून...

चलते थे, गिन रहे थे मुसीबत के रात-दिन
दम लेने हम जो बैठ गए, दम निकल गया
इतना चले के...

अच्छा हुआ, जो राह में ठोकर लगी हमें
हम गिर पड़े तो सारा ज़माना संभल गया
इतना चले के...

वहशत में कोई साथ हमारा ना दे सका
दामन की फ़िक्र की तो गिरेबाँ निकल गया
इतना चले के...",Saare Badan Ka Khoon,सारे बदन का ख़ून,1987, Beyond Time,बियॉन्ड टाइम,जगजीत सिंह,महमूद दुर्रानी,Chitra Singh,चित्रा सिंह
"इतनी शक्ति हमें देना दाता
मन का विश्वास कमज़ोर हो ना
हम चले नेक रस्ते पे हमसे
भूलकर भी कोई भूल हो ना
इतनी शक्ति हमें देना दाता...

दूर अज्ञान के हो अंधेरे
तू हमें ज्ञान की रोशनी दे
हर बुराई से बचते रहें हम
जितनी भी दे भली ज़िन्दगी दे
बैर हो ना किसी का किसी से
भावना मन में बदले की हो ना
हम चले नेक रस्ते...

हम ना सोचें हमें क्या मिला है
हम ये सोचे किया क्या है अर्पण
फूल खुशियों के बाँटे सभी को
सबका जीवन ही बन जाए मधुबन
अपनी करुणा का जल तू बहा के
कर दे पावन हर एक मन का कोना
हम चले नेक रस्ते...",Itni Shakti Hamein Dena,इतनी शक्ति हमें देना,1986, Ankush,अंकुश,कुलदीप सिंह,अभिलाष,"Pushpa,  Sushma","पुष्पा पागधरे, सुषमा श्रेष्ठ"
"दिल दा मामला है दिलबर
हुण ना ज़ोर है इस दिल
खलबली है दिल के अंदर
हो मस्त है मस्त कलंदर
दिल दा मामला...

(वन टू थ्री फोर)
दिल दा मामला है दिलबर
हुण ना ज़ोर है इस दिल
खलबली है दिल के अंदर
हो मस्त है मस्त कलंदर
मस्त है मस्त है मस्त है
मस्त है मस्त कलंदर
मस्त है मस्त है मस्त है...
दिल दा मामला...

मेरी नज़र जो तुझ पे पड़ी तो
बन बैठा तेरा शहदाई
बेताबियों को राहत मिली तो
दूर हुई मेरी तन्हाई
तेरे रंग का तेरे नूर का
है असर तेरे ही सुरूर का
मेरे हाल से मेरे दर्द से
तू है बेखबर
दिल दा मामला
दिल दा मामला है...

तेरी अदा में जादू है जादू
करता है मुझको दीवाना
मेरी तमन्ना कहती है मुझको
सिर्फ़ मुझे है तुझको पाना
मेरी आरज़ू मेरी गुफ्तगू
तू ही तू है बस मेरी जुस्तजू
क्या बताऊँ तेरे बगैर
मैं कितना बेसबर
दिल दा मामला
हुण ना ज़ोर है
दिल दा मामला है...

आया मैं आया ले के मोहब्बत
अनजानों मुझको पहचानो
मेरी नज़र में है इक चेहरा
मानो तुम चाहो ना मानो
मेरी चाहतें मेरी राहतें
बड़ी मनचली मेरी हसरतें
मेरे ख्वाब में कोई रात दिन
रहता हमसफ़र
दिल दा मामला...",Mast Kalandar,मस्त कलंदर,2007, Heyy Babyy,हे बेबी,शंकर-एहसान-लॉय,समीर,"Shankar Mahadevan,  Rehan Khan,  Sajid Khan,  Master Salim","शंकर महादेवन, रेहान खान, साजिद खान, मास्टर सलीम"
"मेरी दुनिया, मेरी दुनिया
मेरी दुनिया तू ही रे
मेरी खुशियाँ, मेरी खुशियाँ
मेरी खुशियाँ तू ही रे
रात दिन तेरे लिए सजदे करूँ
दुआएँ माँगूँ रे
मैं यहाँ अपने लिए रब से तेरी
बलाएँ माँगूँ रे

तूने ही जीना सिखाया
हमलोगों को अच्छा इंसां बनाया
ज़िन्दगी है तेरा साया
अनजानों को सीधा रास्ता दिखाया
तू नई इक रौशनी ले आई है
जीवन की राहों में
हर घड़ी गुज़रे तेरी सारी उमर
अब अपनी बाहों में

हमने की जो भी खतायें
हम झेलेंगे उनकी सारी सज़ा भी
हमने की जितनी जफ़ाएँ
हम उनसे भी अब करेंगे वफ़ा भी
हो हम नए मौसम नया आलम नया
बदले हैं अरमाँ भी
कह रही एहसास की गहराइयाँ
ठहरा है तूफ़ां भी
मेरी दुनिया, मेरी दुनिया...",Meri Duniya Tu,मेरी दुनिया तू,2007, Heyy Babyy,हे बेबी,शंकर-एहसान-लॉय,समीर,"Sonu Nigam,  Shaan,  Shankar Mahadevan","सोनू निगम, शान, शंकर महादेवन"
"आँखों पे मोहब्बत लिख दे
साँसों पे मोहब्बत लिख दे
होठों पे मोहब्बत लिख दे
कहता है दिल दीवाना

हो, जो दिल में छुपी है मेरे
जो दिल में छुपी है तेरे
धड़कन पे वो चाहत लिख दे
कहता है दिल दीवाना
ढोलिया ढोलना
राज़-ए-दिल खोल ना
ढोलिया ढोलना
आगे कुछ तो बोल ना

तेरी पलकों का झुक जाना
तेरा छुप-छुप के शरमाना
बिन बोले कह जाता है
तेरा अनजाना अफ़साना
तेरे बातों में है जादू
करता है मुझे बेकाबू
क्या हाल जिया का अब है मेरे
जाने ना जाने ना तू
आँखों पे मोहब्बत लिख दे
रातों पे मोहब्बत लिख दे
पल पल पे मोहब्बत लिख दे
कहता है दिल दीवाना
ढोलिया ढोलना...

तू सामने जब मेरे आई
मेरी नज़रों पे छाई
तेरे रूप रंग जो देखा
तो उड़ गई मेरी हवाई
तेरे इश्क़ पे किया भरोसा
ना देना मुझको धोखा
तेरी ओर खिंची चली आई मैं तो
खुद को कितना रोका
धरती पे मोहब्बत लिख दे
अम्बर पे मोहब्बत लिख दे
मंज़र पे मोहब्बत लिख दे
कहता है दिल दीवाना
ढोलिया ढोलना...

आँखों पे (आँखों पे)
साँसों पे (साँसों पे)
होठों पे (होठों पे)
बातों पे (बातों पे)
रातों पे (रातों पे)
पल पल पे (पल पल पे)
मेरे दिल पे मोहब्बत लिख दे",Dholna,ढोलना,2007, Heyy Babyy,हे बेबी,शंकर-एहसान-लॉय,समीर,"Sonu Nigam,  Shreya Ghoshal","सोनू निगम, श्रेया घोषाल"
"I wanna make it up
To you pretty baby
Make it up to you
I wanna see you smile
I wanna see you smile
I wanna make it up to you

ओ मेरी जाना, ले ले के मेरी जाँ
ओ मेरी जाना, ले ले के मेरी जाँ
तेरी अदा, तेरी अदा
जान-ए-जनाना, तुझे पे दीवाना
जान-ए-जनाना, तुझे पे दीवाना
मैं हूँ फ़िदा, मैं हूँ फ़िदा
गुस्ताख़ी माफ़ कर दे
अब तो इंसाफ़ कर दे
अपना दिल साफ़ कर दे
कहना तो मान ले
जाने भी दे जो भी हुआ
जाने भी दे
जाने भी दे जो भी हुआ...

(Come on smile now
Come on smile now)

गुस्सा तेरा झूठा
झूठी मूठी बेरुख़ी है
जानू मैं तो जानूँ
तेरी ना में हाँ छुपी है
गुस्सा तेरा झूठा...
ऐ सनम ना कर सितम
तुझको ख़ुदा का वास्ता
हे गुस्ताख़ी माफ़ कर दे...

(Come on smile now)

हाय तन्हा ना कटेगी
ज़िंदगानी जान ले तू
मेरी भी ज़रूरत
तुझको होगी मान ले तू
तन्हा ना कटेगी...
मर के भी ना छोड़ूँगा
तेरी बाहें तेरा रास्ता
गुस्ताख़ी माफ़ कर दे...",Jaane Bhi De,जाने भी दे,2007, Heyy Babyy,हे बेबी,शंकर-एहसान-लॉय,समीर,"Shankar Mahadevan,  Loy Mendosa","शंकर महादेवन, लॉय मेंडोंसा"
"इश्क मोहब्बत, प्यार की बातें
बेकार की बातें, झूठे हैं सारे वादें
रस्में ना जाने, कसमें ना माने
करे वो जो ठाने, हम तो बिगड़े शहज़ादे
(हेय बेबी) जी लेने दे इस पल को
(हेय बेबी) कल की सोचेंगे कल को
(हेय बेबी) जी लेने दे इस पल को
(हेय बेबी) कल की सोचेंगे कल को

आजा यहाँ
मेरे संग आ के ज़रा झूम ले जाने जाँ
यूँ न जला
होठों से होठों को ज़रा चूम ले जाने जाँ
हो अरमानों की इन रातों में
आग लगी है मेरे जज़्बातों में
मुझको ना ऐसे तड़पा
इश्क मोहब्बत...

Baby baby I need You
Baby baby I need You

किसको पता
जाने ढल जाएग कब जवानियों का नशा
चल दिलरूबा
ले ले दोनों मिल के ज़िंदगानियों का मज़ा
हो मदहोशी में खो जाने दे
होता है जो भी यारा हो जाने दे
दूरी रहे ना दरमियाँ
इश्क मोहब्बत...",Heyy Babyy,हे बेबी (शीर्षक गीत),2007,शीर्षक गीत,हे बेबी,शंकर-एहसान-लॉय,समीर,,"नीरज श्रीधर, रमन कुमार, लॉय मेंडोंसा, परवेज़ कादिर"
"क्यूँ किसी का कहना माने हम दीवाने हैं
जम के यारों ज़िन्दगी के दिन बिताने हैं
जी ले, गा ले, मेरे संग तू ढोल बजा ले
हँस के, तू भी, दुनिया की बैंड बजा ले
दुनिया हमें कहती रहे नामाकूल
नामाकूल, नामाकूल
वी आर कूल कूल कूल
वी नामाकूल
नामाकूल, नामाकूल...

चार दिन हैं मिले ज़िन्दगानी के
उसमें भी दो बचे दिन जवानी के
कितना समय हमने किया यूँ ही फ़िज़ूल
नामाकूल, नामाकूल...

आग से खेलना हमने सीखा है
हर किसी से जुदा ये तरीका है
दुनिया की अब रस्में नहीं हमें कुबूल
नामाकूल, नामाकूल...",Namakool,नामाकूल,2007, Dhol,ढोल,प्रीतम चक्रबर्ती,इरशाद कामिल,"Shaan,  Kunal Ganjawala","शान, कुणाल गांजावाला"
"ये अंधेरा जब-जब भी हुआ
कोई होगा तभी हादसा
है हादसा इक डर की सदा
किसी सहमी हुई याद सा
ये अंधेरा जब-जब भी...

दिलबर ना, दिलबर ना
तू ना, तू ना जागा बाना
दिलबर ना, दिलबर ना
होने दे ना हादसा
दिलबर ना, दिलबर ना
तू ना, तू ना जागा बाना
होने ना दे ना गर आबाद सा

थोड़े थोड़े अंधेरे, थोड़े थोड़े उजाले
थोड़े थोड़े ज़िन्दगी पे आये साये काले
ना जीना ना डर-डर के यहाँ
ना तू होने दे ना ये ख़ता
ये अंधेरा जब-जब भी बढ़ा
कोई होता तभी लापता
दिलबर ना...

बीते न ये बिताये, लम्बी-लम्बी सी रातें
कैसे खतरों की सोचो होंगी बातें
ना बोलो ना, अब कुछ भी ज़रा
देखो कोई खोले ना ज़ुबाँ
हो जाने दे इस पल को यहाँ
कोई भूली हुई दास्ताँ
दिलबर ना...",Haadsa,हादसा,2007, Dhol,ढोल,प्रीतम चक्रबर्ती,इरशाद कामिल,"Sunidhi Chauhan,  Akriti Kakkar","सुनिधि चौहान, आकृति कक्कड़"
"हल्का हल्का है, मीठा मीठा है
कैसा दर्द ये
थोड़ा थोड़ा है, जागा जागा है
तेरे ही लिए
हल्का हल्का है...
अंदाज तिलस्मी है
जादू है नज़र तेरी
कैसे ये किया तूने
बिन मुझको बताए ही
दिल लिया, दिल लिया रे
दिल लिया, दिल लिया रे
दिल लिया, दिल लिया रे
दिल मेरा ले लिया रे
दिल लिया, दिल लिया...

चोरी-चोरी से, चुपके-चुपके से
यूँ ही छिपते-छिपाते
तुमसे मिलते रहे अपनी निगाहें बचा के
डर सा लगता था मुझको
अपनी ही धड़कनों की सदा से
इसलिए तो रखा
सीने में दिल को दबा के
ढूँढा है मुझे फिर भी
तेरी ही पनाहों ने
ये जान भी ना पाए
कब कैसे कहाँ तूने
दिल लिया, दिल लिया...

एक ही बात अब तो दिन रात
वक्त ये कह रहा है
मेरे रग-रग में चाह
बन बन के तू बह रहा है
मेरी आँखों में तेरा सपना है
बस तेरा ही नशा है
कोई भी जाने ना
ये क्या मुझे हो रहा है
पहले तो कभी ऐसा
था हाल न इस दिल का
तबसे ही हुआ है ये
जिस दिन से सनम तूने
दिल लिया, दिल लिया रे...",Dil Liya Dil Liya,दिल लिया दिल लिया,2007, Dhol,ढोल,प्रीतम चक्रबर्ती,इरशाद कामिल,Shreya Ghoshal,श्रेया घोषाल
"आवाज़ कोई कहती है हाँ
कोई नज़र फिर आए न क्यूँ
जाने कहाँ से आहट है
आइने में कोई है
आवाज़ कोई कहती है हाँ...
सूरत अधूरी है
अब कुछ ही दूरी है

रात फिर डर की मारी
जाने है किसकी बारी
सहमी हुई साँसें
काँपती डर से सारी
कोई पास जैसे मेरे आने लगा है
दिखता नहीं कोई ये पर छू रहा है
ये रात गहरी है
अब कुछ ही दूरी है
आवाज़ कोई कहती है...

देखे हमको जैसे
अनदेखी कोई आँखें
हर पल लगता है के
छुप के कोई झाँके
कोई हाथ जैसे
हल्के से छू रहा है
ज़िंदा नहीं कोई
फिर क्यूँ दिख रहा है
ये पल आखिरी है
अब कुछ ही दूरी है
आवाज़ कोई कहती है...",Awaaz Koi,आवाज़ कोई,2007, Darling,डार्लिंग,प्रीतम चक्रबर्ती,समीर,Priyadarshini,प्रियदर्शिनी
