Song,Film,YearMusic Director,Lyricist,Singers
"सोच लो
नहीं नहीं नहीं
मेरी आँखों में देखो लाली

( मेरा बोले-बोले मेरा मन बोले
मेरा डोले-डोले मेरा तन डोले ) -2

बोले बोले बोले
डोले डोले डोले

श : ( बोले सखीया ये मन बोले
चि : डोले सवरिया तन डोले ) -2
श: हो
 रुत ये बदल जाये जब मेरा दिल चाहे
चि : अँखियों में तेरी पिया स्वर्ग नज़र आये
श : बाँहों में आजा जिया तेरे बिन ना जाये

 आ जा ले चलूँ तुझे सजनी गगन में
 चाँद सितारे सारे होंगे आँगन में
चि : तू और मैं जहाँ कोई नहीं हो
 ऐसी जगह वहाँ सिर्फ़ हमीं हों
श : बादलों को ओढ़े हुये तेरा बदन हो
 चाँदनी को भी जाना तुझसे जलन हो

सं : दिल का क़रार मेरे दिल का चैना
 तेरे वरदानोँ में मुझको रहना
 मुझको रहना -2

 ( मेरा बोले-बोले मेरा मन बोले
 मेरा डोले-डोले मेरा तन डोले ) -4

बोले बोले बोले
डोले डोले डोले

चि : इश्क़ मेरा तू ही मेरी मोहब्बत
डोले डोले डोले
 कैसे बताऊँ तुझे अपनी चाहत
डोले डोले डोले
 इश्क़ मेरा तू ही मेरी मोहब्बत
 कैसे बताऊँ तुझे अपनी चाहत
श : हर धड़कन में सिर्फ़ बसी तू
 साँसों में महके तेरे जिस्म की ख़ुशबू
चि : करती हूँ यारा मैं तेरी इबादत
 तुझसे सनम मेरी रूह को राहत
सं : तू ही नशा है तू ही जुनूँ है
 तेरी आग़ोश है मेरा सुक़ूँ है
 मेरा सुक़ूँ है -2

 ( मेरा बोले-बोले मेरा मन बोले
 मेरा डोले-डोले मेरा तन डोले ) -2

मन डोले
डोले मन डोले

मन डोले
हाँ मन डोले

 ",Rudraksh,2003,Shashi Pritam,Mast Ali,"Sandeep Bhaumik, Shashi Pritam..."
"#हुम्मिन्ग्#
 
मेरा छोटा सा घरबार मेरे अंगना में -2

छोटा सा चंदा छोटे छोटे तारे
रात करे सिंगार मेरे अंगना में

मेरा छोटा सा घरबार मेरे अंगना में

(प्यारा सा गुड्डा मेरा अम्बर से आया -2
अम्बर से आया मेरे मन में समाया ) -2
कण - कण में जागा है प्यार मेरे अंगना में -2

मेरा छोटा सा घरबार ...

# हुम्मिन्ग #

(देहरी रंग लूँ अंगना बुहारूँ 
तुलसी मैया मैं तोरी नजर उतारूँ) -2
प्यार खड़ा मेरे द्वार मेरे अंगना में -2

मेरा छोटा सा घरबार ...

#हुम्मिन्ग्#

 ",Prem Parbat,1973,Jaidev,Padma Sachdev,Lata
"मु : मेरा चिमटा बोले छनक छनक छन छनक छनक
 मेरा चिमटा बोले ओ बोले
 कभी न मिलाना कहीं अख नाल अख
 तेरी-मेरी बात रहे तेरे-मेरे तक
आ : हो मेरी ढफली बोले ढमक ढमक ढम ढमक ढमक
 हो मेरी ढफली बोले ओ बोले
 दिल की बात इस दिल में तू रख
 तेरी-मेरी बात ...
मु : मेरा चिमटा बोले ...

आ : आज मेरे नाचने का ढंग देख ले -2
 रूप देख रूप की ( उमंग देख ले ) -2
 रूप देख ले रंग देख ले रंग-बिरंगे ढंग देख ले
 और प्यार के अंजाम का ( रंग देख ले ) -2

मु : अरे रेत में कभी न कोई फूल खिलेगा -2
 चलती हवाओं में न दीप जलेगा
 दुनिया में पाप नहीं फूले फलेगा
 इस पल करोगे उस पल मिलेगा -2
 अरे रहा नहीं कोई भी दुर्जन आज तक
 तेरी-मेरी बात ...
दो : तेरी-मेरी बात ...

 ",Chattaan Singh,1974,Kalyanji-Anandji,Verma Malik,"Mukesh, Asha"
"मेरा दिल अब तेरा ओ साजना
कैसा जादु फेरा ओ साजना - 2
मेरा दिल ...

नैं हमारे तुम संग लागे
तुम संग प्रीत हमारी
मन भाये तुम जानो न जानो
जाने है दुनिया सारी
कोई और न मेरा ओ साजना
मेरा दिल ...

मोरनी बन के राह तकूँ मैं
तुम बादल बन जाओ
मेरे प्यासे रोम रोम पे
रस बरसाते जाओ
तेरा दिल में बसेरा ओ साजना
मेरा दिल ...

प्यार का बंधन जनम जनम का
साँस के संग ही टूटे
सारे ही रंग फीके पड़ जाए
प्यार का रंग न छुटे
तूने तन मन घेरा ओ साजना
मेरा दिल ...


 ",Dil Apnaa Aur Preet Paraai,1960,Shankar-Jaikishan,Shailendra,Lata
"(मेरा दिल भी कितना पागल है 
ये प्यार जो तुम से करता है )  - 2

पर सामने जब तुम आते हो,  कुछ भी कहने से डरता है
ओ मेरे साजन, ओ मेरे साजन, साजन साजन, मेरे साजन...

मेरा दिल भी कितना पागल है ...

कितना इसको समझाता हूँ,  कितना इसको बहलाता हूँ -2
नादां है कुछ न समझता है, दिन रात ये आहें भरता है ...

मेरा दिल भी कितना पागल है ...

हर पल मुझको तड़पाता है,  मुझे सारी रात जगाता है -2
इस बात कि तुमको खबर नहीं,  ये सिर्फ़ तुम्ही पे मरता है

मेरा दिल भी कितना पागल है ...

 ",Saajan,1991,Nadeem-Shravan,Sameer,"Kumar Sanu,"
"आ : मेरा दिल घबराए मेरी आँख शरमाए
 कछु समझ न आए रे तू मेरा क्या लागे

र : तेरा प्यार तड़पाए मेरा दम घबराए
 कछु समझ न आए रे कि तू मेरी क्या लागे
आ : मेरा दिल घबराए ...

र : दिल में तेरा तीर है तू मेरी तक़दीर है
 आँखों में ओ जान-ए-मन तेरी ही तस्वीर है
आ : अरे तूने है तूने कर डाला क्या जादू
 फूल दिल का हाय रे बिना तेरे कुम्हलाए
 कछु समझ न आए ...

 मैं तो तेरी हो चुकी पहली ही मुलाक़ात में
र : गोरे-गोरे हाथ ये दे दो मेरे हाथ में
 अजी दिल मेरा है तेरा दीवाना
आ : हमें निन्दिया न आए लगी दिल की जगाए
 कछु समझ न आए ...

र : सुन लो जी तुम प्यार के वादों को न तोड़ना
 दुनिया चाहे छोड़ दे हमको तुम ना छोड़ना
आ : हो हो सैंया हाय सैंया डालो जी गले बहियाँ -2
र : तुम्हें दिल जब पाए बड़ी ख़ुशियाँ मनाए
 कछु समझ न आए ...

 ","Mr. Qaartoon, M.A.",1958,O P Nayyar,Jaan Nisar Akhtar,"Rafi, Asha"
"मेरा दिल इक खाली कमरा कमरे में कोई रहने लगा
ये सारा ज़माना कहने लगा
इस चोर को घर से निकालो
मैने कहा ज़ोर लगा लो
अरे ये नहीं जाएगा
चला गया तो फिर वापस नहीं आएगा
मेरा दिल इक खाली ...

बचपन की कोई कहानी है
या इसका नाम जवानी है
ये हाल न जाने कब से है
पहले से था या अब से है
कोई इससे कुछ मत कहना
ये मेरी गुज़ारिश सबसे है
सुन लो ओ दुनिया वालों
तुम चाहें शोर मचा लो
अरे ये नहीं ...

इक दिल बोले ये अपना है
इक दिल बोले नहीं सपना है
सारा दिन दिल धड़काता है
फिर सारी रात जगाता है
गुस्सा आता है बहुत मगर
थोड़ा सा प्यार भी आता है
कोई बोले दिल दे डालो
कोई बोले जान छुड़ा लो
ये नहीं ...

ये चोर नहीं है मोर है ये
ये मोर नहीं कोई और है ये
खाली पिंजरा रह जाएगा
ये पंछी तो उड़ जाएगा
ये भूला भटका राही है
किसी मोड़ से ये मुड़ जाएगा
चलो मुझसे शर्त लगा लो
कोरे कागज़ पे लिखवा लो
अरे ये नहीं ...

 ",Yeh Raaste Hain Pyaar Ke,2001,Sanjeev-Darshan,Anand Bakshi,"Kumar Sanu, Anuradha Paudwal"
"मेरा दिल जो मेरा होता
पलकों पे पकड़ लेती
होंठों पे उठा लेती
हाथों मे. खुदा होता
मेरा दिल   ...

सूरज को मसल के मैं
चन्दन के तरह मलती
सोने का बदन ले कर
कुन्दन की तरह जलती
इस गोरे से चेहरे पर
आइना फ़िदा होता
मेरा दिल   ...

बरसा है कहीं पर तो
आकाश समुन्दर में
इक बूँद है चन्दा की
उतरे न समुन्दर में
दो हाथों के ओख में ये
गिर पड़ता तो क्या होता
हाथों में खुदा होता
मेरा दिल   ...


 ",Anubhav,1971,Kanu Roy,Gulzar,Geeta
"मेरा दिल कहने लगा दिल में कोई रहने लगा
रात दिन याद सताए सपना तेरा आए जाए
मैं बना जबसे तेरा दीवाना
प्यार क्या है सनम मैने जाना
तूने मेरा चैन चुराया
चाहत का दर्द जगाया
मेरा दिल कहने ...

तन्हा जो कहीं मैं तेरा नाम लूं
जाने क्यूं लगे बेखुदी
आके तू मुझे बाहों में थाम ले
कहती है ये मेरी ज़िंदगी
बेताबियों को करार दे
आ ज़रा मुझको प्यार दे
नींद गई होश उड़ाया
कैसा नशा मुझपे छाया
मेरा दिल कहने ...

दिल में धड़कनें रहती हैं जिस तरह
मुझ में उस तरह तू सनम
तेरे बिन कभी ये साँसें ना चलें
साँसों को है मेरी कसम
हर पल रहे सामने तू
अब मेरी यही है आरज़ू
मैने तुझे जब से पाया
दुनिया को पल में भुलाया

 ",Paagalpan,2001,Raju Singh,Sameer,"Srinivas, Chitra"
"मेरा दिल लईले मेरा दिल लईले मेरा दिल लईले तू लईले रे -2

( हाँ दिल से तुझे प्यार किया
दिल मैने तुझे यार दिया ) -2

एक मीठा-मीठा दर्द लिया
लागे ना कहीं अब तो जिया

मेरा दिल लईले मेरा दिल लईले मेरा दिल लईले तू लईले रे -2

मेरी आँखों ने तुझे सपनों में उतारा
सूना लगे ज़माना तेरे बिन
तनहा अब कहीं नहीं होगा गुज़ारा
तेरे बिन कटे ना अब ये दिन
( लाखों में तुझे यार चुना
मैने तो तेरा ख़ाब बुना ) -2

मेरा दिल लईले मेरा दिल लईले मेरा दिल लईले तू लईले रे -2

हे हे हे

बन जायेगी कभी तेरी-मेरी कहानी
आ गले से लगा ले मेरी जाँ
होंठों से तू दे-दे शबनमी निशानी
यही चाहें मेरे दिल के अरमाँ
( मैं सारा जहाँ भूल गया
बाँहों में तेरी झूल गया ) -2

एक मीठा-मीठा दर्द लिया
लागे ना कहीं अब तो जिया
मेरा दिल लईले मेरा दिल लईले मेरा दिल लईले तू लईले रे -2

हे 
हे हे

 ",Tum - A Dangerous Obsession,2003,Himesh Reshammiya,Sameer,Shaan
"मेरा दिल फिर टूटा क्यूँ टूटा कैसे टूटा
किसी नादान की ठोकर से खिलौना जैसे टूटा
मेरा दिल फिर टूटा

बिखर गया दिल टूट के मेरा कौन इसे अब जोड़े
दुख की रातें लम्बी हैं और ख़ुशियों के दिन थोड़े
दिल का साज़ बड़ा नाज़ुक था अपनी लय से टूटा
किसी नादान की ठोकर से खिलौना जैसे टूटा
मेरा दिल फिर टूटा

साहिल से फिर जा टकराई डूब चली फिर नाव
नये दुखों से आन मिले हैं आज पुराने घाव
जैसे दिल पहले टूटा था आज भी वैसे टूटा
किसी नादान की ठोकर से खिलौना जैसे टूटा
मेरा दिल फिर टूटा

कभी जो देखा करते थे मेरी ख़ुशियों के सपने
किधर गये वो साथी मेरे कहाँ गये वो अपने
एक-एक कर के छोड़ गये सब ये दिल ऐसे टूटा
किसी नादान की ठोकर से खिलौना जैसे टूटा
मेरा दिल ऐसे टूटा

 ",Zebo (Pakistan),1972,Khurshid Anwar,Qateel Shifai,Mehdi Hasan
"मेरा दिल तड़पा कर कहाँ चला इतना तो बता के जा
इसे खेल कहूँ या प्यार कहूँ मुझे ये समझा के जा
मेरा दिल तड़पा कर ...

होंठों पर ना आँखों में हाँ कुछ रूठे कुछ माने हुए
इकरार है यह इनकार है यह इतना तो बता के जा
मेरा दिल तड़पा कर ...

जी भर के सताया तूने हमें अब चोरी चोरी जाने लगी
ओ दूर देश के सौदागर कर्ज़ा तो चुका के जा
मेरा दिल तड़पा कर ...

 ",Shabnam,1949,S D Burman,Qamar Jalalabadi,Geeta
"मेरा दिल तेरे लिये धड़कता है, धड़कता है
देखूँ जो तुझे तो ये दिल, बहकता है, बहकता है

ज़रा पास आ तेरे लब चूम लूँ
मैं क्या चाहती हूँ मैं कैसे कहूँ
समेटो न बाहों में ये गोरा बदन
बुझेगी भला कैसे दिल की अगन
कोई शोला सीने में भड़कता है, भड़कता है
मेरा दिल तेरे लिये   ...

नया दर्द है ये तो नयी प्यास है
जवानी का पहला एहसास है
मुहब्बत का दिल पे नशा छा गया
कुछ भी हो जानम मज़ा आ गया
के अब दिल सम्भाले न, सम्भलता है, सम्भलता है
मेरा दिल तेरे लिये   ...


 ",Aashiqui,1990,Nadeem-Shravan,Sameer,"Udit Narayan, Anuradha Paudwal"
"मेरा दिल तोड़कर जानेवाले -2
क्या तुम्हारी मोहब्बत यही है -2
हो मेरी ज़िंदगी के उजाले -2
क्या तुम्हारी मोहब्बत यही है -2

मैंने चुन कर उम्मीदों के तिनके -2
प्यार का आशियाना बनाया -2
आग उसमें लगा जाने वाले -2
क्या तुम्हारी मोहब्बत यही है -2

तुमने मझधार में मुझको छोड़ा -2
ख़ुद किनारे पे तुम हँस रहे हो
तुम हँस रहे हो
मेरे रोने पे ओ हँसने वाले -2
क्या तुम्हारी मोहब्बत यही है -2

क्या तुम्हारी मोहब्बत यही है -2

 ",Sanam,1951,Husnlal-Bhagatram,Qamar Jalalabadi,Suraiya
"मु : मेरा दिल तोड़ने वाले मेरे दिल की दुआ लेना
 मिटाकर मेरी दुनिया को नई दुनिया बसा लेना

श : मोहब्बत की क़सम तुमको लगी दिल की बुझा लेना
 हमारी याद जब आए तो दो आँसू बहा लेना

मु : नहीं आता वफ़ाओं से हमें दामन बचा लेना
 तुम्हीं पर जान दे देंगे किसी दिन आज़मा लेना
 मेरा दिल तोड़ने वाले ...

श : मोहब्बत नाम है ग़म का ख़ुशी से ग़म उठा लेना
 अगर दिल को न चैन आए तो कुछ रो-रो के गा लेना
मु : मिटाकर मेरी दुनिया ...
श : हमारी याद जब आए ...

 ",Mela,1948,Naushad,Shakeel,"Mukesh, Shamshad"
"मेरा दिल तुझ पे मरता है प्यार करता है
छोड़ नादानी
नखरा न कर दीवानी

तेरा दिल मुझ पे मरता है प्यार करता है
जा रे दीवाने
न पीछा कर परवाने

वादा करके न आना आके इतना तड़पाना
मैने तुझको पहचाना तू है पागल दीवाना
छुप छुप के आहें भरती है
हर बात पे ना ना करती है
तेरी बातों में जो आऊं गर
मैं मुश्किल में पड़ जाऊंगी
नींद लूटा चैन लूटा रूप की रानी
नखरा न कर दीवानी ...

यूं ही इनकार करूंगी कैसे न प्यार करूंगी
ग़म न आने दूंगा सारा दुख मांग लूंगा
तेरा झूठा हर वादा है ने तेरा नेक इरादा है
इन आँखों की तस्वीर में है तू ही मेरी तक़दीर में है
तू अनाड़ी बात मेरी तू नहीं माने
न पीछा कर परवाने ...

 ",Taaqat,1995,Anand-Milind,Sameer,"Alka Yagnik, Udit Narayan"
"मेरा दिल तू वापस मोड़ दे
हट मेरा पिच्छा छोड़ दे
मैनूं प्यार नहीं करना नहीं करना नहीं करना
मेरा दिल तू ...

लिखे जो खत मैने तेरे नाम कभी वो दे जा सनम
लगी है दिल में जो तस्वीर तेरी वो ले जा सनम
मैं तुझे भूल जाऊँ तू मुझे भूल जाना
न मुझे याद करना न मुझे याद आना
अच्छा न होगा वरना
न होगा वरना न न न न न ना

नहीं करना नहीं नहीं नहीं नहीं करना
न सोचना कभी के तेरे पीछे पीछे मैं आने लगा
ये गया ये गया ले मैं चला गया मैं जाने लगा
निगाहों को चुरा के यूँ बाहों को छुड़ा के
तू जा तो रहा है मगर घर जा के आहें न यार भरना
आहें न भरना
नहीं करना नहीं नहीं नहीं करना
मेरा दिल तू ...

नहीं करना करना नहीं
नहीं करना
अच्छा नहीं करना
नहीं करना

मैं चली जाऊँगी तो नहीं आऊँगी बुला ले मुझे
मैं रूठ जाऊँगी तो रूठ जाऊँगी मना ले मुझे
मैं तुझको मनाऊँ नहीं है ये ज़रूरी
मगर क्या करूं मैं है थोड़ी मजबूरी
तेरे साथ जीना मरना है जीना मरना
हाँ हाँ हाँ है जीना मरना
अब तू ये कहना छोड़ दे
मेरा दिल तू वापस मोड़ दे
अब तू ये कहना छोड़ दे
मैनूं प्यार नहीं करना
मेरा दिल तू ...
नहीं कहना नहीं कहना
नहीं कहना
नहीं करना

 ",Kranti,2002,Jatin-Lalit,Anand Bakshi,"Shaan, Sunidhi Chauhan"
