Song,Film,YearMusic Director,Lyricist,Singers
"मेहंदी मेहंदी शगुन की मेहंदी
मेहंदी मेहंदी पिया की मेहंदी
रंग लाई बन्नो जी के हाथ मेहंदी रंग लाई
रंग लाई लाडो जी के हाथ मेहंदी रंग लाई
ये मेहंदी तेरे भैया ने लाई भाभी जी के साथ
मेहंदी रंग लाई
ओ रंग लाई बन्नो जी ...

धूम मची है धूम
मची है धूम हमारे घर में
तुम्हारे साजन हैं आने वाले
है ये इजाज़त सोणे सजन को
के आज तुमको गले लगा लें
मची है धूम ...

खनकती चूड़ी कहती है
वो घोड़ी चढ़ के आएंगे
सजा के फूलों से डोली
तुम्हें घर ले के जाएंगे
कभी रूठेंगे ना तुमसे
सारे नखरे उठाएंगे
मची है धूम ...

तुम्हारी शादी में हम भी
नाचने गाने आए हैं
तुम्हें देने की खातिर हम
दिलों का तोहफ़ा लाए हैं
खुशी से दे को तुम हमको
तुम्हारी जो बलाएँ हैं
रहे ग़म दूर सदा तुमसे
यही अपनी दुआएँ हैं
मची है धूम ...

 ",Ansh,2002,Nadeem-Shravan,Sameer,"Udit Narayan, Dimple Verma, Ch..."
"मेहरबाँ महबूब दिलबर जान-ए-मन
आज हो जाए कोई दीवानापन

प्यार की ठंडी आग लगा दो
तन मन में इक धूम मचा दो
तुम पे वारे मेरे कजरारे नयन
मेहरबान महबूब दिलबर जान-ए-मन

जाम बनूँ और लब तक आऊँ
आँख में मस्ती बन लहराऊँ
रात रानी बनके आई है दुल्हन
मेहरबान महबूब दिलबर जान-ए-मन

कहती है अंगड़ाई कहानी
छलकी जाए मस्त जवानी
आज फूलों की तरह टूटे बदन

 ",Aansoo Ban Gaye Phool,1969,Laxmikant-Pyarelal,Taj Bhopali,Asha
"मेहरबानो क़दरदानो दोस्तो यारो
अरे खेल देखो खेल one two three up

दुनिया में रहना है तो काम करो प्यारे
हाथ जोड़ सबको सलाम करो प्यारे
वरना ये दुनिया जीने नहीं देगी
खाने नहीं देगी पीने नहीं देगी
खेल कोई नया सुबह-शाम करो प्यारे
दुनिया में रहना ...

पैसे बिना दुनिया में रोटी नहीं मिलती
रोटी नहीं मिलती लंगोटी नहीं मिलती
हाथ जोड़ सबको सलाम करो प्यारे
दुनिया में रहना ...

एक दिन तेरे-मेरे ख़्वाब होंगे पूरे
ऐसी कोई बात कर चल ओ जमूरे
रह जाएँ सब दिल थाम कर ओ प्यारे
दुनिया में रहना ...

ताँगे में लगी जैसी घोड़ी चली जाए
रस्सी पे गोरी ऐसी दौड़ी चली जाए
चल घर चलें राम-राम करो प्यारे
दुनिया में रहना ...

 ",Haathi Mere Saathi,1971,Laxmikant-Pyarelal,Anand Bakshi,Kishore
"मेला दिलों का आता है इक बार आके चला जाता है
आते हैं मुसाफ़िर जाते हैं मुसाफ़िर
जाना ही है उनको क्यों आते हैं मुसाफ़िर
मेला दिलों का ...

हँस ले गा ले ये दिन ना मिलेंगे कल
थोड़ी खुशियां हैं थोड़े से ये पल
एक बार फिर चली जाएं जो ये बहारें
लौट कर ना आएंगी गुजरी बहारें
मेला बहारों का आता है इक बार आके चला जाता है
आती हैं बहारें जाती हैं बहारें
जाना ही है उनको क्यों आती हैं बहारें
मेला दिलों का ...

साजन एक तुझ पे भरोसा है
इस भीड़ में एक तू ही मेरा है
मौसम बदले बदले ज़माना
वादा किया जो वादा निभाना है
हाथों की लकीरें गाएं ये तराना
मर कर भी ये रिश्ता है हमको निभाना
मेला दिलों का ...

आई रे जवानी जैसे रुत तूफ़ानी
पगली ये दीवानी मैं क्या करूं
मेला जवानी का आता है इक बार आके चला जाता है
आती है जवानी जाती है जवानी
जाना ही है उसको क्यों आती है जवानी
मेला दिलों का ...

 ",Melaa,1999,Rajesh Roshan,Sameer,"Sonu Nigam, Alka Yagnik, Roop ..."
"( मेले हैं चिराग़ों के
रंगीन दीवाली है
महका हुआ गुलशन है
हँसता हुआ माली है ) -2

( इस रात कोई देखे
धरती के नज़ारों को
शरमाते हैं ये दीपक
आकाश के तारों को ) -2
इस रात का क्या कहना -2
ये रात निराली है

महका हुआ गुलशन है
हँसता हुआ माली है

मेले हैं चिराग़ों के
रंगीन दीवाली है
महका हुआ गुलशन है
हँसता हुआ माली है

( खा जाये नज़र धोखा
जुगनू हैं या फुलझड़ियाँ
( बारात है तारों की
या रंग भरी लड़ियाँ )-2
होंठों पे तराने हैं -2
बजती हुई ताली है

महका हुआ गुलशन है
हँसता हुआ माली है

मेले हैं चिराग़ों के
रंगीन दीवाली है
महका हुआ गुलशन है
हँसता हुआ माली है

 ",Nazrana,1961,Ravi,Rajinder Krishan,Lata
"मेर रंग दे बसंती चोला
हो आज रंग दे हो माँ ऐ रंग दे
मेर रंग दे बसंती चोला

आज़ादी को चली ब्याहने दीवानों की टोलियाँ
खून से अपने लिखे देंगे हम इंक़लाब की बोलियाँ
हम वापस लौटेंगे लेकर आज़ादी का डोला
मेर रंग दे ...

ये वो चोला है के जिस पे रंग न चढ़े दूजा
हमने तो बचपन से की थी इस चोले की पूजा
कल तक जो चिंगारी थी वो आज बनी है शोला
मेर रंग दे ...

सपनें में देखा था जिसको आज वही दिन आया है
सूली के उस पार खड़ी है माँ ने हमें बुलाया है
आज मौत के पलड़े में जीवन को हमने तौला
मेर रंग दे ...

 ",23rd March 1931 Shaheed,23,Anand Raj Anand,Dev Kohli,"Hans Raj Hans, Udit Narayan, C..."
"हे: मेरा आग़ाज़ शिरीँ हैं
मेरा अंजाम शिरीँ हैं
मुझे फ़रहाद क्यों कहते हो
मेरा नाम शिरीँ हैं

(खुशियों को लूट कर यहाँ) -2
देते हैं ग़म निशानियाँ
कब तक रहेंगी प्यार पर
दुनिया की महर्बानियाँ
खुशियों को लूट कर यहाँ

(राहें वफ़ा मे लुट गये
कितने दिलों के काफ़िले) -2
मंज़िल पे आके और भी
बड़ते रहें है फ़ासले
(बरबाद हो के रह गयी) - 2
अरमाँ भरी जवानियाँ
कब तक रहेंगी प्यार पर
दुनिया की महर्बानियाँ
खुशियों को लूट कर यहाँ

आ: (कितनी ही ज़िंदगानियाँ
रिस्मों पे हो गयी फ़िदा) -2
दो दिल मिले थे प्यार से
दुनिया ने कर दिये जुदा
होते रहे यूँ ही सितम
बनती रही कहानियाँ
कब तक रहेंगी प्यार पर
दुनिया की महर्बानियाँ
खुशियों को लूट कर यहाँ

हे: जितने खुशी के ख़्वाब थे
सब आँसूओं मे ढल गये
गुलशन मे रह गया है क्य
(तिनके थे चार जल गये) - 2
(था मेरा आशीआँ कहाँ) - 2
मिलती नहीं निशानियाँ
कब तक रहेंगी प्यार पर
दुनिया की महर्बानियाँ
खुशियों को लूट कर यहाँ

आ: आवाज़ दे मेरी ख़ुदा
इनसाफ़ है कहाँ तेरा
जल जयेगा जहाँ तेरा
(मिट जयेगा निशाँ तेरा) - 2
(फ़रियाद बन गयी अगर) - 2
उलफ़त की बेज़ुबानियाँ
कब तक रहेंगी प्यार पर
दुनिया की महर्बानियाँ
खुशियों को लूत कर यहाँ

 ",Shirin Farhaad,1956,S Mohinder,Tanveer Naqvi,"Hemant, Asha"
"मेरा अन्तर एक मंदिर है तेरा, है तेरा
पीया, मेरा जीवन, तेरी पूजा

सोऊँ या मैं जागूँ
सुबह और शाम पल-पल छिन
तुझ से तुझको माँगूँ
पाके तुझे अपना बनाके, तुझको ही लौता दूँ
तेरा अन्तर एक मंदिर है तेरा

प्यार तेरा ???, राम जाने फिर भी क्योँ है
जीवन सूना सूना
कैसे कहूँ कैसे, कैसे
देखूँ मैं कोई सपना
तेरा अन्तर एक मंदिर है तेरा

 ",Tere Mere Sapne,1971,S D Burman,Neeraj,Lata
"मेरा बचपन
मेरा बचपन वापस आया
बलइया लूँ मैं बार-बार हो
गलबइयाँ
गलबइयाँ डार मुस्काया
बलइया लूँ मैं बार-बार हो

अपना सब कुछ दे के दान मैं तेरी ख़ैर मनाऊँ
नज़र न लागे दुनिया की तुझे पलकों में मैं छुपाऊँ
मेरी गोदी
मेरी गोदी में सब जग आया
बलइया लूँ मैं बार-बार हो

तू मेरे दिन का सूरज रात को चन्दा की उजियारी -2
हरी तेरे सारे दुख हर ले राम करे रखवारी
राम करे रखवारी
तूने बुझता दीप जलाया
बलइया लूँ मैं बार-बार हो
मेरा बचपन वापस आया
बलइया लूँ मैं बार-बार हो

किस दरपन में मुख देखूँ मैं और ख़ुशी से झूमूँ
देखूँ मेरा बालकपन मैं अपना मुखड़ा चूमूँ
मुझे मोहे आज मेरी छाया

बलइया लूँ मैं बार-बार हो
मेरा बचपन वापस आया
बलइया लूँ मैं बार-बार हो

 ",Maashooqaa,1953,Roshan,Shailendra,Suraiya
"( मेरा बदली में छुप गया चाँद रे
कहाँ ढूँढें नयन मोरे बावरे
आजा आजा ओ साँवरे ) -2

दुनिया ने तोड़ दिये सपने सुहाने
रो रो के याद करूँ गुज़रे ज़माने
आजा पिया मोरा तड़पा जिया
मेरे जीवन की होने लगी शाम रे
कहाँ ढूँढें नयन मोरे ...

मैं हूँ यहाँ और तू है वहाँ
कैसे आऊँ मैं पिया तोरे गाँव रे -2
कहाँ ढूँढें नयन मोरे ...

 ",Naagin,1954,Hemant Kumar,Rajinder Krishan,Lata
"मेरा भोला सा बलमा रे
नही समझे हमारे इसारे
ओ मेरा भोला सा बलमा रे
नही समझे हमारे इसारे
( सदा भीगे रहे रे रसिया
इन नैनों के दोनों किनारे ) -2

मेरा भोला सा बलमा रे
नही समझे हमारे इसारे

( सरदी की रात बड़ी ज़ुल्मी रे बालमा
हमसे ग़ुज़ारे ना गुज़रे ) -2
( आज दो घड़ी के बदल दै दो मोरे वास्ते
जेठ का महीना भी आ गुज़रे ) -2
तू ना बेदर्दी रे ग़रज़ी हाय ??
जब माँगे जवानी सहारे

मेरा भोला सा बलमा रे
नही समझे हमारे इसारे

( बोलो न बोलो थारी मरज़ी रे साजना
हम भी न तोसे कभी बोलें ) -2
( नन्हा सा जिया जो मोरा भर-भर आये कभी
बइयाँ की ओट ले के रो लें ) -2
( मोसे ना पइयाँ मोरे सइयाँ पड़ा जाये हो
जाओ जी तुम जीते हम हारे ) -2

मेरा भोला सा बलमा रे
नही समझे हमारे इसारे
सदा भीगे रहे रे रसिया
इन नैनों के दोनों किनारे
मेरा भोला सा बलमा रे
नही समझे हमारे इसारे

 ",Khamosh Sipahi,1950,Khurshid Anwar,D N Madhok,"Rajkumari, Lalita Deulkar"
"मेरा बिछड़ा यार मिला दे सदका रसूल का
मेरे दिल का दर्द मिटा दे सदका रसूल का

मालिक तूने दुनिया भर की बिगड़ी बात बनाई
मेरी भी तक़दीर बना दे जानूँ तेरी ख़ुदाई
मेरा उजड़ा प्यार बसा दे
मेरा बिछड़ा यार ...

तू ही बता दे जाऊँ किधर कि ना मंज़िल ना डेरा
उस नगरी की राह दिखा दे यार जहाँ हो मेरा
मेरी नैया पार लगा दे
मेरा बिछड़ा यार ...

 ",Sohni Mahiwaal,1958,Naushad,Shakeel,Lata
