,Song,Film,Year,Music Director,Lyricist,Singers
7000,http://giitaayan.com/viewisbsong.asp?id=12507,Millionaire/ Karorpati,1936,R C Boral / Pankaj Mullick?,Kedar Sharma,"Saigal, Pahadi Sanyal"
7001,http://giitaayan.com/viewisbsong.asp?id=3165,Patanga,1949,C Ramchandra,Rajinder Krishan,"Shamshad, Chitalkar"
7002,http://giitaayan.com/viewisbsong.asp?id=1361,Tansen,1943,Khemchand Prakash,D N Madhok,Khursheed
7003,http://giitaayan.com/viewisbsong.asp?id=14099,Sindoor,1947,Khemchand Prakash,Qamar Jalalabadi,Amirbai
7004,http://giitaayan.com/viewisbsong.asp?id=11370,Dil Ki Rani,1947,S D Burman,Yashodanandan Joshi,Raj Kapoor 'Madhav'
7005,http://giitaayan.com/viewisbsong.asp?id=1362,Baiju Bawra,1952,Naushad,Shakeel,Rafi
7006,http://giitaayan.com/viewisbsong.asp?id=11657,Gajre,1948,Anil Biswas,G S Nepali,Suraiya
7007,http://giitaayan.com/viewisbsong.asp?id=1363,Pyar Ki Jeet,1948,Husnlal-Bhagatram,Qamar Jalalabadi,Suraiya
7008,http://giitaayan.com/viewisbsong.asp?id=2180,Udan Khatolaa,1955,Naushad,Shakeel,Rafi
7009,http://giitaayan.com/viewisbsong.asp?id=21256,Chandan Ka Palna,1967,R D Burman,Majrooh,Lata
7010,http://giitaayan.com/viewisbsong.asp?id=21003,Abhinetri,1970,Laxmikant Pyarelal,Majrooh Sultanpuri,Lata Mangeshkar
7011,http://giitaayan.com/viewisbsong.asp?id=3413,Beqasoor,1950,Anil Biswas,Arzoo Lucknowi,Lata
7012,http://giitaayan.com/viewisbsong.asp?id=1364,Zehreelaa Insaan,1974,R D Burman,Majrooh,Kishore
7013,http://giitaayan.com/viewisbsong.asp?id=2679,Ek Gaaon Ki Kahaani,1957,Salil Chowdhury,Shailendra,"Talat, Lata"
7014,http://giitaayan.com/viewisbsong.asp?id=13884,Saathiyaa,2002,A R Rahman,Gulzar,"Kaykay, Kunal, Pravin mani/ Ka..."
7015,http://giitaayan.com/viewisbsong.asp?id=20774,Fareb,1996,Jatin-Lalit,Neeraj,Alka Yagnik
7016,http://giitaayan.com/viewisbsong.asp?id=rmim0213,Kahan Gaye,1946,Lachchhi Ram,,Zeenat Begum
7017,http://giitaayan.com/viewisbsong.asp?id=1365,Teesri Manzil,1966,R D Burman,Majrooh,"Rafi, Asha"
7018,http://giitaayan.com/viewisbsong.asp?id=10942,Chhailaa Baaboo,1977,Laxmikant-Pyarelal,Anand Bakshi,Kishore
7019,http://giitaayan.com/viewisbsong.asp?id=11270,Dharti Kahe Pukar Ke,1969,Laxmikant-Pyarelal,Majrooh,Rafi
7020,http://giitaayan.com/viewisbsong.asp?id=11740,Hote Hote Pyaar Ho Gayaa,1999,"Anand Raj Anand, Pradeep-Ejaz",Zameer Kazmi,"Udit Narayan, Sadhana Sargam, ..."
7021,http://giitaayan.com/viewisbsong.asp?id=14631,Yeh Hai Jalwa,2002,Himesh Reshammiya,Sudhakar Sharma,"Kumar Sanu, Alka Yagnik"
7022,http://giitaayan.com/viewisbsong.asp?id=12087,Jab Pyaar Kisi Se Hotaa Hai,1998,Jatin-Lalit,Anand Bakshi,"Kumar Sanu, Anuradha Paudwal/ ..."
7023,http://giitaayan.com/viewisbsong.asp?id=11584,Gurudev,1993,R D Burman,Majrooh,Anuradha Paudwal
7024,http://giitaayan.com/viewisbsong.asp?id=20950,Madhoshi,2004,Roop Kumar Rathod,Shakeel Azmi,"Udit Narayan, Sunidhi Chauhan"
7025,http://giitaayan.com/viewisbsong.asp?id=13382,O Janewale,1948,Ali Husain Muradabadi,,"Mukesh, Shamshad"
7026,http://giitaayan.com/viewisbsong.asp?id=12929,Mother India,1957,Naushad,Shakeel,Lata
7027,http://giitaayan.com/viewisbsong.asp?id=1366,Shri 420,420,Shankar-Jaikishan,Hasrat,Lata
7028,http://giitaayan.com/viewisbsong.asp?id=13871,Rattan,1944,Naushad,D N Madhok,"Amirbai, Shaam Kumar"
7029,http://giitaayan.com/viewisbsong.asp?id=20997,Bazaar,1949,Shyamsunder,Qamar Jalalabadi,Rafi
7030,http://giitaayan.com/viewisbsong.asp?id=1367,Bandini,1963,S D Burman,Shailendra,Mukesh
7031,http://giitaayan.com/viewisbsong.asp?id=rmim0840,Intezar (Pakistan),1956,Khurshid Anwar,Qateel Shifai,Noorjehan
7032,http://giitaayan.com/viewisbsong.asp?id=2181,Raahi,1953,Anil Biswas,Prem Dhawan,Lata
7033,http://giitaayan.com/viewisbsong.asp?id=13472,Paraakrami,1996,Laxmikant-Pyarelal,Anjaan,"Alka Yagnik, Amit Kumar"
7034,http://giitaayan.com/viewisbsong.asp?id=2680,Champaakali,1957,Hemant Kumar,Rajinder Krishan,"Hemant, Lata"
7035,http://giitaayan.com/viewisbsong.asp?id=10271,Aastik,1956,Narayan Dutt,S P Kalla,Rafi
7036,http://giitaayan.com/viewisbsong.asp?id=14999,Kaali Ghataa,1951,Shankar-Jaikishan,Hasrat,"Lata, Rafi"
7037,http://giitaayan.com/viewisbsong.asp?id=12521,Kaali Topi Laal Roomaal,1959,Chitragupt,Majrooh,"Rafi, Asha"
7038,http://giitaayan.com/viewisbsong.asp?id=10909,Chhoti Behan,1959,Shankar-Jaikishan,Hasrat,"Manna Dey, Lata"
7039,http://giitaayan.com/viewisbsong.asp?id=11895,Humsaya,1968,O P Nayyar,S H Bihari,Asha
7040,http://giitaayan.com/viewisbsong.asp?id=12543,Kanhaiyaa,1959,Shankar-Jaikishan,Hasrat,Lata
7041,http://giitaayan.com/viewisbsong.asp?id=10999,Doli Saja Ke Rakhna,1998,A R Rahman,Mehboob,"M G Sreekumar, Anuradha Paudwal"
7042,http://giitaayan.com/viewisbsong.asp?id=14584,Vidya,1948,S D Burman,Anjum Pilibhiti,Suraiya
