,Song,Film,Year,Music Director,Lyricist,Singers
9000,http://giitaayan.com/viewisbsong.asp?id=15091,Swarag Ki Sidhi/ Sati Vimla,1935,Ghulam Haider,Wali Saheb,Umrazia Begum
9001,http://giitaayan.com/viewisbsong.asp?id=11595,Gaban,1966,Shankar-Jaikishan,Shailendra,"Rafi, Lata"
9002,http://giitaayan.com/viewisbsong.asp?id=3223,Aashiyaanaa,1952,Madan Mohan,Rajinder Krishan,Lata
9003,http://giitaayan.com/viewisbsong.asp?id=2721,Aurat Teri Yahi Kahani,1954,Bulo C Rani,Butaram Sharma,Talat
9004,http://giitaayan.com/viewisbsong.asp?id=1758,Shagoon,1964,Khayyam,Sahir,Rafi
9005,http://giitaayan.com/viewisbsong.asp?id=15162,House No. 44,44,S D Burman,Sahir,Asha
9006,http://giitaayan.com/viewisbsong.asp?id=11805,Hum To Mohabbat Karegaa,2000,Annu Malik,Majrooh,"Annu Malik, Shraddha Pandit"
9007,http://giitaayan.com/viewisbsong.asp?id=11011,Dhadkan/ Never Break A Heart,2000,Nadeem-Shravan,Sameer,"Abhijit, Alka Yagnik/ Sumar Sanu"
9008,http://giitaayan.com/viewisbsong.asp?id=rmim0107,Gustakhi Maaf/ Kshama Yaachana,1969,Sapan-Jagmohan,Naqsh Lyallpuri,Asha
9009,http://giitaayan.com/viewisbsong.asp?id=2228,Baabar,1960,Roshan,Sahir,Rafi
9010,http://giitaayan.com/viewisbsong.asp?id=1759,Sati Savitri,1964,Laxmikant-Pyarelal,Bharat Vyas,"Lata, Manna Dey"
9011,http://giitaayan.com/viewisbsong.asp?id=rmim0276,Badi Maa,1945,K Datta,Zia Sarhadi,Noorjehan
9012,http://giitaayan.com/viewisbsong.asp?id=21339,Mere Humsafar,1970,Kalyanji-Anandji,Anand Bakshi,Lata
9013,http://giitaayan.com/viewisbsong.asp?id=10636,Balam,1949,Husnlal-Bhagatram,Qamar Jalalabadi,Rafi
9014,http://giitaayan.com/viewisbsong.asp?id=12536,Kaise Kahoon,1964,S D Burman,Shakeel,Lata
9015,http://giitaayan.com/viewisbsong.asp?id=1760,Yaara Dildaara,1991,Jatin-Lalit,Majrooh,"Udit Narayan, Anuradha Paudwal"
9016,http://giitaayan.com/viewisbsong.asp?id=11428,Ek Dil Sau Afsane,1963,Shankar-Jaikishan,Shailendra,"Rafi, Lata"
9017,http://giitaayan.com/viewisbsong.asp?id=21417,(Non-film),1940,Durga Sen,Meera Bai,Asitbaran
9018,http://giitaayan.com/viewisbsong.asp?id=10767,Chor Chor,1996,A R Rahman,P K Mishra,Anupama
9019,http://giitaayan.com/viewisbsong.asp?id=12301,Kabhi Na Kabhi,1997,A R Rahman,Javed Akhtar,"Hariharan, Sujatha"
9020,http://giitaayan.com/viewisbsong.asp?id=13049,Mohar,1959,Madan Mohan,Rajinder Krishan,Lata
9021,http://giitaayan.com/viewisbsong.asp?id=14118,Saaz Aur Awaz,1966,Naushad,Khumar Barabankwi,"Rafi, Asha"
9022,http://giitaayan.com/viewisbsong.asp?id=1762,Arth,1982,Jagjit Singh,Kaifi Azmi,Jagjit Singh
9023,http://giitaayan.com/viewisbsong.asp?id=21146,The Great Gambler,1979,R D Burman,Anand Bakshi,Asha
9024,http://giitaayan.com/viewisbsong.asp?id=rmim0195,Chitralekha,1941,Jhande Khan,Kedar Sharma,Ram Dulari
9025,http://giitaayan.com/viewisbsong.asp?id=20655,Kisi Se Na Kehna,1983,Bappi Lahiri,,Asha
9026,http://giitaayan.com/viewisbsong.asp?id=1763,Road To Sikkim,1969,Vijaysinghji,Jalal Malihabadi,Mukesh
9027,http://giitaayan.com/viewisbsong.asp?id=12192,Jab Pyar Kisi Se Hota Hai,1961,Shankar-Jaikishan,Hasrat,Lata
9028,http://giitaayan.com/viewisbsong.asp?id=1764,Sujaataa,1959,S D Burman,Majrooh,Asha
9029,http://giitaayan.com/viewisbsong.asp?id=1765,Sakhi Robin,1962,Robin Banerjee,Yogesh,"Manna Dey, Suman Kalyanpur"
9030,http://giitaayan.com/viewisbsong.asp?id=11415,Ek Thaa Dil Ek Thi Dhadkan,1998,Anand Raj Anand,Javed Akhtar,Abhijit
9031,http://giitaayan.com/viewisbsong.asp?id=2722,Aas Paas,1980,Laxmikant-Pyarelal,Anand Bakshi,"Lata, Kishore"
9032,http://giitaayan.com/viewisbsong.asp?id=2973,Aashiq,1962,Shankar-Jaikishan,Shailendra,Mukesh
9033,http://giitaayan.com/viewisbsong.asp?id=1766,12 O' Clock/ Twelve O 'Clock,12,O P Nayyar,Majrooh,"Geeta, Rafi"
9034,http://giitaayan.com/viewisbsong.asp?id=1767,Hanste Zakhm,1973,Madan Mohan,Kaifi Azmi,"Rafi, Lata"
9035,http://giitaayan.com/viewisbsong.asp?id=3224,Laal Kunwar,1952,S D Burman,Sahir,Suraiya
9036,http://giitaayan.com/viewisbsong.asp?id=21425,Gardish,1993,R D Burman,Javed Akhtar,"Asha, M G Shreekumar"
9037,http://giitaayan.com/viewisbsong.asp?id=21176,Hamara Watan,1956,Hemant Kumar,S H Bihari,"Asha, Hemant Kumar"
9038,http://giitaayan.com/viewisbsong.asp?id=20766,Drohi,1992,R D Burman,Majrooh,Suresh Wadkar
9039,http://giitaayan.com/viewisbsong.asp?id=2473,Kareeb,1998,Annu Malik,Rahat Indori,"Roopkumar Rathod, Sanjeevini"
9040,http://giitaayan.com/viewisbsong.asp?id=14770,Pagdandi,1947,Pt Amarnath,D N Madhok,Zeenat Begum
9041,http://giitaayan.com/viewisbsong.asp?id=21361,(Non-film),1940,Kamal Dasgupta,Faiyaaz Hashmi,Hemant Kumar
9042,http://giitaayan.com/viewisbsong.asp?id=rmim0787,Ram Kare So Hoye (Non-Film),1960,Murli Manohar Swarup,S K Deepak,Mukesh
9043,http://giitaayan.com/viewisbsong.asp?id=1768,Ayee Milan Ki Bela,1964,Shankar-Jaikishan,Hasrat,Rafi
9044,http://giitaayan.com/viewisbsong.asp?id=1769,Jungle Mein Mangal,1972,Shankar-Jaikishan,"Hasrat, Neeraj",Kishore
9045,http://giitaayan.com/viewisbsong.asp?id=1770,Aap Aaye Bahaar Aayee,1971,Laxmikant-Pyarelal,Anand Bakshi,"Kishore, Lata"
9046,http://giitaayan.com/viewisbsong.asp?id=1783,Saath Saath,1982,Kuldeep Singh,Javed Akhtar,Jagjit Singh
9047,http://giitaayan.com/viewisbsong.asp?id=1771,Bewafaa,1952,Alla Rakha,Sarshar Sailani,Talat
9048,http://giitaayan.com/viewisbsong.asp?id=20960,Prem,1994,Laxmikant-Pyarelal,Anand Bakshi,Nalin Dave
9049,http://giitaayan.com/viewisbsong.asp?id=10107,Prem Shakti,1994,Sanjeev-Darshan,Sameer,"Udit Narayan, Alka Yagnik, Cho..."
9050,http://giitaayan.com/viewisbsong.asp?id=1772,Shin Shinaaki Booblaa Boo,1952,C Ramchandra,P L Santoshi,Lata
9051,http://giitaayan.com/viewisbsong.asp?id=13514,Prem Shakti,1994,Ram Laxman,Ravindra Rawal,Anuradha Paudwal
9052,http://giitaayan.com/viewisbsong.asp?id=2474,Maine Pyaar Kiyaa,1989,Ram Laxman,Asad Bhopali,"Lata, S P Balasubramaniam, Ush..."
9053,http://giitaayan.com/viewisbsong.asp?id=14213,Singapore,1960,Shankar-Jaikishan,Hasrat,"Rafi, Lata"
9054,http://giitaayan.com/viewisbsong.asp?id=13618,Pyaase Dil,1974,Khayyam,Jaan Nisar Akhtar,Mukesh
9055,http://giitaayan.com/viewisbsong.asp?id=rmim0327,Jeet,1949,Anil Biswas,Prem Dhawan,Suraiya
9056,http://giitaayan.com/viewisbsong.asp?id=10532,Sharda,1942,Vishal,Sameer,Udit Narayan
9057,http://giitaayan.com/viewisbsong.asp?id=rmim0682,Bombay To Goa,1972,R D Burman,Rajinder Krishan,"Lata, Kishore"
9058,http://giitaayan.com/viewisbsong.asp?id=2974,Shagoofaa,1953,C Ramchandra,Rajinder Krishan,"Lata, Chitalkar"
9059,http://giitaayan.com/viewisbsong.asp?id=rmim0607,Jeet,1949,Anil Biswas,Prem Dhawan,Suraiya
9060,http://giitaayan.com/viewisbsong.asp?id=rmim0524,(Non-Film),2001,Khayyam,Kaifi Azmi,Kavita Krishnamurthy
9061,http://giitaayan.com/viewisbsong.asp?id=1773,Badi Bahen,1949,Husnlal-Bhagatram,Qamar Jalalabadi,Suraiya
9062,http://giitaayan.com/viewisbsong.asp?id=2975,Ishq Par Zor Nahin,1970,S D Burman,Anand Bakshi,Lata
9063,http://giitaayan.com/viewisbsong.asp?id=rmim0737,Phir Kab Milogi,1974,R D Burman,Majrooh,Lata
9064,http://giitaayan.com/viewisbsong.asp?id=1774,Didi,1959,Sudha Malhotra,Sahir,"Mukesh, Sudha Malhotra"
9065,http://giitaayan.com/viewisbsong.asp?id=21043,Pagla Kahin Ka,1970,Shankar-Jaikishan,Hasrat Jaipuri,Lata
9066,http://giitaayan.com/viewisbsong.asp?id=1775,Pagla Kahin Ka,1970,Shankar-Jaikishan,Hasrat,Rafi
9067,http://giitaayan.com/viewisbsong.asp?id=1776,Sazaa,1951,S D Burman,Sahir,Lata
9068,http://giitaayan.com/viewisbsong.asp?id=14268,Sharda,1942,Naushad,D N Madhok,Nirmala Devi
9069,http://giitaayan.com/viewisbsong.asp?id=1784,Raj Kumar,1964,Shankar-Jaikishan,Hasrat,Rafi
9070,http://giitaayan.com/viewisbsong.asp?id=3225,Wapas,1943,R C Boral,Munshi Zakir Husain,Asit Baran
9071,http://giitaayan.com/viewisbsong.asp?id=1786,Teesri Manzil,1966,R D Burman,Majrooh,Rafi
9072,http://giitaayan.com/viewisbsong.asp?id=1787,Raj Kumar,1964,Shankar-Jaikishan,Hasrat,"Suman Kalyanpur, Rafi"
9073,http://giitaayan.com/viewisbsong.asp?id=11035,Sapnon Ka Saudagar,1968,Aadesh Srivastava,Sameer,"Vinod Rathor, Kavita Subramaniam"
9074,http://giitaayan.com/viewisbsong.asp?id=2229,Kuch Kuch Hotaa Hai,1998,Jatin-Lalit,Sameer,
9075,http://giitaayan.com/viewisbsong.asp?id=1777,Khamoshi,1969,Hemant Kumar,Gulzar,Hemant
9076,http://giitaayan.com/viewisbsong.asp?id=1778,Naqli Nawab,1962,Babul,Kaifi Azmi,Rafi
9077,http://giitaayan.com/viewisbsong.asp?id=14143,Sapnon Ka Saudagar,1968,Shankar-Jaikishan,Shailendra,"Mukesh, Sharda"
9078,http://giitaayan.com/viewisbsong.asp?id=10469,Phaagun,1958,Anil Biswas,Dr Safdar 'Aah',"Surendra, Jyoti"
9079,http://giitaayan.com/viewisbsong.asp?id=13565,Phaagun,1958,O P Nayyar,Qamar Jalalabadi,"Rafi, Asha"
9080,http://giitaayan.com/viewisbsong.asp?id=10263,Iqraar,1979,Shankar-Jaikishan,Hasrat,"Mukesh, Lata"
9081,http://giitaayan.com/viewisbsong.asp?id=1779,Taaj,1956,Hemant Kumar,Rajinder Krishan,Lata
9082,http://giitaayan.com/viewisbsong.asp?id=rmim0011,Nai Dilli / New Delhi,1956,Shankar-Jaikishan,Shailendra,"Lata, Chorus"
9083,http://giitaayan.com/viewisbsong.asp?id=11980,Iqraar,1979,Bappi Lahiri,Kulwant Jani,Lata
