Song,Film,Year,Music Director,Lyricist,Singers
http://giitaayan.com/viewisbsong.asp?id=rmim0467,Dil Padosi Hai (Non-Film),1987,R D Burman,Gulzar,"Asha, Chorus"
http://giitaayan.com/viewisbsong.asp?id=10481,Biwi No. 1,1,Annu Malik,Sameer,"Kumar Sanu, Hema Sardesai"
http://giitaayan.com/viewisbsong.asp?id=12735,Love In Simla,1960,Iqbal Qureshi,Rajinder Krishan,"Rafi, Asha"
http://giitaayan.com/viewisbsong.asp?id=12378,Kabhi To Nazar Milao (Non-Film),2000,Adnan Sami,Riyaaz-ur-rahmaan Saagar,Adnan Sami
http://giitaayan.com/viewisbsong.asp?id=20962,Rang De Basanti,2006,A R Rahman,Prasoon Joshi,"Mohd Aslam, Naresh Iyer"
http://giitaayan.com/viewisbsong.asp?id=11735,Hindustaan Ki Qasam,1999,Sukhwinder Singh,Anand Bakshi,"Abhijit, Purnima"
http://giitaayan.com/viewisbsong.asp?id=10773,Chori Chori Chupke Chupke,2000,Annu Malik,Sameer,"Alka Yagnik, Annu Malik"
http://giitaayan.com/viewisbsong.asp?id=11992,Ishq Vishk,2003,Annu Malik,Sameer,"Sonu Nigam, Priya, Prachi"
http://giitaayan.com/viewisbsong.asp?id=12022,Jaanam Samjhaa Karo,1999,Annu Malik,Majrooh,"Kumar Sanu, Alka Yagnik"
http://giitaayan.com/viewisbsong.asp?id=12671,Love Ke Liye Kuch Bhi Karega,2001,Vishal,Abbas Tyrewala,"Udit Narayan, Sunidhi Chauhan/..."
http://giitaayan.com/viewisbsong.asp?id=12846,Mother '98,98,Dilip Sen-Sameer Sen,Sameer,"Anuradha Paudwal, Kavita Subra..."
http://giitaayan.com/viewisbsong.asp?id=11941,Ishq,1997,Annu Malik,Dev Kohli,"Alka Yagnik, Annu Malik"
http://giitaayan.com/viewisbsong.asp?id=10743,Baarish,1957,C Ramchandra,Rajinder Krishan,"Asha, Chorus"
http://giitaayan.com/viewisbsong.asp?id=3,Julie,1975,Rajesh Roshan,Harindranath Chattopadhyay,Preeti Sagar
http://giitaayan.com/viewisbsong.asp?id=10316,Amar Akbar Anthony,1977,Laxmikant-Pyarelal,Anand Bakshi,"Kishore, Amitabh"
http://giitaayan.com/viewisbsong.asp?id=13298,Night In London,1967,Laxmikant-Pyarelal,Anand Bakshi,"Rafi, Lata"
http://giitaayan.com/viewisbsong.asp?id=12648,Love Birds,1996,A R Rahman,P K Mishra,"Apache Indian, A R Rahman"
http://giitaayan.com/viewisbsong.asp?id=11114,Deewaana Mastaana,1997,Laxmikant-Pyarelal,Anand Bakshi,Udit Narayan
http://giitaayan.com/viewisbsong.asp?id=12790,Mujhse Dosti Karoge,2002,Rahul Sharma,Anand Bakshi,"Sonu Nigam, Alisha Chinoy, Cho..."
http://giitaayan.com/viewisbsong.asp?id=11458,Ek Aur Ek Gyarah,2003,Shankar-Ehsaan-Loy,Sameer,"Sonu Nigam, Shankar Mahadevan/..."
http://giitaayan.com/viewisbsong.asp?id=21297,Kal Ho Na Ho,2003,Shankar-Ehsaan-Loy,Javed Akhtar,"Shankar Mahadevan, Chorus"
http://giitaayan.com/viewisbsong.asp?id=14530,Vande Mataram (Non-Film),1996,A R Rahman,Bankim Chandra Chatterjee,"A R Rahman, Chorus"
http://giitaayan.com/viewisbsong.asp?id=13735,Road,2002,Sandesh Shandilya,Tabish Romani,"Garry Lawyer, Tanisha"
http://giitaayan.com/viewisbsong.asp?id=11278,Dil Deke Dekho,1959,Usha Khanna,Majrooh,"Rafi, Asha"
