Song,Film,Year,Music Director,Lyricist,Singers
http://giitaayan.com/viewisbsong.asp?id=11254,Devta,1956,C Ramchandra,Rajinder Krishan,Lata
http://giitaayan.com/viewisbsong.asp?id=21380,Jai Mahakali,1951,Kumar,Firoz Jalandhari,Geeta Dutt
http://giitaayan.com/viewisbsong.asp?id=14945,Man Ki Jeet,1944,S K Pal,Bharat Vyas,Sitara Kanpuri
http://giitaayan.com/viewisbsong.asp?id=13125,Moorti,1945,Bulo C Rani,Pt Indra,Khursheed
http://giitaayan.com/viewisbsong.asp?id=13083,Muskarahat,1943,C Ramchandra,Pt Ishwar Chandra Kapoor,"Beenapani Mukharji, Chitalkar"
http://giitaayan.com/viewisbsong.asp?id=2022,Khazaanaa,1951,C Ramchandra,Rajinder Krishan,Lata
http://giitaayan.com/viewisbsong.asp?id=21188,Daera,1953,Jamal Sen,Majrooh,Talat Mahmood
http://giitaayan.com/viewisbsong.asp?id=14382,Teraa Jaadu Chal Gayaa,2000,Ismail Darbar,Sameer,"Sonu Nigam, Alka Yagnik"
http://giitaayan.com/viewisbsong.asp?id=3267,Humayun,1945,Ghulam Haider,Shams Lakhnavi,Rajkumari
http://giitaayan.com/viewisbsong.asp?id=13059,Man Ki Jeet,1944,S K Pal,Josh Malihabadi,Sitara Kanpuri
http://giitaayan.com/viewisbsong.asp?id=12705,Laat Saheb,1967,Shankar-Jaikishan,Shailendra,"Rafi, Asha"
http://giitaayan.com/viewisbsong.asp?id=3021,Pyar ki manzil,1950,Husnlal-Bhagatram,Shevan Rizvi,"Lata, Husnalal"
http://giitaayan.com/viewisbsong.asp?id=14360,Tu Hi Mera Dil,1995,A R Rahman,P K Mishra,S P Balasubrahmanyam
http://giitaayan.com/viewisbsong.asp?id=13955,Shuul,1999,Shankar-Ehsaan-Loy,Sameer,"Shankar Mahadevan, Chorus"
http://giitaayan.com/viewisbsong.asp?id=10727,Bullet,1976,R D Burman,Anand Bakshi,"Kishore, Asha"
http://giitaayan.com/viewisbsong.asp?id=14788,Zamaana,1938,Sundar Das,D N Madhok,Amirbai
http://giitaayan.com/viewisbsong.asp?id=15260,Yaadgar Ghazlen (Non-Film),1990,,,Ghulam Ali
http://giitaayan.com/viewisbsong.asp?id=13797,Raadharaani/ Divine Lady,1932,Jhande Khan,Pt Narayan Prasad 'Betab',Gauhar Sultaana
http://giitaayan.com/viewisbsong.asp?id=2765,Parchhaain,1952,C Ramchandra,Noor Lucknowi,Lata
http://giitaayan.com/viewisbsong.asp?id=11915,Hangaamaa,1952,C Ramchandra,Rajinder Krishan,Lata
http://giitaayan.com/viewisbsong.asp?id=2023,Bluff Master,1963,Kalyanji-Anandji,Rajinder Krishan,Hemant
http://giitaayan.com/viewisbsong.asp?id=2766,Baaz,1953,O P Nayyar,Majrooh,Geeta
http://giitaayan.com/viewisbsong.asp?id=21109,Shriman Satyavadi,1960,Dattaram,Hasrat Jaipuri,"Mukesh, Chorus"
http://giitaayan.com/viewisbsong.asp?id=14623,Yaadein,2001,Annu Malik,Anand Bakshi,"Sneha Pant, KayKay"
http://giitaayan.com/viewisbsong.asp?id=2024,Naaz,1954,Anil Biswas,Kedar Sharma,Lata
http://giitaayan.com/viewisbsong.asp?id=153,C.I.D.,1956,O P Nayyar,Majrooh,"Rafi, Geeta"
http://giitaayan.com/viewisbsong.asp?id=154,Hameshaa,1997,Annu Malik,Rahat Indori,Udit Narayan
http://giitaayan.com/viewisbsong.asp?id=11018,Deewaane,2000,Sanjeev-Darshan,Sameer,"Jaspindar Narula, Mahima Chaud..."
http://giitaayan.com/viewisbsong.asp?id=2518,Maya,1961,Salil Chowdhury,Majrooh,Dwijen Mukherjee / Lata
http://giitaayan.com/viewisbsong.asp?id=13330,Naach,1949,Husnlal-Bhagatram,Kaif Irfani,Suraiya
http://giitaayan.com/viewisbsong.asp?id=15081,Ik Tera Sahara (Pakistan),1963,Inayat Husein,Qateel Shifai,Saleem Raza
http://giitaayan.com/viewisbsong.asp?id=21014,Wapas,1943,R C Boral,,Binota Bose
http://giitaayan.com/viewisbsong.asp?id=12434,Kyaa Kehnaa,1999,Rajesh Roshan,Majrooh,"Hariharan, Kavita Subramaniam"
http://giitaayan.com/viewisbsong.asp?id=21388,Main Suhagan Hoon,1964,Lachchhi Ram,Bootaram Sharma,Lata
http://giitaayan.com/viewisbsong.asp?id=10290,Actress,1948,Shyam Sundar,Nakshab,Rafi
http://giitaayan.com/viewisbsong.asp?id=2767,Anokha Pyar,1948,Anil Biswas,Shams Azimabadi,"Lata, Ira Nagrath/Meena Kapoor..."
http://giitaayan.com/viewisbsong.asp?id=155,Arzoo,1950,Anil Biswas,Majrooh,Talat
http://giitaayan.com/viewisbsong.asp?id=160,Bhaai Bhaai,1956,Madan Mohan,Rajinder Krishan,Geeta
http://giitaayan.com/viewisbsong.asp?id=156,Baadal,1951,Shankar-Jaikishan,Shailendra,"Mukesh, Lata"
http://giitaayan.com/viewisbsong.asp?id=10262,Aas Ka Panchhi,1961,Shankar-Jaikishan,Shailendra,Mukesh
http://giitaayan.com/viewisbsong.asp?id=2519,Shahnaz,1948,Ameerbai Karnataki,Akhtar Pilibhiti,Rafi
http://giitaayan.com/viewisbsong.asp?id=15087,Shararat (Pakistan),1963,Deboo Bhattacharya,Masroor Anwar,Masood Rana
http://giitaayan.com/viewisbsong.asp?id=172,Dulari,1949,Naushad,Shakeel,Lata
http://giitaayan.com/viewisbsong.asp?id=rmim0342,Shole,1953,Naresh Bhattacharya,Kamil Rashid,"Hemant/ Hemant, Shamshad"
http://giitaayan.com/viewisbsong.asp?id=157,Dr. Vidya,1962,S D Burman,Majrooh,Mukesh
http://giitaayan.com/viewisbsong.asp?id=158,Shahjehan,1946,Naushad,Khumar Barabankvi,Saigal
http://giitaayan.com/viewisbsong.asp?id=159,Raziaa Sultaan,1983,Khayyam,Jaan Nisar Akhtar,Lata
http://giitaayan.com/viewisbsong.asp?id=3023,Shirin Farhad,1956,S Mohinder,Tanvir Naqvi,"Hemant, Asha"
http://giitaayan.com/viewisbsong.asp?id=2520,Rustom Sohrab,1963,Sajjad Hussain,Jaan Nisar Akhtar,Lata
http://giitaayan.com/viewisbsong.asp?id=14122,Sachaai,1969,Shankar-Jaikishan,Rajinder Krishan,"Rafi, Manna Day"
http://giitaayan.com/viewisbsong.asp?id=11140,Deedaar,1992,Anand-Milind,Sameer,Udit Narayan
http://giitaayan.com/viewisbsong.asp?id=12629,Kismat,1943,Anil Biswas,Pradeep,Amirbai
http://giitaayan.com/viewisbsong.asp?id=11994,Ishq Vishk,2003,Annu Malik,Sameer,"Sonu Nigam, Alka Yagnik"
http://giitaayan.com/viewisbsong.asp?id=10511,Bas Itna Sa Khvab Hai,2001,Aadesh Srivastava,Nida Fazli,Sonu Nigam
http://giitaayan.com/viewisbsong.asp?id=161,Thokar,1953,Sardar Malik,Majaaz,Talat / Asha
http://giitaayan.com/viewisbsong.asp?id=3268,Allaadin Lailaa,1957,A R Qureshi,Asad Bhopali,"Talat, Sudha Malhotra"
http://giitaayan.com/viewisbsong.asp?id=162,Professor,1962,Shankar-Jaikishan,Hasrat,Rafi
http://giitaayan.com/viewisbsong.asp?id=13048,Mohar,1959,Madan Mohan,Rajinder Krishan,"Rafi, Lata"
http://giitaayan.com/viewisbsong.asp?id=163,Chaachaa Zindaabaad,1959,Madan Mohan,Rajinder Krishan,Kishore
http://giitaayan.com/viewisbsong.asp?id=14666,Yaad Rakhegi Duniyaa,1992,Anand-Milind,Sameer,Anuradha Paudwal
http://giitaayan.com/viewisbsong.asp?id=165,Mere Mehboob,1963,Naushad,Shakeel,Rafi
http://giitaayan.com/viewisbsong.asp?id=15262,At His Very Best (Non-Film),1994,,Sagar,Ghulam Ali
http://giitaayan.com/viewisbsong.asp?id=10307,Aman,1967,Shankar-Jaikishan,Hasrat,Rafi
http://giitaayan.com/viewisbsong.asp?id=2025,Mughal-e-Aazam,1960,Naushad,Shakeel,Lata
http://giitaayan.com/viewisbsong.asp?id=rmim0824,Husn-e-Jaana (Non-Film),1997,Muzaffar Ali,,Rolly Saran
http://giitaayan.com/viewisbsong.asp?id=20983,Anmol Moti,1969,Ravi,Rajendra Krishan,Mahendra Kapoor
http://giitaayan.com/viewisbsong.asp?id=2768,Aaraam,1951,Anil Biswas,Rajinder Krishan,Mukesh
http://giitaayan.com/viewisbsong.asp?id=rmim0754,Chhalia,1973,R D Burman,Rajinder Krishan,Rafi
http://giitaayan.com/viewisbsong.asp?id=12198,Jahan Pyaar Mile,1969,Shankar-Jaikishan,Hasrat,Rafi
http://giitaayan.com/viewisbsong.asp?id=10529,Border,1997,Annu Malik,Javed Akhtar,Roop Kumar Rathod
http://giitaayan.com/viewisbsong.asp?id=20916,Haseena,1955,Bulo C Rani,Jaan Nisar Akhtar,Talat Mahmood
http://giitaayan.com/viewisbsong.asp?id=13787,Raam Lakhan,1989,Laxmikant-Pyarelal,Anand Bakshi,"Anuradha Paudwal, Nitin Mukesh"
http://giitaayan.com/viewisbsong.asp?id=2521,Manzil,1960,S D Burman,Majrooh,"Manna Dey, Asha"
http://giitaayan.com/viewisbsong.asp?id=20844,Kabhi Haan Kabhi Naa,1993,,,Kumar Sanu
http://giitaayan.com/viewisbsong.asp?id=11993,Ishq Vishk,2003,Annu Malik,Sameer,"Udit Narayan, Alisha Chinai"
http://giitaayan.com/viewisbsong.asp?id=10288,Abdullah,1980,R D Burman,Anand Bakshi,"Kishore, R D Burman"
http://giitaayan.com/viewisbsong.asp?id=14389,Taajmahal,2001,Santosh Nair,Rahul B Seth,"Roop Kumar Rathod, KayKay"
http://giitaayan.com/viewisbsong.asp?id=11956,Inquilaab,1984,Laxmikant-Pyarelal,Anand Bakshi,Kishore
http://giitaayan.com/viewisbsong.asp?id=166,Do Aankhen Baarah Haath,1957,Vasant Desai,Bharat Vyas,V Shantaram/ Lata
http://giitaayan.com/viewisbsong.asp?id=14056,Sultanat,1986,Kalyanji-Anandji,Anjaan/ Hasan Kamaal,
http://giitaayan.com/viewisbsong.asp?id=13959,Silsilaa Hai Pyaar Kaa,1999,Jatin-Lalit,Sameer,"Udit Narayan, Vinod Rathod, Ch..."
http://giitaayan.com/viewisbsong.asp?id=21075,Aa Gale Lag Jaa,1973,R D Burman,Sahir,"Kishore, Sushma Shreshta"
http://giitaayan.com/viewisbsong.asp?id=21427,Gardish,1993,R D Burman,Javed Akhtar,"Asha, S P Balasubramaniam"
http://giitaayan.com/viewisbsong.asp?id=167,Daagh,1952,Shankar-Jaikishan,Shailendra,Talat
http://giitaayan.com/viewisbsong.asp?id=10304,Albelaa,1971,Shankar-Jaikishan,Hasrat,Kishore/ Lata
http://giitaayan.com/viewisbsong.asp?id=11891,Husn Aur Ishq,1966,Ganesh,Noor Dewasi,Mukesh
http://giitaayan.com/viewisbsong.asp?id=168,Tower House,1962,Ravi,Asad Bhopali,Lata
http://giitaayan.com/viewisbsong.asp?id=21199,Malkin,1953,Roshan,Rajinder Krishan,Talat Mahmood
http://giitaayan.com/viewisbsong.asp?id=169,Qayamat Se Qayamat Tak,1988,Anand-Milind,Majrooh,Udit Narayan
http://giitaayan.com/viewisbsong.asp?id=13238,Naghmaa,1953,Nashad,Nakshab,Shamshad
http://giitaayan.com/viewisbsong.asp?id=170,Jaagriti,1977,Laxmikant-Pyarelal,Sahir,Asha
http://giitaayan.com/viewisbsong.asp?id=171,Kabuliwala,1961,Salil Chowdhury,Prem Dhawan,Manna Dey
http://giitaayan.com/viewisbsong.asp?id=2522,Maan Abhimaan,1980,Ravindra Jain,Ravindra Jain,Yesudas
http://giitaayan.com/viewisbsong.asp?id=12975,Man Mandir,1971,Laxmikant-Pyarelal,Rajinder Krishan,"Mukesh, Lata"
http://giitaayan.com/viewisbsong.asp?id=10186,Aye Meri Bekhudi,1993,Anil Mohile,Rajesh Johari,"Anuradha Paudwal, Udit Narayan"
http://giitaayan.com/viewisbsong.asp?id=14657,Yugpurush,1998,Rajesh Roshan,Majrooh,
http://giitaayan.com/viewisbsong.asp?id=13290,Neeli Ankhen,1962,Duttaram,Gulshan Bawra,Mukesh
http://giitaayan.com/viewisbsong.asp?id=14616,Yeh Dil Aashiqana,2002,Nadeem-Shravan,Sameer,"Udit Narayan, Chorus"
http://giitaayan.com/viewisbsong.asp?id=11509,Funtoosh,1956,S D Burman,Sahir,Kishore
http://giitaayan.com/viewisbsong.asp?id=rmim0284,Taxi Driver,1954,S D Burman,Sahir,Lata
http://giitaayan.com/viewisbsong.asp?id=174,Adal-e-Jahaangir,1955,Husnlal-Bhagatram,Qamar Jalalabadi,Talat
http://giitaayan.com/viewisbsong.asp?id=14217,Sohni Mahiwaal,1958,Naushad,Shakeel,Rafi
http://giitaayan.com/viewisbsong.asp?id=13603,Pyar Ka Sapna,1969,Chitragupt,Rajinder Krishan,"Rafi, Lata"
http://giitaayan.com/viewisbsong.asp?id=175,Waqt,1965,Ravi,Sahir,Manna Dey
http://giitaayan.com/viewisbsong.asp?id=10672,Bees Saal Baad,1962,Hemant Kumar,Shakeel,Lata
http://giitaayan.com/viewisbsong.asp?id=176,Aashray,1984,Ustad Mohd. Dilshad Khan,Arun Chopra,Parveen Sultana
http://giitaayan.com/viewisbsong.asp?id=12487,Karma,1986,Laxmikant-Pyarelal,Anand Bakshi,"Mohammed Aziz, Anuradha Paudwal"
http://giitaayan.com/viewisbsong.asp?id=11764,Hum Kisise Kum Nahin,2002,Annu Malik,Anand Bakshi,"Sonu Nigam, Annu Malik, Chorus"
http://giitaayan.com/viewisbsong.asp?id=10991,Dil Hi Dil Mein,1999,A R Rahman,Mehboob,Abhijit
http://giitaayan.com/viewisbsong.asp?id=10258,Arzoo,1965,Shankar-Jaikishan,Hasrat,Rafi
http://giitaayan.com/viewisbsong.asp?id=10806,Chal Mere Bhaai,2000,Anand-Milind,Nitin Raikwar,"Abhijit, Vinod Rathod, Chorus"
http://giitaayan.com/viewisbsong.asp?id=20617,Teerandaaz,1955,C Ramchandra,Rajinder Krishan,"Lata, chorus"
http://giitaayan.com/viewisbsong.asp?id=177,Arzoo,1965,Shankar-Jaikishan,Hasrat,Rafi
http://giitaayan.com/viewisbsong.asp?id=rmim0316,Roti,1942,Anil Biswas,Dr Safdar 'Aah',Begum Akhtar
http://giitaayan.com/viewisbsong.asp?id=178,Jhaanjhar,1953,C Ramchandra,Rajinder Krishan,Lata
http://giitaayan.com/viewisbsong.asp?id=179,Begunaah,1957,Shankar-Jaikishan,Shailendra,Mukesh
http://giitaayan.com/viewisbsong.asp?id=180,Meri Bahen/ My Sister,1944,Pankaj Mullick,Pt. Bhushan,Saigal
http://giitaayan.com/viewisbsong.asp?id=578,Chitralekha,1964,Roshan,Sahir,Lata
http://giitaayan.com/viewisbsong.asp?id=14486,Tum - A Dangerous Obsession,2003,Himesh Reshammiya,Sameer,"Anuradha Paudwal, Udit Narayan"
http://giitaayan.com/viewisbsong.asp?id=12195,Jahanara,1964,Madan Mohan,Rajinder Krishan,"Lata, Talat"
http://giitaayan.com/viewisbsong.asp?id=11236,Diwana,1967,Shankar-Jaikishan,Hasrat,Mukesh
http://giitaayan.com/viewisbsong.asp?id=12438,Kyaa Kehnaa,1999,Rajesh Roshan,Majrooh,"Kumar Sanu, Alka Yagnik"
http://giitaayan.com/viewisbsong.asp?id=12699,Lailaa Majnoon,1953,Ghulam Mohammad,Shakeel,Shamshad
http://giitaayan.com/viewisbsong.asp?id=14771,Parai Aag (Pakistan),1971,Khurshid Anwar,Habib Jalib,Mehdi Hasan
http://giitaayan.com/viewisbsong.asp?id=14778,Shirin Farhad (Pakistan),1975,Khurshid Anwar,Qateel Shifai,Mehdi Hasan
http://giitaayan.com/viewisbsong.asp?id=11211,Dastaan,1950,Naushad,Shakeel,Suraiya
http://giitaayan.com/viewisbsong.asp?id=12595,Khubsoorat,1980,R D Burman,Gulzar,Asha
http://giitaayan.com/viewisbsong.asp?id=13882,Saathiyaa,2002,A R Rahman,Gulzar,Adnan Sami
http://giitaayan.com/viewisbsong.asp?id=182,Shaheed,1965,Prem Dhawan,Prem Dhawan,Rafi
http://giitaayan.com/viewisbsong.asp?id=11728,Hindustaan Ki Qasam,1999,Sukhwinder Singh,Anand Bakshi,"Sukhwinder Singh, Udit Narayan..."
http://giitaayan.com/viewisbsong.asp?id=183,Baaz,1953,O P Nayyar,Majrooh,"Geeta, chorus"
http://giitaayan.com/viewisbsong.asp?id=rmim0418,Non-Film (Pakistan),1965,Mian Sheharyar,Jamiluddin Aali,Noorjehan
http://giitaayan.com/viewisbsong.asp?id=14229,Suhaag,1979,Laxmikant-Pyarelal,Anand Bakshi,"Rafi, Asha, Shailendra Singh"
http://giitaayan.com/viewisbsong.asp?id=21317,Dost,1954,Hansraj Behl,Asad Bhopali,"Talat Mahmood, Madhubala Zaveri"
http://giitaayan.com/viewisbsong.asp?id=184,Sadmaa,1983,Ilayaraja,Gulzar,Suresh Wadkar
http://giitaayan.com/viewisbsong.asp?id=2769,Bahaar,1951,S D Burman,Rajinder Krishan,Talat
http://giitaayan.com/viewisbsong.asp?id=14833,Chaandni Chowk,1954,Roshan,Shailendra,Asha
http://giitaayan.com/viewisbsong.asp?id=14621,Yaadein,2001,Annu Malik,Anand Bakshi,"Kavita Subramaniam, Alka Yagni..."
http://giitaayan.com/viewisbsong.asp?id=13664,Plan,2003,Anand Raj Anand,Dev Kohli,"Sanjay Dutt, Anand Raaj Anand,..."
http://giitaayan.com/viewisbsong.asp?id=11052,Dulhan Hum Le Jaayenge,2000,Himesh Reshammiya,Sudhakar Sharma,"Sonu Nigam, Alka Yagnik, Chorus"
http://giitaayan.com/viewisbsong.asp?id=rmim0724,Ratnadeep,1979,R D Burman,Gulzar,Asha
http://giitaayan.com/viewisbsong.asp?id=rmim0743,Sannata,1966,Hemant Kumar,Gulzar,Lata
http://giitaayan.com/viewisbsong.asp?id=2026,Yeh Vaada Raha,1982,R D Burman,Gulshan Bawra,Kishore
http://giitaayan.com/viewisbsong.asp?id=14533,Vaadaa (Non-Film),2001,Amjad Ali Khan,Gulzar,Roop Kumar Rathod
http://giitaayan.com/viewisbsong.asp?id=13758,Refugee,2000,Annu Malik,Javed Akhtar,"Sonu Nigam, Alka Yagnik"
http://giitaayan.com/viewisbsong.asp?id=14614,Yeh Dil Aashiqana,2002,Nadeem-Shravan,Sameer,"Kumar Sanu, Alka Yagnik"
http://giitaayan.com/viewisbsong.asp?id=21413,Aakhri Dao,1975,Laxmikant-Pyarelal,Hasrat Jaipuri,Rafi
http://giitaayan.com/viewisbsong.asp?id=10824,Chhupa Rustam,2001,Anand-Milind,Anand Bakshi,"Kumar Sanu, Alka Yagnik"
http://giitaayan.com/viewisbsong.asp?id=11720,Har Dil Jo Pyaar Karegaa/ Love Can Happen Anytime,2000,Annu Malik,Sameer,"Sonu Nigam, Chorus"
http://giitaayan.com/viewisbsong.asp?id=20825,Zameen Aasmaan,1984,R D Burman,Anjaan,"Lata, Chorus"
http://giitaayan.com/viewisbsong.asp?id=11133,Dalaal,1993,Bappi Lahiri,Prakash Mehra,Udit Narayan
http://giitaayan.com/viewisbsong.asp?id=185,Darling Darling,1977,R D Burman,Anand Bakshi,Kishore
http://giitaayan.com/viewisbsong.asp?id=2273,Saajan Ki Saheli,1980,Usha Khanna,Majrooh,Rafi
http://giitaayan.com/viewisbsong.asp?id=20684,Zabardast,1985,R D Burman,Majrooh,Asha
http://giitaayan.com/viewisbsong.asp?id=186,Bheegi Raat,1965,Roshan,Majrooh,"Rafi, Suman Kalyanpur"
http://giitaayan.com/viewisbsong.asp?id=187,Teen Deviyan,1965,S D Burman,Majrooh,Rafi
http://giitaayan.com/viewisbsong.asp?id=188,Gawaiyaa,1954,Ram Ganguli,Shevan Rizvi,Talat
http://giitaayan.com/viewisbsong.asp?id=20965,Aap Ko Pehle Bhi Kahin Dekha Hai,2002,Nikhil-Vinay,Sameer,"Jagjit Singh, Asha"
http://giitaayan.com/viewisbsong.asp?id=10399,Adhikar,1971,R D Burman,Ramesh Pant,Rafi
http://giitaayan.com/viewisbsong.asp?id=11141,Deewana,1992,Nadeem-Shravan,Sameer,"Alka Yagnik, Vinod Rathod"
http://giitaayan.com/viewisbsong.asp?id=11219,Dard,1981,Khayyam,Naqsh Lyallpuri,Kishore
http://giitaayan.com/viewisbsong.asp?id=3024,Nirala,1950,C Ramchandra,P L Santoshi,Lata
http://giitaayan.com/viewisbsong.asp?id=12465,Khalnaayak/ The Villain,1993,Laxmikant-Pyarelal,Anand Bakshi,"Alka Yagnik, Mohammed Aziz"
http://giitaayan.com/viewisbsong.asp?id=11203,Dak Bangla,1947,Naresh Bhattacharya,D N Madhok,Suraiya
http://giitaayan.com/viewisbsong.asp?id=13710,Qayamat,2003,Nadeem-Shravan,Sameer,"Abhijeet, Sadhna Sargam/ Abhij..."
http://giitaayan.com/viewisbsong.asp?id=12186,Jaagte Raho,1956,Salil Chowdhury,Prem Dhawan,"Rafi, S Balbir"
http://giitaayan.com/viewisbsong.asp?id=12002,I - Proud To Be An Indian,2003,XLNC,Deepali Deep,Meshi
http://giitaayan.com/viewisbsong.asp?id=10988,Daud,1997,A R Rahman,Sukhwinder Singh,Usha Uthup
http://giitaayan.com/viewisbsong.asp?id=rmim0460,Sharaarat,1959,Shankar-Jaikishan,Shailendra,Rafi
http://giitaayan.com/viewisbsong.asp?id=20900,Kabhi Andhera Kabhi Ujala,1958,O P Nayyar,Majrooh Sultanpuri,Asha
http://giitaayan.com/viewisbsong.asp?id=11315,Do Beeghaa Zameen,1953,Salil Chowdhury,Shailendra,Rafi
http://giitaayan.com/viewisbsong.asp?id=189,Saanjh aur Savera,1964,Shankar-Jaikishan,Hasrat,"Rafi, Suman Kalyanpur"
http://giitaayan.com/viewisbsong.asp?id=rmim0034,Saaqi,1952,C Ramchandra,Rajinder Krishan,Rafi
http://giitaayan.com/viewisbsong.asp?id=190,Sweekaar Kiyaa Maine,1983,Usha Khanna,Nida Fazli,Lata
http://giitaayan.com/viewisbsong.asp?id=2274,Pyaar To Honaa Hi Thaa,1998,Jatin-Lalit,,"Udit Narayan, Asha"
http://giitaayan.com/viewisbsong.asp?id=2523,Ek Raaz,1963,Chitragupt,Majrooh,"Kishore, Lata"
http://giitaayan.com/viewisbsong.asp?id=21089,Jaan-e-Mann,2006,Anu Malik,Gulzar,Sonu Nigam
http://giitaayan.com/viewisbsong.asp?id=191,Hum Sab Ustad Hain,1965,Laxmikant-Pyarelal,Asad Bhopali,Kishore / Lata
http://giitaayan.com/viewisbsong.asp?id=14324,Shehnai,1947,C Ramchandra,P L Santoshi,"Amirbai, Chitalkar"
http://giitaayan.com/viewisbsong.asp?id=192,An Evening In Paris,1967,Shankar-Jaikishan,Hasrat,Rafi
http://giitaayan.com/viewisbsong.asp?id=11835,Halaaku,1956,Shankar-Jaikishan,Hasrat,"Lata, Asha"
http://giitaayan.com/viewisbsong.asp?id=11312,Dilli Ka Dada,1962,N Dutta,Sahir,"Mukesh, Mahendra Kapoor"
http://giitaayan.com/viewisbsong.asp?id=3026,Mehboobaa,1954,Roshan,Majrooh,"Talat, Lata"
http://giitaayan.com/viewisbsong.asp?id=rmim0030,Rangeen Raaten,1956,Roshan,Kedar Sharma,"Lata, Geeta"
http://giitaayan.com/viewisbsong.asp?id=14436,Tamanna,1969,Kalyanji-Anandji,Anand Bakshi,Mukesh
http://giitaayan.com/viewisbsong.asp?id=11319,Do Dilon Ki Daastan,1966,O P Nayyar,Raja Mehdi Ali Khan,"Rafi, Asha"
http://giitaayan.com/viewisbsong.asp?id=13567,Phir Wohi Dil Laya Hoon,1963,O P Nayyar,Majrooh,Rafi
http://giitaayan.com/viewisbsong.asp?id=193,Arzoo,1965,Shankar-Jaikishan,Hasrat,"Lata, Rafi"
http://giitaayan.com/viewisbsong.asp?id=194,Dil Apnaa Aur Preet Paraai,1960,Shankar-Jaikishan,Shailendra,Lata
http://giitaayan.com/viewisbsong.asp?id=10385,Aakaash,1953,Anil Biswas,Majrooh,Shankar Dasgupta
http://giitaayan.com/viewisbsong.asp?id=2027,Gaman,1978,Jaidev,Shahryar,Hariharan
http://giitaayan.com/viewisbsong.asp?id=15264,Lamha Lamha (Non-Film),1993,Rafique Husain / Ghulam Ali,Obaidullah Alim,Ghulam Ali
http://giitaayan.com/viewisbsong.asp?id=195,Faqeeraa,1976,Ravindra Jain,Ravindra Jain,"Mahendra Kapoor, Hemlata"
http://giitaayan.com/viewisbsong.asp?id=13829,Raajput,1982,Laxmikant-Pyarelal,Anand Bakshi,Kishore
http://giitaayan.com/viewisbsong.asp?id=3027,Jaal,1967,Laxmikant-Pyarelal,Raja Mehdi Ali Khan,Rafi
http://giitaayan.com/viewisbsong.asp?id=196,Baat Ek Raat Ki,1962,S D Burman,Majrooh,Rafi
http://giitaayan.com/viewisbsong.asp?id=197,An Evening In Paris,1967,Shankar-Jaikishan,Hasrat,Rafi
http://giitaayan.com/viewisbsong.asp?id=13811,Raaz,1967,Kalyanji-Anandji,Shamim Jaipuri,Rafi/ Lata
http://giitaayan.com/viewisbsong.asp?id=198,Qayamat Se Qayamat Tak,1988,Anand-Milind,Majrooh,"Udit Narayan, Alka Yagnik"
http://giitaayan.com/viewisbsong.asp?id=10142,Akele Hum Akele Tum,1995,Annu Malik,Majrooh,"Udit Narayan, Aditya Narayan"
http://giitaayan.com/viewisbsong.asp?id=11625,Gopi,1970,Kalyanji-Anandji,Rajinder Krishan,Lata
http://giitaayan.com/viewisbsong.asp?id=3028,Beewee,1950,Khayyam,Wali Saheb,Rafi
http://giitaayan.com/viewisbsong.asp?id=199,Baiju Bawra,1952,Naushad,Shakeel,"Rafi, Lata"
http://giitaayan.com/viewisbsong.asp?id=13367,O Ho (Non-Film),2000,Jaidev,Sanjiv Anand,"Sardul Sikandar, Chorus"
http://giitaayan.com/viewisbsong.asp?id=11589,Goonj Uthi Shehnaai,1959,Vasant Desai,Bharat Vyas,"Lata, Geeta, Chorus"
http://giitaayan.com/viewisbsong.asp?id=13764,Raja,1995,Nadeem-Shravan,Sameer,"Udit Narayan, Alka Yagnik"
http://giitaayan.com/viewisbsong.asp?id=200,Rattan,1944,Naushad,D N Madhok,Zohra Bai Ambalewali
http://giitaayan.com/viewisbsong.asp?id=rmim0022,Bandit Queen,1995,Nusrat Fateh Ali Khan,,Nusrat Fateh Ali Khan
http://giitaayan.com/viewisbsong.asp?id=rmim0029,Bada Aadmi,1961,Chitragupt,Prem Dhawan,Rafi
http://giitaayan.com/viewisbsong.asp?id=201,Ankhiyon Ke Jharokhon Se,1978,Ravindra Jain,Ravindra Jain,Hemlata
http://giitaayan.com/viewisbsong.asp?id=2770,Rangeen Raaten,1956,Roshan,Kedar Sharma,Lata
http://giitaayan.com/viewisbsong.asp?id=576,Bobby,1973,Laxmikant-Pyarelal,Anand Bakshi,Lata
http://giitaayan.com/viewisbsong.asp?id=12667,Lo Main Aa Gayaa,1998,Anand Raj Anand,"Anand Raj Anand, Dev Kohli, Rajesh Malik","Sunita Rao, Chorus"
http://giitaayan.com/viewisbsong.asp?id=10830,Chorani (Non-Film),2000,Jaidev Kumar,Babu Singh Maan,"Hans Raj Hans, Chorus"
http://giitaayan.com/viewisbsong.asp?id=11013,Dhadkan/ Never Break A Heart,2000,Nadeem-Shravan,Sameer,"Alka Yagnik, Chorus"
http://giitaayan.com/viewisbsong.asp?id=3269,Jalti Nishaani,1957,Anil Biswas,Qamar Jalalabadi,Lata
http://giitaayan.com/viewisbsong.asp?id=21012,Wapas,1943,R C Boral,,Suprova Sircar
http://giitaayan.com/viewisbsong.asp?id=21421,Raampur Ka Lakshman,1972,R D Burman,Majrooh,Lata
