,Song,Film,Year,Music Director,Lyricist,Singers
6000,http://giitaayan.com/viewisbsong.asp?id=10084,Ansh,2002,Nadeem-Shravan,Sameer,"Udit Narayan, Dimple Verma, Ch..."
6001,http://giitaayan.com/viewisbsong.asp?id=rmim0789,Aansoo Ban Gaye Phool,1969,Laxmikant-Pyarelal,Taj Bhopali,Asha
6002,http://giitaayan.com/viewisbsong.asp?id=11832,Haathi Mere Saathi,1971,Laxmikant-Pyarelal,Anand Bakshi,Kishore
6003,http://giitaayan.com/viewisbsong.asp?id=12845,Melaa,1999,Rajesh Roshan,Sameer,"Sonu Nigam, Alka Yagnik, Roop ..."
6004,http://giitaayan.com/viewisbsong.asp?id=13285,Nazrana,1961,Ravi,Rajinder Krishan,Lata
6005,http://giitaayan.com/viewisbsong.asp?id=10006,23rd March 1931 Shaheed,23,Anand Raj Anand,Dev Kohli,"Hans Raj Hans, Udit Narayan, C..."
6006,http://giitaayan.com/viewisbsong.asp?id=rmim0365,Shirin Farhaad,1956,S Mohinder,Tanveer Naqvi,"Hemant, Asha"
6007,http://giitaayan.com/viewisbsong.asp?id=1170,Tere Mere Sapne,1971,S D Burman,Neeraj,Lata
6008,http://giitaayan.com/viewisbsong.asp?id=12987,Maashooqaa,1953,Roshan,Shailendra,Suraiya
6009,http://giitaayan.com/viewisbsong.asp?id=13235,Naagin,1954,Hemant Kumar,Rajinder Krishan,Lata
6010,http://giitaayan.com/viewisbsong.asp?id=14761,Khamosh Sipahi,1950,Khurshid Anwar,D N Madhok,"Rajkumari, Lalita Deulkar"
6011,http://giitaayan.com/viewisbsong.asp?id=14214,Sohni Mahiwaal,1958,Naushad,Shakeel,Lata
6012,http://giitaayan.com/viewisbsong.asp?id=13862,Rudraksh,2003,Shashi Pritam,Mast Ali,"Sandeep Bhaumik, Shashi Pritam..."
6013,http://giitaayan.com/viewisbsong.asp?id=3416,Prem Parbat,1973,Jaidev,Padma Sachdev,Lata
6014,http://giitaayan.com/viewisbsong.asp?id=10892,Chattaan Singh,1974,Kalyanji-Anandji,Verma Malik,"Mukesh, Asha"
6015,http://giitaayan.com/viewisbsong.asp?id=2647,Dil Apnaa Aur Preet Paraai,1960,Shankar-Jaikishan,Shailendra,Lata
6016,http://giitaayan.com/viewisbsong.asp?id=1171,Saajan,1991,Nadeem-Shravan,Sameer,"Kumar Sanu,"
6017,http://giitaayan.com/viewisbsong.asp?id=13057,"Mr. Qaartoon, M.A.",1958,O P Nayyar,Jaan Nisar Akhtar,"Rafi, Asha"
6018,http://giitaayan.com/viewisbsong.asp?id=14649,Yeh Raaste Hain Pyaar Ke,2001,Sanjeev-Darshan,Anand Bakshi,"Kumar Sanu, Anuradha Paudwal"
6019,http://giitaayan.com/viewisbsong.asp?id=2404,Anubhav,1971,Kanu Roy,Gulzar,Geeta
6020,http://giitaayan.com/viewisbsong.asp?id=13424,Paagalpan,2001,Raju Singh,Sameer,"Srinivas, Chitra"
6021,http://giitaayan.com/viewisbsong.asp?id=14487,Tum - A Dangerous Obsession,2003,Himesh Reshammiya,Sameer,Shaan
6022,http://giitaayan.com/viewisbsong.asp?id=14785,Zebo (Pakistan),1972,Khurshid Anwar,Qateel Shifai,Mehdi Hasan
6023,http://giitaayan.com/viewisbsong.asp?id=14093,Shabnam,1949,S D Burman,Qamar Jalalabadi,Geeta
