,Song,Film,Year,Music Director,Lyricist,Singers
4000,http://giitaayan.com/viewisbsong.asp?id=11086,Dil Kyaa Kare,1999,Jatin-Lalit,Anand Bakshi,"Sukhvindar Singh, Jaspindar Na..."
4001,http://giitaayan.com/viewisbsong.asp?id=12420,Krodh/ Blast of Anger,2000,Anand-Milind,Deepak Choudhary,"Sapana Mukherji, Chorus"
4002,http://giitaayan.com/viewisbsong.asp?id=782,Darr,1993,Shiv-Hari,Anand Bakshi,Udit Narayan
4003,http://giitaayan.com/viewisbsong.asp?id=12130,Jaadugar,1989,Kalyanji-Anandji,"Prakash Mehra, Anjaan","Kumar Sanu, Chorus"
4004,http://giitaayan.com/viewisbsong.asp?id=3351,Pahele Aap/ Prestige,1944,Naushad,D N Madhok,Zohra Bai
4005,http://giitaayan.com/viewisbsong.asp?id=10378,Alibaaba Aur 40 Chor,40,R D Burman,Anand Bakshi,"Kishore, Asha"
4006,http://giitaayan.com/viewisbsong.asp?id=20788,Kohinoor,1960,Naushad,Shakeel Badayuni,Asha
4007,http://giitaayan.com/viewisbsong.asp?id=783,Naagin,1954,Hemant Kumar,Rajinder Krishan,Lata
4008,http://giitaayan.com/viewisbsong.asp?id=784,Man Mandir,1971,Laxmikant-Pyarelal,Rajinder Krishan,"Lata, Kishore"
4009,http://giitaayan.com/viewisbsong.asp?id=rmim0796,Jaadoo (Pakistan),1974,Master Inayat Husein,Ahmed Rahi,Noorjehan
4010,http://giitaayan.com/viewisbsong.asp?id=785,Taxi Driver,1954,S D Burman,Sahir,Talat
4011,http://giitaayan.com/viewisbsong.asp?id=14151,Sargam,1979,Laxmikant-Pyarelal,Anand Bakshi,Rafi
4012,http://giitaayan.com/viewisbsong.asp?id=14458,Tadbir,1945,Lal Mohammed,Swami Ramanand,Suraiya
4013,http://giitaayan.com/viewisbsong.asp?id=787,Anaarkali,1953,C Ramchandra,Rajinder Krishan,"Hemant, Lata"
4014,http://giitaayan.com/viewisbsong.asp?id=14176,Shalimar,1978,R D Burman,Anand Bakshi,Rafi
4015,http://giitaayan.com/viewisbsong.asp?id=788,Oonche Log,1965,Chitragupt,Majrooh,Rafi
4016,http://giitaayan.com/viewisbsong.asp?id=rmim0385,Leela,2002,Jagjit Singh,Gulzar,Jagjit Singh
4017,http://giitaayan.com/viewisbsong.asp?id=rmim0216,Chitralekha,1941,A S Gyaanii,Kidar Sharma,"Ramdulari, Rajendra Singh, Sid..."
4018,http://giitaayan.com/viewisbsong.asp?id=12409,Khilaadi 420,420,Sanjeev-Darshan,Sameer,"Sonu Nigam, Kavita Subramaniam"
4019,http://giitaayan.com/viewisbsong.asp?id=21191,Just Married,2007,Pritam,Gulzar,Sonu Nigam
4020,http://giitaayan.com/viewisbsong.asp?id=rmim0835,Jwaala,1938,Dhamman Khan,Pt Indra,"Ratnaprabha, Chorus"
4021,http://giitaayan.com/viewisbsong.asp?id=10113,Aur Pyaar Ho Gayaa,1997,Nusrat Fateh Ali Khan,Javed Akhtar,Udit Narayan
4022,http://giitaayan.com/viewisbsong.asp?id=rmim0638,Jawaahar,1960,Salil Chowdhury,Prem Dhawan,Lata
4023,http://giitaayan.com/viewisbsong.asp?id=2599,Raj Laxmi,1945,"Robin Chatterjee, Dhiren Mitra",Suresh Chowdhury,Talat
4024,http://giitaayan.com/viewisbsong.asp?id=10703,Bhoot Bungla,1965,R D Burman,Hasrat,Kishore
4025,http://giitaayan.com/viewisbsong.asp?id=789,Mere Sanam,1965,O P Nayyar,Majrooh,Asha
4026,http://giitaayan.com/viewisbsong.asp?id=790,Chaalbaaz,1980,Madan Mohan,Yogesh,Lata
4027,http://giitaayan.com/viewisbsong.asp?id=20672,Haveli (Pakistan),1964,Khurshid Anwar,Qateel Shifai,"Noorjehan, Naseem Begum, Mala"
4028,http://giitaayan.com/viewisbsong.asp?id=3353,Shahenshaah,1953,S D Burman,Sahir,Shamshad
