Song,Film,YearMusic Director,Lyricist,Singers
"चल मितरा हुण ओत्थे चलिये जित्थे होर न कोई होवे
सानूं वेख के कोई हँसे ना सानूं सोनू वेख के कोई रोवे
सेज सजाई फूलों की और हम काँटों पे सोए
इश्क़ दा दरिया माझी नाव मुसाफ़िर सब डुबोए
इस दरिया को जो पार करे बस वो दीवाना प्यार करे
मैनूं लगन लगी मेरे सजन लगी मैनूं लगन लगी

पनघट से ऐसा धुआं उठा पानी में जैसे अगन लगी
मैनूं लगन लगी ...

हो मेरा दिल तेरे दिल से मिल न सका
मेरी जां तेरी जां से मिलने लगी
मैनूं लगन लगी ...

अपने सर पे इल्ज़ाम लिया फिर मैने तेरा नाम लिया
तेरी यादों के दामन को अपनी यादों से थाम लिया
ना रस्ता ना कोई मंज़िल मैं संग पवन के चलने लगी
मैनूं लगन लगी ...

जो आग का दरिया पार करे बस वो दीवाना प्यार करे
हां हां खो जाए खुद इस रस्ते में वो यार तलाश-ए-यार करे
हो मेरा हाथ पकड़ ले साजन मैं मझधार में डूब के मरने लगी
मैनूं लगन लगी ...

मन मेरा मुझसे रूठ गया जो सपना देखा टूट गया
मैं बिरहन क्या सिंगार करूं मेरा दर्पन ही टूट गया
ना चुटकी भर सिंदूर मिला जब अपनी मांग मैं भरने लगी
मैनूं लगन लगी ...

 ",Dil Kyaa Kare,1999,Jatin-Lalit,Anand Bakshi,"Sukhvindar Singh, Jaspindar Na..."
"जादू तेरा चढ़ने लगा है
जादू तेरा बढ़ने लगा है
कर दिया तेरे जलवों ने हमको मस्त मस्त मस्ताना
हाय दीवाना दीवाना सारा ज़माना मेरा दीवाना
दीवाना ओ दीवाना आ

हर दीवाना मुझी से मिलने का ढूंढता है बहाना
हाय दीवाना दीवाना सारा ज़माना तेरा दीवाना
दीवाना आ ओ दीवाना आ

हाय मेरी शोखियाँ आहा ओ आहा
हाय मेरी मस्तियाँ आहा ओ आहा
ओ हाय मेरी शोखियाँ
हाय मेरी मस्तियाँ
झूमें मेरी अदाओं पे ये दिलवालों की बस्तियाँ
हाय रे हाय हो रहा है हर दिल मेरी नज़र का निशाना
हाय दीवाना दीवाना ...

हाय जवां जोश है आहा ओ आहा
हूँ अब कहां होश है आहा ओ आहा
ओ हाय जवां जोश है
अब कहां होश है
कैसे ना कोई बहके मेरा ये जलवा मदहोश है
छा रहा है सभी के दिल पे मेरा समां आशिक़ाना
हाय दीवाना दीवाना ...

 ",Krodh/ Blast of Anger,2000,Anand-Milind,Deepak Choudhary,"Sapana Mukherji, Chorus"
" जादू तेरी नज़र, खुशबू तेरा बदन (2)
 तू हाँ कर या ना कर (2)
 तू है मेरी किरन (2)
 जादू तेरी नज़र ...
 
 (मेरे ख्वाबोँ की तस्वीर है तू 
 बेखबर मेरी तक़दीर है तू  ) - 2
 तू किसी और की हो ना जाना
 कुछ भी कर जाऊँगा मैँ दीवाना
 तू हाँ कर या ...
 
 (फ़ासले और कम हो रहें हैँ 
 दूर से पास हम हो रहें हैँ  ) - 2
 माँग लूँगा मैँ तुझे आसमाँ से
 छीन लूँगा तुझे इस जहाँ से
 तू हाँ कर या ...
 

 ",Darr,1993,Shiv-Hari,Anand Bakshi,Udit Narayan
"जादूगर जादूगर जादूगर गोगा गोगा
मैं जादूगर है मेरा नाम गोगा हाँ मुझ जैसा नहीं कोई होगा -2
आपके शहर में है पहला तमाशा मेरा
देखकर बोलिए है मेरे बारे में आपकी राय क्या
मैं जादूगर जादूगर है मेरा नाम ...

अरे जो मैं हूँ आप समझे नहीं जो आप समझे हैं वो मैं नहीं
जो आप देखेंगे नज़रों का धोखा तमाशा है वो हाथों का
मैं जादूगर जादूगर है मेरा नाम ...

हुआ नहीं होगा नहीं कोई ऐसा जादूगर जैसा जादूगर है गोगा गोगा
जादूगर -4

हुस्न की महफ़िलें मैं सजा दूँ यहाँ
आ आ आसमां से परी मैं बुला दूँ यहाँ
देखिए क्या करिश्में दिखाता हूँ मैं
कैसे लैला को मजनूं बनाता हूँ मैं
जो आप देखेंगे नज़रों ...

ऐसी ज़ंजीर अब तक बनी ही नहीं बाँध ले जो मुझे रोक ले जो कहीं
तोड़कर सारी ज़ंजीर दिखलाऊँगा
बन्द तालों से बाहर निकल आऊँगा
पल भर में होगा यक़ीं आपको जान-ए-मन मेरी इन बातों का
मैं जादूगर जादूगर है मेरा नाम ...

मेरी आवाज़ सुनकर मुझे ढूँढिए
मैं कहाँ हूँ किधर हूँ ज़रा देखिए
मैं अभी था वहाँ मैं अभी हूँ यहाँ
है जगह कौन सी नहीं हूँ मैं जहाँ
यारों मैं कैसे यहाँ से वहाँ वहाँ से यहाँ आ गया
मैं जादूगर जादूगर है मेरा नाम ...

( तू जादूगर तेरा नाम गोगा तुझ जैसा नहीं कोई होगा -2
हुआ नहीं होगा ऐसा कोई जादूगर जैसा जादूगर है गोगा
गोगा -2 ) -2

 ",Jaadugar,1989,Kalyanji-Anandji,"Prakash Mehra, Anjaan","Kumar Sanu, Chorus"
"जादूगर बाल्मा तोरे नैनों में जिया खो ग्या
जा बे-इमान तेरा हो ग्या

अम्बूवा पे कोयलिया बोले कू कू
चुप न करे
बिर्हा के बोल बोले घड़ी घड़ी
दर्द भरे
मैं ये कहूं बांवरी
धीरे धीरे बोल जिया सो ग्या
जा बे-इमान तेरा हो ग्या
जादूगर बाल्मा तोरे-

नैन मिला के आ के मन में हमारे
कहीं जाना ना
गालियां देगा दुखी हो के मन मेरा
कलपाना ना
सुन सुन सांवरे
लख संभाला जिया खो ग्या
जा बे-इमान तेरा हो ग्या
जादूगर बाल्मा तोरे-

 ",Pahele Aap/ Prestige,1944,Naushad,D N Madhok,Zohra Bai
"कि : जादूगर -3
 जादूगर जादू कर जाएगा किसी को समझ नहीं आएगा
 ओ मरजीना नाच हसीना मुश्किल कर दे सबका जीना -2
 नहीं तो नहीं तो
 जादूगर जादू कर ...

 नाचेगी तेरी जवानी देखेगी दुनिया दीवानी -2
 हर चीज़ है मेरे बस में क्या आग है क्या है पानी -2
 अरे छू मन्तर छू देख इधर तू
 पहन ले इनको ले ये घुँघरू
 वरना गज़ब हो जाएगा
 ए जादूगर जादू कर ...

आ : माना तुझे मैने माना हो तू जादूगर है दीवाना -2
 बेबस मुझे कर दिया यूँ हैराँ है सारा ज़माना -2
 बस हद कर दी ओ बेदर्दी बतला क्या है तेरी मरज़ी
 कब तक मुझे तड़पाएगा
कि : जादूगर जादू कर जाएगा
आ : किसी को समझ नहीं आएगा

आ : क़िस्मत का चमका सितारा तूने मुझे जब पुकारा
कि : चुप-चाप तू नाचती जा जब तक करूँ मैं इशारा -2
आ : ओ तेरे क़दमों में सर है तू है तो फिर किसका डर है
 जो होगा देखा जाएगा
कि : ए जादूगर जादू कर जाएगा
दो : किसी को समझ नहीं आएगा
कि : ओ मरजीना नाच हसीना ...

 ",Alibaaba Aur 40 Chor,40,R D Burman,Anand Bakshi,"Kishore, Asha"
"आ आऽऽ
जादूगर क़ातिल, हाज़िर है मेरा दिल
तू दिल में भर दे प्यार भला हो तेरा तुझको तेरी नौजवानी की क़सम
हाय जादूगर क़ातिल, हाज़िर है मेरा दिल
तू दिल में भर दे प्यार भला हो तेरा तुझको तेरी नौजवानी की क़सम

आ आऽऽऽ
(दिल का सितार है नग़्मा है प्यार है
फ़स्ल-ए-बहार है मेरे लिए) (2)
(जादू जगाऊँगी नाचूँगी-गाऊँगी
दुनिया लुटाऊँगी तेरे लिए) (2)
हाय जादूगर क़ातिल ...

आ आऽऽऽ
(जीवन की रागनी चंदा की चाँदनी
मैं हूँ सुहागनी तेरी बलम) (2)
(दिल मेरा थाम ले उल्फ़त का नाम ले
हिम्मत से काम ले मेरे सनम) (2)
हाय जादूगर क़ातिल ...

 ",Kohinoor,1960,Naushad,Shakeel Badayuni,Asha
"जादूगर सैंया, छोड़ो मेरी बैंया
हो गई आधी रात, अब घर जाने दो

झुकी-झुकी अँखियाँ देखेंगी सारी सखियाँ
देंगी ताना तेरे नाम का
(ऐसे में मत रोक बेदर्दी
 ले ले वचन कल शाम का) -2
कल होंगे फिर हम साथ
अब घर जाने दो

जादूगर सैंया ...

जाने दे ओ रसिया, मेरे मन बसिया
गाँव मेरा बड़ी दूर है
(तेरी नगरिया रुक न सकूँ मैं
 प्यार मेरा मजबूर है) -2
ज़ंजीर पड़ी मेरे हाथ
अब घर जाने दो

जादूगर सैंया ...

 ",Naagin,1954,Hemant Kumar,Rajinder Krishan,Lata
"क:      जादूगर तेरे नैना
 दिल जायेगा बचके कहाँ
ल: hmmmmm
क:      जादूगर तेरे नैना
 दिल जायेगा बचके कहाँ
 रुक जाऊं, झुक जाऊं
 तेरा मुखड़ा मैं देखूँ जहाँ
ल: जादूगर मेरे सैयाँ
 तेरे जैसा कोई होगा कहाँ
 रुक जाऊं, झुक जाऊं
 तेरा साया भी देखूँ जहाँ

क: तेरे रूप का दीवाना मेरा दिल है (2)
 अब दुनिया से बेगाना मेरा दिल है
ल: तू ही तू है देखूँ जिधर
 यहाँ वहाँ इधर उधर
क:      जादूगर तेरे नैना
 दिल जायेगा बचके कहाँ
 रुक जाऊं, झुक जाऊं
 तेरा मुखड़ा मैं देखूँ जहाँ
ल: रे जादूगर ...

ल: मैं तो हो गयी भाँवरिया तेरे नाम की (2)
 धुन लागी रे साँवरिया तेरे नाम की
क: लेके गयी मुझे तेरी लगन
 कहाँ कहाँ किधर किधर
ल: जादूगर मेरे सैयाँ
 तेरे जैसा कोई होगा कहाँ
 रुक जाऊं, झुक जाऊं
 तेरा साया भी देखूँ जहाँ
क: जादूगर ...

क: तेरे प्यार का सहारा मेरी ज़िंदगी
ल: तेरी आँख का इशारा मेरी बंदगी
क: वहाँ वहाँ मेरे प्यार का घर
ल: जहाँ जहाँ तेरी नज़र
क: जादूगर
ल: मेरे सैयाँ
क: दिल जायेगा बचके कहाँ
ल: रुक जाऊं, झुक जाऊं
 तेरा साया भी देखूँ जहाँ
दोनो: जादूगर ...

 ",Man Mandir,1971,Laxmikant-Pyarelal,Rajinder Krishan,"Lata, Kishore"
"जादूगरा हो जादूगरा-2
तेरी बीन दा हो गया जादू
होया दिल मेरा बेक़ाबू
जादूगरा हो जादूगरा

ऐसी बीन बजाई
तन मेरे अंगड़ाई
हो ऐसी बीन बजाई
तन मेरे अंगड़ाई


हो गुत खुल गई
मैं रावां पुह्ल गई
हाए गुत खुल गई
मैं रावां पुह्ल गई
तेरी बीन दा हो गया जादू
होया दिल मेरा बेक़ाबू
जादूगरा हो हो हो हो जादूगरा

होई रात रंगीली
कर गई मस्त नशीली
होऽ 
होई रात रंगीली
कर गई मस्त नशीली
{हो नशा चढेया
मैं दिल फड़ेया}-2
तेरी बीन दा हो गया जादू
होया दिल मेरा बेक़ाबू
जादूगरा हाए जादूगरा

डोले जिंदड़ी मेरी
हो गईयाँ मैं तेरी
होऽ
डोले जिंदड़ी मेरी
हो गईयाँ मैं तेरी
{लए गल मुक गई
के आख छुक गई}-2

तेरी बीन दा हो गया जादू
होया दिल मेरा बेक़ाबू
जादूगरा होए जादूगरा-2
तेरी बीन दा हो गया जादू
होया दिल मेरा बेक़ाबू
जादूगरा हाए जादूगरा

 ",Jaadoo (Pakistan),1974,Master Inayat Husein,Ahmed Rahi,Noorjehan
"जाएं तो जाएं कहाँ - 2
समझेगा, कौन यहाँ, दर्द भरे दिल की ज़ुबाँ
जाएं तो जाएं कहाँ ...

मायूसियों का, मजमा है जी में
क्या रह गया है, इस ज़िंदगी में
मायूसियों का, मायूसियों का, मजमा है जी में
क्या रह गया है, इस ज़िंदगी में
रूह में ग़म दिल में धुआं
जाएं तो जाएं कहाँ ...

अपना भी ग़म है, उनका भी ग़म है
अब दिल के बचनेकी, उम्मीद कम है
अपना भी ग़म है, अपना भी ग़म है, उनका भी ग़म है
अब दिल के बचनेकी, उम्मीद कम है
एक कश्ती, सौ तूफ़ाँ, जाएं तो जाएं कहाँ ...

ओ जाने वाले, दामन छुड़ा के
मुश्किल है जीना, तुझको भुला के
ओ जाने वाले, ओ जाने वाले, दामन छुड़ा के
मुश्किल है जीना, तुझको भुला के
इससे तो है, मौत आसाँ, जाएं तो जाएं कहाँ ...

सीने में शोले, सासों में आहें
इस ज़िन्दगी से, कैसे निबाहें
सीने में शोले, सीने में शोले, सासों में आहें
इस ज़िन्दगी से, कैसे निबाहें
हर जज़बात है वीराँ, जाएं तो जाएं कहाँ ...

 ",Taxi Driver,1954,S D Burman,Sahir,Talat
"जाग आँखें खोल चुप क्यों है बोल
मेरे भगवन ये क्या हो रहा है -2

कहाँ तेरा इन्साफ़ है कहाँ तेरा दस्तूर है
( मैं तो हूँ मजबूर ओ भगवन ) -2 क्या तू भी मजबूर है
कहाँ तेरा इन्साफ़ ...

सब कहते हैं तूने हर अबला की लाज बचाई
आज हुआ क्या तुझको तेरे नाम की राम दुहाई
ऐसा ज़ुल्म हुआ तो होगी तेरी ही रुसवाई -2
( आँखों में आँसू भरे हैं ) -2 दिल भी ग़म से चूर है
कहाँ तेरा इन्साफ़ ...

कैसा अत्याचार है शादी है या व्यापार है
दौलत में सब ज़ोर है धर्म बड़ा कमज़ोर है
बिकते हैं संसार में इन्सां भी बाज़ार में
दुनिया की ये रीत है बस पैसे की जीत है
ऐसा अगर नहीं है तो सच भगवान कहीं है तो
मेरे सामने आए वो ये विश्वास दिलाए वो -3

 ",Sargam,1979,Laxmikant-Pyarelal,Anand Bakshi,Rafi
"जाग ऐ सोनेवाले -2
कोई जगाने आया -2

जाग ऐ सोनेवाले -2
कोई जगाने आया -2

क्युँ छुपा तू आँखें मिला के -2
मेरी सोई
मेरी सोई प्रीत जगा के 
बार-बार मैं लूँ अंगड़ाई -2
( चैन गया
चैन गया नींद ना आई ) -2
भोर का पंछी देख -2
गीत सुनाने आया -2

जाग ऐ सोनेवाले -2
कोई जगाने आया -2

प्यार की मस्ती में आज मुझे खो जाने दे -2
दो दिलों को एक हो जाने दे -2
खेल ले तू दिलों के खेल -2
कोई खिलाने आया -2
आज का चाँद हमें -2
एक बनाने आया -2

जाग ऐ सोनेवाले -2
कोई जगाने आया -2

 ",Tadbir,1945,Lal Mohammed,Swami Ramanand,Suraiya
"हे: जाग दर्द-ए-इश्क़ जाग, जाग दर्द-ए-इश्क़ जाग 
     दिल को बेक़रार कर, छेड़ के आँसुओं का राग 
     जाग दर्द-ए-इश्क़ जाग, जाग दर्द-ए-इश्क़ जाग 
     जाग..., जाग...

ल: आ  आ...
      किसको सुनाऊँ दास्तां, किसको दिखाऊँ दिल के दाग़ 
      जाऊँ कहाँ कि दूर तक, जलता नहीं कोई चिराग़  - 2
      राख बन चुकी है आग, राख बन चुकी है आग 
हे: दिल को बेक़रार कर, छेड़ के आँसुओं का राग 
     जाग दर्द-ए-इश्क़ जाग, जाग...

हे: ऐसी चली हवा-ए-ग़म, ऐसा बदल गया समा  - 2
     रूठ के मुझ से चल दिये ...
     रूठ के मुझ से चल दिये, मेरी खुशी के कारवां 
     डस रहें हैं ग़म के नाग
दोनो: जाग दर्द-ए-इश्क़ जाग, जाग दर्द-ए-इश्क़ जाग 
      दिल को बेक़रार कर, छेड़ के आँसुओं का राग 
      जाग दर्द-ए-इश्क़ जाग, जाग...

हे: आँख ज़रा लगी तेरी, सारा जहान सो गया 
      ये ज़मीन सो गई, आसमान सो गया 
      सो गया प्यार का चिराग़
      जाग, जाग, जाग, जाग 

 ",Anaarkali,1953,C Ramchandra,Rajinder Krishan,"Hemant, Lata"
"को : जाग देवता नाग देवता
र : जनम दिया जिनको तुमने
को : जाग देवता नाग देवता
र : जनम दिया जिनको तुमने क्यों डस लिया उनको नाग देवता
को : जाग देवता जाग देवता
र : जनम दिया जिनको ...

 देने वाले को वापस लेने का क्या हक़ है -2
 वापस लेने वाले को देने का क्या हक़ है -2
 बरस रहा है आँख से पानी लगी है दिल में आग देवता
को : जाग देवता जाग देवता

 पागल छाती पीट के रो के मातम करते हैं
 दोबारा कब ज़िन्दाअ होते हैं जो मरते हैं
 बुझे हुए दीपक न जले तो कैसा दीपक राग देवता
को : जाग देवता जाग देवता -2

 बेकार है रोना इन्सानों हिम्मत से काम लो दीवानों
 जो पत्थर है कब खिलता है इन्साफ़ कभी यूँ मिलता है
 क्या रखा है इन बातों में तक़दीर है अपने हाथों में
 अब तोड़ दो झूठी रस्मों को सब बातों को सब क़समों को
 वो चीख नहीं थी नारा था तुमको भगवान पुकारा था
 इस वक़्त अगर डर जाओगे वो मर गया तुम मर जाओगे
 देखो उठो भागो दौड़ो ज़ंजीर गुलामी की तोड़ो -4
को : झिंगा ललाम हुर हुर

 ",Shalimar,1978,R D Burman,Anand Bakshi,Rafi
