Song,Film,YearMusic Director,Lyricist,Singers
" 
जाग दिल-ए-दीवाना रुत जागी वस्ल-ए-यार की
बसी हुई ज़ुल्फ़ में आई है सबा प्यार की 
जाग दिल-ए-दीवाना ...

दो दिल के कुछ लेके पयाम आई है
चाहत के कुछ लेके सलाम आई है
दर पे तेरे सुबह खड़ी हुई है दीदार की
जाग दिल-ए-दीवाना ...

एक परी कुछ शाद-सी नाशाद-सी
बैठी हुई शबनम में तेरी याद की
भीग रही होगी कहीं कली-सी गुलज़ार की
जाग दिल-ए-दीवाना ...

ओ मेरे दिल अब ख़्वाबों से मुँह मोड़ ले
बीती हुई सब रातें यहीं छोड़ दे
तेरे तो दिन-रात है अब आँखों में दिलदार की
जाग दिल-ए-दीवाना ...

 ",Oonche Log,1965,Chitragupt,Majrooh,Rafi
"जाग के काटी सारी रैना2
नैंओं में कल ओस गिरि थी2
जाग के काटी सारी रैना2

(प्रेम की अग्नि बुझती नहीं है
बेहती नदिया रुकती नहीं है)2
सागर तक बेहते दो नैना2
जाग के काटी सारी रैना2

(रूह के बंधन खुलते नहीं हैं
दाग हैं दिल के धुलते नहीं हैं)2
कर्वट कर्वट बांटी रैना2
जाग के काटी सारी रैना
नैंनों में कल ओस गिरी थी2
जाग के काटी सारी रैना

 ",Leela,2002,Jagjit Singh,Gulzar,Jagjit Singh
" raa - Ramdulari. pu - dono.n puruSh. 

रा: जागा किरणों वाला
पु: चारो और उजाला
रा: आँखें खोलो नन्द के लाला
पु: जागा किरणों वाला

रा: छाछ बिलोले मैया
पु: अमृत दोहवत भैया
रा: धुनक धुनक धुनकैया रे हाँ
पु: भोर भई, बन ढोर चले
सब झाँझनिया झनकाए
रा: चक्की राग सुनाए
ऊखल और मूसल हमजोली
घाट पै सुंदरियों की टोली
राधा से गागरिया बोली
पु: क्यों ब्रिज बाला
सब: कहाँ गया तेरा बाँसुरी वाला?

 ",Chitralekha,1941,A S Gyaanii,Kidar Sharma,"Ramdulari, Rajendra Singh, Sid..."
"जागते हैं हम रात रात भर
कर गईं तेरी चाहतें असर
नींद खो गई चैन खो गया
क्या करें हमें प्यार हो गया
तुम हो बेखबर नहीं तुम्हें है कुछ खबर
जागते हैं हम ...

हाल दिल का जान-ए-जानां कैसे हम कहें
दूर तुमसे दूर तुमसे कैसे हम रहें
ना तुम्हें पता ना हमें पता
बेवजह हमें आ रहा मज़ा
बेकरार करने वाली आई है उमर
जागते हैं हम ...

मार डालें ना हमें ये बेकरारियां
होश में न आने देंगी ये खुमारियां
छा रहा सनम प्यार का नशा
तुमको जाने ना हो गया ये क्या
दूर क्यूं खड़ी है पास आ ज़रा इधर
जागते हैं हम ...

 ",Khilaadi 420,420,Sanjeev-Darshan,Sameer,"Sonu Nigam, Kavita Subramaniam"
"(जागते रहो
हथेली खुलने लगी
कि रात अब उड़ने लगी
कहानियों की
शाम तो चली
सुलगने दो ज़रा शब को
कि ख़ुशबू आएगी सबको
हरे ख़्वाबों की) 2

पहला पहला ये क़दम है
चाहत है पर ज़ोर कम है
पहली-पहली रात है ये
आगे जो हो 
आख़िर अगर ठीक है तो सभी ठीक है
जागते रहो ...

जब रात की थैली खुले
क्या जानिये क्या कुछ मिले
शहनाई भी, सन्नाटे भी
सपने कहीं, खर्राटे भी
छलके छलके नैन भी हैं
बेचैनी में चैन भी है
पहली-पहली रात है ये
आगे जो हो 
आख़िर अगर ठीक है तो सभी ठीक है
जागते रहो ...

ये रात है फ़रमान की
उम्मीद की, अरमान की
शिकवे, गिले, नाराज़गी
आँखों में ओस की ताज़गी
क़तरा क़तरा जब घुलेगी
निखरी-निखरी शब खुलेगी
पहली-पहली रात है ये
आगे जो हो 
आख़िर अगर ठीक है तो सभी ठीक है
जागते रहो ...

 ",Just Married,2007,Pritam,Gulzar,Sonu Nigam
" ंअन्गल स्तर्त्स थे सोन्ग

जागे आज मोरे भाग
सहेली आओ, गाओ, बजाओ
मंगल थाल सजाओ

कुँवर कन्हैया, कुँवर कन्हैया,
जागो हो अब जागो हो


पहली सहेली, बाग़ में :
         हँसती खिलती लचके मचके
         मदभर कलियाँ, छलके ढलके
दू स : हमरी सजनी, अमर सुहागिन
         गोद भरैयो, सब सुख पैयो
ती स : हँस हँस करियो प्रीतम पूजा - कुँवर कन्हैया

 ंअन्गला रेसुमेस सिन्गिन्ग अत थिस पोइन्त

नज़र गुज़र मेरे लाल की रे
नगर बधाई बाँटती रे
मतवाले रण केसरी तोहे आन खिलावें गोद
बोलो बोलो नैना खोलो - कुँवर कन्हैया

रसवन्त कन्त सुखधाम की
ये नैना उतारें आरती
तन प्राण नाथ पर वारती
आओ आओ गोदी आओ - कुँवर कन्हैया

 ",Jwaala,1938,Dhamman Khan,Pt Indra,"Ratnaprabha, Chorus"
"जागी हुई फ़िज़ाएं हैं तेरे लिए मेरे लिए
गाती हुई हवाएं हैं तेरे लिए मेरे लिए
फूलों में ताजगी सी है राहों में रोशनी सी है
दिन में भी चाँदनी सी है मेरे सनम तेरे लिए मेरे लिए
जागी हुई फ़िज़ाएं हैं ...

लाई है कैसी खुशी
तेरे मेरे पहले प्यार में खोई खोई ज़िंदगी
कब ऐसा था समां कब थी दिलकशी
कलियों की चुनरी ढलकी है लहरों से मस्ती छलकी है
सपनों की दुनिया झलकी है मेरे सनम तेरे लिए मेरे लिए
जागी हुई फ़िज़ाएं हैं ...

सुनती हैं यह वादियां धीरे धीरे
हौले हौले कहते हैं दो दिल
है जैसे थम गया मौसम का कारवां
भंवरे जो गुनगुनाते हैं दिल के तार सनसनाते हैं
मेरे सनम तेरे लिए मेरे लिए
जागी हुई फ़िज़ाएं हैं ...

 ",Aur Pyaar Ho Gayaa,1997,Nusrat Fateh Ali Khan,Javed Akhtar,Udit Narayan
"(जागिये गोपाल लाल बँसी बन बोले)-2
(नन्हे-नन्हे पलकें खोलो चूमूँ नैन प्यारे)-2
(तोहे जगाये झूमे गाये)-2 पँछी पँख खोलें
जागिये गोपाल लाल बंसी बन बोले


(तू ही मेरा चाँद तू ही अँखियों का तारा
तू हँसे तो भूल जाऊँ जीवन का दुख सारा)-2

(गंगा जल से तोहे नहलाऊँ )-2
भोली भाली अँखियों मे कजरा लगाऊँ
हो वारि जाऊँ
तू ही मेरी आशा तू ही मेरा सहारा
तू रोये तो लागे मोहे जीवन अँधियारा
तू ही मेरा चाँद ...

(हौले हौले पग पग चल मेरे मुन्ने )-2
तेरे संग चली जल थल (?) मेरे मुन्ने

तू ही मेरा चाँद तू ही अँखियों का तारा
तू रोये तो लागे मोहे जीवन अँधियारा
तू ही मेरा चाँद ...

 ",Jawaahar,1960,Salil Chowdhury,Prem Dhawan,Lata
" 
जागो मुसाफ़िर जागो, जागो मुसाफ़िर जागो
खोलो मन का द्वार, जागो मुसाफ़िर जागो
 
जाग उठा है आलम सारा
जाग उठा है आलम सारा
प्रेम की आयी पुकार, जागो मुसाफ़िर जागो
 
आये साथी उन्हें बुला लो
दिल से दिल को आज मिला लो
आये साथी उन्हें बुला लो
दिल से दिल को आज मिला लो
आये साथि आये
सौदा कर लो हँसी खुशी का
जग से कर लो प्यार, जागो मुसाफ़िर जागो
 
मिलके यहाँ पे बिछड़ जो जायें
कोई कोई तो फिर मिल जायें
मिलके यहाँ पे बिछड़ जो जायें
कोई कोई तो फिर मिल जायें
जीवन की इस राह पे कोई
जीवन की इस राह पे कोई
आता एक ही बार
आता एक ही बार
जाग उठा है आलम सारा
प्रेम की आयी पुकार, जागो मुसाफ़िर जागो
 
अजब तमाशा वो दिखलाता, अजब तमाशा
अजब तमाशा वो दिखलाता
जोड़ किसी से किसी का नाता
जोड़ किसी से किसी का नाता
कोई न जाने कौन तार में वो
कोई न जाने कौन तार में वो
बाँधे कौन सा तार, जागो मुसाफ़िर जागो
खोलो मन का द्वार, जागो मुसाफ़िर जागो
 

 ",Raj Laxmi,1945,"Robin Chatterjee, Dhiren Mitra",Suresh Chowdhury,Talat
"जागो सोने वालों सुनो मेरी कहानी -2
क्या अमीरी क्या ग़रीबी भूलो बातें पुरानी
जागो सोने वालों ...

टूटा जो आज दिल का वो साज़ रोने लगा एक बदनसीब
हँसने लगे दुनिया के लोग कोई हुआ बर्बाद
जागो सोने वालों ...

ये ऊँच नीच दुनिया के बीच आख़िर ये क्यों बोलो कोई
जो है भला वो क्यों बुरा हम तो न समझे ये राज़
जागो सोने वालों ...

आपस में ग़म बाँटें जो हम फिर न रहें ऐसे सितम
कहने को इंसान हैं वो इन्सानियत कहाँ है
जागो सोने वालों ...

 ",Bhoot Bungla,1965,R D Burman,Hasrat,Kishore
"जाइये आप कहाँ जायेंगे
ये नज़र लौट के फिर आयेगी
दूर तक आप के पीछे पीछे
मेरी आवाज़ चली आयेगी
जाइये...

आपको प्यार मेरा याद जहाँ आयेगा
कोई काँटा वोही दामन से लिपट जायेगा - (2)
जाइये...

जब उठोगे मेरी बेताब निगाहों की तरह
रोक लेंगी कोई डाली मेरी बाहों की तरह - (2)
जाइये...

देखिये चैन मिलेगा न कहीं दिल के सिवा
आपका कोई नहीं, कोई नहीं दिल के सिवा - (2)
जाइये...

 ",Mere Sanam,1965,O P Nayyar,Majrooh,Asha
"जाइये हमसे ख़फ़ा हो जाइये
दुश्मनों का आसरा हो जाइये

चाँद से लिपटी हुई है चाँदनी
महका महका है यह मौसम शबनमी
आपकी महसूस होती है कमी
आज तो मेरे ख़ुदा हो जाइये
नहीं तो,
जाइये हमसे ख़फ़ा हो जाइये

आज़म लीजिये हमारा हौसला
कर लिया है हमने भी ये फ़ैसला
हम न छोड़ेंगे वफ़ा का सिलसिला
आप चाहे बेवफ़ा हो जाइये
जाइये हमसे ख़फ़ा हो जाइये

आप की फ़ितरत का है सारा क़ुसूर
आप की आदत में शामिल है गुरूर
आप ये यकीं कर लें हुज़ूर
आप जाने क्या से क्या हो जाइये

दुश्मनों का आसरा हो जाइये
जाइये हमसे ख़फ़ा हो जाइये


 ",Chaalbaaz,1980,Madan Mohan,Yogesh,Lata
"जाके सुसराल गोरी मैके की लाज रखना-2
जाके सुसराल गोरी

सास ननद से घुल मिल रहना
घुल मिल रहना
एक है मईया एक है बहना
एक है बहना
रखना ख़याल गोरी मैके की लाज रखना
जाके सुसराल गोरी मैके की लाज रखना
जाके सुसराल गोरी

नैन चुराना जेठ सुसर से
जेठ सुसर से
देख चुनरिया ढलके जो सर से
ढलके जो सर से
लेना सम्भाल गोरी मैके की लाज रखना
जाके सुसराल गोरी मैके की लाज रखना
जाके सुसराल गोरी

बात बड़ों की हँसकर सहना
हँसकर सहना
कड़वे सुनकर मीठी कहना
मीठी कहना
बनके मिसाल गोरी मैके की लाज रखना
जाके सुसराल गोरी मैके की लाज रखना
जाके सुसराल गोरी




 ",Haveli (Pakistan),1964,Khurshid Anwar,Qateel Shifai,"Noorjehan, Naseem Begum, Mala"
